,piControl std
BCC-CSM2-MR,0.979213161510235
CanESM5,0.610872272078905
CNRM-CM6-1,0.8419244376226608
CNRM-ESM2-1,0.9565235595348882
MIROC-ES2L,1.1878311411533407
MIROC6,0.9559896715400741
UKESM1-0-LL,0.922258081228647
MRI-ESM2-0,0.853083287958084
CESM2,1.1009416711680862
CESM2-WACCM,0.9880393949619787
MCM-UA-1-0,0.709841300874863
