Experiment,piControl,historical,historical,historical,ssp126,ssp245,ssp370,ssp585
Member,r1i1p1f1,r1i1p1f1,r2i1p1f1,r3i1p1f1,r1i1p1f1,r1i1p1f1,r1i1p1f1,r1i1p1f1
0,,,,,302.8226700813719,302.8574669197764,302.8305205649646,302.8806417353896
1,301.158627843103,301.756972202324,301.5070296439935,301.5679508537684,302.543993507918,302.61597232823055,302.57448925910927,302.6739341837527
2,301.19586081186895,301.82839001725756,301.4411828790881,301.5262600834315,302.5261691737841,302.6008454039051,302.54727297104455,302.6941198327748
3,301.4612629301938,302.0189158830276,301.5411481938956,301.71168715028574,302.6828468884319,302.7253514432043,302.7414734470003,302.8200066680522
4,301.69081290255116,302.1632853537435,301.6795949186399,301.91375303487376,302.90968688767606,302.9370375969293,303.0287500753147,302.9844246283699
5,301.8149785148342,302.2545603033518,301.689768614319,301.97717071938496,303.0552495977934,303.0823435060016,303.21667692344,303.0450580580148
6,301.8387748224004,302.1629885832543,301.57512718844737,301.9355297805603,303.142611690508,303.2362109237388,303.22076805720525,303.07277868270074
7,301.94395189109645,302.06786656850704,301.4224637291465,302.01498831606176,303.23581197451773,303.3304775965166,303.1686502076978,303.07243484764825
8,302.12880397031273,302.0244755446442,301.42611248854536,302.20497086486847,303.2889250936771,303.34517406571223,303.18250984897736,303.14571865418134
9,302.4281740011476,302.0765483248595,301.49215998061186,302.4385624434702,303.3189940531879,303.3294386471244,303.3499026105467,303.2398725661787
10,302.5023108349424,302.0009735597866,301.49150994294104,302.5142016165701,303.15793666212716,303.19419177546905,303.44495875539207,303.25248471704305
11,302.2910188959502,301.74020525073,301.3112481193939,302.3610316426816,302.8423580675233,302.93245036469006,303.2421842852739,303.0384981137929
12,301.88173545711356,301.4339842878226,301.0956127572311,302.0806885593084,302.4407849484315,302.57300426021936,302.89931860032976,302.7425646660119
13,301.4906580207078,301.26551946560187,301.00111848560374,301.80152484582845,302.21067586949727,302.29972557550013,302.5949710855121,302.54582879863653
14,301.43161754188276,301.3507295902671,301.0785127214849,301.7692657176304,302.2380126597331,302.295198689855,302.65335587484134,302.6439115362806
