Experiment,piControl,historical,historical,historical,historical,historical,historical,historical,historical,historical,ssp126,ssp126,ssp126,ssp126,ssp126,ssp245,ssp245,ssp245,ssp245,ssp245,ssp370,ssp370,ssp370,ssp370,ssp370,ssp585,ssp585,ssp585,ssp585,ssp585
Member,r1i1p1f2,r1i1p1f2,r2i1p1f2,r3i1p1f2,r4i1p1f2,r5i1p1f3,r6i1p1f3,r7i1p1f3,r8i1p1f2,r9i1p1f2,r1i1p1f2,r2i1p1f2,r3i1p1f2,r4i1p1f2,r8i1p1f2,r1i1p1f2,r2i1p1f2,r3i1p1f2,r4i1p1f2,r8i1p1f2,r1i1p1f2,r2i1p1f2,r3i1p1f2,r4i1p1f2,r8i1p1f2,r1i1p1f2,r2i1p1f2,r3i1p1f2,r4i1p1f2,r8i1p1f2
0,,,,,,,,,,,302.70912851182857,302.74044252203845,302.5269048281747,302.7245571373806,302.5536769077116,302.6572987095067,302.75733391572186,302.5176655577399,302.70972096720146,302.52024401592035,302.7543847059186,302.6498032943041,302.5633198612497,302.8048772762518,302.5504401892021,302.74531877665305,302.7549605837706,302.57348589766383,302.76872842254136,302.609458132592
1,301.83512885975,301.40740149010907,301.7628916140939,300.62463696659614,301.806639763173,301.68200335305056,301.6840291374228,301.80418184515685,301.37946614769936,301.4309572892817,302.50649732610003,302.6326809063947,302.4188471265063,302.6047722281415,302.4101979039229,302.3740768333115,302.6881982418199,302.31111334012394,302.63725640617014,302.3644538671993,302.57341196854105,302.5127962273247,302.3854378575986,302.7384842202952,302.44820886800306,302.62604653671787,302.5508877896129,302.458968249656,302.6305234675213,302.56212109179995
2,301.9300639147006,301.56599562961674,301.81464889056053,300.8988724757584,301.96295065855264,301.70678778767524,301.77493341305643,301.90220155453693,301.4470357879386,301.47140829264,302.56166524135944,302.63326571058934,302.4843843113253,302.5936262791191,302.4690275917989,302.3960214283517,302.69111016609776,302.3395736965276,302.6206434935761,302.4926289904192,302.63348672919153,302.556654651746,302.4353172015131,302.7706269541249,302.51478308516033,302.71714255729574,302.5220171343774,302.48437309098745,302.54399498847323,302.5777596295463
3,302.10934386095056,301.831047298309,301.84695173079507,301.06980418573715,302.1342970207307,301.74234519197984,301.8988682592089,301.98643190092884,301.6317432423029,301.6110434562019,302.75524627981116,302.7425104767486,302.73533150017624,302.68745751349036,302.7265921639307,302.59850009952953,302.7900401873403,302.4812686496012,302.72160772350327,302.72088859984746,302.7875848379815,302.82435952679236,302.5651264784893,302.7990645082519,302.6539543759386,302.9006396793457,302.5806616205294,302.67224062123114,302.5433138122189,302.6786659693569
4,302.1463607326582,301.9946744837047,301.8145598797039,301.2219232227532,302.1901255522721,301.73585615131174,301.87857704259704,301.9585026960445,301.6988309053101,301.71644208939045,302.7379282148964,302.6938170311628,302.739391379374,302.73200350230485,302.82497245725614,302.67522752691445,302.7457087048044,302.48728822343384,302.64897834898017,302.91626441267493,302.7685461128388,302.9593348929974,302.6086094585845,302.7911988617735,302.70035124345696,302.8604787366346,302.70499620627896,302.7584784907414,302.5845392877004,302.7235479106496
5,302.0389354374178,301.9521000537286,301.62020720986385,301.05922181596515,301.9666184390244,301.63439101136663,301.6786548141927,301.817190388394,301.54186973954546,301.58000597656525,302.5226733841944,302.5427896057288,302.55525148540374,302.6291782410852,302.7436216855633,302.4927060602949,302.60095574833167,302.31025834265904,302.4690124103028,302.80241930203607,302.5654632269105,302.8507424557627,302.4391035067284,302.661517235309,302.6246366970113,302.58164108371324,302.6193343080978,302.67761303338057,302.57662691638365,302.7096946893664
6,301.787560689832,301.82195547172165,301.4590301841666,300.9578161271533,301.69861062480095,301.50323391439946,301.4149178628266,301.70810824524335,301.3634399250186,301.4967615948849,302.2048341922154,302.3334100804743,302.2882146156506,302.452027130254,302.45518552610605,302.1602241997992,302.34671977334153,302.10387167757597,302.2270729229742,302.55692876483937,302.19306771262353,302.5851475550995,302.258330292875,302.4745706632395,302.5173543427668,302.19014991253533,302.459392900463,302.4769188274536,302.56665652765054,302.5600281522987
7,301.6862146034129,301.68044389492565,301.3879407945801,300.9056276090154,301.5488779753834,301.41876625586445,301.3763437429763,301.6399824266827,301.290527055741,301.47292237055814,302.1744199430788,302.3035823171564,302.2281160739697,302.3897025106455,302.3757937782286,301.9541263884344,302.24274506877276,302.06561553605826,302.1520472228588,302.45126830663213,301.94520459053285,302.3962023823213,302.2097844842829,302.4058118541747,302.51827926487056,301.9790017027417,302.3098694417047,302.3563480591576,302.6074432362946,302.4331820700017
8,301.73784726575025,301.7475793625208,301.4166516000835,301.0847951134809,301.6214950562822,301.5156035318159,301.5838703686802,301.6806137830735,301.35991604557233,301.60354157888816,302.34022267381994,302.40739717956006,302.28053586990023,302.46157972143135,302.44076431040827,302.0159319650146,302.33314679466815,302.2268947822466,302.26455424442617,302.59394221117026,301.94702700178493,302.3927586983316,302.37667874142517,302.5627584351971,302.6748385312489,302.0991912837456,302.30718159462583,302.3823688392949,302.8018653367967,302.5290341301056
