Experiment,piControl,historical,historical,historical,historical,historical,ssp126,ssp126,ssp126,ssp126,ssp126,ssp245,ssp245,ssp245,ssp245,ssp245,ssp370,ssp370,ssp370,ssp370,ssp585,ssp585,ssp585,ssp585
Member,r1i1p1f2,r1i1p1f2,r2i1p1f2,r3i1p1f2,r4i1p1f2,r5i1p1f2,r1i1p1f2,r2i1p1f2,r3i1p1f2,r4i1p1f2,r5i1p1f2,r1i1p1f2,r2i1p1f2,r3i1p1f2,r4i1p1f2,r5i1p1f2,r2i1p1f2,r3i1p1f2,r4i1p1f2,r5i1p1f2,r2i1p1f2,r3i1p1f2,r4i1p1f2,r5i1p1f2
0,,,,,,,301.7715883690799,301.6369805380078,301.6064166471138,301.42072110235495,301.61831872783546,301.796967212859,301.71744571996834,301.4808684934707,301.4176192988066,301.6095898929782,301.79100842970166,301.52693107128266,301.4000868944074,301.58628242929024,301.6933456654565,301.52609121739437,301.41785036998067,301.6201195812627
1,300.4522833393259,300.7761213259151,300.4386208625313,299.9587298258963,300.6652094879915,300.54355020535655,301.39269526158256,301.2190943531064,301.429525932069,301.17795735333726,301.2272230352831,301.41970135513844,301.4317132367571,301.2009812059785,301.2919128324963,301.2901662521806,301.59623843548485,301.14007433082367,301.1193193856302,301.26951807140193,301.40745059863747,301.25627407581345,301.1747808742287,301.35775951908334
2,300.32432577402386,300.82634651381824,300.5015878296849,300.0078932733215,300.5539389176236,300.6041938604215,301.46834622432766,301.14768258720096,301.38704361717123,301.1370019024074,301.14732716294367,301.31948195343375,301.5297082485657,301.26284761009555,301.4256146324697,301.218536725584,301.61527210740024,300.9742426506844,301.10514019611816,301.2408887956071,301.47477677068815,301.21249924379373,301.24950174644425,301.3892875374998
3,300.7015035954004,301.15519015066,300.7749858260983,300.1648822330271,300.79901508581725,300.8939641011182,301.7264061235016,301.44741168860816,301.5531229656415,301.25357480809697,301.33974110102207,301.48960585118294,301.7738259190908,301.5448296792768,301.64007011166,301.45237796400664,301.9177065056898,301.1733306956418,301.3293791302722,301.42795574771367,301.81623699989404,301.41404939705075,301.3977444978224,301.6885279968423
4,300.96910921200214,301.29109320947,300.95541163607857,300.24107588693505,301.07907932135134,301.00454128181065,301.9658819400197,301.7481764509268,301.6258113539038,301.4527280634546,301.6158712757107,301.6191579570601,301.9613385529124,301.80886053226027,301.69556318475435,301.70554775933925,302.0985862797456,301.4186700346806,301.59444484080467,301.5820776937423,302.02815532692586,301.6512491875227,301.56633772209983,301.89244010269005
5,301.02131192442556,301.16418704684094,300.9728890981279,300.1743131484914,301.15295479466346,300.9522145685467,301.85603264413356,301.9194583561321,301.64755590434953,301.5380329797169,301.6141044836974,301.6362054721667,301.7572555421585,301.7958579926017,301.6071357756014,301.8699931876418,302.0684593791916,301.5225005306316,301.5866000312606,301.55882963790145,301.94571927228156,301.71545445830714,301.41880339969913,301.88477219937283
6,300.8812737485528,300.89081380775934,300.899105147758,300.06369592052147,301.03239695367023,300.85407537096836,301.6834113611276,301.91102046837545,301.5178733242946,301.5508396620467,301.58828647992596,301.4792379999572,301.5194828211423,301.6933615350904,301.4961067485771,301.83083835091776,301.79741074594705,301.36804015912634,301.3875824532103,301.4866224932036,301.6672654734382,301.64287413282545,301.28753973750645,301.7582463862084
7,300.9230704089171,300.86799394152354,300.90712358592947,299.9872293624929,300.9351946584939,300.7914707824604,301.61713356584,301.8881604047893,301.5151278332723,301.5371220539421,301.6052715012116,301.457277343537,301.3274996337905,301.6599203789289,301.5090458467552,301.84199121641717,301.56690231978394,301.3262521170372,301.28720333949894,301.53012835308766,301.5297659805501,301.6041468381109,301.3697088002861,301.62193816817006
8,301.13273902383867,300.90180348535625,301.13444490934717,300.0883271834254,300.96905725420146,300.8609961429439,301.75678368820604,301.8981496822161,301.6094589751772,301.6035989610689,301.86317075181904,301.61759867727693,301.4307620217764,301.75778860125223,301.6426859291914,301.7796697205629,301.5472421061327,301.44146579279646,301.435076494385,301.69983297338126,301.65485297476806,301.72318841807396,301.56666100274333,301.63930542032716
9,301.45559637891347,301.0687622437841,301.3180594440316,300.2767296468771,301.23137460761586,301.0102513529807,302.0378148756334,301.96466919823644,301.77246775641265,301.83896542706776,302.1142843215328,301.97991630377606,301.70837502479,302.02614925329453,301.86027278248315,301.98398706238476,301.68178857662474,301.70714601789444,301.7203272797298,302.03011709579124,301.94609574797323,301.9234987491238,301.86326977995157,301.9168542655322
10,301.66356629175897,301.24787930483257,301.4366533527879,300.43933984514865,301.46968480938006,301.16784075197637,302.12648568710347,302.0903253648278,301.8778128771956,302.0564843431757,302.2598197855529,302.22543772226044,301.928009570292,302.24830692884666,302.08779080987927,302.1935445809523,301.75302156092465,301.874722398061,301.9342099597805,302.1674338161683,302.1851393242106,302.07055788789125,301.9665084013923,302.1081860742864
11,301.4860855186435,301.3778095355866,301.30142719080624,300.3942767669383,301.3580269418119,301.0914679838659,301.99378076838144,302.00510050593584,301.75484193108076,302.03804588912965,302.0980910652864,302.1066011654216,301.7391193540441,302.16895491405575,301.98680610711125,302.22908777063316,301.5302241647608,301.8187332654837,301.7849904970664,302.06419010716326,302.0521926670763,301.942925337174,301.79135095809494,301.8659274721932
12,300.95634305378434,301.1640784558105,301.0722206553856,300.26416134838064,300.9416442556665,300.9171716995056,301.69651718930135,301.8586641427619,301.45654167523895,301.69614159677957,301.74847761805023,301.6267471863311,301.346105990642,301.67898813646894,301.66945256427493,301.9011515572438,301.1789657421537,301.5573196831902,301.4458452303464,301.6326495994491,301.6129112287215,301.60644034910615,301.3577887958766,301.3234834603342
