Experiment,piControl,historical,historical,historical,ssp126,ssp245,ssp370,ssp370,ssp370,ssp585
Member,r1i1p1f1,r1i1p1f1,r2i1p1f1,r3i1p1f1,r1i1p1f1,r1i1p1f1,r1i1p1f1,r2i1p1f1,r3i1p1f1,r1i1p1f1
0,,,,,303.3666853254432,303.3699120835331,303.32745716365605,303.6359616128005,303.29018813710553,303.37138225183566
1,302.7523711949578,302.34223758107925,302.5490718362345,302.0321011687252,303.26647314914436,303.23270040110566,303.26763363718436,303.4920511047426,303.11508920002535,303.26160174869693
2,302.7919405569914,302.29866186102294,302.6144699600053,301.94786249635746,303.26740272403913,303.24636615434565,303.3412180498268,303.41560007818697,303.0994252477081,303.32507137044354
3,302.8590989592672,302.4626657754459,302.76748378578594,301.90879921494155,303.4239731704504,303.4263085373397,303.67171359906405,303.47762857595734,303.316710732784,303.51331800556454
4,302.83760525323686,302.62894283156334,302.93406596247246,301.78674863718874,303.583760889975,303.5842589490247,303.91913883653257,303.57206997956786,303.5825292865368,303.74832894099853
5,302.60706682638846,302.6480452046894,302.98279011748826,301.55344916789386,303.5802106682619,303.6317081866622,304.0175778573011,303.6750470122798,303.6873679441121,303.77185631862
6,302.30577035766197,302.4708422004439,302.95825547517285,301.3440091460356,303.461474191745,303.57007841965196,303.77094867356186,303.6214448984404,303.58464020289347,303.6155303209969
7,302.07721943177125,302.29440787032837,302.8680014503877,301.2242716751791,303.41599230845554,303.5504684582999,303.5466584014316,303.53626096496595,303.51292071818534,303.4335329340334
8,302.01482077487725,302.2163104084187,302.8391924979875,301.33920220110423,303.514117423204,303.5302533018817,303.38219617437403,303.502370640995,303.52374077836873,303.43272113759963
9,302.1369430068999,302.2889915526487,302.8854243333154,301.59080842866183,303.73224519086153,303.62186119793415,303.49044291955994,303.57340171692664,303.692970165047,303.7139384120823
10,302.4070958671697,302.31771505894045,302.9280198693869,301.90265780426176,303.94000268249374,303.87090557683604,303.55700044592436,303.6719121057758,303.8860851315765,304.050579815661
11,302.63284440056617,302.2481381728724,302.88051124374783,302.06801481545676,304.0555889033451,303.922299066839,303.5706977912128,303.70862811780285,304.04099571281586,304.1764431058703
12,302.6515772115072,302.0106208066565,302.6933686444574,302.0346183318126,304.0200673051047,303.7770070404526,303.3864677823149,303.6476178327632,303.94136279266735,303.9950746945092
13,302.62430315111186,301.82510797898505,302.45245297923043,301.9333712879334,303.8596522093761,303.5559178785034,303.28275859663023,303.5498629194291,303.7675430470353,303.76082828924746
14,302.66400912856346,301.7972003762007,302.327574424335,301.9551285331558,303.85238177745475,303.6423366275717,303.30029957143284,303.53306768428496,303.72748007006567,303.664759722066
15,302.7776866633422,301.92119666731634,302.4455147301425,302.18086467450405,303.93842137747293,303.8231241704548,303.4956541195083,303.67046177100343,303.86065194089576,303.7867120940446
16,302.80463567957185,301.99293411867353,302.68649965835453,302.46100763497515,304.1245050911316,303.9000198826048,303.6810961213896,303.8348516786421,304.03429802958084,303.8422584653196
17,302.7593441484775,301.8923307649016,302.84186390904,302.6845135216334,304.1518288523968,303.76219459051396,303.73227463380323,303.86075636853053,303.9802288496068,303.77736139539695
18,302.66164267578534,301.7039523122118,302.81895814675545,302.75694192635666,304.1246723508106,303.5844224393465,303.7442420696212,303.77751743631114,303.8390027216041,303.53094299063605
19,302.54807435794413,301.4977426102669,302.6440717022663,302.79679038642433,304.0234972694756,303.4825414213424,303.7138511298186,303.7675491712675,303.7097479273322,303.42109367896313
20,302.4953206530816,301.3491949404554,302.51857719375954,302.9041303053563,303.9813908905705,303.5527595976445,303.75456204200094,303.85945889262877,303.75511163035054,303.4523880377442
21,302.46207755353856,301.3137006779882,302.53828947963814,302.98765848723826,303.9881605842897,303.7657761592334,303.8037643618068,303.9648640823645,303.8805799917081,303.6466555513637
22,302.4294326977388,301.3753535241278,302.69580871012573,303.0253056549611,304.0074400348546,303.99570692888165,303.9722868934644,304.01815687770267,303.97404891156026,303.73585731918837
23,302.31798513068753,301.41284842523424,302.71329874493034,302.85576603341275,303.96526686812695,304.05609432836917,303.94324285997436,304.03271405702964,303.89178463167303,303.72216424130215
24,302.1363350387305,301.3634883285743,302.601066454708,302.6657456236233,303.84067391032727,303.9444929953764,303.81714286221376,303.9207173763515,303.7060474758962,303.6014119021549
25,301.9045626337476,301.3151064631224,302.41602701173946,302.51504996378486,303.6996294998484,303.7736522270256,303.53131679047635,303.69749915191113,303.5158749140137,303.55693871797666
26,301.7927840590165,301.4313117213555,302.439115252641,302.58039011884756,303.57340424597857,303.79628537302114,303.5665305395449,303.51575024034884,303.5127427098284,303.5587544189195
27,301.9488127909352,301.81140548094345,302.63038320875563,302.81481374548815,303.62486788932057,303.95241190355335,303.7117170790067,303.62692687564254,303.7097663371204,303.7437593150413
