Experiment,piControl,historical,historical,historical,ssp126,ssp245,ssp370,ssp585
Member,r1i1p1f2,r1i1p1f2,r2i1p1f2,r3i1p1f2,r1i1p1f2,r1i1p1f2,r1i1p1f2,r1i1p1f2
0,,,,,302.1197328925081,302.16732494506414,302.12721313039555,302.19960164387015
1,301.2777063079889,301.2192713823517,301.27350478515865,301.39626566946004,301.9226207533937,301.97962064854073,301.9267394393585,302.0161721383073
2,301.09165886458624,301.1306208822827,301.3651022317452,301.29615661593135,302.1025088559116,302.14506212309425,302.0966681314476,302.1867150181297
3,301.1827765238911,301.3629440640297,301.640647777479,301.5400508472981,302.4499278374191,302.38136547412404,302.4036203158509,302.44281694339884
4,301.40308177635376,301.64497081681117,301.7501350148763,301.85283526252397,302.63461440759994,302.4898696947523,302.62613550298875,302.5061598636248
5,301.5130848229474,301.7510747928143,301.73017530251786,302.0158076101033,302.46199238774193,302.3404206043142,302.52524959266344,302.2715570568019
6,301.45976349577865,301.7369034178353,301.6047331096301,301.96185425896994,302.0257218332966,301.94175453850954,302.14727294495566,301.9334660792594
7,301.50484646745025,301.78519291675894,301.5237595141943,301.8830454699462,301.6976802369904,301.61924134019296,301.6972060967308,301.77646968875797
8,301.73638884309486,301.9723783689555,301.41909768578154,301.9434948748522,301.5509590715076,301.45425755273817,301.45304815706646,301.82042450023556
9,302.08238049760826,302.274372798707,301.45136040120366,302.0139791389989,301.6295262086981,301.5671451424745,301.4473509735933,301.9077646109259
10,302.0211138127791,302.3072779350637,301.53259667389085,302.07077779296213,301.6550796667683,301.6242648726496,301.5017479386517,302.00960107639503
11,301.5577852073775,301.99842521195427,301.53308738279367,301.962895782511,301.65953335440736,301.64687540683775,301.38756205239343,302.00758060894947
12,300.81781122704217,301.4814800260254,301.4533994131932,301.63859183646395,301.54620285765645,301.6226016662813,301.2480402896215,301.8916787441671
13,300.5799081586786,301.19462885043026,301.2909828137826,301.28419411535634,301.56421560906324,301.7426242683254,301.15781123339,301.83563728991476
14,300.7975148424805,301.27850769066083,301.36099626489187,301.21538841472056,301.68933398884684,302.08093975310794,301.22889480312557,301.9761672229469
15,301.34262330081725,301.6262980789263,301.5364157812567,301.5275072595243,301.9852284416547,302.4423752080451,301.3966251166498,302.25907159359
16,301.63231085723777,301.937663647047,301.75658377353545,301.8476562190677,302.1558423752126,302.6654729696154,301.5105304356641,302.3836599467125
17,301.7778586350195,302.09159763573024,301.8009503483077,301.96848682402964,302.0753073683057,302.5204718384018,301.5043180639001,302.28078268400935
18,301.7030152243959,302.0373689526563,301.7247973197231,301.88933146025835,301.82150677684587,302.218011574699,301.4154338119465,302.09674182509735
19,301.68860440160125,301.9015778699841,301.6399364336981,301.818906194572,301.5758501768694,301.9553461468725,301.3791750231738,301.93798383652233
20,301.7284976517506,301.9944689399595,301.76172919768896,301.8517137273272,301.49514160780495,301.807732988441,301.4912209477215,301.76145331200865
21,301.95662265697223,302.0366559089254,301.9494349372274,301.93387808172093,301.538406093536,301.824658852299,301.7067643029129,301.6164862953021
22,302.1149255436302,301.9101860047201,301.9647471119775,301.90209093995577,301.65175003723846,301.926802788051,301.93125779953994,301.60732959476604
