Experiment,piControl,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,ssp126,ssp126,ssp126,ssp245,ssp245,ssp245,ssp370,ssp370,ssp370,ssp585,ssp585,ssp585
Member,r1i1p1f1,r10i1p1f1,r11i1p1f1,r1i1p1f1,r2i1p1f1,r3i1p1f1,r4i1p1f1,r5i1p1f1,r6i1p1f1,r7i1p1f1,r8i1p1f1,r9i1p1f1,r10i1p1f1,r11i1p1f1,r4i1p1f1,r10i1p1f1,r11i1p1f1,r4i1p1f1,r10i1p1f1,r11i1p1f1,r4i1p1f1,r10i1p1f1,r11i1p1f1,r4i1p1f1
0,,,,,,,,,,,,,302.9267198877698,303.8218892813224,303.7925361800846,302.91146956695314,303.81716423051995,303.77162635678764,302.9474359820105,303.8502828160511,303.7891718503416,302.99326645858827,303.8181594169878,303.7803668032503
1,302.66208264693046,302.50745663275484,302.66939000979465,302.5577205146877,302.82695589292814,302.10667389864466,302.3617580117878,302.57440766829654,302.79615253172796,302.67679527390175,302.93253807371826,302.7105878651698,302.7382717723508,303.55792221893927,303.6116173419036,302.78616551958044,303.610333721642,303.5648327761749,302.79424820284066,303.65113028277545,303.5952776616982,302.8688734981501,303.609931467487,303.59234655034624
2,302.65152445976486,302.45561849748856,302.71534591672156,302.611521109977,302.8315031604764,302.17987546791824,302.30559509374734,302.51031177273666,302.824385954683,302.6673184479042,302.8185212020343,302.6558561944308,302.73764570006,303.4998305307913,303.59662812791095,302.8852481240279,303.6291592913029,303.5589690467821,302.8259536176071,303.68912177753185,303.65175015931874,302.89002576826744,303.56219593663485,303.6158733608304
3,302.81574869089206,302.5651363618412,302.83567945735655,302.7802464710016,302.96739917589645,302.37203127735563,302.3939897087408,302.5750753872216,302.9830213913784,302.87685941659976,302.8513743071776,302.7732670240448,302.9528565642751,303.65968591701136,303.677996178789,303.1644665715781,303.80619397078834,303.6107332926503,303.09224295596454,303.8703233216848,303.77756552158775,303.07029641878825,303.73610467308134,303.7072142651953
4,302.89794337884064,302.6999602999847,302.9131776133793,302.80012073900036,303.1284670524182,302.56881509633337,302.61830257401084,302.6669798114442,303.0115869565364,303.0745116290273,302.9261574858146,302.87819914357243,303.1577776261614,303.71875375969745,303.7447046400759,303.431848302835,303.86583473540304,303.76170478595077,303.3840375307655,303.97093452753876,303.9953874275887,303.2839549442227,303.81540360452544,303.82901946555313
5,302.67891788237745,302.7188357554059,302.944123800784,302.56492151915387,303.2191062536164,302.7323329034968,302.7878189402857,302.6246134303647,302.94497014352714,303.15154863439045,302.93146125922254,302.90000461421624,303.20975130315946,303.53433758071975,303.77252744961413,303.5419097415879,303.7243105420744,303.8553381828483,303.49150508803365,303.89069710801886,304.0638435424532,303.43846684044223,303.7487586155589,303.89149451623445
6,302.2966440757974,302.6346951751282,302.96845789728985,302.2108241157908,303.13199902866336,302.7649460906621,302.8346539872295,302.4661983232713,302.7103681845244,303.0570034262964,302.82073010273376,302.78572401936236,303.1365371955763,303.12119445376567,303.72950830250034,303.57278047088926,303.47172235370437,303.8479375539086,303.47843143103995,303.7421177210749,303.95988911379044,303.4756752189367,303.5678262179611,303.82607321246564
7,301.9907919314199,302.5206801858238,302.99113710053894,302.0555047234441,303.04103883246125,302.8014758886463,302.75782328405535,302.30132063942057,302.62641756554586,302.9372018051281,302.76486076535184,302.7241424667786,303.16711320819064,303.0424785833478,303.69326581473433,303.5448292987906,303.28242976695304,303.7458077089711,303.4180055816942,303.69453182433466,303.88306594393754,303.41971123180247,303.42250951239936,303.69872925895726
8,301.989782583126,302.4600311962433,302.9720948435938,302.19342628712786,302.9636940832252,302.83270686599326,302.7472152250477,302.2820928202461,302.52813499987263,302.8831619964874,302.7721301754571,302.7503308754195,303.33513011005,303.23123560322915,303.70667877742477,303.5077965674673,303.27434542423254,303.69752973099617,303.4285334673569,303.6559511613888,303.85470259173593,303.3600926643994,303.4581892601406,303.62932993176776
