Experiment,piControl,historical,historical,historical,historical,historical,ssp126,ssp245,ssp245,ssp245,ssp245,ssp245,ssp370,ssp370,ssp370,ssp370,ssp370,ssp585
Member,r1i1p1f1,r1i1p1f1,r2i1p1f1,r3i1p1f1,r4i1p1f1,r5i1p1f1,r1i1p1f1,r1i1p1f1,r2i1p1f1,r3i1p1f1,r4i1p1f1,r5i1p1f1,r1i1p1f1,r2i1p1f1,r3i1p1f1,r4i1p1f1,r5i1p1f1,r1i1p1f1
0,,,,,,,302.7402391531867,302.76119960415923,302.63053772514826,302.7472896549527,303.0700162857977,302.5720825243327,302.7165552684748,302.67990243913556,302.8178735170859,303.126511764501,302.5004883096657,302.75871850503376
1,302.02628569992686,302.0376968478549,301.65914472983815,301.98176716783723,302.0854593167584,301.8837071971454,302.62554090990926,302.7359731751516,302.44325260322444,302.5957421478313,302.99909315756395,302.53781132842846,302.5682942216875,302.52031405418387,302.80770387599756,303.05531889077616,302.34859494303925,302.68934677553483
2,301.97401533165254,301.99551094220743,301.4947299439553,301.9285241953017,302.0952398541719,301.89693531630604,302.6374005882473,302.7657941762429,302.38490237486235,302.60764407151606,302.95863157563673,302.7360262743379,302.60793014425707,302.4857426469474,302.9246850262437,303.0599881163039,302.38551447531444,302.677933255668
3,302.0881891256813,302.0076896295038,301.5630713171943,301.9597827758562,302.1743040798611,302.08053614531906,302.73143334909145,302.84686127057125,302.50827250299903,302.8067312808317,303.03598586453677,303.04487779937966,302.658902193601,302.5282685520299,303.11947287825063,303.0422608159816,302.6239678088718,302.68054699182187
4,302.1556683121419,302.0149552531248,301.71760001584755,302.02202044996153,302.2096366942338,302.16079418828593,302.7566575735851,302.8056890434693,302.58284881630607,302.8901969403375,303.0024332265063,303.1555240369951,302.7034596021917,302.60537454988514,303.16847496865813,302.95514196276855,302.7245335963077,302.5864876876371
5,302.14349079235427,301.94705305256224,301.7691606275984,301.92427752689423,301.9635542255944,302.06250708137736,302.59434584610386,302.7103107050377,302.5038993977792,302.82831637082364,302.8768315655978,303.0018939276717,302.60303874359727,302.56267715076234,303.0019741993578,302.7322455066988,302.6976724166938,302.4270627221424
6,301.9446523714293,301.8809763721723,301.71623279593445,301.71094917492155,301.6265713397932,301.8715132002855,302.2824510206916,302.5519949592775,302.33809858094736,302.6019083210624,302.61142419915683,302.72331849551716,302.4839978330399,302.5500019729356,302.74058020809,302.5286475643313,302.574348892827,302.3050616690784
7,301.82919268038296,301.8532938624326,301.76680498025786,301.5527640225061,301.4702596777438,301.7512807304717,302.0004292202696,302.5439141523365,302.26632319886147,302.5567589889504,302.4085070970904,302.61972171565947,302.4346116420285,302.5645037576237,302.59276292348994,302.4239413225833,302.5381300102088,302.3070212387043
8,301.83547780800154,301.8908013339853,301.9141977470426,301.565432438153,301.57099333464157,301.8336777416141,301.9916511503848,302.73201477935754,302.46853099414267,302.59438781102034,302.3255875348265,302.73455907797614,302.53831837264397,302.70242304914655,302.622420427417,302.4590137704187,302.6312825297312,302.4359057715283
9,302.00894989703716,302.039599540597,302.13095102285166,301.74291221466234,301.80546143575754,301.95946254698384,302.15116500519827,302.9630680284855,302.7495359122068,302.77913192570924,302.46596265111424,302.9817013422742,302.7531915883115,302.87445585978566,302.7518688726181,302.6228607567503,302.8549303906979,302.6059271097715
10,302.17539218576087,302.1940398769544,302.2668906437091,301.89063886608227,301.9492522746359,302.12201390539366,302.3712741039432,302.98456184131345,302.95488346357433,302.9222062236777,302.679534787231,303.11210101225316,302.8809588542089,303.13979045878034,302.8623765965497,302.7683973722082,303.15972420084364,302.6617650013745
11,302.23529681403176,302.23976479367815,302.2877135909692,301.84688632883905,301.8614003744264,302.0168792665791,302.3296251244739,302.823841343432,302.76942563970624,302.92045493867454,302.67063026291976,302.99183227583706,302.79193187586833,303.23914208088587,302.7283523402156,302.7265748663254,303.26112179833814,302.51265527890877
12,302.1374356112943,302.16233474186294,302.13482917458003,301.6287510051041,301.6386433748334,301.7590667385537,302.0963910302947,302.670174894361,302.566910940557,302.78372772012875,302.39624202588203,302.78664791930936,302.5784724888361,303.18602225100307,302.3892466024877,302.493770841459,303.18822309417334,302.24155446693925
13,301.97448407685766,302.01663745178683,301.9744088329274,301.53214520047004,301.5825877060584,301.5520475738337,301.9331294142459,302.66376795186835,302.4571668900278,302.6671030525788,302.23822953015485,302.5990888595111,302.4875995781587,303.02739615066787,302.22966594902385,302.26940399163374,303.0253752871345,302.11557333531044
14,301.90655355446273,301.94180389441664,301.9483465473198,301.63548610046104,301.78365976014584,301.70609635142205,301.999263827918,302.8397423051443,302.6983558073886,302.6614147790011,302.3879059354436,302.6333599359969,302.6068470755966,303.01256643200855,302.4046620853033,302.40191996123866,303.10459974504965,302.22914310679903
15,301.9811741665972,301.9390456769641,302.1241977189787,301.94115387077,302.07229570138844,301.9988460193804,302.3039321796053,303.00872546529564,302.8734538065881,302.7839972321793,302.734656418576,302.816011468824,302.77819930795164,303.1182828954081,302.78481479493365,302.6789343569164,303.1857073002664,302.44294190196274
16,302.0479570746707,301.9280227271383,302.18027785948624,302.0439383341806,302.1449088465054,302.14070629994006,302.5231254068683,303.0741387051298,303.00452710449196,302.81833645507635,302.87023631289736,302.91258541808594,302.83269070130615,303.11562782927746,302.9334012295169,302.9964438656346,303.19529128280436,302.5234915585548
17,301.9937894234918,301.9306842970995,302.04262768815414,301.88321015208476,302.0159686035025,302.00797752834336,302.57836377601654,302.9390828064409,302.80637249243836,302.7033232191556,302.76786443861806,302.79091304801835,302.74905097230885,302.93857940815093,302.81209390373925,302.9691966898359,302.98583475382685,302.4309275325529
18,301.8184296915819,301.87348529998127,301.75073519878265,301.6670404559266,301.78521176484156,301.8858565092435,302.4702891625385,302.7012438249856,302.5530707114745,302.55368854532395,302.5661095191865,302.52903685331466,302.68576282940506,302.6742090523401,302.61825234570966,302.82072992089076,302.7771993265563,302.3176760870262
19,301.7508499828741,301.8748923041168,301.57686520145114,301.61857201294976,301.7166438475797,301.78783603316066,302.38714991268597,302.61019936188876,302.3304614756721,302.4687390539522,302.49295487886565,302.42368669852914,302.6564164229622,302.5153610453145,302.4837656117615,302.68311494138965,302.66443087767396,302.29673292004526
20,301.8098732474554,302.00094475119676,301.60870122086953,301.80080665374186,301.8581347800006,301.7944384113468,302.45891172318596,302.71283272002944,302.33483737950445,302.60011460701725,302.62134578526707,302.5932790095215,302.74161895874016,302.54554852842904,302.5282549079855,302.6919792731905,302.6111990653689,302.46026798382246
21,302.0101693638726,302.1459498331513,301.79272531985004,302.04880969378746,302.1638465260764,301.8580788301725,302.6634807518503,302.8985983818588,302.5196204581495,302.75639261673376,302.8463403698404,302.87376146668845,302.8562147516191,302.7044473475797,302.69229244425867,302.80386454268506,302.6467267561372,302.6583034861899
