Experiment,piControl,historical,historical,ssp245,ssp370,ssp585
Member,r1i1p1f1,r1i1p1f1,r1i1p1f2,r1i1p1f2,r1i1p1f2,r1i1p1f2
0,,,,301.3110586657733,301.3040536327801,301.35074350512974
1,299.75803428508925,299.9929579372471,300.0041888431049,301.73886365953507,301.68021663272606,301.9996140519478
2,300.4474141286501,300.6535701425026,300.84145640344667,302.27707880982507,302.1139143798571,302.6959738918882
3,300.8324446404611,300.841841921481,301.35669476127697,302.66518118897403,302.5172727092376,303.23084737924506
4,300.88700958165595,300.54694550540506,301.32229835916917,302.7593778481772,302.56765064320297,303.3664383448368
5,300.1941019248347,299.7309376346903,300.51551987632115,302.16802306319295,301.87418153354815,303.0416456699938
6,299.1178238173598,298.78646557202336,299.61007521825627,301.38567530762845,300.8856756608478,302.2913388551767
7,298.2779775695204,298.3391876187282,298.98872758436386,300.81115752801634,300.24333124053555,301.79269931748763
8,298.1598820059739,298.47983754110027,299.00600184870626,300.58040962690626,300.18917822783277,301.45918994173877
9,298.3648424483351,298.77535097355076,299.07338272234114,300.5457900791282,300.068267768834,301.50102001890326
10,298.46310970286066,298.7516750894521,299.01559555421335,300.36824584006007,299.8498177011661,301.3202313975957
11,298.5246870243695,298.7628975516451,299.1026674340907,300.4390221995881,299.81933866539174,301.2415272202046
12,298.86597139887647,299.1514796428639,299.38461069899114,300.65670761748106,300.28690332084244,301.3702416788444
13,299.4794457630622,299.92903173335327,299.858716517558,301.2073785354372,300.8831560336858,301.9087217705301
14,300.0699723606514,300.6198340486092,300.3722213796031,301.98356046186694,301.442618213528,302.4432669017224
15,300.57637605574104,301.0492489769901,300.8062878268386,302.42365801568735,301.7713464530373,302.6293503015593
16,300.78401108916484,300.9800697545146,300.8176923402464,302.46961915618976,301.8370534020218,302.3847905066586
17,300.25605136485206,300.4063392836426,300.19070459394237,301.61153631475287,301.19533548598577,301.5996888378765
18,299.22820149089404,299.59130008679443,299.23116343859044,300.43404744398555,300.24950674017754,300.4603276969195
19,298.29419266643237,299.13582287249,298.5654139671122,299.5360244999046,299.57238577116146,299.4705018656019
20,298.0610362101822,299.2686099623135,298.51774414788025,299.4378491667028,299.5253069248552,299.0769436102647
21,298.2650602811253,299.49819809443466,298.7460889250401,299.5794774983687,299.7136387939229,299.0573877317477
22,298.5790580454575,299.3939233001233,298.9308212735107,299.7150833254772,299.73626664217755,299.1051161512169
23,298.9108561416902,299.23637660035075,299.0266874127187,299.85986005735776,299.63766800928624,299.3679867610679
24,299.43809086207483,299.4153287717946,299.30333283271625,300.3600065497314,299.86442739899456,300.0628379525028
