Experiment,piControl,historical,historical,historical,ssp126,ssp245,ssp370,ssp370,ssp370,ssp585
Member,r1i1p1f1,r1i1p1f1,r2i1p1f1,r3i1p1f1,r1i1p1f1,r1i1p1f1,r1i1p1f1,r2i1p1f1,r3i1p1f1,r1i1p1f1
0,,,,,299.686995702157,299.70429604330167,299.6660832011917,298.1748164762167,298.0222768302057,299.79963589433254
1,299.6480869882826,299.39236110450685,300.19508179347326,297.3903532420291,300.39917742457806,300.5367785019632,300.365676483576,298.9394442125102,299.1515039041911,300.7098393543437
2,300.4010477705215,299.6373628819795,300.4246128983278,298.2963411729065,300.9721974347056,301.2704448807469,300.8989431733898,299.75603651585385,300.22982627166493,301.45815528580806
3,300.8042989073204,299.50718487260315,300.44473277501993,298.71317921612825,301.2684332160543,301.64319185111003,301.1623465315386,300.25024351381836,300.6414301210914,301.8922038585936
4,300.832533726947,299.16841029339633,300.1445735051013,298.77053037915897,301.2557585589861,301.60585178152155,301.0858566195365,300.319737134928,300.5845198088928,301.9526046978493
5,300.566590494167,298.58134616903345,299.43421830173605,298.32119795564364,300.9702490611742,301.26126705757747,300.74092211732136,299.99493861388936,300.2589723522726,301.71757298138886
6,300.3117408585655,297.91561756682387,298.44649848708565,297.61647124095873,300.4301914656171,300.681008938749,300.3331680864062,299.5766847373089,299.80965337215946,301.175979204179
7,300.1179097305689,297.1930279823299,297.37006950485556,296.9451758050013,299.84219740525185,300.2079957670192,300.10684359104675,299.2071738957767,299.22036036554306,300.6472307486335
8,300.0905170149767,296.54959538759334,296.5986300784709,296.45507438344015,299.4501753743065,299.9667925530138,300.2492098077226,299.19447534678915,298.77543660294515,300.2877397007083
9,300.2784175382989,296.2153505554845,296.22797097053825,296.4380180525931,299.4848709869455,300.195179873017,300.584334456684,299.4624953782336,298.7924154822547,300.2465816065382
10,300.737638528016,296.23733849518186,296.3279454643779,296.68300284292246,299.8657227849205,300.5377736834287,301.00460122389444,300.0682475323593,299.2261566505658,300.37563301440287
11,301.26989586273913,296.607264279586,296.68802960128596,297.19387248250445,300.4198958601207,300.9325982538562,301.47383861006324,300.66080485500635,299.7710571351836,300.5832825407292
12,301.7514893870015,297.1649318612381,297.31356952095945,297.74709717457097,300.9970298638609,301.1904692559802,301.9862935145681,301.16947554180405,300.30056304644654,300.9283882541355
13,302.12262282179574,297.73153378226334,298.1986501048628,298.42903017260136,301.65155767893685,301.53402456558433,302.6241654811543,301.5928520876375,300.89936567947314,301.29667587863645
14,302.2968250744255,298.30744768107905,299.08167015066914,299.1073519355578,302.1427656545197,301.7149688752828,303.12500544111174,301.9277587540715,301.4752738823273,301.8795994039295
15,301.9230271970858,298.4867282412845,299.5497969704489,299.49093298203314,302.153544536515,301.5487628437781,303.09182742242666,302.02935350487587,301.8766445466106,302.155100218577
16,301.0051873234281,298.4667874486815,299.55296429540243,299.65006821337164,301.62890814185886,301.09164982560026,302.3696332563486,301.61300059330046,301.9837540953916,302.29123943524456
17,299.71402425539935,297.95718752926155,299.1662383248567,299.3781381637152,300.74576718502516,300.44920424148717,301.1907986759807,300.6466947753812,301.74536246278655,301.81711472659345
18,298.3567160417467,297.2236230363813,298.566299606493,298.9787229728433,299.6213408983587,299.7329033905275,299.98448660717855,299.40488164796216,301.1916529980895,301.0027546094718
19,297.2738302076386,296.56006829162226,297.8657718342735,298.6467944093756,298.56275027496844,298.91421682192015,299.0487291111683,298.4597579550448,300.5173719152572,300.15302031332385
20,296.5480753857599,296.10428885211667,297.283066027276,298.54065444604186,297.76304605000314,298.3147464792227,298.5341082997722,297.84244262332794,300.0862776474557,299.75903541957524
21,296.3986791507287,295.9894997707598,297.0896322734805,298.6575638074751,297.6105551452675,298.28633894224555,298.5503430252517,297.68906411457993,300.00218106904106,299.96066151445956
22,296.5243312130881,296.04688923797556,297.3619886906943,298.94491893195385,297.9640334271451,298.68740154264435,298.86109907983115,297.8971056699281,300.3401600409467,300.5191323252072
23,296.8668533987453,296.3504593357274,297.9324717619102,299.3709336794141,298.53566990013275,299.32371800206073,299.24637367154077,298.4959576584758,300.7528614438938,301.11076486677
24,297.51367415256726,296.9450272771317,298.5965496259618,299.88499151070715,299.2013446644758,299.9170148522348,299.5837888873389,299.2465033946626,301.2218901871351,301.4990405222473
25,298.4840630415469,297.9379546996932,299.36977172393904,300.300530842879,299.9062991178374,300.4995088969941,300.13605890068646,300.10602788916026,301.61256879202887,301.7976856307559
26,299.5277139934162,298.8016505294745,300.02203276982465,300.6175369866192,300.51333945238844,300.8856585207583,300.615934821318,300.7844941381227,302.02396547156974,301.7971427004477
27,299.98584323606485,299.27961517508334,300.2870795827118,300.6041105683568,300.81165896615903,301.0311232475198,300.7657929406773,301.0188867459621,302.188230449051,301.43407896614934
28,299.9453765269722,299.288673264885,300.19148320219733,300.3094681575767,300.7879228030226,301.11777009518295,300.5768937327858,300.803743260262,302.06986996057515,300.5635922963917
29,299.4406007567409,299.01167705721303,299.79843390631044,299.68038444242757,300.4951090568648,301.12605380756037,299.9931885152693,300.1698967605402,301.7317453366996,299.4230761738563
30,298.6744656018839,298.4741669458204,299.30963220881284,298.9358873052914,300.0337212342156,300.94487553433885,299.22376267654926,299.3420577173568,301.3147389436767,298.14007575735417
31,297.98145720108295,297.82576529211764,298.92561402910263,298.17426970994063,299.7046047630999,300.6672740558851,298.48006122744835,298.4541286973664,301.0261904034473,297.1418663879908
32,297.42537672491784,297.34018046559,298.80995904388317,297.57381804156495,299.65752781301745,300.40882816369634,298.1004962104304,297.79133640540823,300.85717648214865,296.50485998042365
33,297.25463537670066,297.2717919939416,299.06593946222375,297.3281398096622,299.9096817635869,300.4663869064875,298.1151528813273,297.5157921079536,301.074613554709,296.4612697122789
34,297.41193908535763,297.5266923510802,299.56502374637284,297.4959070886116,300.4051458697811,300.7829758664664,298.4532605298359,297.7341691800379,301.60731124055,296.7201509540307
35,297.75822638685645,298.056511414816,300.1327046478995,297.85695494095086,300.9382692922057,301.2594101741456,298.9124506017868,298.20569138918336,302.23094002589977,297.21309123940347
36,298.3151561676064,298.63940761522343,300.62881010309997,298.2588152789472,301.46481454464714,301.73701696369346,299.583429707514,298.7815794424054,302.5925220584861,297.9546359904976
37,298.9240236358944,299.37663069045226,301.1164848945431,298.7523585732095,302.1257720864046,302.0987583406893,300.3682893731498,299.3997211639339,302.73569830792786,299.08470615825274
38,299.4893410236932,299.9360089773584,301.48705274906644,299.2223428639699,302.78323078366094,302.32154438451,301.1165010867876,300.00460790868425,302.7681623932974,300.0962038097661
39,299.61445013619505,300.227372751487,301.61570210052145,299.22476811827454,303.2921458539852,302.28147272525064,301.4508171586537,300.1717524682013,302.3719369024922,300.59947942711125
40,299.3799213458106,300.2371573585887,301.4212994925256,298.8773503570394,303.39760584792015,302.00390962180273,301.4779722105074,300.06122741809367,301.47969984562314,300.55372471272733
41,298.8566676407468,299.87645772249084,300.7741476008027,298.1463572977838,303.1626126010545,301.2708542944716,301.1511818052094,299.5353694962321,300.18668674512656,300.3097588837982
42,298.1771342382642,299.27219763254715,299.8190991906216,297.2664465475084,302.5258259637399,300.11216701641825,300.6217743538742,298.8244370658663,299.15125236974797,300.0316535872562
43,297.5450031881058,298.545607958612,298.89324727792774,296.503046689473,301.8823403160053,298.8580315697798,300.0930505410259,297.98581399985204,298.5117711834414,299.85275912926613
44,296.9167713897131,298.094000210051,298.30341765887624,296.0457572249527,301.37150908272287,297.9137426679158,299.75389776408326,297.1407631672153,298.2089076564005,299.7986149655195
45,296.5378003876976,297.93685433062257,298.20766133869455,296.1400172446053,301.2685935026618,297.4333484631616,299.817982122739,296.7559224371604,298.2749638310832,300.02395346729617
46,296.5038199497058,298.14716736212716,298.3898270252061,296.51597710281743,301.53553228126117,297.4387163306749,300.1737492892309,296.78026567380425,298.6213550555795,300.50944279210717
47,296.8267826514929,298.5071893719872,298.63088985549876,297.0496767263289,301.8170095244174,297.72814680624174,300.6710418680645,297.1717408049328,299.0638146284252,301.12961005175276
48,297.38802136100196,298.9435495032643,298.96880744451363,297.6827402103738,301.8792561404835,298.12463535357074,300.9926166517655,297.692617503735,299.45537550185605,301.59283022277504
49,298.02399809773016,299.3468506067101,299.36242152384034,298.44591812840844,301.60653191205824,298.7148599666419,301.1883935762124,298.40906781967834,299.89861067312404,302.1550535994493
50,298.6057487678608,299.58438795766034,299.671193208799,299.0881049972489,301.35672738260706,299.3230758398917,301.0297604403572,299.07845579312874,300.40245437370635,302.6256522474982
51,298.9216617923983,299.4454374390738,299.60615101793684,299.44989162954,301.0825352336581,299.40619048241484,300.57375288445274,299.5291129832446,300.5598781461063,302.7142350199809
52,299.0754791432103,299.04728670423793,299.3454401482057,299.4858872439873,300.5361712483763,299.1202441738174,299.799373567107,299.6023637320263,300.3682887292684,302.1817331398477
53,298.91701144756377,298.47149469164583,298.74937441115253,299.3256037209885,299.6814236866647,298.52179285602864,298.81215571781627,299.37800352892924,299.88054694645615,301.1088562892969
54,298.5465910627959,297.79477381588094,297.786079000201,299.01903065909966,298.64417639916087,298.0032021224459,297.5904435706574,298.93662002345656,299.20012434168206,300.0037913553471
55,298.21690031838244,297.03370791408884,296.68341503969214,298.71631148771405,297.9046305903878,297.4296053793865,296.6591023099151,298.57036143474517,298.51296907843175,299.1412274419685
56,298.0953361719887,296.42264267465845,295.6652006615644,298.37668032994105,297.4988015151953,296.73560957639853,296.11107367113397,298.38651940849746,297.9591770391086,298.6879308472854
57,298.26030202854207,296.2420298190085,295.2903691695435,298.3359421366442,297.69529413470735,296.31789318091126,296.14109183055774,298.51073012849685,297.95731787133553,298.58833198915386
58,298.555486733596,296.55456479984554,295.38358145609556,298.53170108872604,298.20707900267575,296.1847813206983,296.47082783690973,298.8332095912264,298.39113054846473,298.8903414525045
59,298.83681541938967,297.0989772070589,296.00533235910444,299.04246016658334,298.86702982615157,296.45213003293077,297.0195923152844,299.2478549306963,298.9746555794709,299.2831347393174
60,299.25402503442615,297.87549330061995,296.7855234966696,299.4607662767207,299.3141853868895,297.1334055187528,297.9206054291247,299.75903478452705,299.47112451144335,299.9982741701501
61,299.66494837279697,298.8940537177999,297.69298281532383,299.9430808428598,299.89047704641115,298.06707995394,298.96083788051504,300.428911245944,300.09950594214325,300.8734623085095
62,299.96066747344975,299.79450166197483,298.3674106828442,300.2745793545119,300.29107645059725,299.09549482351827,299.92560114059717,301.0529759548968,300.5268425506558,301.6750475268423
63,299.7630319335008,300.2965142617976,298.61990453337665,300.3767685813791,300.5280063785822,299.72463572902757,300.34298648833675,301.2640423101927,300.7770639405971,301.92965783401496
64,299.3459547904331,300.35077418794987,298.5943918771013,300.11261367768594,300.3793483621077,299.918290945031,300.3025996200838,301.1221000281715,300.8891638616876,301.8351615631585
65,298.56265635254454,300.0642456724488,298.41275121458466,299.6124372091124,299.9755817704459,299.7127802694255,299.9810253649387,300.68828888443915,300.8689089933984,301.46662287825103
66,297.55914373270247,299.59150814136046,298.0258970115654,299.0114503165626,299.30006576114755,299.2550986473282,299.52013349129527,300.00466842185375,300.6407673295811,300.97260980064317
67,296.56125635085306,299.2198003023863,297.5456462781331,298.5019401945627,298.6580236194562,298.92482155434254,299.15149574529846,299.1699029580534,300.2367437126807,300.4688832109242
68,295.9520295701057,299.1900324659745,297.1884712975935,298.1736193440049,298.2121640193916,298.6178271551069,298.79645649461554,298.54262867343004,300.0619611061887,300.3209069222889
69,295.7205554235106,299.5092055303741,297.12777444416747,298.247254143719,298.3313438399911,298.6353080932557,298.6194695338623,298.39090145065893,300.21990706542744,300.6528181023164
70,295.69821888189534,299.93391230165776,297.39428097098636,298.63860966855606,298.7559091863431,298.8886381659766,298.7569002106904,298.64131321641304,300.6953107636825,301.301306690568
71,295.7758638411674,300.34862470166615,297.7783398662392,299.1616003530517,299.3109240227215,299.3808874179842,299.1597498086267,299.0320902658503,301.29182054462706,302.07540359745514
72,296.27641684490186,300.62349342062856,298.3176184134525,299.584238113474,299.79657346678624,300.13266450377586,299.7407553341891,299.64036185184494,301.8464797168493,302.64245556421673
73,297.10785532688527,300.97036068146343,299.01214889923045,299.7917114462396,300.4402900313628,301.04191151181504,300.2843881555509,300.47003857851456,302.2365186531281,303.11972538093977
74,297.83872908346916,301.0521233841539,299.63414071042325,299.89139932409984,301.22098167487206,301.87972588630987,300.6449497613906,301.1512012681654,302.50511624373377,303.432791132844
75,298.0311729914101,300.88778421168655,299.77428011039683,299.64368194947184,301.814512282713,302.18230997696185,300.70451952376294,301.25413224268846,302.50345978900117,303.6244829022894
76,297.8754576648981,300.2155731259519,299.36329905705037,299.2539564375624,302.1701868857076,302.11284478484316,300.587553672397,300.9191534395265,302.0923528274605,303.2815786582121
77,297.52438334954036,299.40581366939756,298.655655666942,298.64212116807096,302.1110574419545,301.7113035455384,300.39893677076003,300.46325704121244,301.2860496548494,302.36530815561133
78,297.1136422533038,298.47403044317326,297.8120531451246,297.8048584213618,301.90363541843215,301.1701902210414,300.030826172253,299.7758445419852,300.3273026522464,301.0970689414715
79,296.7164996407087,297.8029300841383,297.1408497762828,296.8333718885969,301.7186924525768,300.71681134868345,299.59193480631683,299.07843933359385,299.74832552714446,300.17626127570014
80,296.5631805514085,297.46934249915427,296.6055701357745,295.8973347664445,301.7664992539014,300.5396642654495,299.3131974452285,298.46351735713193,299.3891622466492,299.78402238809434
81,296.5823248946496,297.6734415000686,296.4840592772593,295.529919589148,302.0795814062731,300.72261913179545,299.5020354821973,298.3512946197638,299.50456405729136,299.8987505817766
82,296.7515878902637,298.2522671061424,296.7071526997701,295.8045182834424,302.5507232085021,301.0997799328039,300.0337570113949,298.6887452569767,299.8362620685889,300.2317477478787
83,297.0114492297013,298.95805511653174,297.16735827086586,296.4022341238139,303.0368037049989,301.5262687532545,300.5484969022524,299.21385691153836,300.3894441219736,300.663772705544
84,297.48825049213525,299.5727784628759,297.85255302445125,297.1356084696929,303.3684503199858,301.8390624013856,301.0265821978485,299.88745568757963,300.4802205224587,300.9426974661688
85,298.21354240405844,300.20862066954516,298.7419659425191,297.974222138077,303.56554894758654,302.1674066296985,301.45087004216396,300.5485183051787,300.1971156403063,301.2385744361777
86,298.9372975934458,300.62966698226234,299.46971190176504,298.78997379988897,303.6908355620081,302.34238607386084,301.86464224977396,301.12475024127707,299.96127088838307,301.5441007328245
87,299.38420206155655,300.6244315416832,299.73558761157443,299.2088324451319,303.56638862881573,302.1649637251217,301.77859109317643,301.42247803740315,300.078127294622,301.79805234992847
88,299.52451445637234,300.1970949225111,299.49432726396054,299.2528534133707,302.89318786356756,301.41793802489644,301.2526595494192,301.5194409111361,300.2068517455232,301.6233364108198
89,299.40774235363637,299.3844074134616,298.97348120866536,298.99757299312273,301.56550730083865,300.06120215590164,300.44576336995755,301.4320271360616,299.9327760187566,300.68626433606283
90,299.1311960972894,298.3760282724029,298.17985851037696,298.5042927293119,300.0243679970096,298.5764648788704,299.62588599578294,301.15796845954895,299.34138029472797,299.2958058812466
91,298.81952141175407,297.4796732466857,297.4100949445026,297.9890532809572,298.81664373438065,297.4650189616759,298.9980968705633,300.7359814257583,298.74682844717717,298.2486027777433
92,298.7237145296328,296.8234491665822,296.712499362521,297.60865645368284,298.16522420136437,296.90886599861113,298.56040491801656,300.36527898129003,298.3066046341743,297.7554927901004
93,298.86165602156194,296.619011101273,296.44325503175793,297.64821221534334,298.09084618013185,296.8725182717588,298.59134019128845,300.3148779781565,298.3190998466923,297.9097740248631
94,299.19636641652363,296.639635624609,296.5313562163586,297.97284294744605,298.3974920568784,297.1852436781891,299.01231990168077,300.67885635662446,298.7539250533566,298.33239724166555
95,299.5327345002631,296.9288972384084,296.99009144208657,298.36515169102944,298.84180264187876,297.82666139537616,299.62256966575956,301.2559031661031,299.4370690616634,298.95163296984964
96,299.8798253062353,297.40700434168184,297.7337678695667,298.79536777723735,299.2262846193646,298.5679286876978,300.1435845428828,301.82063279279214,300.09112426734515,299.50327548997615
97,300.3863106669249,298.02656701928635,298.72722065208296,299.28572080917246,299.68033001627424,299.53162349691576,300.5530238542786,302.37772901109247,300.8628286977846,300.0569644616192
98,300.84689752273977,298.58992384225047,299.6702093948997,299.80444111279695,300.02950629204133,300.20207560015837,300.972981312196,302.72934965597557,301.4481190230278,300.54511994513615
99,301.0050172842398,298.68910837070644,299.9987200951163,299.9338548380601,300.15763515970474,300.437636178699,301.3118405609689,302.6096810181953,301.70413107183754,300.71763150879366
100,300.8132969669355,298.64138447319243,299.9244577493214,299.69426003319927,299.9278526500321,300.26312551137596,301.6750140163818,302.1868088995078,301.4548494217726,300.5830660422963
101,300.1663418292473,298.30543120591756,299.5023121833555,299.15241095381043,299.49086386187804,299.9351346087407,301.67825855245826,301.36011935939166,300.8681401140563,300.1452405460079
102,299.2793213645272,297.781437905752,298.98500276847733,298.4843382394835,298.82707615296374,299.5141434120723,301.38401148827137,300.4937502850807,299.9550596447639,299.5480146918323
103,298.28162977720007,297.15843116879205,298.47177469038456,297.9568399445586,298.2354378935036,299.0710629336028,300.98375786326415,299.5702751007855,299.0217389021237,298.89271829969636
104,297.5056374348755,296.764108880769,298.1239076350909,297.51942870394913,297.8356542237969,298.61501734329187,300.8860678470525,298.9876559149489,298.42072829685253,298.36065672449155
105,297.2007622602636,296.8255085038403,298.1512891295367,297.4359719323766,297.87898688990043,298.35685125061815,301.168692713597,298.8878536523467,298.26804449158993,298.41651900274985
106,297.33616336344863,297.1604131161411,298.4469570581967,297.7370047109571,298.28224017996325,298.35942724134264,301.7112127259315,299.16033556717133,298.58950677250044,298.93720845128837
107,297.79526855066916,297.62524310240974,298.80428111415705,298.36467747124067,298.83858233452776,298.6712165580855,302.2937281189891,299.5689666465951,299.08357391981184,299.6217986076751
108,298.4862362055642,298.16587537407264,299.27088101567784,298.96973914637096,299.5396056072518,299.24135668670345,302.79651892855077,299.8491000988681,299.71565543632477,300.14386107990913
109,299.45779796107314,298.90121469234094,299.8328941964708,299.4079324891556,300.2592455407341,300.0497016314818,303.19950936920054,300.2248373773866,300.43276855366156,300.60893314744715
110,300.3492702690242,299.6856101503822,300.3971579547458,299.5838665700342,301.0509731894562,300.9013750384092,303.4658742548616,300.4268403349767,301.0937920616977,301.0247792091093
111,300.7791752326752,300.1632082680248,300.4504638015065,299.50498415927376,301.5634034335072,301.3485938160748,303.3450961108563,300.3392249769891,301.5124527405592,301.3286573584967
112,300.7006835688339,300.187716469976,300.08523352226183,299.0036808451361,301.85082560881625,301.3798367729139,302.7718654703453,299.9986726161965,301.7491640769401,301.41914293169856
113,300.1061133399395,299.7107190621525,299.33271817701694,298.00721962923325,301.8010291600123,300.9523318598246,301.64501766811173,299.6072789864547,301.7228890092883,301.1966561817334
114,299.3294840699129,299.0040005017714,298.5882190321451,296.62287985817926,301.5816918214103,300.36420971726346,300.4270159706867,298.9707374794859,301.3678415074634,300.7914982643212
115,298.62962080696155,298.36123604093376,297.95823989214665,295.4308042174527,301.4179186211322,299.8221645198074,299.3635910616958,298.3264504134986,300.9065846070593,300.2704134152507
116,298.2712704683593,297.80776471431494,297.5590995133711,294.6250569959083,301.3399219762535,299.62159049006596,298.72657438965257,297.79889924657454,300.53222070855617,300.1200962651524
117,298.2988610109205,297.47833068476643,297.442779831438,294.47957804114924,301.5025486924906,299.8912301142989,298.63337626269504,297.63064192695583,300.61982154381684,300.4157121490616
