Experiment,piControl,historical,historical,historical,ssp126,ssp245,ssp370,ssp585
Member,r1i1p1f1,r1i1p1f1,r2i1p1f1,r3i1p1f1,r1i1p1f1,r1i1p1f1,r1i1p1f1,r1i1p1f1
0,,,,,300.42337742853755,300.4343726507484,300.13853388041997,300.0530899839858
1,298.09830134855366,299.67679853961204,296.99258373669494,299.1811459082514,300.7060721883791,300.64066431487043,300.17948041675055,299.9654479134967
2,298.75025266652136,299.5910035225828,296.66950938987424,299.40854870282305,300.742677694685,300.6534614829573,300.130535363697,299.8766008830989
3,299.38826348096376,299.28399789853324,297.0993668203968,299.78000875765514,300.53614073964036,300.56686778952,300.361131879041,300.12424339145997
4,299.70909268330735,298.5848187933754,297.55441975181697,299.9754505922944,299.87508514404334,300.1185520180181,300.335241413373,300.01502816125645
5,299.5690220599161,297.4419984034998,297.31540672040694,299.6551535195435,298.9392682541665,299.22581083556463,300.0712081805096,299.4424580555869
6,299.1262959092683,296.4312085693225,296.6064061044945,298.9592979650226,297.95327615530385,298.2175594821495,299.68357474021434,298.7236848357729
7,298.9099068800696,295.992891412377,295.95218331111647,298.4928105722931,297.32844117609153,297.61640003188336,299.4319203303061,298.5208769471683
8,298.96526262215167,296.02104369828567,295.71976547106306,298.5455847390751,297.16155491214795,297.3819893881086,299.3762725753283,298.8431898853667
9,299.2075197907728,296.3381232873535,295.97120230205445,298.8420737363369,297.37257750638946,297.56879433870114,299.4425613606434,299.4265782280117
10,299.4833016958071,296.9362468472869,296.3908579689127,299.12806310855234,297.8957491212579,297.9783902384382,299.5669296950095,299.99161507659517
11,299.70446871145515,297.64972165920125,296.9958617139708,299.37605142998376,298.29316232087064,298.5061932900838,299.5236863110095,300.29075638365504
12,299.6555808216799,298.10664285556066,297.6489778801748,299.53021777457326,298.610068193235,298.76180390171595,299.02159385660434,300.2749784205978
13,299.1680948106278,298.311788414212,298.32626604225453,299.25515856829406,298.8935888299252,299.100898492879,298.4377648329061,300.0359373602779
14,298.43786667679643,298.45911959121116,298.990468797299,298.8852621491644,299.48778317703153,299.6907009534195,298.4327309629368,300.1213572337142
15,297.8857126476415,298.9998492628699,299.3525069468158,298.44459285247376,300.1582467303681,300.49678174063285,299.05252414344494,300.48712230172714
16,297.59434948176363,299.4406241419445,299.36147633871116,298.0765451124276,300.65066793253754,300.96199854264205,299.7471854558082,300.8058505090216
17,297.2704522048357,299.4180701146322,298.75293241311255,297.4068841899303,300.6546823929134,300.8991395814565,299.7617234200486,300.5975266689882
18,296.92084684399794,299.09002672910407,297.909856868795,296.8178380966925,300.4362129149468,300.4721767165506,299.35971321877486,300.13374859407895
19,296.7469243189708,298.837048848746,297.3686976793751,296.5661069374251,300.4225440285865,300.0918660710537,298.82963671728686,299.81034123342926
20,297.0461056378296,298.7687672892182,297.2727810156816,296.74998323690335,300.70806953261143,300.00130137398156,298.5449454374562,299.75963388081703
21,297.5597048251805,298.78353241200284,297.4664629957629,297.070956492413,301.26410033648034,300.16990243251115,298.58384390689207,299.93016517248276
22,298.06369330676694,298.9355468479239,297.7006931994158,297.37224163678525,301.7205123834569,300.5414306983356,298.92182440254,300.1743630460557
23,298.49450977825927,299.30952412162065,298.04737796338316,297.5418664528014,301.89352303224985,300.83991698549215,299.48159202922443,300.3937699761116
24,298.74929367129744,299.51622249011666,298.41391930665816,297.62419052891505,301.63740425658506,300.90688247891785,299.94481938736635,300.1794129772771
25,298.9736957491933,299.5823954480068,298.94382892553625,297.7656600146622,301.0910174618817,300.59807579645235,300.14033523985216,299.64407727839756
26,299.3010233008561,299.56304403572295,299.32761708658495,298.3208449270275,300.45737699522306,300.25998962761173,300.34908319492143,299.2047803193646
27,299.6815958299656,299.72578655331944,299.6931689327954,299.05961952536444,300.15342435750193,300.0999070124153,300.4446166341051,299.31851902722815
28,299.72831273238324,299.71203816491317,299.76076934401993,299.66360312203295,299.6357323700376,299.5389936193249,300.2980880444236,299.2752098275968
29,299.2293556102475,299.27077832131437,299.6137155394303,299.6874767940595,299.1486965490905,298.6199091569254,299.6450057827628,298.76986669649074
30,298.46495936461173,298.5206768314885,299.2792809775937,299.47072132016393,298.48201304727263,297.74317995084044,298.9794505618242,298.11382306477327
31,298.0441327536664,297.8861464525683,299.1227378040752,299.38307653396663,298.1326853672588,297.61112745678616,298.7600910536991,297.87895640304436
32,297.9600202038527,297.5151782430499,299.33560010895417,299.46801288368215,297.98371567360385,297.9209285131399,298.7747093142254,298.1275387487934
33,298.1535243895948,297.369716907649,299.6867334111639,299.61086117497655,297.96747735340546,298.29777493881795,298.9780889420492,298.43700836914877
