Experiment,piControl,historical,historical,historical,historical,historical,historical,historical,historical,historical,ssp126,ssp126,ssp126,ssp126,ssp126,ssp245,ssp245,ssp245,ssp245,ssp245,ssp370,ssp370,ssp370,ssp370,ssp370,ssp585,ssp585,ssp585,ssp585,ssp585
Member,r1i1p1f2,r1i1p1f2,r2i1p1f2,r3i1p1f2,r4i1p1f2,r5i1p1f3,r6i1p1f3,r7i1p1f3,r8i1p1f2,r9i1p1f2,r1i1p1f2,r2i1p1f2,r3i1p1f2,r4i1p1f2,r8i1p1f2,r1i1p1f2,r2i1p1f2,r3i1p1f2,r4i1p1f2,r8i1p1f2,r1i1p1f2,r2i1p1f2,r3i1p1f2,r4i1p1f2,r8i1p1f2,r1i1p1f2,r2i1p1f2,r3i1p1f2,r4i1p1f2,r8i1p1f2
0,,,,,,,,,,,298.9835233773015,299.3010141263839,298.5678912390904,300.07688367224586,298.3050698436566,298.88551955158624,299.4423530145432,298.33724174250796,300.07801237973894,298.29054531660904,298.8069522694121,299.4032588720025,298.4273390474392,299.9816903412017,298.26584997039976,298.94816979670856,299.37446585163497,298.5998588030381,300.1328143421281,298.540064004664
1,300.8078859077124,298.74595627319565,298.62495473871286,297.3447224304828,300.76330364304357,297.9030164667964,300.41364956469147,299.1366646465062,298.74701959757635,298.05301109154857,299.2606054096137,299.4101237182982,299.2967451944309,300.5356177037858,298.8512744858003,299.3057976776659,299.7768462235613,298.9114013393828,300.64112537117285,298.9348287380199,298.9952451026134,299.58264305204415,299.19629187797227,300.43327395746354,298.9286083265392,299.5460028420727,299.5321759893573,299.40286797574436,300.84687271351527,299.3100641745645
2,300.86214636946005,299.4402571313286,298.94497428830533,297.997346196711,301.0868826429982,298.8758373854872,300.6043856064294,299.33488764789405,298.5524225333794,298.6704576667414,299.695308658832,299.49520468638,299.66455702139956,300.7797858415714,299.4695876541861,299.8114772381179,299.9221583473307,299.0192478299544,301.01950449341115,299.3590290314119,299.1580650674983,299.59570782919167,299.8612079521384,300.52539675006557,299.4353291828718,300.03005459392034,299.8474785970449,300.10921911493926,301.25005548524285,300.0633594190004
3,300.25849610861536,299.5188318741075,298.8553042562401,298.3839654168833,300.79902872971985,299.08695076759494,300.13941978301654,299.15047443952733,298.2101907820629,298.90020755155444,299.77722577454506,299.2946878634135,299.69624359427854,300.4934061753975,299.64008789752484,299.9934213114368,299.54999576020305,299.0390043404579,300.85427918313343,299.5473145447727,299.0195805636934,299.37290794404066,300.12647118916647,299.82507420683623,299.6374627996489,300.0343258637985,299.6937608066645,300.172582660979,300.8038559466727,300.34711833627745
4,299.30191305882295,299.2364850695341,297.9172676532131,298.27691130687685,299.4989988959797,298.6785030855364,299.4901292613259,298.98203861030845,297.45364262332805,298.4455017005483,299.7027581875511,298.6967903676477,299.36724299198977,299.89065229019246,299.29924385410925,299.76353513375335,298.5439057351395,298.67535575058633,300.080233062478,299.37332412586204,298.61655108147767,298.7048482223455,299.9992057481904,298.90746405232056,299.32544176518473,299.6835415972427,298.9470229950184,299.8183848524255,299.9216047120257,300.1188761800718
5,298.08671451622837,298.37406614455614,296.634973592711,297.9100726664909,297.6413840316022,297.77062965489733,298.74611927559835,298.12155086690353,297.1605539319365,297.9884992530578,299.2324586782874,297.82758771462863,298.7599024035335,299.0108357682698,298.6299243819503,299.16243336679923,297.31718951465376,298.1790662366779,299.1171979921871,299.1762107657575,297.96407799815285,297.80562931930325,299.5598297093971,297.83268468841965,298.97816108260423,299.2296467390583,297.52624825465494,298.8991714900033,299.1088889944293,299.36259549601095
6,297.3226970945444,297.49590874368096,295.84212136542124,297.47119356496614,296.21395410028623,297.1936447688984,298.1489062275111,297.1314576988994,296.60464568365154,297.3316040954175,298.75759514237956,297.36767264918166,297.96803960304715,298.2722804917844,298.1628321593971,298.7308416879425,296.7374057053234,297.45440768008257,298.38040617135795,298.91789309005003,297.5387473440929,297.0790956593303,299.20670443293625,297.20922577340997,298.6709902433174,299.1231892452694,296.44725380873996,297.8306310269597,298.5885552491834,298.6983839421462
7,296.88569121405106,296.74779086377436,295.4855566083854,297.37192735247305,295.6314122392858,296.8849754555321,297.55714437819086,296.5585720284734,296.22034306222315,296.7691299757727,298.3739795894467,297.20467003172365,297.3305264117006,297.96914944724466,297.9847842997984,298.68638534306314,296.55557020753304,297.02553519802865,298.1369448136495,298.71770059137845,297.44092344112,296.693619772107,298.8208097452012,296.75559315861557,298.5033294853335,299.10788208130765,295.8073944409592,296.96129686640535,298.200920157502,298.24178573019134
8,296.88433643941966,296.39943173934853,295.22268772605685,297.45709900319275,295.73384287892964,296.86806319819567,297.21575248678215,296.3383527204367,295.9223838891491,296.57654855528705,298.2426710291391,297.22861230656423,297.0238569398154,298.00215344108216,298.06901069060626,299.01901289707416,296.62514834126256,296.97372396867803,298.2207239587605,298.6330977715157,297.6184532876448,296.5624524186035,298.6334094714338,296.5905147842779,298.5338582520021,299.3136646641251,295.73333926179765,296.5974362754114,297.8053870056587,298.16033168786845
9,296.9474918048955,296.4557130406658,295.0653564105052,297.6791993772178,295.86729434412024,297.1367455520269,297.32757951772334,296.5849826982265,295.85824030721534,296.7578367888484,298.39725682449335,297.609697363634,297.0803795651074,298.4297450685027,298.52552415884196,299.60725799664647,296.8546581069399,297.3814040728412,298.7032001971238,298.8217530875211,298.1421489201345,296.92778140995074,298.67288031565494,296.7392948384658,298.9264598199997,299.5703350675429,296.0676347431784,296.8991827389175,297.82394871729366,298.4190399522742
10,297.1557111773674,296.95573764193136,295.13852799520856,297.85030807191794,296.27251399745734,297.6689636355672,297.6800577426097,297.00201952332867,295.96506202085897,297.2188594370225,298.90643996540945,298.03774192850346,297.31866997970377,298.94836842159447,299.18056513600277,300.24314164807924,297.33613064857224,297.75784696265265,299.321466685275,299.12815309672806,298.7967457670111,297.4386390641483,298.89612883797673,297.2022422752307,299.54098505967164,299.9516464943771,296.72033283163495,297.39265667327,298.22954494170875,298.97274563092304
11,297.4510489291911,297.7676021876788,295.4874949699459,298.19360590143714,296.5708798533547,298.47733561491606,298.14906835693523,297.50026436961053,296.39489657136295,297.6730311007995,299.4766750980885,298.6075089619223,297.7606084403648,299.6048200669525,299.84938097479056,300.812811490303,298.18210321236774,298.3154714244177,299.91341475424053,299.52883069145037,299.4722206971756,298.12727662209664,299.3367005662919,297.7916832838676,300.1503043904944,300.3354830694681,297.35966579674226,297.9303424547465,298.83872947866905,299.7212938363148
12,297.8590531087816,298.5476926503431,296.28217126688793,298.8415961584288,296.8134715117014,299.36173922663073,298.3594709881911,298.0250138996282,297.15081492895996,298.43171344800476,300.07002325725057,298.9238830257264,298.1038477127633,300.05588474494357,300.1205105051879,301.288903538669,298.5346631887646,298.866647723832,300.44632519224234,300.0235006494883,299.72112329525834,298.5127097662684,299.81730053549626,298.55071835766375,300.5059461192052,300.7314042735342,297.8173570102645,298.6030295399501,299.4892010460547,300.35835084679934
13,298.35788884630324,298.8736109954497,297.0744930614629,299.45035493382085,297.13058410596574,300.1358168270013,298.1627825765592,298.87668332333334,297.8135708732862,299.2106020326328,300.61551942422085,299.50028291881284,298.63497670347425,300.3285550765496,300.35733681940286,301.5935379659295,298.5987459206082,299.3456513331121,300.809707376249,300.3506916237776,299.992138894351,298.88891803427714,300.2172278259698,299.1699000386184,300.8520075633585,301.13807733166385,298.20248444124735,299.0547894912398,300.0112193432576,300.6422936968836
14,298.37783511974476,299.0420440273177,297.77829809274374,299.91977650584244,297.5726496366822,300.5168939366135,298.2790914555864,299.60853694875505,298.470719216361,299.77761403849894,300.59359572846506,299.8290226366533,299.0018886255025,300.5094038846616,300.7596267393517,301.6892718106611,298.68963322388703,299.3070768447449,301.07122217111146,300.5329509047688,300.11134942955715,299.2470421091805,300.3663995219893,299.85310242302654,300.978642604807,301.39329523241526,298.78051460256205,299.4504151802019,300.4086510857809,300.7215337111399
