Experiment,piControl,historical,historical,historical,historical,historical,ssp126,ssp126,ssp126,ssp126,ssp126,ssp245,ssp245,ssp245,ssp245,ssp245,ssp370,ssp370,ssp370,ssp370,ssp585,ssp585,ssp585,ssp585
Member,r1i1p1f2,r1i1p1f2,r2i1p1f2,r3i1p1f2,r4i1p1f2,r5i1p1f2,r1i1p1f2,r2i1p1f2,r3i1p1f2,r4i1p1f2,r5i1p1f2,r1i1p1f2,r2i1p1f2,r3i1p1f2,r4i1p1f2,r5i1p1f2,r2i1p1f2,r3i1p1f2,r4i1p1f2,r5i1p1f2,r2i1p1f2,r3i1p1f2,r4i1p1f2,r5i1p1f2
0,,,,,,,299.2360806304759,299.80040876202673,298.13096735846614,297.52372461979735,298.0796639601824,299.37527098331094,300.0675629760168,298.2970452938884,297.5480237596667,297.9860622055098,299.6079944089991,298.4574955968864,297.550673593298,298.0841258268249,299.7138170561061,298.3444923233696,297.5001903399766,298.0649347633236
1,300.1046798428779,298.8729652146283,298.0389089032139,296.60785685129514,300.3072675008545,299.06355719972436,299.39928262721406,300.3313419847991,298.04516286727625,298.24503701954876,299.3357009045317,299.7188539339304,300.5951277608765,298.6995121525561,298.15845173945786,299.04020486070243,300.2598956280317,298.56880812801535,298.6619043033093,298.8793838953957,300.0800447230979,298.55633502993857,297.9534467446999,299.0219350729075
2,300.86034648854377,299.2265621608188,299.1287401854306,297.1204897763187,301.0565509389471,299.5584702313547,299.5168224470599,301.00747703391426,298.45609886112743,299.03040151947465,300.20671952304014,299.9198216054967,301.15889480988704,299.5502763719449,298.8276859379104,299.9978147818981,300.84834371808734,299.39076869496404,299.6404739671601,299.43454965277857,300.86456355252517,299.10451527976517,298.4485070310473,299.8421177403125
3,300.937324517537,299.4628088202182,299.92948630722805,297.48686639925273,301.55413124298383,299.5635217094063,300.52714699064467,301.4538363337429,298.79840154842185,299.7989570864536,300.6648168102168,300.3216397976997,301.4849811665353,300.2360930809569,299.3523153431963,300.9532865173647,301.7587330774645,299.8854090913707,300.27349146729443,300.21265624747554,301.495816239435,299.6966770771756,299.3390088976616,300.39174007259203
4,299.9689209561215,299.2243408844176,299.6854280738124,297.28485199353196,300.95224764671644,299.1210152997103,300.58100281197494,301.1614576264489,298.70755393599853,299.99898826990835,300.2959313716783,299.85472509722734,301.22217422940383,300.22590998517813,299.52797937548604,300.9110681700242,301.76842192245914,300.05529225120154,299.72248809287515,300.38698724258273,301.53298396180304,299.86227202452125,299.72854791131437,300.3344040502023
5,298.6906045909148,298.38711909438354,298.79861694080074,296.86561274862305,299.77587609315447,297.90944493638443,300.16239026270324,300.23753866082717,298.1274877775698,299.5184062191306,299.648162076258,299.1686225439992,300.3134359319765,299.5258683381446,299.3502901552052,300.1999111195303,301.1580812596033,299.29247748271047,298.80505479572554,300.21726386157485,300.57814782367797,299.6120901225816,299.5311810294866,299.7751932423414
6,297.48236925453097,297.6076355278635,297.9495327759069,296.37452893803123,298.37976553185445,296.95137490393495,298.9838070798292,298.9095555147726,297.6718236447687,298.9893340818255,298.93320142002256,298.13378858351945,299.282482476025,298.8283318334362,298.98473941286835,299.1872071242133,300.25637049923733,298.45904731579236,298.06001592038774,299.47602820849266,299.54158345091315,299.22922672519763,299.04836631084163,299.09522658835107
7,296.6647934905404,297.362545017296,297.3688763768625,295.98317535321206,297.5339407905861,296.3737059657133,298.54271122344255,298.00195057116264,297.5452121755247,298.6451939087536,298.4816160684901,297.69000258996454,298.69231360756936,298.45246597458305,298.7008917756385,298.7373488882378,299.457535181043,298.05446743129386,297.79657281915496,299.0596778293793,298.8977032980941,299.15025113424144,298.82728778010437,298.7162569219873
8,296.13591629953584,297.54187115516555,297.1601597680336,295.73210681678864,297.1240362796105,296.5140664834189,298.24538199029695,297.5075391296508,297.4371167616601,298.9413060577455,298.41504455779466,297.6559050120043,298.6404548938872,298.51920445220304,298.6723200313597,298.5458840220586,299.1382689419681,298.2129555339006,297.76342104773676,298.8186604961289,298.6865683389189,299.395512143122,298.9278368539521,298.80912499302764
