Experiment,piControl,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,ssp126,ssp126,ssp126,ssp245,ssp245,ssp245,ssp370,ssp370,ssp370,ssp585,ssp585,ssp585
Member,r1i1p1f1,r10i1p1f1,r1i1p1f1,r2i1p1f1,r3i1p1f1,r4i1p1f1,r5i1p1f1,r6i1p1f1,r7i1p1f1,r8i1p1f1,r9i1p1f1,r1i1p1f1,r2i1p1f1,r3i1p1f1,r1i1p1f1,r2i1p1f1,r3i1p1f1,r1i1p1f1,r2i1p1f1,r3i1p1f1,r1i1p1f1,r2i1p1f1,r3i1p1f1
0,,,,,,,,,,,,297.26200937942207,298.1014870343807,297.6014249801207,297.1410768311246,297.73332854361246,297.7147887187086,297.21270358387955,297.73871936614665,297.7532682762251,297.3129099298225,297.7940781820708,297.6413031565193
1,298.29185857174974,298.06746156338573,298.0776403848338,298.8196990219173,298.0794378895842,299.27340155347514,297.5685148322275,297.7172269854465,297.7268180888307,297.9860290999648,297.4509445229605,298.50667938679135,298.94817173974957,298.03980442336075,297.9086980585029,298.31900107437195,298.03419900408613,298.17485586929524,298.5158612068187,298.2882420850501,298.18203049501807,298.80599377031194,297.96357651529985
2,299.0777063886819,298.93655132760364,298.595399797589,299.3285994204532,298.74988828277907,300.18776940306554,298.20549629332464,298.35211692481636,298.40468647463956,298.6597551549158,298.08502352903685,299.402873921109,299.6036920170979,298.7212580741279,298.5130320650218,298.9728219040106,298.52057555060287,298.54980704749806,299.1401065897346,298.88024885768544,298.873795426697,299.3981354047339,298.58445777050736
3,299.53579407626097,299.4240552598469,298.7947660053276,299.50874044116443,299.0916658554747,300.80716422488007,298.51458415207793,298.6014895886671,298.8214884099232,298.93444215959164,298.38064781378233,299.2795288269104,299.84111749529546,299.18293862980056,298.67116783133315,299.21946262288566,298.7756465119425,298.48330326063353,299.4819618770609,299.17646289792765,298.76984309092813,299.7334337953096,299.2097026484557
4,299.63624820110704,299.7219509154873,298.8878721124974,299.47219938556015,299.2053060824855,301.0659376804891,298.5287347015551,298.52552143542636,298.9014980391667,299.07323031485817,298.6499350851318,298.66578616363813,300.11590820470497,299.07514291738374,298.60201649704476,299.49740219695553,298.87390743397293,298.0900217351332,299.7030150740357,299.20122868003966,298.5580739516878,299.59211801418684,299.58065999888873
5,299.06161739411704,299.50720796286623,298.4833991373121,299.007071751221,298.92616749894745,300.948970135997,298.143874351282,298.0248359382645,298.5075579785313,298.92507969847003,298.39317889936314,297.66841781062436,299.94933671116087,298.39471634258354,297.98784772555763,299.0769014132496,298.5736237019667,297.7447460721092,299.49335267681096,298.89405918363155,297.79736280793804,299.17090030898424,299.4322378616118
6,298.1292716476771,299.0343556613287,297.7837098195971,298.4272321456484,298.30540617928403,300.7753722240614,297.6228931360258,297.18292605586527,297.7602303114206,298.3622499904925,297.80366622376636,296.8830655485477,299.37765414429396,297.5951528035575,297.18643209680675,298.53828477186624,298.06432585131165,297.07652239906787,299.02847736989617,298.30315066789404,297.1373300092775,298.51655123432033,298.83752968112844
7,297.4356816017806,298.5127816774273,297.1583206256494,297.8450437234457,297.70022694932794,300.8301738016839,297.0909570168846,296.5119239841803,297.16665209844547,297.7750763533433,297.21213262058683,296.2830921551107,298.8298122326598,296.95882762405876,296.68698780987404,298.01117933215704,297.55305442672585,296.633095826746,298.48541780714754,297.7256117751619,296.67602152002104,297.9779151456473,298.31282384721675
8,296.94959664234716,298.0610348784655,296.74112374214974,297.462557769689,297.20507003607923,301.0151258952663,296.705004432301,296.1707578195723,296.66449015980317,297.2590855008706,296.7407662559715,296.0457776608143,298.469291149265,296.6832327252539,296.54062322595445,297.63745343110594,297.1551099580813,296.32076786660855,297.9003164289369,297.312987826295,296.3643843793837,297.7912612798401,297.9902585270133
9,296.7295249554249,298.0308891235416,296.633659546013,297.33926787648664,296.87527832660106,301.3530175477052,296.5564665792401,296.1205789828679,296.560850919222,297.0198081031336,296.6709093036199,296.1773665944608,298.31471087485454,296.6398763023523,296.7886142458876,297.59636008688636,297.08389943877455,296.3645179790424,297.49366611892543,297.1962124252036,296.3359105637323,297.79482704575315,297.9513274165851
10,296.66881491194994,298.17432057871673,296.562472125541,297.2382600543618,296.7905560941236,301.6162404461774,296.51986522191413,296.2207437232216,296.466331563888,296.9666033783728,296.72638825939276,296.2870598981512,298.26043659139674,296.95497278922977,296.89354115902665,297.57640297518674,297.1282445481008,296.5331322094617,297.3547901563934,297.30744956956437,296.2841545369168,297.82222764985534,297.9791019807803
11,297.0359090404495,298.5864053573396,296.7227440472205,297.5194938508758,296.8917070641108,301.83256493737935,296.89574236999493,296.55418047320774,296.91844368481725,297.2841525088279,297.02861818390113,296.6921599214341,298.24690297725294,297.41886569662245,297.1415331082967,297.9903554797231,297.4679191821399,296.8433606043786,297.441535875459,297.6959019990779,296.51151614128315,298.02359333621285,298.23259978438455
12,297.84399821101005,298.8736460325176,297.1537806080125,297.8502634345912,297.2127829615483,301.9182223860327,297.4136752107243,297.25334547106144,297.4231535953991,297.97638071281267,297.4456243783448,297.4193927847166,298.6130147891317,298.11756390485533,297.5629106115189,298.6120365036949,298.1401489819859,297.62990187526674,298.0283087288071,298.5186867478115,296.96507108621523,298.4373665576593,298.8097391657259
13,298.58059855624134,299.3497559794665,297.74477306902855,298.4452239910472,297.75814365709857,302.03429039838625,298.1380329999585,297.9124553497207,298.0932494840229,298.66040558070705,298.0180532831471,298.2975701354175,299.19496277854216,298.79223146756175,298.2863287415292,299.30658828015527,298.86805573144073,298.27504557573843,298.71370192189937,299.2569016933112,297.6265966614499,299.14935613344096,299.64000551747023
14,299.2471453502531,299.85160879013057,298.4273186902524,298.92983752879826,298.2150054856658,302.13432904989253,298.6913924292416,298.7077035917578,298.60865129405533,299.31901269671977,298.6132551925907,299.1444017470673,300.0116491150571,299.5289751881485,298.884665712173,299.6818933640847,299.5403376705073,298.9948319160699,299.43418732346566,299.96203056514906,298.3457772022412,299.7172349259192,300.4169702519689
15,299.5369834888095,300.22591730306317,298.75196889544355,299.2147015880653,298.64677487342766,301.88971558258805,298.99669049156,299.0726214147065,298.9168759936891,299.50754676710716,298.9469973616433,299.38347071089885,300.59529566195727,299.96886567115985,299.1041291250038,299.8004990722635,299.92935658334454,299.2198549875665,299.7289778757971,300.4041887572808,298.7669976891627,300.09791376408316,301.03088222070096
16,299.7141072272262,300.40276592838524,298.9017473145447,299.30251578502856,298.72476761070925,300.88562641332305,299.04169074039027,299.3567591839216,299.0596310906383,299.54891056001014,299.00186844970494,299.3657621006982,300.9477252169888,300.19441379354527,299.080462574002,299.877186433309,300.18992904283266,299.43813319187166,299.7067366380567,300.626576961901,298.9404640272741,300.29766985614236,301.39162442073825
