Experiment,piControl,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,ssp126,ssp126,ssp126,ssp245,ssp245,ssp245,ssp370,ssp370,ssp370,ssp585,ssp585,ssp585
Member,r1i1p1f1,r10i1p1f1,r11i1p1f1,r1i1p1f1,r2i1p1f1,r3i1p1f1,r4i1p1f1,r5i1p1f1,r6i1p1f1,r7i1p1f1,r8i1p1f1,r9i1p1f1,r10i1p1f1,r11i1p1f1,r4i1p1f1,r10i1p1f1,r11i1p1f1,r4i1p1f1,r10i1p1f1,r11i1p1f1,r4i1p1f1,r10i1p1f1,r11i1p1f1,r4i1p1f1
0,,,,,,,,,,,,,303.47441361778255,300.4781137009071,300.20948776515974,303.46584637721486,300.61449891692274,300.1210446221375,303.48373234890704,300.5579358458821,300.16830592059415,303.41362091369825,300.5698103369022,300.21180577680025
1,299.6489499471797,299.53512581061824,300.06177934879685,300.79068962670635,299.92149087702086,298.47022855018184,298.73934021415295,299.2369235076647,300.24475096220334,299.74343101008395,299.2248237153345,299.5198084411323,303.8650761042771,300.74849704964,300.6178771582099,303.80323613057317,301.2492316054604,300.40289462466006,303.8874178865629,301.08213317806536,300.4768514874447,303.5682689940802,301.08363499416225,300.61776777588386
2,300.37184251141457,299.63588872092623,300.25497422317306,301.27795754847745,300.1001239611139,299.058150547275,299.40624775156704,298.93667438282085,300.87664716569225,300.0494133337834,299.8185014058034,300.04646954615123,304.1136639429292,300.97961904289684,300.97791200595924,304.02601002048453,301.8451450394172,300.63839163864077,304.10037453512206,301.4943237930641,300.7668180525562,303.6181685512058,301.55813751606064,301.0128313528767
3,300.7577217322533,299.409488953776,300.13309484771133,301.44438881028776,300.0633574145731,299.5073816123342,299.73717096853824,298.4867242660329,301.1642807844519,300.0335026601368,299.9846648751911,300.32278217472424,304.0238358871616,301.19575607798816,301.1032555085182,304.1026437919511,302.0631266242531,300.76019703464345,304.1182402263789,301.56734686233636,300.9935402791098,303.3719446748714,301.76590374584526,301.05525284198006
4,300.77896427337487,298.95479727867274,299.6797231911491,301.39765266280295,299.8136204760211,299.7414398320855,299.68412810780205,297.9748873080852,301.1023598860725,299.5230682398805,299.93535845893035,300.3939384697269,303.35265039574375,301.4327145625112,300.8622781226504,303.60295625218276,301.9430290958969,300.6467608777639,303.6038012296113,301.3861015601611,300.84190252577594,302.70247824403003,301.6002409719016,300.78188377111275
5,300.4976400541976,298.20461127369316,298.9986983106367,301.09217366154,299.14719564072465,299.49326731538804,299.33726892431605,297.22669084940657,300.8235042735662,298.82112104650656,299.61802088941266,300.2349578358532,302.0696338649465,301.363382920164,300.27067082438515,302.3250682275725,301.5211670397211,300.1011103840694,302.2605581375031,300.7632191066245,300.3185161719213,301.1601111242011,301.0339434096124,300.06149973821283
6,300.19338356430114,297.1702278898836,298.28166170394144,300.6776514743233,298.3559555252012,299.0064474523468,298.7629699613705,296.50178130537256,300.321145969816,297.87915612829437,299.1024175144469,299.90164195233257,300.5387949991121,300.9690465597884,299.4174321231298,300.6026876423427,301.06453871292723,299.3802269919853,300.5869899923612,300.0060167191734,299.52194019813425,299.34782466584585,300.29202527377356,299.0905777838704
7,300.0538261906846,296.2826587509314,297.6291718725959,300.2475465240689,297.6399859282299,298.51623422086396,298.095409491018,295.82663564332995,299.8731528552909,296.91051554818,298.5464699619163,299.512690951241,299.45456419058286,300.346010838198,298.63845677625045,299.1146105220731,300.70831302373927,298.71431720911704,299.30794088856663,299.0644102469764,298.98890706898027,297.93409031434345,299.7471550150854,298.1042557291632
8,300.1215510511334,295.7548437238417,297.2830147395211,299.9793507985026,297.2767593408292,298.1819576256093,297.5572153056706,295.4375231854263,299.6186832189993,296.04759642483947,298.14506036720974,299.2372733773382,299.0058877857782,299.7380191867414,298.17697004899895,298.11666059695824,300.5745757284619,298.4342304504432,298.6841377319415,298.38799568560813,298.7105577319938,297.24378925279456,299.57929895657475,297.4906031946425
