Experiment,piControl,historical,historical,historical,historical,historical,ssp126,ssp245,ssp245,ssp245,ssp245,ssp245,ssp370,ssp370,ssp370,ssp370,ssp370,ssp585
Member,r1i1p1f1,r1i1p1f1,r2i1p1f1,r3i1p1f1,r4i1p1f1,r5i1p1f1,r1i1p1f1,r1i1p1f1,r2i1p1f1,r3i1p1f1,r4i1p1f1,r5i1p1f1,r1i1p1f1,r2i1p1f1,r3i1p1f1,r4i1p1f1,r5i1p1f1,r1i1p1f1
0,,,,,,,299.42047932593783,299.48702817354564,299.0824196056979,299.6871886659052,300.58598501878254,300.8489990171145,299.4367525124519,298.98028435865837,299.7593838072235,300.58755552762545,300.8185862645448,299.375403593579
1,300.1521336490013,300.6082195976142,299.19878108919823,299.27768106831485,299.9082441816757,300.20845745783714,299.55358861333247,299.3947027187548,299.273010566232,299.88176336610326,300.83123511951953,300.7549421603622,299.49992403917287,299.27349227633016,300.03700869758103,300.7234581449845,300.6935488870636,299.3559785171789
2,300.10490117783746,300.9184657196983,299.22249100194983,299.585394471693,300.5088218979484,300.4164243656853,299.99682347314405,299.5004654835212,299.1446569719628,299.93895053824576,300.9750646545146,300.85069111048307,299.7553577262334,299.59073371689095,300.37726817274745,300.8061618953904,300.57438604265457,299.5776699760753
3,299.6903155223509,300.6499198986401,298.83871188453185,299.64589015156497,300.8117535197867,300.274485386107,300.37126978918815,299.5248224197176,298.8087497287766,299.8109670508939,300.8426982215893,300.6437627693231,299.82486403675284,299.6047896041195,300.4141853717775,300.75856513484257,300.20282913865185,299.9059086191678
4,299.0379362651436,299.8752485271313,298.26412800602856,299.49865360976423,300.7305298267576,299.94321452774136,300.3412627204794,299.3458704713402,298.5514222608452,299.5519374724833,300.39304452868083,300.1539820190871,299.62984797631145,299.4367354947904,300.30798139686607,300.5079838645382,299.4837109873713,299.94342188984143
5,298.2808915793969,298.8152792290704,297.9079775940474,298.9748321646453,300.3863833226342,299.58357854011064,299.9466307212847,298.940777284792,298.51713492691096,299.1423744064961,299.9115896907727,299.31249014056976,299.1984601400686,298.96930350711006,299.9039137050192,300.11333828154477,298.61170074742677,299.60855344859067
6,297.54449185265577,298.0781804154756,297.77112962420824,298.5460221715718,299.9983306843003,299.16201531562353,299.69866399453,298.69071565149767,298.72298760609664,298.5225593686885,299.5041209737763,298.8875504064951,298.94239251276,298.79922488714493,299.4641355524796,299.5422387173015,298.02412009648503,299.0826243688117
7,296.9605618914623,297.84556185875186,297.74204935700845,298.4753542660169,299.7389614367187,298.89416299249984,299.7970574739391,298.7298518278687,298.96233756357327,297.87431052583946,299.32752817384215,298.90354932647216,298.72613270047015,298.6408646642374,299.17366468647816,299.0913329119656,297.959016654572,298.69770636310017
8,296.78691712543304,298.19006627403047,297.74905471955594,298.83402848814245,299.5801335578711,298.8763795725276,300.22677476970694,298.9385012140397,299.2679027356332,297.55722238002306,299.3566506245351,299.1857316201612,298.76105968622824,298.6738438052823,299.17487295963207,298.98857956281313,298.33118598561083,298.7273499011042
9,297.1253390577857,298.8288568760962,298.0511372939507,299.4230204187497,299.73110896607074,299.17857875127373,300.79557813559705,299.30164651198174,299.5565990676668,297.8009323709038,299.7908845103631,299.64693670712876,299.1215377694854,298.8349894869206,299.5048288688924,299.3610052944619,298.8911795339414,299.1810669246126
10,297.7951474566659,299.5235872815288,298.4200083582439,299.9478680404816,300.0845537277443,299.6771406432485,301.3250219008649,299.6682819214198,299.9531815066612,298.4279780716652,300.40751898599956,300.18141383239595,299.6486049210585,299.27144020063787,299.91701848489157,300.010366428299,299.4346556939353,299.74201870032243
11,298.38552152120354,299.96383411929816,298.81026504295716,300.3003604942306,300.46734043908145,300.2341389452162,301.79927545683944,300.08354051700593,300.3813396160629,299.0047624963686,300.85197072560305,300.79283454143587,300.0819867100236,299.7595300344711,300.3074204959931,300.5065253093198,299.8617249873552,300.1837575805028
12,298.8692299190543,300.31439236219427,299.07758988297087,300.5159649562914,300.6287147910589,300.7665877066766,302.1483435194862,300.4542780403829,300.8146968008741,299.4122716327885,301.14441766290355,301.31798534280495,300.3025905011319,300.171716602687,300.5944936418232,300.85294379863103,300.09718609521286,300.4783290668011
13,299.0943914887754,300.6396622388654,299.30562045469946,300.6136193370289,300.4304248282412,301.2126558737546,302.3523929431206,300.66911522010975,301.05791957558114,299.7804715105505,301.26180388346796,301.6742579790536,300.2697383319953,300.30434616544136,300.6530865028266,301.18216336518475,300.07307903305133,300.6818936225868
14,299.2816552934208,300.90424824622204,299.5116553479681,300.6539243223401,300.03448962037055,301.4656532502379,302.3454883549999,300.87174860303844,301.056339824394,300.0908121534764,301.4034381645117,301.8623509584096,300.16170716206665,300.4194306669552,300.48308569688373,301.3404863105588,299.9876665411222,300.5103324621705
15,299.23367967472615,300.8672466606042,299.3534287883876,300.2982076099126,299.4049966804877,301.18549412598435,301.9015603772827,300.8928697538899,300.816197910038,300.10512872487806,301.00899091232264,301.57022276262774,299.9404483924778,300.21810365849325,300.1665689109609,300.8086466700422,299.8409025652369,300.04402456615827
16,299.0257468595072,300.13455619327505,298.9334142216743,299.6063585464522,298.6416973169972,300.34904006672474,300.83124596589374,300.86727028347536,300.4957875620375,299.86736225570326,300.3277861647427,301.11007893850837,299.761616232045,299.9790010478073,299.6557682409093,299.81995420124184,299.59286310190066,299.33305616783736
