Experiment,piControl,historical,historical,historical,ssp126,ssp245,ssp370,ssp585
Member,r1i1p1f1,r1i1p1f1,r2i1p1f1,r3i1p1f1,r1i1p1f1,r1i1p1f1,r1i1p1f1,r1i1p1f1
0,,,,,300.94054994888285,300.9588829654104,300.812614478978,300.8491490511414
1,298.8418666537834,300.3856956546456,298.1370310074147,299.7613086963086,301.08488782556515,301.10388621904775,300.7422494806126,300.8262830521933
2,299.1738526449113,300.1468293447418,297.7552506630003,299.97229885516873,301.1185055566047,301.06953500555215,300.66395113090965,300.6540029476309
3,299.58508965140686,299.97130512354397,297.83919508867865,300.19225355247335,301.0619879074831,301.04875438705926,300.83365820764055,300.6729143695236
4,300.02165994504986,299.77436402247537,298.25036941494193,300.4200237029227,300.9541889805471,301.0083633745274,301.161205469717,300.7567642446763
5,300.29056096068865,299.3794154847547,298.5008498298717,300.5879666324145,300.75455211368353,300.89085127575595,301.4141100667888,300.8156374902862
6,300.301413824122,298.6760493648378,298.2896408046631,300.5131630437144,300.27897503593437,300.4344733716078,301.4278527044864,300.5774853886458
7,300.2719106117648,298.1283948919595,297.90831481751576,300.3635043596727,299.6086367989538,299.8873363457578,301.3433698425158,300.3247773732707
8,300.31442353681587,297.9010580400888,297.6489146722526,300.29398631519,299.1288445457162,299.408686560693,301.2008670016726,300.33105986037157
9,300.4218845047479,298.06397858408326,297.76243053204854,300.3355956889622,299.0129893161527,299.22111554558984,301.0524005128745,300.5580741321255
10,300.53335081976746,298.30978061644305,297.9500282042418,300.3983348672173,299.2550187012578,299.32092009958023,300.82361192152536,300.8862568502439
11,300.5794322909084,298.483396706386,298.0741054814066,300.35092535764403,299.35098578306423,299.55475595168895,300.5081188988932,301.0689474559878
12,300.44590690618503,298.5834530213555,298.22176860886015,300.315697664383,299.3887485771498,299.64554552776616,299.9984174794301,301.091499790098
13,299.85421474954165,298.71295923723045,298.5302271171752,300.10931676475116,299.5738122568653,299.7310943299741,299.52642547932663,301.0522877247911
14,299.1260767937315,298.93357662295597,298.95436375951635,299.6716014292235,300.10315402326137,300.0084978729173,299.404182478077,301.1201559745673
15,298.61970855211297,299.3186401127769,299.4276957888929,299.2313759425899,300.6949898341673,300.63040982538445,299.7273848542778,301.3138067901414
16,298.53406591598656,299.7972722595496,299.7608635906826,298.8566442039013,301.18369857921533,301.27009782067387,300.18349020998295,301.5900693005769
17,298.6451651734208,300.17018663956986,299.7760673103658,298.8085477880714,301.44543886652883,301.61988705540875,300.48675127300515,301.72561933912334
18,298.66731687014686,300.32030933358135,299.30784746597374,298.7356983981045,301.5946668652571,301.6245408068973,300.5028499665102,301.7258872913383
19,298.6484820620056,300.28732932055476,298.89526701717585,298.6413446682629,301.7488278309797,301.4510590468918,300.3805769562551,301.60697034626156
20,298.688031911019,300.21097897857817,298.75863319675284,298.55723761224425,301.9351794287031,301.4090539869294,300.22764900617994,301.4802276241164
21,298.91691329701604,300.17897203034994,298.95082609712887,298.5144325402966,302.2502249900725,301.4945152362143,300.2074722115551,301.41125397594175
22,299.13103332082886,300.16730878697564,299.0787392052924,298.5067079451184,302.52352244778945,301.6008277142334,300.26629648060566,301.4011408605816
23,299.2639541457367,300.24756597943946,298.98242164179135,298.3870409926964,302.67222051046605,301.66266583416694,300.347999827695,301.3143593800386
24,299.36841223197683,300.1975776574882,298.9160418073823,298.3809847656931,302.4487234064432,301.5777051000886,300.47492431299025,301.1616005841858
25,299.5408019221216,300.0657670766606,299.08225593100826,298.49541136011675,301.8238399197886,301.3383362496652,300.6538990580038,300.7624500620346
26,299.7597410929095,299.9201617611407,299.5270447371402,298.8417453495858,301.01831390865135,300.8736577454628,300.874434580779,300.35059528839014
27,300.02838464436905,300.0546396568514,299.9921366572833,299.29430224060667,300.59570145268754,300.65696116714065,301.12996601588236,300.11452681046063
28,300.2800259252124,300.35202098363715,300.3388128444897,299.8712291126933,300.44866742840463,300.51739073698803,301.2249896210697,300.1100787660138
29,300.35453432969365,300.42860937741847,300.53715972481706,300.3557978462664,300.41361177718426,300.348422006342,301.0804562819389,300.13074042732393
30,300.1337836470118,300.15789927985855,300.5966357368658,300.58667857449126,300.1032677824492,299.94486870050656,300.65203780958916,300.0363039523363
31,299.8376573691292,299.6543859765283,300.5644271013771,300.6298305714792,299.7070088212197,299.67688686945087,300.3007985728087,299.8980055667141
32,299.6748873993045,299.2507033637268,300.7513932697472,300.5150980951649,299.5004688224886,299.6406873573479,300.2079515983617,299.89948265261404
33,299.650261489485,299.03655041298225,301.03857635259095,300.4506445759463,299.4748069603908,299.8018081352097,300.35888914529045,300.06961503766166
34,299.55999897265406,298.9938703065566,301.32306977536297,300.47314824339014,299.47425965210795,300.05444979372254,300.46666492638,300.22764318561184
35,299.24814175135526,298.85520182190777,301.3489862033894,300.56043058638215,299.24941607148384,300.39514841803424,300.49206748946295,300.3140747013763
36,298.78082048025,298.68519630505426,301.15657257169045,300.47592301605226,298.89177749752895,300.6223984263443,300.3957313936034,300.3039129008532
37,298.3646176922675,298.46723436187676,300.6914096643309,299.96430280365865,298.5902092150505,300.7921553455003,300.27010942514715,300.3912450318875
38,298.37841330027555,298.3600170162327,300.0370000596684,299.4124118496498,298.6333442531699,300.9503095787174,300.35494018422077,300.6429407628483
39,298.7659245828849,298.3796275314309,299.6309004696192,299.1528314896952,298.9732095320167,301.2012199264808,300.6554581880646,300.97692932209935
40,299.2660966187763,298.4602319482511,299.4410815445042,299.1928129932119,299.3290416740713,301.454932081389,301.08401623568096,301.30918079487236
41,299.53807097186035,298.59165032460743,299.4384199100669,299.3448941296401,299.4955842292559,301.5747794706986,301.165904093177,301.3784550311316
42,299.58121832226084,298.6296792406131,299.25476960802155,299.2756704844501,299.42408435826206,301.5502112249315,301.0015633301933,301.2302592943197
43,299.496426023012,298.6393625451258,298.9821389612609,299.1664632021146,299.47250629939293,301.38722901365526,300.91670747510733,301.0687473362901
44,299.4615127481934,298.68715862054546,298.7380884058339,298.97616232612376,299.6666591080529,301.24257988741607,301.01606414143606,301.1309000716933
45,299.61086349161343,298.8623588327082,298.68447293399055,298.9428720697009,300.14540037868534,301.12940513174414,301.2650442717241,301.3178665043341
46,299.824887332312,298.99757204944035,298.83961446108987,299.0228165624098,300.5472411861196,301.09633908634436,301.43789821079235,301.54480833882553
47,300.03602850664635,299.10125915485145,298.9610013335503,299.04355153979174,300.83365314027293,300.916167755403,301.5564474488746,301.6885378119948
48,300.15061934786326,299.2604304531059,299.0231457728312,298.95601995827667,300.9365742158664,300.5283351451256,301.50168548543655,301.6275133105344
49,300.1859634402587,299.58994719518313,299.0769867076599,298.8596731085538,300.87305257746846,299.9030407689333,301.2983669323535,301.29918645405064
50,300.2015320793098,300.04625321089156,299.2065772791925,298.9469479870693,300.7972394751674,299.4507103103214,301.04372204245357,300.93215710734654
51,300.2195354227628,300.4102786326066,299.4163051796733,299.25883455955005,300.90161021913985,299.4931903016203,301.01955485305535,300.767330221137
52,300.14059944512724,300.5959482897294,299.6705391004174,299.58420936128005,301.16903353408674,299.597850484077,300.98408687418515,300.60008647178216
53,299.93146011615505,300.56325306792263,299.9864304939137,299.8324105949312,301.3573699143197,299.6837756774456,300.86192436404,300.15033798911605
54,299.58119422459663,300.1782705109187,300.03435833912073,299.89723434383365,301.2838743130772,299.40811860271907,300.4393229091266,299.50300076427163
55,299.324847940475,299.69109808491106,300.01055192509665,299.9631620858443,301.1281657117629,299.30026948173963,300.1116741823905,298.9793802019631
56,299.1431578456981,299.17092886661254,299.97239849900416,300.1122194699561,301.14272988895505,299.28998946765114,300.0170468207786,298.7978227400477
57,299.1299918092229,298.9506814960089,300.15816446152763,300.38738317106646,301.30200663700947,299.56780090845024,300.2084405284553,298.87123945177484
58,299.1925041432583,298.8983882321726,300.321332287261,300.65037505578397,301.57690565296906,299.93040875016936,300.43140008362474,299.01215834256834
59,299.14415075595036,298.8120445827595,300.3385742120206,300.82506078965895,301.74196105269334,300.24457710326857,300.50432867279295,299.1405782005896
60,299.0036351703217,298.6332203791632,300.35644333300667,300.9405962032683,301.84333837381183,300.4655899807398,300.43917836950726,299.11579842245914
61,298.8394742527873,298.3445236898013,300.47331239628005,300.823963131563,301.7758372055944,300.65327094343337,300.36834365321226,299.1906367458517
62,298.8442306707641,298.3379951089117,300.6633307012879,300.50701185352256,301.6156939648071,300.93525293967355,300.41928285707735,299.56393676666175
63,299.03292379986596,298.56158409364383,300.8974799650505,300.29128443692986,301.5104622108344,301.2900788280624,300.71582769990397,300.2643304776252
64,299.15632023734605,298.9565460764576,300.94970938932113,300.2459410785471,301.3959745002995,301.6353285377041,301.0865849121006,300.9719074146778
65,299.07167760984584,299.27163081491284,300.9214004947949,300.19557592028076,301.2805153604889,301.7421445533344,301.1521300060994,301.3078345997429
66,298.7163619280122,299.3957663300343,300.7721272560625,299.74777103115497,300.98672529388676,301.6342936548127,300.86480575240313,301.2509571896883
67,298.32645141647316,299.52664374716255,300.72605411290505,299.20596525647034,300.6850923709115,301.41073164275593,300.49267243112376,301.05672266582155
68,298.0806024084539,299.60099788647625,300.77548717702325,298.8980700722023,300.5582519316669,301.1722139975563,300.51132586822513,300.94681605673554
69,297.95747454655066,299.66403052989114,300.8218214901503,298.8630546024928,300.58167977422823,300.97662973479765,300.78027560270647,300.9722897612737
70,297.785758017114,299.69778567237654,300.8129832018332,298.8398273528245,300.76612946817676,300.8213898891768,301.05777118132147,300.9828165267331
71,297.5124970464139,299.7032091054941,300.70838864395006,298.65753229739556,300.8896033231269,300.7371887995579,301.09153466664117,300.9747746571691
72,297.27339859723037,299.71276598232225,300.43928985850357,298.38710112926793,300.89294899339274,300.55720061776145,300.7654640118408,300.91201181924475
73,297.28505184094166,299.68968214195786,299.9105511668679,298.0499813757389,300.82299811176654,300.03153549226,300.10981562662874,300.7251670226977
74,297.458480852363,299.6976547835243,299.21329532531166,297.9760633099126,300.79343707913534,299.6284826878612,299.66416166336825,300.58063445979855
75,297.76792402654615,299.8912930605515,298.6805986046932,298.33736567105075,300.9524190413203,299.6683603200215,299.67775874936734,300.6465314829195
76,298.0944717957201,300.0691623212234,298.34931415519276,298.8299236416192,301.1656475431037,300.08363936827124,299.87891292827663,300.97205151365944
77,298.44749132100037,300.1816736977086,298.22106188187234,299.0915063344266,301.3218083652054,300.425899725335,299.80952731775,301.1880840124945
78,298.6932235387933,300.023536238426,298.082571938382,298.93593772028026,301.14786465361226,300.4148950792905,299.49298567788713,301.0794338769704
79,298.88544532745277,299.8458083685971,297.93710980016476,298.8214296474496,300.8047128543815,300.4395943398328,299.1260436334485,300.85554817159897
80,299.0767549694212,299.6756272612143,297.7557442987638,298.78231864651906,300.60455489752866,300.5483536333982,298.9074243829574,300.73076073047
81,299.23003108075017,299.6802269108862,297.5936155147679,298.92060515035615,300.64216231127506,300.85242969177006,298.86717572284965,300.81176698386986
82,299.3577956303271,299.7470556511298,297.46022822382344,299.00273496422074,300.82715618939324,301.1740890895074,298.9813175587948,300.80220678841346
83,299.46518634266386,299.8980160423593,297.4054130626375,299.1262925391741,300.84446364731184,301.4672482408798,299.1527251814412,300.55235739725236
84,299.6376900955523,300.0206609070623,297.40268908926004,299.2681188196277,300.668858943314,301.4285871992353,299.26976848215185,300.195153483557
85,299.6913488210949,300.01177752760697,297.5225593828045,299.4175652495641,300.4044813294053,301.0691377847206,299.354104631811,299.8336713861017
86,299.56584173026994,299.86567244969723,297.9108868792022,299.4154550283547,300.2765387547275,300.70212863484056,299.3875853010748,299.79924321603227
87,299.47479916059063,299.8969173131258,298.5227034369918,299.4343209754043,300.55103904492483,300.57593135142173,299.64249949083154,300.0747067286836
88,299.4546590005024,299.99036752952827,299.18012842690365,299.4731829166388,301.0410681501858,300.53824615201074,300.1713103753543,300.5105866546005
89,299.50411340735945,300.03445980475806,299.6216446447212,299.47189084934007,301.3091753068559,300.462158084358,300.6971183070245,300.5729644809856
90,299.41373492238563,299.8572040686523,299.9007713260093,299.23782424010216,301.0988465760152,300.1462032926682,300.8998029904579,300.3045154892225
91,299.34692747979994,299.6603698097726,300.1184487936883,298.94025695632246,300.62009390221743,299.92014885155646,300.809431166648,300.0966152928815
92,299.36161886438407,299.575283724681,300.38339053048253,298.782558084416,300.18179218983096,299.72714116680373,300.7469088794076,300.30591742919836
93,299.4467788599065,299.5768389458378,300.669932299639,298.8336265026779,299.98411609470367,299.87800805649607,300.7522459486972,300.7732025914307
94,299.4367051897739,299.6356225750405,300.8875175794114,298.98624932492686,299.79724339503787,300.1208891617019,300.83011462480135,301.12009001913793
95,299.340837983915,299.75884091379294,300.94435708148904,299.0966154056234,299.51776442239685,300.31874312415505,300.8450140663642,301.25603505212433
96,299.10598711859876,299.87482031122505,300.810998224452,299.15427382263823,299.1891939465888,300.2878735948461,300.80120771517886,301.2788694472458
97,298.67469140980734,299.84554857599846,300.42864623174324,299.32141420161537,298.9700002625338,300.18688411712714,300.5149035705753,301.2124844204989
98,298.30363851180704,299.6945960356654,300.10896601996365,299.7123637688287,299.09005049065576,300.24100080113885,300.35347444112966,301.05793062913773
99,298.3049410272736,299.6524912345773,299.72958247353125,300.26815849612484,299.52095528628234,300.66763755201464,300.5078973759921,301.00618201770175
100,298.56831432131725,299.67169779155216,299.1846762262323,300.7818496526384,299.9926461139489,301.17117152671227,300.8813835211513,300.95000519446177
101,298.75367462722966,299.76019629105434,298.2577075580701,301.07301387808184,300.2661224721967,301.4167670762947,301.08783836470985,300.82413517335794
102,298.555317529158,299.45520468477594,297.0531590947331,301.12963576136275,300.2773870924206,301.41336734031773,301.07862253944273,300.63439082663365
103,298.304026418586,299.23114206333605,296.1262519534949,301.1730171579631,300.1699171518473,301.2491770506627,300.9764413011513,300.59277025260053
104,298.2331697271589,299.09010850504865,295.6364728198241,301.3236115335849,300.0358974645646,301.1515723862887,300.97415417634096,300.7393137664767
105,298.419491573878,299.3133525889413,295.48264848289847,301.5592071884919,299.93386105091355,301.0070669421193,301.0474340749948,300.81985521054435
106,298.74213398592696,299.58632609852907,295.5435218136793,301.7190654176385,299.9363988420865,300.8741196786257,301.16959618261615,300.82699313088557
107,299.037836507804,299.7923550415483,295.53374165475776,301.63452927674973,299.9456176163793,300.8053983421384,301.08476567498883,300.79722586089537
108,299.28890512653123,299.8899321670561,295.78887488457974,301.233338024434,300.0374529905134,300.73414065202496,300.75143370519226,300.72822424062446
109,299.43903534496303,299.88851230456777,296.27173947910063,300.5074388867556,300.1520199567954,300.4220241246121,300.20199546482144,300.6213621081829
110,299.53515626638927,299.962626553998,296.97288449727125,299.71091611199887,300.48362107522524,299.9272074699314,299.9597604280329,300.62306499418906
111,299.6589204323861,300.1892726866391,297.5798940050249,299.0156811389893,301.0460562405818,299.7049488145994,300.1137097237659,300.79976581989786
112,299.6623051286706,300.5116117814527,298.0170022992865,298.4362313754293,301.53299070612184,299.62486393983085,300.4369856730038,300.9394989449598
113,299.33502858088576,300.7668631602966,298.27620723406534,298.00398540168595,301.6614166141667,299.40176458376754,300.42294040548285,300.8497776741271
114,298.6990154200029,300.78673183255137,298.4957053011904,297.7131375619817,301.3848978879774,298.7627551026412,300.1720125380934,300.5324289021489
115,298.23218453837507,300.63654268418503,298.7026313096376,297.4720701326385,301.0109930806999,298.18623282251264,300.025462841239,300.39127771146804
116,298.089589894382,300.4738006603663,298.97706720100655,297.4172433389369,300.8204514688741,297.9284983963267,300.15189777425667,300.52846148782857
117,298.1557423674808,300.39029516352906,299.3179084083581,297.5631356311185,300.856949441167,298.08173817415724,300.36962149141624,300.8562789173471
118,298.1268872057411,300.37281606630097,299.62349469929967,297.8744992229285,301.0626767568274,298.4088787453682,300.5578197517727,301.0628659720163
119,297.92965079966547,300.17854020732057,299.8131696369453,298.1569060216868,301.1882668149112,298.71128785094726,300.6820628368828,301.14080108398736
120,297.7344143147871,299.7760977703619,299.8082387959602,298.29137516473037,301.1442781713999,298.8822891154728,300.8327284386319,300.9916878988276
121,297.58903804221023,299.2604878774894,299.7320148427587,298.49367724910354,301.0232541573322,299.21044838064006,300.9345018845318,300.76268217334353
122,297.7882074019721,298.948421875896,299.75603777205293,298.803467329997,301.00023727087,299.79522162621697,301.02736691842364,300.44087547112525
123,298.16087973107534,298.9840940182592,299.8845857910998,299.2102627299403,301.2234974609826,300.5186147833837,301.13378561478646,300.3392049793374
124,298.6357329995007,299.2545989051367,300.02296512309044,299.61819704948044,301.6151685560657,301.0801435714278,301.31527133026776,300.42017992415816
125,298.9914185523031,299.45866080207264,299.9927515114238,299.9502228901146,301.9204131368524,301.2548559891682,301.41058864361304,300.42204767797733
126,299.1874346809237,299.42829294650556,299.6804668734587,300.24585043579185,302.05725849709415,301.13144130960023,301.22274391338107,300.1094012925111
127,299.2714782303331,299.27032121295275,299.128568694983,300.51132919221544,302.11337053002626,300.9150468045255,300.86012373698725,299.6108588971174
128,299.336999932412,299.1474571327897,298.48014268314364,300.71023929496386,302.29686308796545,300.7845807590445,300.57187917683154,299.3140089987826
129,299.436994577403,299.14006862925834,297.99760815994955,300.8336217762654,302.4626617597649,300.790955235435,300.48111860294586,299.36229166346624
130,299.5869468507679,299.1424169009229,297.59951300940133,300.8695555718194,302.54112536404494,300.95773413305585,300.5174088960489,299.5343494835516
131,299.6533282578528,299.2201969545061,297.18112343563513,300.865635242142,302.4136920801028,301.17521909342605,300.5265466080988,299.5873343975639
132,299.68367140691925,299.3920348304474,296.9944045660033,300.7628788697268,302.10284074986447,301.3702625073074,300.4932117703966,299.4688592525215
133,299.8670734123372,299.77478758685317,297.0562874409081,300.45565713461133,301.48293921415956,301.4349634095869,300.5634565253229,299.30298373242834
134,300.1266149988667,300.1891445346842,297.34496091448204,300.0854328259123,300.6430554461762,301.34511264921633,300.7919682852768,299.4976166422453
135,300.3766901015347,300.64726203650235,297.604735515267,299.76600882328233,300.1690481258426,301.3490195331315,301.2895454923898,300.1248876164046
136,300.42661340970267,301.0021212070622,297.8741666697608,299.5836164376344,299.8051841496801,301.46649924309486,301.8298910803264,300.85586804418875
137,300.3289742009393,301.2554736537624,298.0985236722586,299.37447311218335,299.6014789918188,301.7343648548095,302.2381921385338,301.25211441731716
138,300.05768956726394,301.27062479633446,298.1838793047055,299.0437060640718,298.97467302832223,301.7822401652085,302.4023526757181,301.32034313410685
139,299.78785356693834,301.12735840300314,298.19804466802356,298.7570283337024,298.3551281654049,301.7260701097811,302.45617509559503,301.22266566611194
140,299.5787128577113,300.9030689474177,298.3201249657206,298.6404331081356,297.9200306408114,301.64719127721554,302.5325772964977,301.12346378812384
