Experiment,piControl,historical,historical
Member,r1i1p1f1,r22i1p1f1,r24i1p1f1
0,,,
1,298.73184579549786,299.79414342550126,299.64682218397235
2,298.9460443462913,300.1632364421016,299.83332817927686
3,299.2426384113214,300.5070812075039,299.9786389341273
4,299.56341445766003,300.67288125352775,300.0193866913292
5,299.75126621864905,300.6135535391492,299.76074541161216
6,299.79338476753725,300.324256397209,299.1716011638791
7,299.72806418260285,299.91199105847,298.6255438144447
8,299.85207856520015,299.5208692836762,298.29063371828636
9,300.0706949101904,299.36139650066804,298.20836440829953
10,300.3352196747078,299.3990034003734,298.0733807337129
11,300.4212991490745,299.41756230151935,297.9732085357037
12,300.34988991575347,299.3146225210697,297.9705538341725
13,300.23328823327444,299.2231269102203,298.22080395669127
14,300.30338140108967,299.2853030743369,298.68090084246995
15,300.6801931025399,299.6183877981985,299.1744060846897
16,300.92844173553516,299.90354757187515,299.57325675089487
17,300.76035818109796,300.0481271851017,299.68513063410177
18,300.1193724622313,299.8035623304438,299.53204000184326
19,299.51923029256415,299.45817348996803,299.35548792495325
20,299.16919585245097,299.1764473603661,299.29645869584573
21,299.09576950152564,299.0739448794475,299.2854779430161
22,299.0939107308893,299.14238026273614,299.24775785191116
23,299.0196272607582,299.203990507541,299.1881469382841
24,298.9616483384526,299.28871626784826,299.2770789797999
25,299.05377767242817,299.47331347679733,299.4919921383259
26,299.3812524845506,299.83169843040633,299.8631039596735
27,299.8676225126501,300.37349041961096,300.34516350540235
28,300.2464854817672,300.80684858294893,300.66493223403853
29,300.2892970290482,300.9113416570299,300.6588138421508
30,299.97972655563643,300.58111612550493,300.2404709379152
31,299.59283159426064,300.196007479717,299.7289796110667
32,299.37672865100456,299.9786842146956,299.37724450434735
33,299.28448785957596,300.1459998789964,299.2222674043394
34,299.33273436251505,300.4512480763008,299.18091393787796
35,299.3231969757359,300.6155080905637,299.0280249404809
36,299.4170694654244,300.4897699355767,298.96934887974
37,299.5626732196282,300.33665022365454,298.87953824519445
38,299.95353096038866,300.4442717185232,298.9658651646832
39,300.3509004546611,300.80264711434853,299.0902791352675
40,300.6690642880271,300.9241342032958,299.25181453323864
41,300.68466991376647,300.6952551150179,299.33295822326426
42,300.3723796914357,300.2125233634458,299.1624813088643
