Experiment,piControl,historical,historical
43,299.9787263746391,299.7690164967021,298.9083412381756
44,299.77160171384753,299.4116111555288,298.7043459608476
45,299.80607184038575,299.25678667121133,298.6618387932245
46,299.9923021950346,299.23618031575046,298.738028682992
47,300.0777971379994,299.2276482693232,298.7197666118634
48,300.15890342120787,299.1028905001638,298.70348461137183
49,300.2761718538729,299.0472040455308,298.78036016751565
50,300.4039532852341,299.2186202734759,299.08050002480076
51,300.71474423161766,299.5873441379026,299.5010791683406
52,300.8332596535428,299.9090214745634,299.95933648292174
53,300.79342232115937,300.0264745918634,300.10913356314194
54,300.20668944488705,299.9552943302026,299.9221876871267
55,299.68393138560697,299.8364322278872,299.56987003581776
56,299.30172453758837,299.7726277408307,299.32546599697497
57,299.3952097365834,299.80590511954966,299.2231379056644
58,299.4919919048107,299.8998249320927,299.2066854251675
59,299.4369879293307,299.9499053676952,299.2191282674334
60,299.29618345532066,299.9162512791807,299.34258181389697
61,299.3020324899123,299.94532178229423,299.60078235992324
62,299.55737351337854,300.2371462493148,300.0614285062274
63,299.8915977598502,300.6533293054451,300.5539489897686
64,300.1356479761858,301.0319677342297,300.9229531183832
65,300.0668947976662,301.0488969287811,300.9274679592766
66,299.667341325654,300.78785984147765,300.6954074232104
67,299.2012856448646,300.3664656537207,300.36109765009684
68,299.0864684055487,300.0881693870642,300.10054899693336
69,299.178567617655,299.94565267245775,299.97094480341
70,299.3672449185826,300.0028809679768,299.9493434627008
71,299.3878917752857,299.97408653154304,299.88720370316156
72,299.4731923119096,299.92689222140757,299.7512443011152
73,299.5790623797994,299.76164223160885,299.6168122519625
74,299.8362105321428,299.7703704159031,299.69156715490726
75,300.0687123119507,299.9536531780681,299.8978108755939
76,300.3435950178852,300.1768553979769,300.05902996530267
77,300.3423551310089,300.16768840514334,300.0400868200324
78,300.1503868887058,299.8595467841712,299.6564782336403
79,299.7780446399367,299.549283959923,299.23462733103355
80,299.60048496906,299.3303811556672,298.88636781764063
81,299.5524505220439,299.26155514973,298.8436784753438
82,299.582224274205,299.1239154690301,298.91603091223004
83,299.4162138276218,298.91543302717145,298.9457823490117
84,299.16625535347356,298.76457973066323,298.9805711126744
85,299.0650270596861,298.7645905806636,299.0623858983274
86,299.1948453881015,298.91635013348736,299.33851395505405
87,299.40750363670185,299.24702076965394,299.7460017720478
88,299.3774651792202,299.6023247427692,300.1066205423067
89,299.16632657814654,299.83240873483913,300.17052862870554
90,298.73516488425054,299.77658926124724,299.9400234940776
91,298.3860704517734,299.5866261594064,299.5676774802525
92,298.12210055762586,299.4646114017017,299.35170366414957
93,298.1822458764247,299.4409774049515,299.2188337295975
94,298.26686055433015,299.485602740984,299.20094724369005
95,298.312905447369,299.4594378996357,299.07072551120353
96,298.36784740874236,299.4796019484091,299.0075010559654
97,298.63908268086067,299.5964746382324,299.06771735452645
98,299.23090367497,299.8654118697472,299.357844690012
99,299.7807002864237,300.2513459630073,299.7196358289862
100,300.2298733782658,300.50267600160424,300.09005592297467
101,300.3192930961816,300.5770787231383,300.2430890273516
102,300.2172790295229,300.2886320833281,300.20752074649687
103,300.0977800861431,300.03709325080195,300.0524276814471
104,300.0682396404646,299.92141417939973,299.96610539131666
105,300.2339244657678,299.9794760782197,300.0183316664006
106,300.40612063351546,300.0317978508192,300.07744990503744
107,300.4925130255427,300.0185034349641,300.02259920894085
108,300.55512579553175,299.9578514745828,299.881854927954
109,300.53673640390554,300.05627962832256,299.89810299727475
110,300.59566202120175,300.24866940298097,300.07546940959423
111,300.9206940989439,300.5491440877501,300.3666563395416
112,301.15881009027174,300.7409831802278,300.57584235439214
113,301.1658968231514,300.6977245679347,300.53525763027886
114,300.65286775178123,300.38504267282525,300.2600596476406
115,300.1928834495082,300.0266427232785,299.8630617118659
116,299.94394899497047,299.71583346055036,299.6647154513653
117,300.0387881889802,299.7468164319204,299.68502019336483
118,300.2719860630054,299.87063865703175,299.8752109157555
119,300.43120788195273,299.9892352725702,299.96112606579663
120,300.34184379179936,299.8970442153181,300.08227849507836
121,300.16207139737196,299.8261785072914,299.951311130357
122,299.99693297476864,299.9148036627124,299.8645097082238
123,299.98063636014166,300.1444724132718,299.7868905874754
124,299.983327374448,300.30734843532304,299.8937001079053
125,299.80679311418913,300.1780449450484,299.92102695402286
126,299.235621544881,299.64480902898407,299.7554788666797
127,298.5713843526903,298.9120982546838,299.4635006556006
128,298.22351350098256,298.3448623765401,299.30381173961723
129,298.20556845693653,298.17259498222285,299.33057707227726
130,298.3085429872146,298.2264740919483,299.4957608437112
131,298.3009612207508,298.293153673507,299.5549300443204
132,298.4169579819075,298.35777570022174,299.54147316303573
133,298.75628504040424,298.5644363991927,299.70274716169297
134,299.21693992233486,298.9571844349434,300.02207100352024
135,299.6751758229814,299.4115918212489,300.39594029730216
136,299.9603620262473,299.77672954452754,300.581870524843
137,299.98763056581964,299.91126381163815,300.6307244445125
138,299.66979042138536,299.734204818102,300.4496101748628
139,299.28014692637186,299.4574315792635,300.2496265605192
140,299.02165891964006,299.2283743234993,300.1871611822071
141,299.0067799056794,299.20435057743686,300.3413917567775
142,299.1215913364783,299.3015461370796,300.54648809976055
143,299.1347528031922,299.4018460100114,300.6075401765443
144,299.03448750159623,299.4871734122321,300.5942224651119
145,298.793674392307,299.6240159888594,300.6027819263324
146,298.73265202796193,299.9562155928633,300.69889104367695
147,298.89065721440073,300.30043109915414,300.81065180502395
148,299.19031506754686,300.5076346722273,300.92855894517953
149,299.3428429028476,300.39176142029504,300.7552528230187
150,299.2712437328708,299.9478580634786,300.31852851853813
151,299.09639633885024,299.45355304785426,299.53886327624565
152,298.91202822031744,299.01535159490004,298.91374619423846
153,298.796388030865,298.91520342292375,298.5204593671458
154,298.677338384018,298.91710969302386,298.393330982868
155,298.6497888622516,298.89787000290085,298.33202591630806
156,298.76693696120856,298.81098082964877,298.3793365350404
157,299.11498121123714,298.89050867309425,298.81662361759794
158,299.6415459434149,299.24175476082434,299.3847240567577
159,300.3103109343746,299.75980927528536,299.89754594142124
160,300.80283811375887,300.1600374995528,300.0308493294014
161,300.9068837481968,300.25879171412436,299.9924352239961
162,300.69863805239453,300.1238842580071,299.68041885049416
163,300.52908242590365,299.94242442835946,299.39395422426395
164,300.7237874084952,299.9588307981823,299.14828995182614
165,301.0512515106575,300.09865945432375,299.11475914452086
166,301.45008629261946,300.273339985919,299.23703274950225
167,301.63596339129117,300.3295338049705,299.2424507080346
168,301.63267491963245,300.33949326104107,299.2339351236008
169,301.364386606017,300.44808512698404,299.26906505769165
170,301.0881366602407,300.7554244413563,299.58494812625355
171,300.82916648359105,301.195287221244,300.0324685409011
172,300.66496015240574,301.5063360510132,300.373115827422
173,300.14219298332193,301.42733448335326,300.4424011986035
174,299.37273860589426,300.97875453598886,300.2390675273362
175,298.5824095649163,300.5324208929569,299.9832463378263
176,298.17549331546206,300.3759924183086,299.8900734826992
177,298.1067924712747,300.44840903328077,300.0200226456261
178,298.1720338485807,300.5387358176355,300.2131821971296
179,298.22926079945364,300.5569571684884,300.310358368836
180,298.27498947358123,300.5495801346148,300.30718166193464
181,298.3621227735263,300.64201528841704,300.40902648139837
182,298.62578173176877,300.7844905041339,300.7183782018319
183,299.0908017370361,301.0850250157036,301.14468756741616
184,299.4375654474405,301.2676428167299,301.43685674422505
185,299.5569211489072,301.13151068721686,301.30741401926025
186,299.3807223526464,300.3845513276945,300.67276117230284
187,299.2189904306324,299.54426928036474,299.9363705802352
188,299.1673956421417,298.7903179922778,299.4675823624208
189,299.25184451868864,298.5672179215949,299.36029820649986
190,299.39099464072797,298.32153149006075,299.41155888843326
191,299.4676890283797,298.0890617417429,299.2973761695809
192,299.49629095633674,297.8908402485542,299.1897325187261
193,299.6185144622694,298.0757235696523,299.2015765081674
194,299.7887174720823,298.56971778342296,299.452149481551
195,300.09271610412213,299.04818794877843,299.9035355892741
196,300.4012448832402,299.4698495684747,300.2059311703254
197,300.60992729247135,299.589522140875,300.23671797249773
198,300.45688233999243,299.4879169289057,299.82067522978497
199,300.12454010579785,299.1251801624923,299.4415550449191
200,299.8239364964691,298.94672885291044,299.1877379826313
201,299.83940065807144,298.9274591158046,299.1093577683436
202,300.0071127938566,299.05817839633147,298.99608369618363
203,300.1289406930609,299.0239034721215,298.8772447657739
204,300.09508390383354,298.9804653442994,298.8794542549858
205,300.0473469165404,299.1004012858921,299.07834746814024
206,300.16404543673235,299.45746913933107,299.44402697682625
207,300.5214335479529,299.7468002865682,299.7766043054119
208,300.7789518771037,299.9811235200575,300.05232387029133
209,300.80893748899683,299.9383508379539,300.07634390981815
210,300.46396718902906,299.88755367577716,299.83868447504614
211,300.14303315023307,299.68399178393514,299.3832143681561
212,299.91955375464977,299.61338656685297,298.9717500112777
213,299.9819301330629,299.57883979078343,298.7083570358752
214,300.1257738299302,299.5974721046661,298.61866100841735
215,300.28003231779525,299.4921345395914,298.5486857202936
216,300.337325612994,299.35118460422717,298.6614350942886
217,300.5787594924372,299.38285277860297,299.040403750468
218,300.90170022265943,299.66431776476503,299.5970869387397
219,301.23342104314344,300.02154789645084,300.2257716791626
220,301.18333746673187,300.1601973024537,300.5906916532246
221,300.70806156821976,300.06317204515,300.6885100215493
222,299.8632535486042,299.6536884303032,300.3780982731602
223,299.0697735698365,299.2186044852296,300.082855718151
224,298.52060425069226,298.7951414319496,299.8120400067611
225,298.3702163066262,298.6534483360618,299.7954688884001
226,298.36451354905773,298.58857974952093,299.77640860645505
227,298.2990947854893,298.5541852146111,299.7875593088482
228,298.2904141778674,298.42476418415043,299.82296936156615
229,298.4850082754176,298.4674654572854,299.957743054213
230,298.9435796079713,298.7143286232138,300.2145135166409
231,299.42745934783557,299.2127168139422,300.4700668080838
232,299.68809085798927,299.6145387605956,300.68152930902727
233,299.69980971058123,299.759759639774,300.6229744608838
234,299.3779982578363,299.62303561809335,300.3082978305693
235,299.10552763360903,299.4594505443076,299.96103954555537
236,298.9306395554795,299.3946114243059,299.7250131527434
237,298.92606198093534,299.5423402774173,299.6327072368818
238,298.95421468323997,299.6533937944575,299.50206205992504
239,298.9492170078169,299.71172051731196,299.31547362153407
240,299.0471844899402,299.7608293015358,299.1242990329568
241,299.2778856662346,299.9601732554459,299.046136529096
242,299.66028210084147,300.3878753898645,299.206511318292
243,300.08783218850823,300.791573965977,299.49352310159014
244,300.4953429851518,301.17358794965475,299.81190986348963
245,300.74526904171967,301.36508454289606,299.9629152348544
246,300.70462946028914,301.4010163363013,299.89889599070216
247,300.45323249119855,301.42996874171195,299.72737846188403
248,300.28567325792943,301.59405356389976,299.54426445053986
249,300.26090335105073,301.97277490301934,299.61801681411026
250,300.40906411980006,302.36092589700735,299.68271280386574
251,300.57220884445934,302.53630048829626,299.63466344504684
252,300.7200354137713,302.56982617100294,299.42621497597
253,300.9252430857123,302.37334275303203,299.2580381836338
254,301.1873591453943,302.16568168996196,299.42633220325655
255,301.5499747923264,302.0768120408961,299.8486562778828
256,301.76538105499446,301.85603435278927,300.31647450259106
257,301.51157154988874,301.31945785311063,300.5756514809247
258,300.95281795580354,300.32892511858057,300.55437592768175
259,300.32080252458826,299.4078428317785,300.39071755967046
260,299.8772674421793,298.86792468221927,300.2573773655491
261,299.7596979774982,298.60237001483426,300.2856908381372
262,299.7503758359224,298.4586108734449,300.52808194763765
263,299.8273309693275,298.2345725349168,300.8463581836411
264,299.67856514809796,298.16739609660436,301.03013622647137
265,299.4061420368933,298.29330985656765,301.06730438420726
266,299.27456165124596,298.53425088190403,301.24307381803436
267,299.31782110816454,298.9380697921377,301.5247135842751
268,299.5902835730935,299.1869716101597,301.6719377996765
269,299.6502765678749,299.33700908603015,301.37904127403795
270,299.41886956501844,299.1667855211942,300.67601309707374
271,299.1190646082974,299.1330548269974,300.04734617913135
272,299.0105664127339,299.2206821822605,299.5425727707297
273,299.11415711696776,299.34789290367695,299.4102275822098
274,299.2118824529368,299.3934917577546,299.3721851757726
275,299.24542450981767,299.3290906620973,299.34560107060145
276,299.3788178972265,299.3279156479401,299.31791826653074
277,299.63939655300726,299.56894410657384,299.38319457838855
278,300.1417185932151,300.06240823668776,299.7672367565257
279,300.61183353111824,300.5933137333093,300.1538644349636
280,301.01670096159563,300.9365006389963,300.49575820958245
281,301.0179011602076,301.00794501267325,300.43642797967414
282,300.67558293982563,300.9563657071474,300.1429106591756
283,300.18850563344427,300.8585183134399,299.71416639978645
284,299.7050019374595,300.8956893927588,299.3498666247911
285,299.4968676883273,301.1792881449924,299.25074469924704
286,299.46047156176866,301.57807494402243,299.28770652750273
287,299.4304146219268,301.8508473088495,299.33918265837184
288,299.41753255356156,301.9308145308287,299.30133042678705
289,299.3976406378425,301.91336647901124,299.20729236977405
290,299.5707595770217,301.93801524939096,299.3339910197654
291,299.77954538882943,301.9983422634641,299.62054090886727
292,299.9114454296257,301.65063198625126,299.86378339056523
293,299.7749761638815,300.83634197137076,299.7427908962555
294,299.37099892114173,299.70668202925845,299.30612591882647
295,298.9404799547876,298.9168052644241,298.87655337539525
296,298.70824027858504,298.52471253379446,298.60275139522196
297,298.708676486624,298.28204848393284,298.52761591712306
298,298.7725285587093,298.0763872908512,298.5003748943983
299,298.79320986802117,297.87852212952,298.4161512455643
300,298.7706949275639,297.8368028842042,298.4163332584299
301,298.93165421833925,297.9592435879288,298.6183298326764
302,299.26041576821535,298.49234393174896,299.15620593674265
303,299.7780729614212,298.9188901146206,299.77532874833133
304,300.24798581969657,299.3560974450674,300.2657545634163
305,300.45693562942455,299.3270320415398,300.4217849029352
306,300.345240686934,299.17453806616624,300.2421649038425
307,300.14086699370745,298.9816477168651,300.0590419020732
308,300.0519017135112,298.8840347392477,299.9672087278605
309,300.16699458516445,298.9798353424963,300.0676814131471
310,300.3606071747594,299.0507942166146,300.2128915683236
311,300.5251518824493,299.00770984959945,300.2987117884716
312,300.61657180090043,298.8761833521416,300.3114795960544
313,300.68404375911706,298.772075612186,300.2396751668152
314,300.91018727155443,298.91276423531383,300.27038233754934
315,301.36503728001566,299.11922908008137,300.4979527378841
316,301.7442072140174,299.3030480270265,300.71556609424636
317,301.7781799204575,299.32441809256335,300.76071169147866
318,301.2626067144193,299.31468706489005,300.37790165595396
319,300.7995908580965,299.28189464268274,299.9688739326172
320,300.63450688138755,299.305985054428,299.73156398299506
321,300.8599290680227,299.3550162530481,299.7418679691886
322,301.23137242371246,299.4661369214977,299.87327617669393
323,301.5800339431411,299.5578733322725,299.8307577978761
324,301.81467248187255,299.63750740149766,299.7491030854828
325,301.8656573443868,299.76328408074824,299.6364418279345
326,301.8456412613941,300.088942312725,299.76855952651573
327,301.9788678137697,300.4721588915715,299.9929052902325
328,302.0952873533588,300.89500316949847,300.35105490686936
329,301.7668895387657,300.9756286158197,300.4421193707755
330,301.010111480547,300.7630027796541,300.33276225549866
331,300.2048342218118,300.42245701805336,299.9227353784213
332,299.74900303919065,300.35335392886583,299.5606845233319
333,299.71160459230174,300.589573251073,299.4418751537469
334,299.7817957909736,300.88408621147045,299.4684725268875
335,299.7437530514599,301.08710406582577,299.4778339387726
336,299.517145755897,301.098528949904,299.3425400377595
337,299.36284657463744,300.96689488351586,299.3994265475572
338,299.34046624658686,300.8818863588765,299.71984192477936
339,299.53564631016366,300.9866956211642,300.3379954941802
340,299.6146638793837,301.16785015774025,300.7756023120981
341,299.56848228150284,301.0962396917335,300.8634038991161
342,299.1011668907798,300.74260149045364,300.49011696586973
343,298.75085956848176,300.4140826009559,300.0967429340547
344,298.46274038934484,300.2479903084987,299.88968717403674
345,298.4479876673414,300.44384545824437,299.9443359608725
346,298.3801690345849,300.8170167360626,300.07513840084874
347,298.3396949557341,301.07481200861054,300.0831667027909
348,298.4296892688663,301.0548045694582,300.0294344742878
349,298.7243224608408,300.77491968147575,300.062912211555
350,299.127204958981,300.6544505268443,300.1512766315616
351,299.55402168920415,300.64821746842625,300.3296360412566
352,299.7798520043461,300.76917765649745,300.46825680212334
353,299.83257727632514,300.61796851368183,300.5184173411078
354,299.5604030779053,300.1785403850831,300.3404598351958
355,299.2180113862723,299.6297236424325,300.0478247360567
356,298.9848768694073,299.27923886702604,299.94292024243276
357,299.0300224041109,299.29270968849477,300.06900650660145
358,299.1272446325567,299.3692094323706,300.2346843767173
359,299.1561167805293,299.3526007269254,300.1829008775915
360,299.13768176589844,299.1955148515072,299.9610541157269
361,299.3056898961485,299.1270770415064,299.86844250200585
362,299.7239580310575,299.3134110737951,299.92819254555894
363,300.19745007372467,299.67352304472655,300.18782016378105
364,300.54937846152285,299.96963049824586,300.3502480949435
365,300.59963692635614,299.96564687873354,300.4216365843153
366,300.39840962423386,299.7277925758563,300.24891867856303
367,300.0628457808016,299.4178612711824,300.09648804710054
368,299.8979319444393,299.17833210008223,300.11877177161244
369,300.0083783264617,299.01697121213743,300.27272616295517
370,300.30837213926424,298.89947756108313,300.4026784518062
371,300.4534219029793,298.6849611141566,300.36693838957154
372,300.42341750543363,298.51666302665984,300.2025217934549
373,300.1942879160424,298.4824533434442,300.0014869026981
374,299.8755302459999,298.69323387705,300.1099819182006
375,299.5920263048913,299.0826471796577,300.3163929389362
376,299.50404843677876,299.38492408517794,300.53467206119143
377,299.51836556412246,299.50929428250487,300.4093434733379
378,299.4165916325412,299.3695632303513,300.17679069714865
379,299.23319495833374,299.23566695114823,299.7918679449326
380,299.18996745499004,299.16346197348304,299.49976896263007
381,299.3877968001677,299.2575293381103,299.38878993783027
382,299.55049819004944,299.3408073949336,299.421432305904
383,299.5830640257933,299.30963460324284,299.335232477727
384,299.56065345052633,299.2052093633136,299.20751669480586
385,299.7658051821582,299.24272822518736,299.16304489811233
386,300.10749512952833,299.5120279699575,299.31168827734217
387,300.56313831208683,299.9269702937424,299.47843304580687
388,300.94930529482923,300.2730395681089,299.6152497120025
389,301.07612862187915,300.45695154354155,299.64444375998113
390,300.79460676128855,300.43667750674655,299.55401206579614
391,300.39054708572917,300.40905217701345,299.354072537154
392,300.1781601367993,300.55600024338463,299.24337964462364
393,300.21407326925976,300.7884152451399,299.2050173299215
394,300.3533677929382,301.09532436226147,299.2235423525106
395,300.39863832068124,301.26304462023165,299.1055543139598
396,300.252434853189,301.31584030703215,299.02323783806827
397,299.75531193889424,301.25657380488786,298.9999226484329
398,299.18229599087766,301.2234842912569,299.1425270818833
399,299.0798652457407,301.24034129281944,299.45403664490783
400,299.1874147395603,301.1366386527134,299.80176827494415
401,299.3394242739256,300.6188132071814,300.02331802719885
402,299.02366262337347,299.64824674201594,299.813979857995
403,298.70603034772193,298.64831336183744,299.3992356576171
404,298.5647974807309,297.98121492663853,299.05661410592774
405,298.6200949864467,297.7658485034471,298.9800426037002
406,298.7721137708523,297.6534184600923,299.0612106922092
407,298.83489186346395,297.5246076168187,299.13750425357875
408,299.0440432046237,297.430885568232,299.2261546437201
409,299.36124952762367,297.6583619052488,299.39196185632545
410,299.9199924730004,298.18494414583193,299.6370972526029
411,300.3767016870759,298.8907950042315,300.03745617877166
412,300.6552076251251,299.4158689259369,300.4861332591721
413,300.54211280091744,299.56019810591016,300.6596523737476
414,300.1514790779395,299.380724577805,300.5221247030622
415,299.7856552915427,299.12357034745975,300.3221235830809
416,299.4068520858569,298.9174978571095,300.35188787151674
417,299.2238280251425,298.8122060055964,300.58927891928516
418,299.0819852934719,298.6902129672488,300.8918442476774
419,299.02220783059295,298.4931472582776,301.037780847048
420,298.9332947704936,298.33892188671086,301.0241633401197
421,298.9942438141702,298.320369977476,300.88750255727655
422,299.3391398803646,298.60304995827784,300.8890833697737
423,299.83332763284415,298.912981106243,301.0333385089867
424,300.28087870732656,299.2351842107659,301.14020977673204
425,300.38762078611785,299.3049463954133,301.019946883964
426,300.2370421884606,299.2452275518478,300.4985672472023
427,299.9995366488643,299.00473714889273,299.98934858369165
428,300.0261704235627,298.739581763814,299.6174851010073
429,300.215479547299,298.5645345464109,299.62709470549265
430,300.5216795729064,298.446870231264,299.64599739177226
431,300.6500173668397,298.33161790051173,299.5419940036124
432,300.67467135007394,298.1665038309662,299.35596534327675
433,300.49241486174515,298.1928832001941,299.0875768448596
434,300.3081060340396,298.42982862553754,299.12064606394034
435,300.2453411704176,298.9208697859903,299.27209585367797
436,300.26029305055124,299.17234266660233,299.50703062273664
437,300.1609932599677,299.2665718406568,299.4872668468219
438,299.77951978174525,299.0519034286265,299.32641872644837
439,299.32323954006046,298.82774087681395,299.1228162410498
440,299.08930128846004,298.8016428290701,299.091296403379
441,299.1751050979856,298.81298390292187,299.1362432297536
442,299.39230055199454,298.84711782848854,299.2202993220667
443,299.46525858498444,298.68888741308143,299.1982981802135
444,299.42365176854463,298.69842048237655,299.2260782027672
445,299.42921464300963,298.9157425623179,299.34532540166686
446,299.6100166201659,299.26447438326755,299.67642365835627
447,299.9189419638075,299.60786146048105,300.04374266677945
448,300.2932771424901,299.8509721208462,300.30985076834145
449,300.4882420270439,299.9742501645903,300.2540642948086
450,300.48841734585636,299.80046636825483,299.84434997113743
451,300.3716825863313,299.4776791277184,299.3653258179914
452,300.3640649550849,299.13912889332306,299.0507440402818
453,300.54452662878697,299.0513614409269,298.9627045829456
454,300.7508788128314,299.0544069797834,298.94440978793904
455,300.76050054875816,299.02440769922646,298.873620771689
456,300.63369924450666,298.97398989573213,298.9421221234199
457,300.36029032148264,299.179423727134,299.2236603080412
458,300.21288129042506,299.66518888787795,299.7106040529916
459,300.21137168282445,300.18906392485854,300.0933968725829
460,300.29291380330596,300.4903541792702,300.3772502958182
461,300.35061389166714,300.518031523937,300.38264827370085
462,300.1665220819845,300.2911660395651,300.1211774671187
463,299.8653812641912,300.03471768578714,299.64182444801213
464,299.7449078182846,299.8078492831116,299.2670312282264
465,299.7497086090023,299.81442638196035,299.15128759880133
466,299.8688186826642,299.92022838047757,299.28054704187804
467,299.75677855464534,299.9818787269415,299.3727531106629
468,299.653388878856,299.9857870599046,299.4124519771946
469,299.64251598409464,299.99717306600587,299.5064191324703
470,299.8724141996694,300.12132999253953,299.6995163632501
471,300.15987708825793,300.4082243798802,300.1342154731621
472,300.3904900596804,300.49621503984093,300.50150544276283
473,300.3225188062701,300.2803839680931,300.574955730837
474,299.9236091491968,299.5569820239432,300.14463258779915
475,299.3714832613343,298.9340196659877,299.5967465742033
476,298.89492266118555,298.5708826967942,299.3187039094607
477,298.901701402697,298.5697738540766,299.33179394449377
478,299.14464789976915,298.6213363198698,299.3888634796451
479,299.36628008885094,298.5985290100902,299.14083146210106
480,299.35809527443166,298.6182775490608,298.91652792154173
481,299.366905241183,298.83179329939026,298.76293697491855
482,299.70539936746474,299.2623184541348,298.88976895648443
483,300.14122792357983,299.6905559304751,299.1994852189843
484,300.4828497162153,299.95598534424647,299.53854285044235
485,300.43161465056704,300.00048572042635,299.72868605457023
486,300.05225461096495,299.8302182187586,299.6231945191141
487,299.5745499490175,299.70180162565276,299.51089516528447
488,299.2333922820248,299.64102531248363,299.4388216858993
489,299.14025967408037,299.73353853174524,299.46907950068845
490,299.19237247818313,299.82329224507527,299.46345409592755
491,299.1657218047489,299.8303730393011,299.37231519395465
492,299.1640888402501,299.7735680582163,299.2795823540636
493,299.24838394969237,299.88147843766046,299.37584783242374
494,299.61186083051575,300.23610715771105,299.70198915948885
495,300.1092816797059,300.7952505645529,300.0627183311088
496,300.44325030749354,301.2965967382832,300.24052789392874
497,300.4237070590793,301.58685622157276,300.22639585747976
498,300.02324196416436,301.57132224715417,300.0373789200455
499,299.595927125425,301.5252708086703,299.8395758770949
500,299.25355944486495,301.6618388521036,299.679597365255
501,299.07416704730457,302.02518889709563,299.6422745750593
502,298.94119263364183,302.35798321179055,299.58002971922883
503,298.8853372567682,302.5116681539775,299.4764762680115
504,298.92937581173084,302.5054781658593,299.40048420989655
505,299.2844028734109,302.404397772922,299.4781731172534
506,299.77902888068564,302.30044317692295,299.7800663808595
507,300.2260179241468,302.27562576423117,300.280380161108
508,300.5133243329908,301.9504135427644,300.63144347584074
509,300.48968794598045,300.72889672438856,300.6545522838594
510,300.3461311684696,299.26124052980686,300.30006371087
511,300.1956378622347,298.2192393579461,300.1004818045299
512,300.25643019029366,297.9332853264995,300.11117979516604
513,300.42121660267446,297.6727617903288,300.3888515568462
514,300.607046666803,297.40595416283855,300.68621393795524
515,300.5370307507762,297.23532867503565,300.93755284600616
516,300.3454660310221,297.27168826555766,300.95197334227447
517,300.1251501354704,297.5330316931086,300.840163255498
518,300.0630777008533,298.0569136072263,300.7971884773717
519,300.186120940487,298.64850807757483,300.8706053338348
520,300.2639205271228,299.0441606513125,300.98825806932285
521,300.2425483583782,299.14093727375626,300.7856273547597
522,299.85453999384885,299.0781473153303,300.4008666584726
523,299.42534509413326,298.9621952376105,300.01662066954685
524,299.2195809928899,298.9530814950154,299.91901552869285
525,299.25821799665067,298.93822724715056,300.1071282051355
526,299.34483066127603,298.9751153354386,300.37489282170037
527,299.2278401820493,298.90937863445475,300.5762604852908
528,299.2194439737978,298.87585102652264,300.6161683037144
529,299.3178644665968,298.779892420954,300.5385183519665
530,299.64848130332524,298.7401766958497,300.47522659240957
531,299.886413250389,298.9098927850157,300.5162955614925
532,300.08877142937695,299.14027417483607,300.61750705333367
533,300.0563146761315,299.3789861764685,300.5787856917936
534,299.91715747466657,299.3977433663646,300.16877837715
535,299.6826465708944,299.3505616163216,299.6575269032547
536,299.5846968474848,299.38995173090154,299.2488031402463
537,299.7003040671554,299.48046467670844,299.2384614951204
538,299.9118548136489,299.60234600686175,299.2500596824995
539,299.9889320383468,299.5947595125656,299.20909501768557
