Experiment,piControl,historical,historical,ssp245,ssp370,ssp585
Member,r1i1p1f1,r1i1p1f1,r1i1p1f2,r1i1p1f2,r1i1p1f2,r1i1p1f2
0,,,,303.3002476863628,303.34354992226923,303.3324553921662
1,300.09375359595214,300.1624099457592,300.21421017846603,302.9532735706834,302.8903995540762,303.1615042749884
2,300.4331977053292,300.5615337004831,300.8392315860105,302.89434134260273,302.63971889908635,303.22319531597867
3,300.81665412118565,300.8130374121568,301.3559345144579,303.2466162408851,302.7869229784067,303.62788180255166
4,300.9925377613559,300.88548160183797,301.6015431683167,303.6102543143906,303.05545338940914,303.9825584117641
5,300.73617619968525,300.5117189509909,301.20901659312926,303.520615916502,302.87688070193803,304.1066387407882
6,300.06427550452423,299.90385039759553,300.70854609366177,303.18778103176084,302.5470422523804,304.00249274690117
7,299.5321660552032,299.6746572839051,300.31764232255034,302.8836324299302,302.3452221295274,304.0936439716622
8,299.5585956800034,299.83847317916707,300.32481944124083,302.86122086402156,302.24580390447926,304.2127616209096
9,299.8593938093359,300.2137326596957,300.48355566024054,303.01372345245727,301.8987158478813,304.4181287017283
10,300.0456914946883,300.23274093937886,300.514187699856,302.87918369674503,301.432299395057,304.0318208688638
11,299.8981823862518,300.1753272790249,300.45296742240697,302.4406697542658,301.184508391771,303.3266535186465
12,299.87517131060747,300.27237468965683,300.4048769346084,301.79707168357396,301.32220418642146,302.62338945896175
13,300.017896091248,300.7421787404783,300.52131518209063,301.6246712592594,301.58199520602363,302.3568120406592
14,300.38465470372813,301.3613304527267,300.77936102398013,302.056706515778,302.05599465538836,302.47851391991935
15,300.82810243754966,301.92789382120895,301.0877543105787,302.54187654312796,302.50855775173187,302.73815150912526
16,301.27470371296124,302.15882186244545,301.1911056280308,302.7853699104801,302.84470187031275,303.0170126399643
17,301.27337904822963,301.8790398453738,301.0186143522389,302.5161776235823,302.5985137093994,302.9671251089215
18,300.8013981237876,301.21466767636946,300.5905913162481,301.89405187054916,302.0190763493275,302.3544790066708
19,300.09691356663325,300.7159920773864,300.08094592248557,301.28523174061087,301.4534298324961,301.44658545073565
20,299.75565779319516,300.6587908257181,299.97576859743225,301.1061168841706,301.2979702255018,300.8574793362473
21,299.71613983885226,300.846164388799,300.07073742767534,301.2240928059074,301.38477807538675,300.7732639604494
22,299.81532625156956,300.71692091120383,300.3551425693784,301.34063300944166,301.44889531142377,300.8349275443641
23,299.92795817773646,300.5952150802175,300.48995406520663,301.2803493876258,301.2520181256721,300.9137100991714
24,300.1369362730349,300.5518049846391,300.60037798171453,301.3060794659578,301.10525395082254,301.12323055969017
25,300.32947468766497,300.743985155651,300.82988057009857,301.4946222847885,301.1213129068207,301.4913824655469
26,300.555211810092,300.93159621799623,301.19503264169543,301.8256724187253,301.4316430954482,301.8567979199795
27,300.82545158439524,301.1382411931257,301.67127669279984,302.0904596186311,301.75424621719395,302.18071722052895
28,301.1228709617281,301.2300986362791,302.020775218397,302.32654460940165,301.94512034245804,302.19541972133896
29,301.19743074751665,300.94825014074087,301.75566009148,302.1328161496644,301.77904538435627,302.01474313139073
30,300.6185167820831,300.22442842887517,300.8546941448181,301.7177548965251,301.29731935276226,301.54992276077473
31,300.00539092930035,299.7658090533807,300.2048454720279,301.0338186831709,300.8476637351555,301.2276693884464
32,299.71262995345825,299.75006369760837,300.1150127859849,300.72344177820236,300.8820194013879,301.1805915689757
33,299.8222610736229,300.2504575892147,300.52965828215207,300.582444787365,301.0902110213308,301.30807394266844
34,299.99445204939735,300.6056059591887,300.6906006915463,300.68729706463955,301.2096080512026,301.51097321936055
35,300.04242777551804,300.7086470036668,300.67723896713574,300.6545595895005,300.9082903096477,301.5275568386205
36,300.2280352263835,300.528634994147,300.51083980195665,300.66233089242337,300.7174376105691,301.4568257815569
37,300.6148260119613,300.49240217262087,300.65120880890987,300.7417595787471,300.80967547790607,301.5293336368952
38,300.92809686759574,300.8020363025064,301.0386664629449,300.8956066504067,301.2587204042534,301.95113884120946
39,301.1893017934392,301.4305601931217,301.71626557796725,301.23674787958413,301.64675097978983,302.5177527356488
40,301.1779912266928,302.04667067340387,302.15821365098606,301.34481091762746,301.80619322539707,302.94435891290453
41,300.99982717862275,302.11935691321736,302.10630882927086,301.07045059331193,301.4192800740418,302.6927240108207
42,300.5220417476982,301.82125347024396,301.49204164742963,300.2656951734735,300.83676345745187,302.0992945689552
43,300.3981377694567,301.3726433911647,300.88477332756895,299.8496995975562,300.53263942567605,301.511589257205
44,300.45981150039984,301.19434824191416,300.64778125693,300.0462526767781,300.7209075090901,301.3515705521034
45,300.8815103658433,301.1684287806506,300.83674433354173,300.56621640753997,300.96215913300875,301.4809649559881
46,301.0842203013403,301.1365909304605,301.0534101208625,300.82180313684535,300.9695943802557,301.57678891667024
47,301.22545040566575,300.889933661659,301.0841195696712,300.67228130208895,300.694232752594,301.44134683108723
48,301.30012076395604,300.78254023138766,301.08191324459057,300.55837304779635,300.5739160112303,301.38390300943735
49,301.4054930913702,300.84813265294184,301.37168653162684,300.6916179642748,300.7749536637156,301.4741259921038
50,301.60392124362926,301.2438208908903,301.9790566580113,301.0996679351054,301.2290196920999,301.9680703332601
51,301.79277738935735,301.7272242707448,302.63777632572675,301.53487962621097,301.79978071633667,302.3638925865154
52,302.042366114205,301.9946788849864,303.0155269896433,301.5673111927675,301.8725324993373,302.73957842288775
53,301.96493887437344,301.96778487119786,302.94853129619787,301.15753472550404,301.4578255187652,302.71827547998083
54,301.76526323012547,301.4982250368536,302.4399592371274,300.4775946269583,301.0726142168441,302.3012909912646
55,301.6390674988984,301.2246795937247,301.9648327371244,300.1065520632199,300.7152210372859,301.82075374134917
56,301.5818084734399,301.02040311662853,301.79886465700423,299.9424279667923,300.73075601489785,301.5499025867953
57,301.7085810286563,301.01041457905103,302.0312070660419,300.1580521816943,300.51851412370365,301.62917529495166
58,301.5407220309933,301.09310837228577,302.05613579076004,300.41235676318485,300.54553353740584,301.649374500368
59,301.2580636596802,301.1738392357374,301.821915259618,300.6712947272743,300.6284920081587,301.5080628158195
