Experiment,piControl,historical,historical,historical,historical,historical,ssp126,ssp126,ssp126,ssp126,ssp126,ssp245,ssp245,ssp245,ssp245,ssp245,ssp370,ssp370,ssp370,ssp370,ssp585,ssp585,ssp585,ssp585
Member,r1i1p1f2,r1i1p1f2,r2i1p1f2,r3i1p1f2,r4i1p1f2,r5i1p1f2,r1i1p1f2,r2i1p1f2,r3i1p1f2,r4i1p1f2,r5i1p1f2,r1i1p1f2,r2i1p1f2,r3i1p1f2,r4i1p1f2,r5i1p1f2,r2i1p1f2,r3i1p1f2,r4i1p1f2,r5i1p1f2,r2i1p1f2,r3i1p1f2,r4i1p1f2,r5i1p1f2
0,,,,,,,299.60199066594413,299.6603546505085,298.22322104353754,297.807063395906,297.94971342186517,299.62224862821245,299.92862762825627,298.40449569463584,297.7429212504897,297.93155727531973,299.5813163275856,298.4288508695568,297.8013762675686,298.07541312915595,299.68494446033,298.40406112755613,297.7914930966003,297.91952371259214
1,300.00298888329377,299.0564955582092,297.89919412923405,296.3221570473203,300.24920009759035,298.93377834491224,299.5693434493292,300.20674695866546,298.21462953830746,298.3046627127271,299.02592929940334,299.7601882532977,300.5155021889724,298.90190475653355,298.23093943995156,298.73897231572545,300.1937737341607,298.6273956914603,298.56442120436213,298.7666377480704,300.1546284858701,298.65583551538623,298.1663720271598,298.80556497187183
2,300.72255639415044,299.393959946156,298.8682198474557,296.7891967217437,300.8540987135102,299.35440697778364,299.70325437940573,300.89791542607094,298.6059773586888,299.0894570640491,299.86154576046084,300.0105431291832,301.20684382452504,299.67256176336673,298.86617240131653,299.57801318891,300.8817936813842,299.23592308839756,299.48482373949696,299.3607703806712,300.947576211363,299.24392301418,298.70415961710745,299.58738108127915
3,301.2165818061308,299.8134400155207,299.68324091429326,297.4096237158578,301.37303455782035,299.7875811490568,300.4844852165477,301.45128627226865,299.22833978278044,299.82769360981143,300.48821874171875,300.55704342204234,301.66517681906663,300.5213243958687,299.5769257130335,300.53658524845645,301.68390077367314,300.02855626203507,300.26014873749267,300.0288738230004,301.6356450585585,300.0561002269683,299.4233418367358,300.375660720246
4,300.9002113002241,300.2419081778062,300.03045431888535,297.88930537303054,301.2100805752525,300.05246937023696,301.05444792912664,301.6147749008137,299.6416262122977,300.554402383002,300.6908354261571,300.6445349922905,301.9049224105068,300.9253403668803,300.14228929058214,300.98651205431923,302.03592745411623,300.60940833610636,300.43822203908525,300.5512033094083,302.00556101966777,300.6765263985126,300.1617471140764,300.7528132874929
5,300.2599648986782,300.0139814147307,299.76699407656935,298.0640592456259,300.6131048129244,299.60388577501953,301.16612569071725,301.32442046417646,299.6414812378902,300.6609798521038,300.5918460993958,300.5426901017062,301.6647641492997,300.7459165656324,300.4976384285656,300.9019529452045,301.85348471769606,300.6935814604189,300.1529017663317,300.81117893665777,301.5766433966558,300.8371485499304,300.4631967825397,300.87078760812796
6,299.29750137555527,299.4182458538324,299.24754613793704,297.78083876399364,299.65006316757376,298.75461270372523,300.4761120913543,300.4107757888643,299.40588061051244,300.5398921139185,300.2413883822532,299.89369822854496,301.01027533927453,300.2551049319211,300.39511133782645,300.3706514706624,301.3384615486964,300.29455836313656,299.4938336584894,300.4479873733953,300.7413366190236,300.6678680970999,300.349475420423,300.5360843150707
7,298.52681708925365,298.90942230050354,298.6351373361153,297.25999182340865,298.8121166608116,298.00172557341824,299.7654576042678,299.5017812122066,299.13939692063644,300.21641763730344,299.7150237938967,299.31457246235544,300.3970648581582,299.6733783627197,300.1068389793761,299.9952716296498,300.6901456661059,299.9491617445279,298.9620654319713,300.2146950118649,299.9795733532551,300.54271047763194,300.1283619587894,300.21911059841074
8,297.9071549192959,298.64809762595877,298.2742676641492,296.76918576327165,298.3158478167517,297.76454966737543,299.26849810195426,298.88216440966255,298.9064928763252,300.27477178842804,299.6315287591995,299.0967020652802,300.25089066876495,299.58723237425755,299.97335598806103,299.75957635315876,300.46846051163305,299.91764218485906,298.71847040403014,300.00213585807046,299.7024309651099,300.6812412525575,300.0723049698172,300.19768173565126
