Experiment,piControl,historical,historical,historical,historical,historical,historical,historical,historical,historical,ssp126,ssp126,ssp126,ssp126,ssp126,ssp245,ssp245,ssp245,ssp245,ssp245,ssp370,ssp370,ssp370,ssp370,ssp370,ssp585,ssp585,ssp585,ssp585,ssp585
Member,r1i1p1f2,r1i1p1f2,r2i1p1f2,r3i1p1f2,r4i1p1f2,r5i1p1f3,r6i1p1f3,r7i1p1f3,r8i1p1f2,r9i1p1f2,r1i1p1f2,r2i1p1f2,r3i1p1f2,r4i1p1f2,r8i1p1f2,r1i1p1f2,r2i1p1f2,r3i1p1f2,r4i1p1f2,r8i1p1f2,r1i1p1f2,r2i1p1f2,r3i1p1f2,r4i1p1f2,r8i1p1f2,r1i1p1f2,r2i1p1f2,r3i1p1f2,r4i1p1f2,r8i1p1f2
0,,,,,,,,,,,299.149253603149,299.76072360250214,299.06130446501703,300.3807623735867,298.82624314795754,299.12627029196443,299.79475882801574,298.9187484900872,300.42405936506174,298.8100679902137,299.0707941873047,299.80859335416693,298.94365290884497,300.30677707474405,298.76660918914894,299.0980863222594,299.8119121081014,299.1440105858897,300.4100674411547,298.89940956381747
1,300.91065541892175,298.5193593588944,298.8997320499901,297.03584992761154,300.95609716829773,297.97499002346234,300.5148897281792,299.31418640050964,298.4135989564156,298.10883379171617,299.3928059258842,299.51718492590095,299.3839542472417,300.6561562312699,299.10830673098354,299.45199483011754,299.76663940590083,299.0997738483015,300.7253537735184,299.2358057817932,299.1390017770247,299.72063833974374,299.27156271778045,300.50485895234084,299.15867342975724,299.50560960126546,299.62789946047366,299.5381059138003,300.8182970751206,299.38534766195266
2,300.92598019065,299.22178898670376,299.23283420176256,297.5901247846892,301.0536493973746,298.76771854731675,300.6218947374178,299.3911273015215,298.6013155718943,298.7433825402663,299.81142886286506,299.57693332357854,299.77467993185815,300.95018243179976,299.68329711911707,299.97557176224126,299.90973110263457,299.40841906783135,301.03921727044286,299.79558588036565,299.3234315550164,299.77377322391135,299.91400507011815,300.728253307678,299.65053023339414,300.0700156475639,299.7335305383254,300.1288676872707,301.29149676375334,300.10000486030293
3,300.6481363443067,299.646166445311,299.4192851724574,298.1890273952578,300.9260550322329,299.34618950775473,300.6017905963416,299.45653842756326,298.7729752327026,299.28975976331077,300.2897772216734,299.65935665292744,300.13079609619234,301.1140839227944,300.1265774282345,300.4875263471732,300.01708617799477,299.77965834543824,301.1135568410014,300.36318985028254,299.5527037604897,299.90642650717376,300.55649511574865,300.5772414740131,300.1390932518169,300.58764394611154,299.80875670443083,300.6549030093517,301.3612286858176,300.6858525770995
4,300.22015037316214,299.8074752444219,299.1296387029916,298.53210773496136,300.1714897497398,299.4142786328529,300.490367877255,299.58879887820035,298.6983701447259,299.41737115524126,300.71981234855815,299.75468840584114,300.36396969106096,301.07450056729675,300.3586231899329,300.83406472287174,299.7287716998346,299.97148477516345,300.94784993700796,300.67355026537166,299.8026408026802,299.8173752130719,300.9658328377014,300.3766525625466,300.36039117599216,300.8472466204328,299.76013061096904,300.8528811729843,301.0698199706212,300.8855386972016
5,299.42894479949956,299.56852892529685,298.4436216148906,298.7178629459762,299.05857505895773,299.0030116277233,300.22139758234226,299.41567506468544,298.5494364767797,299.43808633898607,300.8086440960281,299.5980326071818,300.3040550890275,300.88218265884257,300.21765634468494,300.9321117643095,299.2000538273975,299.8465061764998,300.6733532309276,300.73328866041425,299.79395297353227,299.4734181630958,301.00904900618656,299.8826019944142,300.4001449610434,300.8840575812241,299.23615631455056,300.5246247464627,300.7473390803309,300.71508602918743
6,298.6939987933984,299.0474042396867,297.7340048310853,298.65811244431166,297.94363410876645,298.54637317460515,299.72367351044505,298.72382804456333,298.14831866592044,299.14661332342195,300.5916316140543,299.28413572180176,299.77767394764976,300.41155798640114,299.95750015451574,300.8131650097611,298.70377182849876,299.4520657336739,300.26031884730315,300.5856856961643,299.62171955461866,298.9137346080745,300.8590604772825,299.48583456229284,300.2984938459211,300.79052879983584,298.3663181969437,299.5217374565322,300.3264870983319,300.4574814050557
7,298.18759957287915,298.3851314534372,297.12619894310046,298.634743663984,297.1665043537626,298.16455760753837,299.123948560753,298.23140411854587,297.75884813151123,298.6303939461192,300.2343754006104,298.9923590603,299.12955732760935,300.05480530207166,299.71730077822303,300.72040665612377,298.4293511509431,298.98167137225823,299.91899011807595,300.3897987732135,299.41587567327974,298.51753558711374,300.5098946251452,298.9603403869998,300.10050387810406,300.6539321999237,297.56727952560703,298.53288597830493,299.8036977958189,300.2057887813912
8,297.9558753485032,297.9647349188628,296.55255579987914,298.6927034207664,296.81897441612784,298.05723350954094,298.7279888989895,298.02529124928736,297.5126322893254,298.27187697501085,300.08414313398185,298.8530600279957,298.68102876064575,299.8716922951233,299.6505168824829,300.82893675815336,298.23509643059964,298.8178850101031,299.868743388967,300.35306085088536,299.3997627087819,298.43029258422456,300.28175655204035,298.60449482348855,300.09390487605225,300.7512994947583,297.1501477149762,297.9865258877374,299.22112490302607,299.9734946629798
9,298.0245508752485,297.8360673510645,296.2941752037778,298.79152816309386,296.6744017912235,298.22209573942854,298.6424240648062,298.1950909086116,297.43888850476407,298.2223721113043,300.14204828224746,299.1333123610537,298.6880411070562,300.02060502589256,299.9192471992465,301.19998576345756,298.18074004725287,298.8758589226504,300.23950586310116,300.52349716407144,299.6383980735488,298.65386605499833,300.24398154883147,298.4617476710136,300.3265788415435,301.0360398362721,297.35152143920953,298.1169658213068,299.01261461136903,299.9008336668803
10,298.0513594395364,298.00740025182216,296.1956491619289,298.85226255888256,296.75731561708795,298.48011100749727,298.8190594257903,298.39861129945155,297.33143901757114,298.442870727881,300.40953615472574,299.4440975257991,298.72905491268506,300.21320538358754,300.31839175485,301.63158382846575,298.2782087930269,298.99951049426824,300.75367071976063,300.6716607901953,299.99027737210776,298.89205666034724,300.379025570596,298.4894093837186,300.66703573530816,301.35426555616004,297.66504278243065,298.39165812332084,299.2003192499153,300.0490670799082
11,298.1296998103237,298.29046445011437,296.19534254267813,298.8942816637062,296.8342015675903,298.81281953882655,298.8623639503857,298.5046320501005,297.2458490245195,298.57208135701933,300.6327901330438,299.5992174626129,298.72154830444674,300.3826497272177,300.62996215697603,301.8699625165087,298.4928091375994,298.9721163918689,301.01152425188315,300.65091188453374,300.2763772283829,298.9999534935077,300.48410545105304,298.5375616200178,300.8978660348592,301.38699798958277,297.824386031805,298.5043450097339,299.4027776501069,300.3566206740802
12,298.0650978390452,298.66068067089054,296.38982777801374,299.1486464956072,296.9045686861424,299.31803182688833,298.78753844238105,298.68039894954563,297.40819372997055,298.81899984387957,300.7159805986972,299.5264045783137,298.55406729759653,300.60384140504175,300.71075941815394,301.8890958409101,298.57966315210575,299.07324177935226,301.135776966549,300.5611027134367,300.29898566043465,299.0001030283695,300.47356267817577,298.69962000936243,301.0340879434268,301.33584496997446,297.8619118431227,298.6555751270021,299.6691457794693,300.68174639689914
13,298.19848095291053,298.85236301208306,296.89673649235914,299.52863528914094,297.0537761943441,299.8738018983295,298.33578469537105,299.2108455977719,297.8017295681199,299.27053490787546,300.86171709835713,299.62487061783355,298.6681596947399,300.69526950378685,300.8308323347414,301.79049919425603,298.507632847508,299.33470743823005,301.15643851221233,300.5107354320883,300.2897196411747,299.03759097760025,300.3706619575865,299.077137446967,301.1835327734941,301.32271319841317,298.0624435687284,298.8514701564489,299.9677456312509,300.8674880232638
14,298.433195550068,299.0990622275749,297.57055759933036,299.95035924272025,297.51634755891365,300.3000435537926,298.28212436200437,299.7750339100637,298.4510316484265,299.8873027351605,300.9243946429611,299.92229773301887,299.00875374081124,300.8088031075999,301.13607945741546,301.66995577551563,298.74369776901625,299.60767407756697,301.31768295752846,300.59712808542383,300.3857812029051,299.4449066645568,300.39336512261895,299.8751212884304,301.18913093598434,301.38176521880695,298.6693225233687,299.2129816479484,300.4186699330385,300.91763971498807
15,298.63801693617796,299.35238998639755,298.0769640319077,300.3845388259713,298.0948461861099,300.4170773342831,298.22159693747614,300.1109721553299,298.9622138854989,300.3592079139057,300.7466181257233,300.27036012683624,299.4958501673913,300.72921180865745,301.5393981916892,301.2540174382662,299.04315992520736,299.8000993183582,301.23410171808683,300.6963933863873,300.56703697677796,299.9184130460723,300.2657488851603,300.4139876456081,301.15391081578935,301.33855124894325,299.2363129147914,299.539028770728,300.6928763401142,300.8978938593595
16,298.70838554866583,299.62022311326956,298.3553814141083,300.6710464616345,298.3681543764946,300.4561767311518,298.49863857239103,299.94000953346125,299.19748469241534,300.5280154490469,300.40999720579043,300.35016071122664,299.77129452102054,300.4970119124285,301.76497159855506,300.4939781596017,299.3434468266335,299.8536970146251,301.0172952035498,300.6620462904793,300.70069898828257,300.4772387748314,300.0913554329298,300.7633476160073,300.9440170635591,300.9066751099469,299.6410187794752,299.84654501030667,300.86386865164314,300.7474691655378
17,298.4965534484237,299.5459383446902,298.4470550711538,300.718975508139,298.2147911427872,300.385131741261,298.4072733069331,299.6537453343681,299.07174491976946,300.4423325074728,299.9106555027098,300.0339927352251,299.66559800075487,300.0742296647689,301.6028971084601,299.6562953377495,299.2972904979472,299.7601332825085,300.56479709261276,300.37646672250315,300.5596656844608,300.6288831747684,299.633401218151,300.66917509062,300.8374945098513,300.0323292369782,299.65222218353347,300.00651284619,300.8684447146772,300.38447943369744
18,298.07289751818513,299.2245981097153,298.3345383591026,300.3256383756431,297.9773037423044,300.1181265433268,298.1650506996235,299.3903423605923,298.7746595318551,300.2873918294403,299.2789690996747,299.5874040013546,299.11268169078113,299.4282147466189,301.0457162542898,298.9971978073363,299.0401048525973,299.4980019364078,299.96924641952097,299.69611214159477,300.0025050592145,300.6215250745849,298.9521438379806,300.6798863559758,300.5056194514099,298.9991113092271,299.58720207296295,299.6645746827417,300.766651093541,299.3084268464858
19,297.60527216305445,299.02476704714036,297.9222423848194,299.82305753302154,297.89753130098677,299.53368341849415,297.7335654360563,299.1269733669397,298.35181886860545,299.98690489558004,298.6661395378176,299.2216229745222,298.43396344742126,298.6916666625048,300.4754654478223,298.530478018693,298.6278728699005,299.1186507036666,299.3703794034045,298.98311001372605,299.3766357168449,300.4083199748075,298.2329182095184,300.66707514382915,300.22033857953596,298.05784294150175,299.41780582252653,298.9416024590216,300.5389656279377,298.30372106542535
20,297.4449287271913,299.1442879817949,297.5399168839158,299.3606553737559,297.93849074656845,299.15312606481666,297.5248348296226,298.90176655295653,297.94140424266504,299.83120584245967,298.3496821517302,299.07255221256816,298.17034767450656,298.1328060353928,300.2052870169032,298.2639943556505,298.23467641225216,298.87705751789207,298.9403994178263,298.4191940632529,298.923341708856,300.286083904071,297.83949134714436,300.83722710368494,300.0360715515405,297.6999764146004,299.2761651973272,298.1340548268758,300.4201459671597,297.81635713092174
21,297.4839745561523,299.4742053741659,297.2878837313103,299.2067214566392,298.11168317574675,299.2307146318792,297.6243220352728,298.7909553321856,297.70508365970153,299.89702579051755,298.55039909205317,299.14307567435725,298.30543320873306,297.98343611666496,300.36707757287536,298.0358136934597,298.09224426131686,298.75143926733955,299.06616001302984,298.231989649886,298.9198650959002,300.39115318768995,298.03653710265604,301.1397649312694,300.1290821554876,297.61993552634004,299.3694108388754,297.8178668375122,300.56071301222397,298.08535630280835
22,297.50345119340926,299.8329730294091,297.301023762393,299.3419439502405,298.33020640529065,299.61623696659257,297.8887589503192,298.7848122554856,297.6494063309781,300.25415321926147,298.77169880197,299.1442437849242,298.4841112502035,298.2530598653678,300.740423823683,297.9793438967902,298.15608596332225,298.78207543604844,299.4200207005885,298.2500316082941,298.94420469577585,300.6058647129716,298.4551906370005,301.4868350157147,300.33153650223954,297.9139154733867,299.62272841961845,297.8317029134301,300.83443874070593,298.5506481804576
23,297.6214639444808,300.0627945015044,297.3698383335836,299.6014993860243,298.6299630721891,299.84209874613316,297.9705311115428,298.90780801579734,297.71346824861615,300.46470488521277,298.89604567049423,299.1595323276445,298.58636748379575,298.5652196483666,300.96712146744255,297.93591910623735,298.2247404382027,298.9456184887738,299.5617347101772,298.3069081862848,298.94401180690596,300.8401463413729,298.7196409020049,301.7210799736547,300.50122923768595,298.15951191638084,299.9098597170452,298.0288970628149,300.8703730194793,298.68257610895415
24,297.9499224468412,300.19730173885006,297.5356141708232,299.748696787977,299.0558518462686,299.6255333258112,298.05673244345786,299.19233531700735,297.79377810012994,300.58275252447214,299.0429401473369,299.4146792629083,298.8790475035555,298.9071535357244,301.0828380246725,298.38983838936275,298.3708619496078,299.315975243042,299.3933361292164,298.450401906654,299.10468823968995,301.02202140678963,298.97916054183037,301.8605712322499,300.53852244694855,298.1499502845643,300.13243521534537,298.4796018978375,300.7791942225303,298.77846007622554
25,298.4375391975174,300.34845360654134,297.85105843643015,299.62569616829677,299.74029048290305,299.15916337666533,298.15401115135575,299.5087730491808,298.1272545300421,300.7327475325413,299.3810397681791,299.9305106349672,299.2469043024517,299.08247602995766,301.0028474120034,298.950938681287,298.7445769993813,299.86411271112564,299.2155808340558,298.76504291966444,299.5742495309475,301.25640343639407,299.13493594484953,301.9622469564882,300.5076492342807,298.03151527407334,300.5056777369407,298.7438871343538,300.62403254474447,298.959085988279
26,298.97343412259596,300.59030793956134,298.3291440289184,299.7267857573407,300.5309939571004,299.0389691586485,298.58583166666216,299.8163942641051,298.7483261705267,300.8748212672925,299.7720827506919,300.53542875094996,299.7520464695686,299.52973197743137,301.0601083047506,299.4405703639801,299.40819069285664,300.424828177879,299.51531908308783,299.34612589846637,300.04194806211837,301.38161485575216,299.54033202560305,302.07469658658255,300.4528938742845,298.4108782395621,300.951630288486,299.08532198884285,300.6532285032368,299.62023262928057
27,299.41079700506043,300.79822859498375,298.77435169380806,300.0492712762522,300.99603104460766,298.9850802080277,299.13574749591567,299.90647354370657,299.3282900745706,300.7165898105023,300.11074683011526,300.8184166379303,300.2201374439142,299.97317598053434,301.06514835130866,299.69575324347005,300.0695681778825,301.03735658521185,299.9760881919026,299.8712986576464,300.3957830927211,301.32891718421934,299.74248781366356,302.1418173349774,300.41795659849123,299.11042786235265,301.35606160426454,299.2023961877198,300.69759905424263,300.1824035434693
28,299.72542812483226,300.8881838534244,299.01065597788516,300.53569707381774,301.10294393538084,298.9222280474901,299.65741604746216,300.0163525421744,299.6675247801077,300.2292240202997,300.2401530422172,300.86708638931685,300.63535606567683,300.5203089461849,300.60435185498403,299.90940896452224,300.52077244677633,301.36763042876873,300.3890397485588,300.2141520237875,300.5738241245372,301.17278911620474,299.9621922835811,301.8780643205175,300.08518541223475,299.61228158694144,301.41481755075966,299.5201263847265,300.79557938460454,300.51123935819845
29,299.68810302476044,300.64640924501253,299.0728488461023,300.61722931339136,300.8828967799268,298.279842263435,299.79551632881424,299.99914281790376,299.73375198957837,299.5197701097368,300.30870544155886,300.72802093420904,300.66375845529393,300.5955747103057,299.97230150578883,299.9300930385034,300.6132941259921,301.4259228979684,300.40684061068606,300.2015614315432,300.67412811024536,300.9300939474469,299.8661421690221,301.15375542161644,299.58977011770224,299.4366227888745,301.0327824002357,299.65331281886324,300.57667476339856,300.2273292199778
30,299.4181432856025,300.0412119952701,299.06048847424,300.38257964086165,300.64865399871405,297.6217316234009,299.6826227329826,299.71240593406736,299.7199747508759,298.7910307138515,300.05716189548224,300.4911551437062,300.3282414531446,300.36601821045883,299.1256630917064,299.5793801626412,300.59652012552664,301.07575792261065,300.20788921872276,299.96675989797745,300.5096492730065,300.4303409803497,299.7145829921166,300.35101409671546,298.7271206418064,299.05154465598974,300.330461981707,299.4630731697063,299.9149571460189,299.8141015188017
31,299.1267078199108,299.42476816409277,298.96616093361456,300.11390378744517,300.3899144973621,297.3229522513245,299.45703908996717,299.2709960876518,299.70877765900786,298.2785880957936,299.4953101448191,300.15741663652494,299.9571017269653,300.0009050063293,298.7265089115012,299.0623894388755,300.51481156448745,300.72998630305483,299.97170822933845,299.6153685868461,300.196063604784,299.75565705440204,299.48585080221125,299.6671648700715,298.03435490892065,298.8138696371863,299.75418956178476,299.2481911360173,299.13005506785834,299.310311169367
32,298.9880507602952,298.9638423318585,298.88273866920946,299.9745927404174,300.4411188034242,297.2876137980847,299.2889484597539,299.0812403452012,299.6988781346585,298.21137208675015,299.0436855887707,300.0861592821714,299.68016200169245,299.89012701469295,298.3700532589733,298.9698587474586,300.50889154482894,300.5773742144456,299.7368021204097,299.3209527316812,300.19453049078476,299.14689559355753,299.3274765256684,299.33425043598817,297.6046386568806,298.67778064143675,299.5228601694906,299.11856246770316,298.6902056791866,299.0108323005813
33,299.11847797520113,298.9125924021076,298.80640405420627,300.0936386746687,300.73535553937216,297.4474043661364,299.2133217793339,299.2707366800027,299.72840841110053,298.4083630096556,298.8565525667728,300.2759188197494,299.5307262342737,300.0045139795386,298.3565478022766,299.1768965189448,300.53171287722154,300.61088626941586,299.5554840793771,299.243777783084,300.52909171643927,298.9562689392367,299.3818945328715,299.2387358837619,297.6507936977091,298.7449715661075,299.57831001505787,299.17288892502273,298.82815208092796,298.93007093916236
34,299.37757960750315,298.93236793693075,298.8095504693262,300.2387388254364,301.12172832476125,297.3749368346653,299.21934406413214,299.55986997031437,299.86639335502326,298.561543214561,299.0394376296422,300.6905093603714,299.5208071742259,300.2237188461395,298.4623968584788,299.4631134653526,300.7661029306473,300.72254890737486,299.4905700063282,299.2316948618164,300.8974242992256,298.9569666136441,299.6395690728073,299.385363135771,297.8519522319422,298.8993708564308,299.7478255680916,299.30644954260566,299.08372728956317,298.87252498861574
35,299.68478000900035,299.069051513255,298.8361578536735,300.35610659610853,301.3156637591613,297.3248437700384,299.23256691309194,299.490028399399,299.96534091105207,298.5239036206569,299.2121541576955,300.9074390620251,299.56913627799025,300.11731854392946,298.64604209941575,299.4690311238837,300.9541830911051,300.7900342944502,299.5018088934999,299.30953781641,301.08450533674835,298.94744847517535,299.8996114992145,299.5997197777517,297.8511563687867,299.1836313493501,299.80317850019077,299.42047217663867,299.2468519595115,298.8274760068439
36,300.0246126053758,299.3684858305306,299.0907047773311,300.1910210506918,301.3784297710901,297.52641285974426,299.3884329204986,299.36863957881627,300.10553310081303,298.56995687003604,299.47359573919954,300.97700980508085,299.6043425427558,299.91885554952773,298.89475122356106,299.3550587694956,301.20015160132533,300.8916005759478,299.5818582779602,299.5113812574429,301.0179441501951,298.8601937062908,300.1220115196427,299.68191065508137,298.0211044630876,299.6893076693184,300.0174098079286,299.73448610210284,299.45178736340716,298.87666400583674
37,300.189276839637,299.79867398281164,299.6049968131156,300.338211858104,301.32470138988884,298.08246845577855,299.7376495163323,299.44176685299266,300.34903888735164,298.9521031041282,299.7865304592662,300.96303957888455,299.5786361380556,299.6304909241384,299.2888196274203,299.3151930546466,301.3606942944625,300.9459285666882,299.7480132394719,299.8775388228516,300.988603520327,298.8883616764146,300.4065052780498,299.31833969461746,298.4714949289405,300.247135990328,300.29561630070174,300.07599839441014,299.81518147333526,299.1806466774671
38,300.315967892379,300.33911626076997,300.2999679376413,300.55789990119007,301.26884235507436,298.6383256922466,300.1926354547667,299.68177533705204,300.52676229992466,299.35228041480786,300.2138012542155,300.9532088255064,299.68046041059614,299.8578869348592,299.807101102982,299.6079539098605,301.74285763203255,301.01894822339483,300.22639415916564,300.33536181130506,301.0839424247497,299.0824985924597,300.79804953655145,299.3283676347235,299.0861629922753,300.87639300891345,300.6692447178464,300.56988912024036,300.4089949949851,299.69392754882733
