Experiment,piControl,historical,historical,historical,historical,ssp245
Member,r1i1p1f1,r1i1p1f3,r2i1p1f3,r3i1p1f3,r4i1p1f3,r1i1p1f3
0,,,,,,300.6668444883244
1,296.658064772405,297.35350418410536,299.1645222390355,299.32265115368347,300.59075160228,300.9030915549465
2,297.405017761543,297.8650129644038,299.57945061091874,299.5877517986755,300.61230060458143,301.16837339146747
3,298.00310823738204,298.2721523436081,299.9279630456959,299.21333678078463,300.4855761067426,301.3304023135004
4,298.4706853932446,298.34236019635955,300.1662619035836,298.5807555906193,299.9274871155091,301.1592044663835
5,298.29875443202474,298.49776424309124,300.26568691204585,297.8253344343768,299.06210194626175,300.63773373905
6,298.1818937129215,298.3769053560224,300.2052867867672,297.31930752072583,298.2213092633892,299.8281655232366
7,298.0372262905643,298.16806514146975,300.04913336409965,296.7532331960646,298.03359443012937,299.12264092618176
8,298.0009584049412,298.0392722977684,300.03666586865785,296.3674216500574,298.24086620151553,298.8559983832996
9,298.0246464784237,298.218690562563,300.1507026512659,296.04684020373793,298.5325275136241,299.0411964654915
10,298.13393577779584,298.3967557878575,300.43353851628547,296.1424062647906,298.7668120581191,299.40764469064595
11,298.37848796540516,298.4633475664046,300.5431857753467,296.45801273714375,298.88489487158836,299.6717083621235
12,298.75483737415965,298.45191420632875,300.5916920140817,297.1451381497252,298.9558093179637,299.8612081726192
13,299.2068754707523,298.60067504239555,300.7552459099665,297.80759120938563,299.0330290858176,300.17434224301815
14,299.6871905381167,298.8689877766969,300.9591676853535,298.33873620696096,299.27413366295383,300.5744604113822
15,300.0623998730741,299.43400036773596,301.27856832533325,298.73299660606335,299.5330899210368,300.8563518078639
16,300.19299356765197,299.876657875523,301.2234717734487,299.0432198052088,299.5411379807796,301.01831886219446
17,299.9183500420504,300.17765081223234,300.8368700885158,299.25545225312413,299.2657346552368,301.0050595022206
18,299.4855852704218,300.1027010285434,299.9859105720396,299.2537648840578,298.8511478216764,300.73794760768135
19,299.1145215578178,300.0154541864319,299.1478185934016,299.27478965572067,298.4478448545238,300.1341868782714
20,299.04847540404506,300.09173583072203,298.81853386051944,299.3123828183073,298.1492500677775,299.6515401708621
21,299.23033804377883,300.31582289158683,298.88491239810577,299.51693348421315,298.0921187214588,299.48688778288476
22,299.48152947321114,300.584634920475,299.08197645368796,299.68430836030944,298.2636243541319,299.4813973828786
23,299.6297077868246,300.7241830348457,299.02228243084,299.88817996560573,298.59934202442605,299.31328305015137
24,299.708240585363,300.67766166722254,299.1246669222671,300.0181980162235,298.81007934356666,299.12930528588817
25,299.747683010864,300.61292402900614,299.11179318181115,300.27747500549043,298.9955534131384,299.2170281272046
26,299.96533367003855,300.57117641620107,299.33983150694564,300.5941583518098,299.1671420488844,299.58947811227813
27,300.0669399542413,300.64453282021844,299.3126657675372,300.9121874001312,299.5686009558529,300.1218947980001
28,300.05091188151795,300.36650662272007,299.3186210364526,301.03924538846763,299.8355336332941,300.50228276648016
29,299.5535649991625,299.799849229142,299.0657474741227,300.8733708417146,299.7325459728467,300.573652703166
30,298.72841499821607,298.8400461579024,298.61453326161825,300.4984521681829,299.2346198290987,300.37976920602836
31,297.8718043651768,298.22147648213473,298.06230812887253,300.0113968663904,298.8332634779938,300.13650770787046
32,297.57142739377844,298.21179120800986,297.62530635724426,299.7531629800538,298.7598777214373,299.97151678057884
33,297.75752701253583,298.602543797249,297.4428922604006,299.7661059271679,298.9685859962107,300.1409608466061
34,298.02739033994555,298.9043031391799,297.45233627566273,300.03175300881344,299.12831134709694,300.3158453105409
35,297.95443947806353,299.0829593879504,297.4585233062276,300.24229699199265,299.1445288733028,300.5086492988526
36,297.7498458135721,299.20367142795646,297.4736226641025,300.35431425631907,299.16106256839083,300.6661667454751
37,297.6019875617822,299.3716488779586,297.70752779932917,300.2446243958095,299.34481679615243,300.91742766069564
38,298.03535581627824,299.52312168224285,298.0396655681309,300.15199350833433,299.79096290252926,301.18644328572117
39,298.3731708036682,299.4054611513213,298.5794063403509,300.2196883659254,300.29374353794555,301.25242424825586
40,298.7956074276564,299.1282295908523,298.8552189458125,300.4702995363546,300.5295819801817,301.10555077159586
41,298.6426200787874,298.49356506754594,298.87310234829147,300.57098187447866,300.281379189604,300.64811695777803
42,298.41805558036725,297.70125491691954,298.47005898024435,300.25077981463846,299.66202984027507,299.6292080558208
43,298.03387514871275,297.0471236572242,298.01643976575446,299.91472194348773,299.1255441775167,298.74465758811533
44,297.74793116854715,296.63168420046605,297.7073332997092,299.8747847348993,298.85721750565256,298.22118000532504
45,297.7629132191732,296.6723611967817,297.63596101189137,300.2539409169481,298.8994103401823,298.3482415880696
