Experiment,piControl,historical,historical,historical,historical,historical
Member,r1i1p1f1,r1i1p1f1,r2i1p1f1,r3i1p1f1,r4i1p1f1,r5i1p1f1
0,,,,,,
1,299.2649622928365,297.1955706736679,298.41432097886786,298.07367657951085,298.1710897360801,300.1930739473533
2,299.8512219026853,297.8625800389208,298.93857893798014,298.3184783645786,298.4364169580559,300.6140005084282
3,300.2496290989134,298.28376532358317,299.42773490077815,298.6947750834389,298.7490985820968,301.03361758893533
4,300.22983575681684,298.6864045076915,299.85028253213056,299.02837152513126,298.8693629376672,301.0723461709402
5,299.88866907977496,298.78500410804594,300.00983202469666,299.2382590215491,298.6880822421265,300.6985463862542
6,299.25620070424924,298.45323251379585,299.7487794714036,299.22054210602596,298.09522050781396,299.75440988543806
7,298.5092191709826,297.9013299354507,299.3647343949497,299.08401618541706,297.2916885436387,298.881807013461
8,297.93899609485385,297.63700993795453,299.07182247551077,299.02095746127867,296.631582986043,298.2984827344372
9,297.73422797351253,297.65251929560435,299.16964123667435,299.01550704013346,296.3752841443746,298.15614722519587
10,297.77845075824604,297.84890262959755,299.29106265169554,299.1633648774159,296.46266785527297,298.11745997656067
11,297.8626770332863,297.8870156904691,299.30331979758466,299.34957612410653,296.63289155341045,298.11726439978787
12,297.9089751980839,298.0401577130868,299.41384434180515,299.5613420806046,296.87781582113126,298.0292657883912
13,298.24572507938365,298.55443633754,299.66925034205747,299.7406122948291,297.40390737008084,297.9327189728924
14,298.71271920603334,299.1728752332976,300.04991277340747,300.0661708249909,298.15716167413495,297.9234328549672
15,299.20626190202216,299.7695338214241,300.3523794962076,300.3193326135831,298.7187278481965,298.05519724285244
16,299.4286811041783,300.0103787720746,300.3978891591851,300.21821097949277,299.01490212611384,298.09846592931916
17,299.4165480619906,299.86555277337044,300.1095747500853,299.5916669839954,298.8877338637569,298.04916524320805
18,299.13151868727,299.3378421487192,299.42538196079573,298.7536330768107,298.4759580630303,297.9070993530333
19,298.8772239943809,298.7290173671486,298.855955300263,298.0890110118865,298.0320259938378,297.80787459372556
20,298.86431826326293,298.3134612920681,298.50396327148536,297.76883863420534,297.6552020339463,297.7934872179926
21,298.96823060256315,298.18464349359624,298.4532767741966,297.8611649346446,297.4479921798509,297.8862330268197
22,299.1139907313084,298.2613574409379,298.41695197972984,298.12747845981,297.42659525547657,298.0715964838568
23,299.01757852870804,298.5016150859354,298.32237499867546,298.3589134628499,297.51859960168184,298.31594088199256
24,298.92576926662827,298.7094579487671,298.10974280633104,298.5994372630899,297.78565888160324,298.68871070470504
25,298.71814465718234,299.05635407768386,298.0735348902153,299.0622212618507,298.24880314977025,299.31336931017546
26,298.59484590790106,299.52833264407894,298.24770614863536,299.58679857599105,298.8826824407958,299.81363236182517
27,298.51030366285545,299.97117815371894,298.66211602076334,299.9029396593276,299.5196040498738,300.1360656769053
28,298.5161172132504,300.23629994464903,298.95117210698396,299.9551209899434,299.8740597195877,300.21033382507005
29,298.46435506972165,300.0688562003065,299.00282050941223,299.7399690831915,299.8692914382735,299.9909551186031
30,298.2418545174221,299.6449467958421,298.8519085972614,299.3939229447033,299.63658432148236,299.5155024207393
31,297.84935758642706,299.1591883254155,298.7615391937126,299.00841983163247,299.3692130133143,298.8768925664578
32,297.3817643877283,298.764147163833,298.9126137207185,298.79152702695734,299.19954815093337,298.4046442727796
33,297.237443987825,298.4938418651959,299.28708245123335,298.8145328089858,299.2748246789028,298.01987421558766
34,297.4252355335996,298.3537512554398,299.5576836239224,299.00851812548694,299.5051674339405,297.87136078716287
35,297.8035061739006,298.4289343368705,299.5214437473833,299.1448905935122,299.8456996614536,297.8774284981559
36,298.1936428023823,298.65631987022346,299.397825220419,299.21767679649207,300.10034482425,298.0495335062091
37,298.66394610614384,298.9519113755691,299.48851930549114,299.4764235114574,300.38731891649303,298.28700177975344
38,299.300842120949,299.23033329241616,299.6343286549023,299.87842505467586,300.547643381468,298.62468202535547
39,299.84962868171306,299.40826319173016,299.5732254114513,300.410505298859,300.68393391622317,299.14384136760765
40,300.31028971755444,299.39309162978947,299.254263493368,300.72544476714904,300.5823149767928,299.46535110507995
41,300.393791426387,299.20971063006976,298.892547464259,300.8572311361328,300.22169441681694,299.46528856470655
42,300.16060485635757,298.84091822543206,298.3729240227438,300.56791353379793,299.51915127137244,299.0534433887875
43,299.7946810984969,298.455883642905,297.8427244419126,300.02535417240614,298.782403584894,298.7218811221131
