Experiment,piControl,piControl,piControl,piControl,piControl,piControl,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical
Member,r101i1p1f1,r102i1p1f1,r1i1p1f1,r1i1p1f2,r1i1p1f3,r2i1p1f1,r101i1p1f1,r102i1p1f1,r10i1p1f1,r10i1p1f2,r1i1p1f1,r1i1p1f2,r2i1p1f1,r2i1p1f2,r3i1p1f1,r3i1p1f2,r4i1p1f1,r4i1p1f2,r5i1p1f1,r5i1p1f2,r6i1p1f1,r6i1p1f2,r7i1p1f1,r7i1p1f2,r8i1p1f1,r8i1p1f2,r9i1p1f1,r9i1p1f2
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,301.4577003233637,301.35997712524096,,,,,301.28524853577767,301.5055766862832,299.398058243993,301.8102126236297,300.88797144051665,302.2060373264414,302.1466439262495,301.581052691088,302.7293457023565,300.49708853937426,298.60571896024845,299.1652372668672,299.6604234489599,299.48963165963494,301.39911401117837,300.3967532265711,299.55649559353583,301.736110637296,298.794881919927,300.82062549906715,300.1530721137927,301.9974570297548
2,301.31802326961406,301.16833538703463,,,,,301.05129036601954,301.4153218121787,299.3502171758129,301.762023702546,301.0158161701227,302.1532466874555,302.3783237698901,301.7407225479424,302.76785830702346,300.68648749098935,298.611339441611,299.3689908336285,299.81206090994834,299.76346248569104,301.6704374632105,300.420280534604,299.6500922759066,301.7243413495656,298.85436493322135,300.85012461265427,300.4690216844233,301.9207418161811
3,301.2899337424823,301.14840128467546,,,,,301.04601319592274,301.4015997210558,299.5366468096507,301.80994102692443,301.14506380382164,302.1643764992196,302.47455467659023,301.96305021842824,302.81708427212175,300.91443223819306,298.8204391992497,299.7369981865484,300.071445500382,300.09584263020855,302.00167679541033,300.5306647221909,299.8893516436426,301.7127244670747,299.0799836372575,300.95689408565664,300.8629634363249,301.8680071022049
4,301.26963896901503,301.1408880083668,,,,,300.7838458075734,301.3948731415297,299.4946296393383,301.7826980425863,300.9960488320872,301.8851606185258,302.500918818848,302.1157876206922,302.74620811428764,301.0275376680502,298.9593377401764,299.9803759889208,300.2509326884681,300.2126655102968,302.2650390076593,300.4586497014224,299.99526455606554,301.71880203439736,298.9345019766058,301.1222385898938,301.1406311268881,301.61783540658786
5,300.98877492257844,300.68333762892365,,,,,300.048596770017,301.25951769674583,299.04030715318754,301.27996246738195,300.49951636250927,301.10046420460725,302.34858145338245,302.06525376851926,302.4526551839706,300.9878723599176,298.63488755863006,299.9596808531745,300.1656378527113,299.88306375145254,302.3603653478185,300.1100373144304,299.8162244586166,301.56470198367794,298.18550782778607,300.9118114137701,301.0241480296631,300.7014008910982
6,300.2316208284649,299.74829506319264,,,,,298.9881639887882,301.0615765694994,298.171267583866,300.2710098587599,299.6183276048002,300.02560937355906,301.8056310505951,301.63635035623037,302.07439872798085,300.5013114433206,298.13030802375863,299.6170054389574,299.69105316211284,299.0224173445554,302.25711666663904,299.4855812701123,299.21020809060457,300.98471793371755,297.29762929606335,300.3691705655679,300.4145706838194,299.2526277819349
7,299.6413171369523,298.8016052697473,,,,,298.34216166302446,300.76233551736146,297.6447631522081,299.2772426845613,298.9282254820594,299.15456909687447,301.3145207518979,301.20640127856433,301.8494149805556,299.9523214601673,297.8066227246115,299.3590972950683,299.19459873555496,298.2963794108832,302.17075482211857,299.1189414028267,298.6961647543924,300.2795101366626,296.79297057779064,299.850498268383,299.8688918490998,297.91941725978523
8,299.58399917808833,298.5311315340301,,,,,298.40707144985475,300.7507428760969,297.69524582820776,299.0037114109921,298.7968315514385,298.8869229594712,301.03647551344346,301.0092028858783,301.8341646528199,299.76126784695794,298.0008405345438,299.366132788007,299.0535439798885,298.18337406304073,302.3478084644331,299.18629051579387,298.56097281502804,299.96037537405385,297.0236389370776,299.8514591460825,299.78912990306566,297.4390271818805
