Experiment,piControl,historical
Member,r1i1p1f1,r1i1p1f1
0,,
1,299.14317108237157,298.9700720375275
2,299.4360162844312,299.3413869909141
3,299.8091594517826,299.81257524182007
4,300.0293298783497,300.1753264634054
5,300.09078448289466,300.34054279895594
6,299.94392742611655,300.21724495376236
7,299.8570719367901,299.9249939729514
8,299.9330022082716,299.6178489868865
9,300.22419579867443,299.5068377799468
10,300.5821341125258,299.4715769171859
11,300.84154964682494,299.4427567886767
12,300.9522128476488,299.434948057306
13,301.08130536536487,299.45848267405177
14,301.3137819310632,299.7005977599909
15,301.63539284445545,299.8862940585921
16,301.7686227763343,300.1192271808362
17,301.3934260388756,300.14251537811697
18,300.67471028370517,300.03742953246916
19,299.8878790312113,299.8593184752501
20,299.2627121459248,299.77081754617654
21,298.9675209090069,299.92846008198336
22,298.81305919847114,300.1484850890345
23,298.81706196850587,300.2841932253128
24,298.62991432855443,300.22160769182494
25,298.3085263989331,300.1812915315918
26,298.12451061124904,300.3567733419646
27,298.2712719234606,300.6778442705481
28,298.50724906217425,300.9372708897468
29,298.4909458277284,300.9074635197297
30,298.156619013718,300.6515962311435
31,297.90298536377605,300.3393288099276
32,297.8512702798385,300.2050441941396
33,297.91360802401937,300.3649587732901
34,297.9791934093305,300.66447231394267
35,297.9433470433926,300.8731497559591
36,298.0585680369418,300.8373803258967
37,298.43510141787544,300.67594821614966
38,299.1191926013924,300.53180326425974
39,299.7233779365353,300.619449502192
40,300.014248207595,300.6009189752503
41,299.89127958999455,300.4149960064242
42,299.46507073933407,299.87369486764936
43,299.1795355872936,299.28651103324734
44,298.9651211979156,298.9336006038738
45,298.92775159483153,298.7222956227693
46,298.86027693045617,298.677831876377
47,298.8177704159338,298.47362529006386
48,298.8893203903088,298.3375346427046
49,299.0747700295858,298.2300138303179
50,299.463836566133,298.4135287976407
51,299.95297314646206,298.65631672927975
52,300.33470246413725,298.9243285542604
53,300.4352450449342,298.94218524010995
54,300.1851536806005,298.89369386385073
55,299.85541701164635,298.7919009068866
56,299.6652154251181,298.78952339533845
57,299.7123800541272,298.7947664852109
58,299.8734136421892,298.84918972531784
59,299.9516392163091,298.7771494348297
60,299.97404590457904,298.7241920350503
61,299.97338565443226,298.8482164290496
62,300.1144566514327,299.2951928950406
63,300.3921138894721,299.9106437889784
64,300.6226407547058,300.3892964021642
65,300.62108125593153,300.5884977652393
66,300.27165026748924,300.48526790246683
67,299.9572298292157,300.39427389623614
68,299.85131883185204,300.44004169854134
69,299.9961863193104,300.72346565747694
70,300.25673429547095,301.10255702951616
71,300.3986239538246,301.2489099030591
72,300.44353108765955,301.1437538722312
73,300.4219779063435,300.7915651294208
74,300.51725997841885,300.5790097890794
75,300.6853910345097,300.6070557446273
76,300.6518304020348,300.76477609153443
77,300.26988988041586,300.5503537703727
78,299.52098725129724,299.89733615096253
79,298.94137666622595,299.12003960561657
80,298.6551902660399,298.7474370958376
81,298.59503534788365,298.65308390772867
82,298.53237791538976,298.7198977487536
83,298.49490992115193,298.7675797719608
84,298.605993160008,298.8295184111693
85,298.9655295478804,298.8543751887787
86,299.5255123683657,299.0467600970375
87,300.2411725285788,299.5294809497913
88,300.69895076944636,300.1113172314158
89,300.69179649894795,300.4464219068279
90,300.2798187942167,300.44509461772606
91,299.9331535029482,300.3549507724819
92,299.8038247810969,300.3720392590105
93,299.8521909730541,300.5606875384104
94,299.8653879313886,300.76884402813647
95,299.7343793015789,300.7809114566273
96,299.5789644909112,300.7611242683372
97,299.46480420959324,300.6684651996152
98,299.5008347836318,300.671079201244
99,299.64617909102026,300.6469897897882
100,299.89082462828105,300.65944296091965
101,299.99503444465864,300.5130852366123
102,299.8737631631577,300.077883888275
103,299.6498008039733,299.53991024433475
104,299.5697066864706,299.14377108049985
105,299.63474339760995,299.1212274421273
106,299.67317707707724,299.19770159058476
107,299.6739705880256,299.21589810014774
108,299.7112922569524,299.1363505937607
109,299.8061645540876,299.14266845839154
110,299.7976984429541,299.42087121300506
111,299.9252797992123,299.72631371673816
112,300.0497295948882,299.98661804768216
113,300.1454597698366,299.8597899099438
114,299.8635913257292,299.4572647438977
115,299.49272226915036,299.0622098642712
116,299.26544541109354,298.80498933989657
117,299.22867080339614,298.81661012492435
118,299.3008116044096,298.75951236232964
119,299.2165904437198,298.6203408385399
120,299.20996827865173,298.5409866963843
121,299.3298050567505,298.5575520438676
122,299.7552323327886,298.85281439482975
123,300.0856937037087,299.31649822204656
124,300.30143151400154,299.7964048849371
125,300.20965898513697,300.12884211090744
126,300.0532888345938,300.09989218193726
127,299.85435581451196,300.0555450700133
128,299.75652009815764,299.9837879563566
129,299.827714052219,300.1340490537812
130,299.93401488535454,300.3817838878986
131,300.0180498728712,300.6198752846545
132,299.9775251199373,300.6883523530514
133,300.1197173503767,300.6345025174878
134,300.4089525030459,300.7484607543633
135,300.6489994424644,300.89310016727677
136,300.63899639761183,300.93891453337324
137,300.3049289174418,300.528151353218
138,299.66993422043856,299.72534120312656
139,298.92313719292366,298.8226119977615
140,298.2467872299739,298.2511228595031
141,297.9235882510316,298.0296308748016
142,297.8254976445901,298.00469534045664
143,297.7215742695077,297.90403866051537
144,297.79201417361924,297.9758461690994
145,297.9331676549172,298.2331971406393
146,298.4983238614758,298.77540533508363
147,298.9643920648419,299.30581053744737
148,299.47910254862745,299.78457514122033
149,299.61930030084585,299.88021953516954
150,299.4827229880471,299.7043843477993
151,299.2973394762819,299.3503448453118
152,299.2303348737976,299.0546946671846
153,299.33137029098526,298.93105586841875
154,299.3864205679137,298.92464737309155
155,299.3824977760419,298.93902488767935
156,299.44794476660104,298.8439254062539
157,299.70690676823295,298.831978258898
158,300.1195553636871,299.0737822305692
159,300.60083466575185,299.5348097869776
160,300.9609225928545,299.91584393079296
161,301.08382028623913,300.03019120198513
162,300.9401245905206,299.852770202862
163,300.7044081091263,299.5350265407928
164,300.70588101474726,299.3120461424581
165,300.81371817430596,299.29703344154495
166,301.17818407758796,299.4360441740553
167,301.30112353032274,299.41703150703444
168,301.3442291278603,299.29496272298996
169,301.040253936812,299.14518099062
170,300.69053853028373,299.1724535143225
171,300.44980790414473,299.33644826093763
172,300.2892969231236,299.5931798045068
173,300.077544537665,299.7016827836103
174,299.674084722434,299.52744576632085
175,299.28036144032643,299.2392552703897
176,298.94077547139074,298.99464235265054
177,298.75648702156866,298.9824366085822
178,298.5731152580574,299.01315168951373
179,298.35582917648657,299.0095037346144
180,298.2529484641204,299.04407773487475
181,298.3312332798892,299.2219417032418
182,298.710343177256,299.6924070759956
183,299.13090763758225,300.17976642471695
184,299.4637118424704,300.470410750979
185,299.54700403647877,300.3441362137774
186,299.29915699948936,299.83398990357296
187,298.91976080205654,299.44771735494186
188,298.5953444119432,299.286349294766
189,298.43355048368295,299.4267345307917
190,298.3296878807321,299.47682949253493
191,298.2087238093964,299.3364530955292
192,298.14010102623723,299.1049503098303
193,298.2069619299577,298.96744711068845
194,298.3458013000957,298.95676608365875
195,298.7470455747391,299.0729793514907
196,299.1009916038679,299.2671445056755
197,299.3945131183639,299.44697030405626
198,299.30129892654685,299.40804243519364
199,299.0971032517552,299.2355768881254
200,298.96898242712814,299.1042328943979
201,299.0091308290335,299.179988072832
202,299.1850120880005,299.3034434934156
203,299.32322804727414,299.3899148235308
204,299.4499374756809,299.49044897959647
205,299.6042557674469,299.7221530728759
206,299.8633002601827,300.06889389518193
207,300.1748031056016,300.3987834059078
208,300.41859786152764,300.6249368709607
209,300.4963975010026,300.5463068323119
210,300.4020818885682,300.22214595473974
211,300.2956004795899,299.79876868419933
212,300.25853739409155,299.5615490032235
213,300.3226356225197,299.62658882141983
214,300.39415055187465,299.84340119669076
215,300.30452411032337,299.98532009588115
216,300.1642386255682,300.00351876115593
217,300.08337449490347,300.03813846357934
218,300.20641711193906,300.1766921897651
219,300.4030670839851,300.3218864561516
220,300.6279229429826,300.317314145682
221,300.7081400267525,300.0637388524317
222,300.5870347890337,299.52015961676193
