Experiment,piControl,historical,historical,historical,ssp126,ssp245,ssp370,ssp585
Member,r1i1p1f2,r1i1p1f2,r2i1p1f2,r3i1p1f2,r1i1p1f2,r1i1p1f2,r1i1p1f2,r1i1p1f2
0,,,,,303.25283352139223,303.2622821380617,303.1864680717874,303.2117354028171
1,299.3661475618507,299.52094712254717,298.39338331264685,299.1839403747951,303.13072627652167,303.1787784952865,303.21263988658,303.0478093006232
2,299.8893580361792,300.1362368940784,298.95713517568555,299.7237021742278,302.9969218176284,303.0591303798826,303.15332857259017,302.8489723817632
3,300.3980186065716,300.69754760546533,299.3601387180683,300.28424103339347,302.8120982523025,302.860441729729,303.06471241142145,302.5581467190493
4,300.8118450650304,301.1009293886347,299.43927563253806,300.57423913854177,302.4040694057817,302.3981592842203,302.47447412487617,301.9686537044325
5,300.9292341022604,301.1475297369559,299.33560144533016,300.4511970048807,301.49310986319796,301.64169022951864,301.3856505921796,301.2767281534773
6,301.0054868748152,301.0342488461595,298.90858501232225,299.85688149557814,300.29212475132806,300.9351277404696,299.9765397154742,300.5280895266601
7,301.06280205955915,300.96309474258953,298.4921297115449,299.29898837859304,299.63719466898124,300.14073440176907,299.0406256542145,300.0500304913897
8,301.16965977929584,301.03098032495154,298.3233430716569,298.84778202340516,299.22984227364014,299.6774921992237,298.6121408824083,299.55374520140515
9,301.2789611977457,301.2401805662931,298.2189699898282,298.55484727756135,298.9680434275717,299.4488233289027,298.36163408923676,298.9657948536219
10,301.3511127556248,301.33998920530394,298.13808774983414,298.3247222631864,298.3184192263387,299.14491680686154,298.0281271238316,298.32289889291104
11,301.37904260206324,301.3111095854393,297.95673746264214,298.1882880819497,297.86593844403836,298.9226814703345,297.81635388088347,297.9598689926452
12,301.4114344069082,301.2324192804726,298.1336575013406,298.3521364884464,298.0839562693021,298.5644403780791,298.2826956908611,298.1696243988694
13,301.70136719022014,301.4232070698585,298.58142519948063,298.8648095202309,298.6788617315378,299.1013647924639,298.63851536817486,298.71384473972006
14,301.95412252096486,301.7923530824889,299.20608135999674,299.6059212531665,299.32496862312473,299.6314826903093,299.3848087542527,299.47839779307947
15,302.09134173749055,302.1413727898558,299.6811712223791,300.1773775664579,299.5211961243722,300.0949743723502,299.6657579260689,299.9338323413429
16,302.00845993817035,302.29076914122555,299.9251202468333,300.34663052773595,299.35115576117704,300.02510810696896,299.94933922405113,300.12753449185215
17,301.7312132615525,302.18057125202944,299.78206756627515,300.0947320496448,298.9948286629701,299.62092003574065,299.59369444954365,299.7307209000055
18,301.16719507423335,301.9677733347503,299.4362582810509,299.632479472586,298.27649364613046,298.8829167883803,299.00406436113195,298.96578765154214
19,300.7595023363746,301.7585414372815,299.1266275345087,299.4193191899528,297.7983482731849,298.17054224968786,298.60384817447425,298.0849145046986
20,300.35891458047087,301.60129733159346,299.0671487911923,299.2460309470485,297.4725214692562,297.66393190905706,298.50502364969134,297.5878044131355
21,300.0375974959209,301.3439676938047,299.1345321579088,299.192725440586,297.4678909762219,297.4950943306897,298.448067987354,297.3414478601995
22,299.321090373715,300.93638979525,299.13675398644546,298.95095827826884,297.5370200145976,297.41785660014983,298.4631680265606,297.3086549900025
23,298.68323697553393,300.39101599650866,299.0337832372716,298.8625909140721,297.86699294888035,297.3572373340102,298.5166115370983,297.25008654200684
24,298.44978810044205,299.9541103964376,299.0685176618692,298.96748260315974,298.422798805168,297.69203071790906,298.7957675181322,297.41244793804304
25,298.5806925652476,299.85418479416626,299.30954355456305,299.3540170136408,299.24749298364577,298.45661277522146,299.3929215739399,298.0528859699713
26,299.06411011553035,300.2718403458477,299.8167750484087,299.80375854541734,299.88959572360756,299.34641319637586,299.95247673348064,298.8671295802788
27,299.3448279796273,300.53546323619247,300.25785379064945,300.24463713772315,300.3310486482665,299.86531325519485,300.4525062083565,299.55387044575446
28,299.44404218734843,300.34480324360146,300.5421907730774,300.43418150209504,300.48053898685265,300.06487531576755,300.625806894006,299.8677994210204
29,299.17877458894776,299.47715826467487,300.38868342989366,300.363188505338,300.456592181096,299.9142623772176,300.6027549939586,299.81571116969303
30,298.7087519981064,298.5918428628119,299.96641086671235,300.0708783219571,300.2224947880847,299.4935367758696,300.4440492632278,299.5259418598343
31,298.3381510378154,298.1576030438839,299.57748739841276,299.75858896167045,299.91757019793846,299.0246281439784,300.0989112840501,299.2860233060198
32,298.313258483478,297.9135935203182,299.42674989756546,299.6180305961703,299.79571981654567,298.71210404554466,299.8174391216765,299.09361591337637
33,298.26974746600564,297.7949208797209,299.39925812698215,299.61462299361784,299.83758305609587,298.5338646920143,299.7218657407877,299.07692671967067
34,298.2021773873461,297.55928448276705,299.3525601217799,299.67868978432284,299.9464586128442,298.3998184084426,299.7941767098499,299.096697818069
35,297.9188742854713,297.4364707580575,299.2407749091713,299.7680150757239,299.95000201420845,298.3782942484674,299.88252516800526,299.07766143980666
36,298.01444060922535,297.5703410927883,299.265541155487,299.94095583438343,300.03380885343677,298.718931108533,300.0457728840709,299.2235603196685
37,298.41171586249953,297.8787145738717,299.44387564181324,300.2309656731372,300.3987045065019,299.5700547338161,300.50981490041175,299.557967634122
38,299.1854352126709,298.5832506103686,299.84489071731525,300.61815144464344,301.04792757302994,300.5546742313384,301.193983466499,300.15115412215135
39,299.7713847927432,299.0966594154724,300.26003401846475,300.9775203688673,301.7271560948562,301.2574629031912,301.8023804584811,300.7349469117102
40,300.1059412320818,299.3410351276458,300.542539343548,301.1430796349226,302.23073599883645,301.51817975559965,302.15608273600367,301.0363115178912
41,299.9784957826976,299.14498694994234,300.5055234354474,300.92385652296963,302.47766644657827,301.42467325149426,302.1474502074802,300.98517670168053
42,299.77048950855334,298.70720199150026,300.2779906398507,300.31840175389493,302.61489155772034,301.1583941200452,301.95189287019485,300.65747628623575
43,299.56508666806604,298.3467796762286,299.9813377457855,299.77608906070583,302.74888851522655,300.8922899061053,301.7393077441539,300.36569559691003
44,299.5038393855837,298.00804040120016,299.746508491424,299.57587785442735,302.92620339874753,300.78112375863407,301.5941361116708,300.25506663169614
45,299.58475353549017,297.84923919600243,299.6566453353468,299.50371347951005,303.0638679439835,300.85023621327446,301.5136720774306,300.2441569024849
46,299.68621979317305,297.78926911101854,299.6558972533638,299.4369612091016,303.28866305634637,300.873942836869,301.40112085571803,300.2867407475647
