Experiment,piControl
Member,r1i1p1f1
0,
1,299.7618438958487
2,300.1075723198722
3,300.5498558388984
4,300.8176335854937
5,300.92517526273474
6,300.6852659748317
7,300.5137447731159
8,300.4924725408619
9,300.82898957307924
10,301.20474710968784
11,301.3971809660384
12,301.37805528551365
13,301.1822328231744
14,301.09102421387223
15,301.04620893738803
16,300.858540972165
17,300.2088471303583
18,299.5147167444231
19,299.0619718957155
20,299.01159956712604
21,298.9654754403666
22,298.9159941762223
23,298.7466457224411
24,298.7019850518977
25,298.8188159073145
26,299.28185008021313
27,299.5703461065664
28,299.6959040713021
29,299.52706587302356
30,299.29871113204393
31,299.07395274195574
32,299.07695817250305
33,299.2951494184261
34,299.50035812684683
35,299.5326972135431
36,299.61861300445486
37,299.8521442270496
38,300.2245013050735
39,300.60504273411794
40,300.7464553901346
41,300.6786100477248
42,300.3898034001422
43,300.24346355563654
44,300.3098816821263
45,300.5964321498422
46,300.9847282350991
47,301.3500507759957
48,301.5662256920313
49,301.5565366935836
50,301.39927565035447
51,301.29443099784805
52,301.07248472266775
53,300.61249668942776
54,299.9429862839175
55,299.5438688954852
56,299.4722889824399
57,299.6948433539844
58,299.86383811115644
59,299.90081242908497
60,299.7200832793317
61,299.6769656468591
62,299.68745427803873
63,299.87541817426177
64,299.86639212507777
65,299.6794421150503
66,299.2319501982058
67,298.97172684530807
68,299.0309374513166
69,299.48815703576753
70,299.8271342706566
71,299.9519514897441
72,299.8747334155341
73,299.88856104673727
74,300.17588149128693
75,300.46650163222847
76,300.4859047501252
77,300.23738651283634
78,299.86091530986
79,299.4774002431357
80,299.24838110245656
81,299.30417127942775
82,299.5540481456874
83,299.63035166550844
84,299.52580316190034
85,299.72105436679976
86,300.1427797341009
87,300.53802040123287
88,300.4928528888648
89,300.21202633895643
90,299.88518765181317
91,299.59037325563753
92,299.5887510918738
93,299.75119965451273
94,300.0323966908888
95,300.1037974991863
96,300.2777169240015
97,300.4708291934698
98,300.7715066776609
99,300.8489022229333
100,300.8002023067032
101,300.59538301978654
102,300.3028801018101
103,300.01235859670845
104,299.90991875884407
105,300.1367204312615
106,300.5909729357848
107,300.9460674328298
108,301.13722649415234
109,301.2430559458812
110,301.28853654088994
111,301.27955778240266
112,300.92643681157983
113,300.4273084491848
114,299.94327692179155
115,299.77527331372727
116,299.9885307347525
117,300.19786133013065
118,300.3395625194128
119,300.34092039087557
120,300.3861951812998
121,300.45888132785694
122,300.45936766043184
123,300.33380376125007
124,300.0513681708309
125,299.9214972141496
126,299.49470877143796
127,299.0458895529373
128,298.6372501129916
129,298.7935027335063
130,299.04316292287655
131,299.0478115575049
132,299.0771167294999
133,299.3730442188809
134,299.90073325250097
135,300.2500434729979
136,300.4315539253777
137,300.36797548458196
138,300.09007933835954
139,299.7807353783987
140,299.6860866113966
141,299.89777733091665
142,300.2650098811161
143,300.53111200253994
144,300.74209202198665
145,300.7456916395556
146,300.86580392148966
147,300.9086100905793
148,300.88536984583925
149,300.67503490576877
150,300.34321860285536
151,300.07418759362423
152,300.1592945025588
153,300.52653938830787
154,300.95097411426474
155,301.0994355881948
156,301.19618107325294
157,301.243185183804
158,301.2399616985388
159,300.92142523558505
160,300.4532645034572
161,299.9142720730976
162,299.4236825632868
163,299.1353227065758
164,299.09563769864894
165,299.29482208336617
166,299.5199244974183
167,299.59882789479667
168,299.7133374637038
169,299.8065517029429
170,299.9694937352628
171,299.9599963162893
172,299.8156884408402
173,299.45489693758003
174,298.9840715986771
175,298.50603470396294
176,298.30621758038325
177,298.2985720110981
178,298.4350918069329
179,298.47515243699735
180,298.63451234167366
181,298.87221944117954
182,299.3204925496057
183,299.68051328219104
184,299.95939871284764
185,299.8290741290011
186,299.35165077407106
187,298.8539951019585
188,298.6746021685876
189,298.88220833822567
190,299.1499477206673
191,299.22860330585036
192,299.2390045284999
193,299.27295751355865
194,299.53509128435445
195,299.8694808234358
196,300.0960147442654
197,299.9078457938177
198,299.36777225781265
199,298.8265718920568
