Experiment,piControl,historical,historical,historical,historical,historical,ssp126,ssp245,ssp245,ssp245,ssp245,ssp245,ssp370,ssp370,ssp370,ssp370,ssp370,ssp585
Member,r1i1p1f1,r1i1p1f1,r2i1p1f1,r3i1p1f1,r4i1p1f1,r5i1p1f1,r1i1p1f1,r1i1p1f1,r2i1p1f1,r3i1p1f1,r4i1p1f1,r5i1p1f1,r1i1p1f1,r2i1p1f1,r3i1p1f1,r4i1p1f1,r5i1p1f1,r1i1p1f1
0,,,,,,,300.2004096243813,300.3101985265001,299.8439270480321,300.13617061719475,301.25187852735144,302.01961421064317,300.2745687067857,299.8851974655049,300.1598856664737,301.26701123286324,302.0423523309733,300.147121403296
1,300.6681955175986,300.9406803852035,299.6342927732281,299.8304619274299,300.283055012393,300.7549025151354,300.14175938660753,300.2255780650035,299.7876849648074,300.3101330870215,301.4024385129465,301.8635859302762,300.240761881429,299.9624728322258,300.2844085139575,301.3803709184979,301.8960713273721,300.01157814291105
2,300.63016727953635,301.1438058847103,299.64874942108787,300.0432445664692,300.8282289865135,300.8541957180597,300.3238023456283,300.24107314997474,299.6697010148217,300.4715498782011,301.5242494682238,301.78516209699796,300.3409236425808,300.09611802448137,300.64801580266914,301.511847155936,301.60149352569994,300.1300319101913
3,300.4856837723399,301.17312258705164,299.48024973569176,300.3360549534623,301.4088359313575,300.9201654547655,300.8476599899812,300.35000072287636,299.60011006877903,300.5267709943824,301.56383055182,301.64592597653353,300.474824013444,300.22549878337173,300.9762505415717,301.6249144902799,301.17559361924395,300.5400746510286
4,300.2248039141577,300.8938883495771,299.3856885345809,300.5870603202547,301.8025275615023,301.0203478214859,301.20370900890146,300.4933938056658,299.6480634335288,300.5674912598599,301.54457909219906,301.47027601536155,300.5733899639049,300.3988485945234,301.2633913222504,301.7803606588254,300.7705634696715,300.8833583055412
5,299.7857822070082,300.2811298400556,299.3050614811311,300.5159557515495,301.8351940696079,300.96478573971814,301.3828089129274,300.60112897261837,299.82257082140364,300.530334920292,301.4966074585698,301.03553515642545,300.64568500516424,300.48374739347264,301.25787366630124,301.82443930064,300.3589634479294,300.9974009655852
6,299.12872109554615,299.6036027035568,299.2681950520227,300.1921274199785,301.5546645619536,300.7182764223863,301.2751366269694,300.57597899751426,300.0653967300678,300.23040973172806,301.280837193169,300.61265456664256,300.58069296708294,300.480972112114,301.0348607937737,301.50686012095576,299.9158815664116,300.7800758454197
7,298.4805589278662,299.31723986007665,299.15948740819454,299.9453181505923,301.2605340499244,300.40563080281487,301.32580281346515,300.5367316398046,300.2666415195168,299.64038666068006,301.056160808131,300.4039044503111,300.4018159980037,300.3303584565477,300.8033867588235,301.06553413975445,299.63040669575906,300.46716161643053
8,298.1255322248033,299.4693586527506,299.1203794494475,300.0776188367242,301.10608279012536,300.3223941185589,301.65703621125107,300.5336706671881,300.565692619413,299.19763661365556,301.09187040583316,300.5458647012778,300.2957562864569,300.2135865312586,300.8137946518953,300.8589232216099,299.65937519537835,300.43197516604056
9,298.348760179621,299.97693416382265,299.29596923058637,300.51636219716426,301.22532415072214,300.55693488231924,302.1885085996793,300.578017832313,300.87508284965384,299.2369945861764,301.5268597876807,300.9252775818425,300.4750942079972,300.2957863576375,301.07252736745426,301.1357492089655,299.9985214919498,300.6992146587567
10,298.8223524857059,300.4591564172093,299.5477624103462,301.0300077103566,301.5083678236201,301.0023060941358,302.6948063008883,300.66200504763384,301.26945987325263,299.64180843812505,302.0560668256117,301.40356762627135,300.8466845350109,300.64398716892464,301.39470714079124,301.58889124813436,300.3635655251407,301.1662329593387
11,299.19735376591433,300.75239748991976,299.7297428081252,301.39126177491767,301.6911184358589,301.4181220586259,302.9961062371831,300.86404921282514,301.5367104096809,299.9822116106476,302.29654129801764,301.78905943009914,301.1388514977254,300.96016097149874,301.5354976474593,301.9671436854614,300.5876199243258,301.50985856093945
12,299.46924473810714,300.96520840056655,299.9095457407354,301.5657032964121,301.65959102171377,301.70612525677376,303.08523910904927,301.17087299095573,301.7315615345455,300.0990577692742,302.2526636185958,302.11792506702835,301.2410237335774,301.07570600049536,301.53402760150533,302.16086878932384,300.65465884095437,301.66052161575993
13,299.66892507268454,301.1528455156721,300.0432435642994,301.6584867220672,301.3418139048022,301.91159416238526,302.98141201602056,301.41796793822823,301.8101540569896,300.2129346094186,302.03566528636276,302.239953155837,301.06869002079884,300.92064593597917,301.52625083032717,302.17538841437795,300.59802392665176,301.6313018896543
14,299.83802194645835,301.27078274422934,300.115610598969,301.6428127964323,300.89162506396093,301.98108374738064,302.78023995342164,301.60594965053224,301.83035432669925,300.50578837710566,301.973880088597,302.3941514357454,300.87482010377647,300.84798270922266,301.43634321992766,302.072984962606,300.56293043131603,301.40675057310085
15,299.8937280568087,301.3033559890243,300.1012838578818,301.4775165807897,300.4598685876878,301.83776923885404,302.5305781356619,301.75534417678546,301.791392391768,300.80878777882526,301.8361906711595,302.4023557044894,300.81685843830945,300.96037751238936,301.2705128673444,301.6700809412884,300.66169636892363,301.0729878871152
16,299.8957780363074,301.0129545108969,300.0489366845279,301.03422576162137,299.98697433942317,301.2410577220215,301.9133414013714,301.95293235086393,301.78113896339687,300.9984804459983,301.5354734237017,302.4092814972792,300.93278772700756,301.15897037602036,300.94091512617916,301.0306354199053,300.77057511129027,300.717171991166
17,299.7509761378521,300.51305554473834,299.9913303736551,300.311826781905,299.4908276271536,300.10842680550167,301.0901969264669,301.9455623524845,301.63384925619835,300.9794593333983,300.8521121390606,302.1604745962907,300.9655549437691,301.1996787080764,300.6187863419185,300.24098445771136,300.77604227225015,300.24492640663607
18,299.3858222399272,299.77447064826947,299.93623649559225,299.4730875810301,299.147577895159,299.06817619051543,300.1537386654226,301.717699818743,301.38700303040883,300.6726319406846,300.15609247585917,301.65209548435774,300.8328329504769,300.9742147111901,300.161257363026,299.5882435069617,300.6272091167497,299.79597760393307
19,298.8735480557466,299.2548764553294,300.00902727143426,298.89784418012385,299.1461084821746,298.453577298737,299.6303598412514,301.4607757400836,301.17297987766875,300.214623276218,299.6579987981668,301.2551704787148,300.65944089655517,300.7835084407321,299.72167840429387,299.1285509690369,300.6192443741397,299.38389129135766
20,298.6393731268088,299.1212718659551,300.28429157306886,298.7246470211093,299.45332296253775,298.40307722167444,299.4797662480452,301.5001534856312,301.2134228180906,300.03922478847153,299.5099216687997,301.1249887325071,300.65531350230765,300.8817301988521,299.5638945939356,298.82901399566424,300.8804578439933,299.3214886916707
21,298.83709198800517,299.3626127809764,300.7414021780098,298.9545929591671,299.81528991133814,298.4938834901437,299.60659984344665,301.88555457898764,301.553321229369,300.3061301624136,299.68370665695426,301.431281532416,300.9190682485639,301.3254335724965,299.8303148275721,298.80853833654936,301.38214138913,299.601733821863
22,299.2885257514777,299.7838925405344,301.35953971702594,299.1971649285024,300.13601175540276,298.6405686096655,299.87067000406427,302.39324414432093,302.0156868353941,300.8865517140748,300.0374166743549,301.8613169158198,301.36426697449184,301.93807945958827,300.3754734390889,299.0505178181902,301.95861482548963,300.02273539366524
23,299.5237687591166,300.08858432041285,301.8326084591317,299.3293722740817,300.37959113423994,298.74909040690346,299.9812156913606,302.7927419318966,302.4760418340357,301.27490876448087,300.3745591937391,302.17131661613746,301.7910153393788,302.3989278780906,300.7202104758692,299.33028169736434,302.3939046116632,300.31719241600484
24,299.4885004281919,300.27307398435505,302.11416988592674,299.4208490032501,300.5896667185332,298.8759275606969,299.9649146648656,302.9387727574653,302.7403214946796,301.4279088219516,300.5503018679504,302.20125369499755,301.93851554780446,302.6027332986716,300.8505323701806,299.5283273562016,302.6819042307256,300.3974420117249
25,299.30668948171166,300.4070311441177,302.0521491462079,299.59235921960675,300.6171128918288,298.96017651710986,299.7655670122538,302.86845631375365,302.7980702452534,301.331258628557,300.5680894319593,301.925537277717,301.77482523331497,302.54454713753586,300.74297410985406,299.7016480821629,302.83944783461345,300.37479144363743
26,299.21181799523293,300.5037894689057,301.9196468832963,299.7789894919209,300.50905707394963,299.11053159705665,299.5798340234724,302.65171811271756,302.7584857544259,301.148126015329,300.56252962869513,301.4779522810234,301.57182495117326,302.4333303206434,300.534900526826,299.9574576267635,302.9289042850501,300.4633190376492
27,299.2111932521519,300.54870324262976,301.7756538577645,299.88287406454776,300.1996979944882,299.182789668062,299.5454512276778,302.2563689473621,302.4619260762291,301.00715676882123,300.6432448218865,301.18423358968505,301.5650957270584,302.20212948481367,300.3894418264231,300.1702843134306,302.9230619962985,300.795476076049
28,299.3029872672792,300.51259504520675,301.4573293851501,299.8430040725961,299.8127773216207,299.3195037279837,299.5531951419286,301.40452828636415,302.0136716356906,300.90143592792236,300.7965307464638,300.98717923814957,301.64419783487887,301.6665833974498,300.3616236210574,300.28738918531405,302.6947308627959,301.13990019089493
29,299.3787705370375,300.3888033786208,300.74002559941897,299.6784274990569,299.40326743041413,299.3609286582079,299.5502763261572,300.31967211612977,301.3078884297849,300.65316431650945,301.01983299400604,300.8873454683906,301.6163483932346,300.6947599003027,300.4510259132072,300.26896687361733,302.1558898724786,301.34833169515963
