Experiment,piControl,historical
Member,r1i1p1f1,r1i1p1f1
0,,
1,299.6672306246466,295.42122798303234
2,299.8867754699674,296.19857654684324
3,300.07697365615815,297.01519585959795
4,300.08968333174636,297.6712271223882
5,300.0494183546705,298.0314843078202
6,299.7618256995061,298.04768085585744
7,299.34932970854516,297.84269504287334
8,299.0429300496177,297.56078647726855
9,299.0000901546577,297.3497708888172
10,299.17706602752105,297.20546248371016
11,299.2726357955472,297.15459202822166
12,299.28057085770905,297.24002776530045
13,299.31019334103587,297.59524227165787
14,299.2406168720558,298.2227745601456
15,299.19017278008033,298.8743804983986
16,299.07894402188464,299.34539319536435
17,299.0102399516746,299.45877530339914
18,298.80347604276045,299.2279152560047
19,298.4177907623872,298.78054091015406
20,298.03201137139916,298.2456251650098
21,297.832557055837,297.8583953183974
22,297.85072362484283,297.62930158710617
23,297.8580515419023,297.4237910620613
24,297.8587532672822,297.2590106345063
25,298.09526687314104,297.3102415008962
26,298.5048467564282,297.69207993713525
27,299.055631034915,298.30716444414765
28,299.4694532465355,298.8496595896493
29,299.7430090510466,299.2923107799509
30,299.78673226348366,299.4340888533997
31,299.5981443267512,299.3818257352507
32,299.35101734862104,299.3164576204326
33,299.14545344330173,299.32325554413933
34,299.04049393812517,299.45519655165
35,298.9181792565184,299.44939298466585
36,298.78857503549506,299.5005032556566
37,298.7144271452141,299.6109804007994
38,298.87963698826434,299.84858618208204
39,299.1986679344421,300.0815866231637
40,299.4759503992158,300.3114382522261
41,299.529041957028,300.36124646525735
42,299.22352131912834,300.0329534764947
43,298.72343373567236,299.4336790036104
44,298.2247848447828,298.96768309381895
45,297.90933282445206,298.8926368057437
46,297.7527338969978,299.06009163468667
47,297.58741716279457,299.16726968909506
48,297.5286843043498,299.30181012339494
49,297.7468930705747,299.56086772183846
50,298.25899268928845,299.95479505736927
51,298.9324186251709,300.5125869947161
52,299.54129889424576,300.9867972574427
53,299.75517753250887,301.33790620693213
54,299.34892071054776,301.21312954876134
55,298.5029285044386,300.83711764848556
56,297.74970486208485,300.4718533104188
57,297.3162402647245,300.44663033973023
58,297.0168989871466,300.63031481440544
59,296.60408742282624,300.62047224179514
60,296.2960446871983,300.3560550416161
61,296.4442324765404,300.05974146221143
62,297.0019784973656,299.840708878802
63,297.6600680731001,299.48648247145803
64,298.15908773875015,298.9115925918996
65,298.4003078052017,298.19088705566173
66,298.3870881380683,297.33826497695094
67,298.25867236132234,296.5108559136814
68,298.0694201942751,295.74828821137
69,297.9086556251262,295.3580497452646
70,297.7257823164959,295.20248168576546
71,297.5284513259875,295.1762619964276
72,297.4882451949779,295.3415083595198
73,297.7462627721727,295.9150514544849
74,298.3225318896968,296.7663396187336
75,299.09124557543754,297.59059860759277
76,299.724267074671,298.1748861672611
77,300.1852105879372,298.44062543288436
78,300.1696677656289,298.40090315574963
79,299.88294362620235,298.1495871968161
80,299.57086734181155,297.7820988756011
81,299.42737926685686,297.42312858066634
82,299.4384987221221,297.2037230068789
83,299.30032190498883,297.0932461365548
84,299.16800922420816,297.1989719692389
85,299.2378703757676,297.5674284836028
86,299.62677786902447,298.1607705699127
87,300.01357664445806,298.8526447892988
88,300.2851980562661,299.4285910841097
89,300.24606346418005,299.86246351455503
90,299.9763563430434,299.8551820681405
91,299.4893217996965,299.46772368272565
92,299.0263120493578,299.02356542865544
93,298.848760156875,298.8368438478636
94,298.885739144251,298.9204447994329
95,298.8782955911785,298.9752038618671
96,298.77218751266895,298.99989238429663
97,298.79756925963045,299.11857023305714
98,299.12581141755976,299.4243338966343
99,299.63895361355145,299.85119890977035
100,299.99864011437114,300.2632302119278
101,300.03102203281014,300.48804584972146
102,299.7199588339071,300.40754906193155
103,299.23109684921934,300.00849365820756
104,298.7860296184558,299.61318255581676
105,298.5649856558785,299.4616874243056
106,298.5179858120225,299.5997823117681
107,298.42315204958135,299.6439450079538
108,298.3101984609996,299.57299514173997
109,298.61024307013406,299.6072441210841
110,299.20750613636665,299.85522992515547
111,299.96130383957234,300.0309752573759
112,300.4093826222654,299.9077105309821
113,300.5595287639164,299.57035126889485
114,300.2753217233542,299.09499685354643
115,299.8257150097875,298.62015115537855
116,299.5103254952173,298.2250684922203
117,299.5758434872938,298.2031621433732
118,299.87199242426703,298.31537772067344
119,300.0838191290355,298.1717540037104
120,300.10395833055503,297.81816219283616
121,300.16157086477693,297.63924533209445
122,300.2326402417943,297.9238520748855
123,300.1979568605842,298.4710607281468
124,299.9749160805039,299.02702161252796
125,299.537696879864,299.4087257215513
126,298.9751091435583,299.4509450297941
127,298.32198709745074,299.27090462585517
128,297.7962080198174,299.12391582362073
129,297.521866736916,299.2479168370256
130,297.4063803049168,299.4752900270957
131,297.22912983815587,299.555901621464
132,297.0703060753281,299.4120667145393
133,297.0707779655659,299.31266265638305
134,297.54767170989766,299.34899100897456
135,298.2304598449859,299.5808774431766
136,298.9115358927547,299.7898008463956
137,299.3507046560274,299.88216829892104
138,299.45655957453215,299.5223333062693
139,299.29101367619745,298.8863150801235
140,298.93203096273265,298.44399932370015
141,298.6874273887001,298.3982580122945
142,298.5327845281609,298.5141031536845
143,298.3395913440555,298.44265816722344
144,298.16651232084376,298.3942626152218
145,298.1761726884514,298.67751207213314
146,298.48907892926155,299.28508470595915
147,298.9625804901181,300.0137411136043
148,299.3624407053269,300.6358403808439
149,299.5150036022597,300.8027544056495
150,299.2409069373404,300.52520937799187
151,298.7229692120767,299.9897555810637
152,298.0769041085495,299.7375644985775
153,297.6477504551884,299.8051345045578
154,297.3599086964205,300.0831620715083
155,297.1424649477153,300.1961973893124
156,297.0680239446715,300.2405923847717
157,297.3119548874028,300.22968270042753
158,297.9601809285205,300.18854029735894
159,298.7119127306412,300.10665857679777
160,299.34103861517497,299.93228583328346
161,299.63085050892624,299.73003551093484
162,299.5493604240335,299.16986067040403
163,299.1573891934077,298.6083685204001
164,298.77357844677493,298.1917526111577
165,298.4995017120231,298.21774353889714
166,298.36243942899756,298.38451091954465
167,298.15048709869444,298.36436456334246
168,298.0076624690258,298.3030398189192
169,298.15701538291745,298.4241410562735
170,298.5807948666516,298.91749070413624
171,299.1119230307738,299.5804118688936
172,299.7251815772515,300.0027723209956
173,300.10457262393476,299.9479096703099
174,300.13788666763867,299.34885866211465
175,299.8505541668356,298.50265489269793
176,299.6604792537236,297.78588630087194
177,299.7668617556454,297.3062805126532
178,300.03103350649184,297.0243984081233
179,300.247610647063,296.72036043840137
180,300.2894710511194,296.5302038621094
181,300.2490406134802,296.72794119721385
182,300.09295909161614,297.2781073192717
183,299.84077352758413,298.0061775266289
184,299.41669983746937,298.6112975546561
185,299.0517153228623,298.93939817466867
186,298.6968653607283,298.86404940520464
187,298.3372460822768,298.40723080056324
188,297.99951036532866,297.7294243405135
189,297.87329199230436,297.1842412527499
190,297.832447268926,296.83943837282067
191,297.67517011526866,296.5514879979059
192,297.48475113422336,296.3154517657808
193,297.6611944076837,296.4304514344213
194,298.2713150193802,296.9214533844387
195,298.8661618974966,297.57750043798836
196,299.31179716892865,298.1683749964746
197,299.5115451725522,298.59753444682354
198,299.4653350877527,298.7100601333547
199,299.0974494183022,298.4668278116039
200,298.65561835540103,297.9559490537092
201,298.5343226314363,297.5183105925187
202,298.55984131889045,297.20052197243604
203,298.43909149940663,297.02010616290494
204,298.2376113202486,296.9686781664491
205,298.3981790862282,297.1598066529262
206,298.8378266924423,297.66376316936277
207,299.41861270366115,298.3406007610365
208,299.8346565109564,298.96845695663205
209,300.03806363559715,299.2880303269307
210,299.7840028212298,299.2612073564338
211,299.10591947074676,299.0183163721624
212,298.4522293742159,298.72652609017365
213,298.079155190608,298.50147226156156
214,298.0384200819299,298.3517746970712
215,298.0149516675685,298.23253832057486
216,297.9962949659914,298.1476870863473
217,298.225017236107,298.3190013600569
218,298.8014528157277,298.70944454659326
219,299.5994709710355,299.15790347092843
220,300.40971293434956,299.49037237248353
221,300.77939918560236,299.56862164885166
222,300.65108091713495,299.42727220746434
