Experiment,piControl,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,ssp126,ssp245,ssp370,ssp370,ssp585,ssp585
27,298.70396877062416,301.158808714338,301.82233838437634,299.1990202545839,301.8110386478814,299.8879044320029,301.515556798176,300.0237193337818,299.68332926166823,299.9784191731271,299.91438143506304,300.7159244270176,303.34202212511263,299.54245101616294,301.2350149065182,301.9113565506478,299.61351153510736,302.71987399722804
28,299.07553607180677,301.5570972483334,301.9862667549555,299.4776601053008,302.0325028399307,300.03306376885365,301.37546203358863,300.4461049048645,300.0477229902802,300.20947722357954,299.9580967696347,300.8594689197217,303.0842607562627,300.09766310161734,301.3868809474119,302.3969032432076,299.95293968813826,303.28404987984686
29,299.24914248536396,301.536781457786,301.6870498853637,299.7038425003612,301.91748714213253,299.9364004827716,300.84031530067165,300.64912699955,300.1232374137742,300.2785423219546,299.9693847701485,300.72101854255135,302.5202887935734,300.27468581058946,301.1876804574868,302.396070054272,299.9609508602093,303.433455372958
30,299.20713419711274,301.15431325694817,300.94700980449215,299.55886895188183,301.4885897569056,299.6129117549674,299.9384456338857,300.52456884141526,299.893423270564,300.0637232285839,299.90631255855607,300.43122877701336,301.3939323838087,300.2058984168796,300.5573716508741,301.89523722165956,299.79493905663224,303.18186721270007
31,298.9766209818221,300.61346915891005,300.20583228483565,299.2624229610454,300.85620405933264,299.09894775303604,298.9643777973672,300.29600326032875,299.3330198867832,299.8180160604417,299.7304901908719,299.7895670781751,300.1735847530677,299.8934876907595,299.71142231953473,301.2563585876389,299.5412895026484,302.75958069247906
32,298.71330300004,300.30149975733906,299.7213181247658,298.9641961657303,300.1682746343084,298.58390329597796,298.1944261578181,300.1805055265711,298.8094737767164,299.59991107854535,299.5228036887158,299.2225858394733,298.9601487898399,299.56526758039803,298.7817217687921,300.8584280348314,299.29194118794754,302.43712901051117
33,298.61507112858993,300.2623016823746,299.6217805193118,298.9238281541772,299.78486352145495,298.2034229528835,297.87208729952584,300.32832952104803,298.56633517826504,299.6172622659075,299.4181652282347,298.92684388036014,298.41988872851874,299.29712568422843,298.07242927407145,300.80066300418093,299.2632151373534,302.4512033850571
34,298.76030869726696,300.4091556320066,299.66388893173666,299.07120190661004,299.6958665483835,298.1746539101412,297.7932849495318,300.5876680917474,298.5862239488201,299.7820786464406,299.5665867371471,299.0545299526405,298.27889220587195,299.26679395806065,297.78826636957956,301.01462929288135,299.4289713342327,302.7364001784343
35,299.02527131195706,300.5734816316816,299.7001812813949,299.26088733454304,299.79962038995455,298.28293068530655,297.7923843189174,300.8595951869151,298.76925673267823,300.0537287092205,299.88352309665726,299.26205456979733,298.46833250723915,299.3828927534407,297.8704672954398,301.20644863286265,299.7553785699045,303.06205870352596
36,299.37025848336157,300.718767480507,299.77039279238903,299.51935361639585,300.01980890923437,298.55018876047666,297.951662913908,301.02883034761663,298.9862100813354,300.3556261737444,300.2099448366151,299.4502978744785,298.8181431156573,299.7051461889391,298.21074453573004,301.3859921061895,300.22168845859716,303.3037569579599
37,299.8273479446955,300.9838835742951,299.8850566542856,299.7720420357741,300.3848648635956,298.8476508995172,298.44346855877376,301.1641899658573,299.5029134382723,300.6444988070963,300.5499677459958,299.7149136279069,299.30159656331654,300.23169015812886,298.71437980587734,301.6318095064883,300.8850714596694,303.34285911625176
38,300.45577427701954,301.35480239030636,300.2662925150835,300.1105531395728,300.91444872350644,299.1018070647603,299.1279337632402,301.390129209844,300.21203331394645,301.04796916184745,301.01400947779956,300.1296208365753,299.8389049935243,300.8779644224131,299.4315726006341,302.1107408719474,301.64489142150927,303.3951679089059
39,301.0894841454438,301.5457065704242,300.75435870954493,300.5098770847282,301.2086612169103,299.2853575896103,299.71823581121845,301.5601513313627,300.78486808486537,301.4365166558129,301.512713976917,300.6345236382108,300.36360545183925,301.42154631326633,300.08867434428515,302.5884431823651,302.3305661996898,303.45559063336344
40,301.53260021738674,301.40547018267006,301.1949710311306,300.93988809039803,301.2537174015385,299.45086731505944,300.14014308888824,301.63388931617925,300.91146211541394,301.8166952129962,301.754439303993,300.9870818850542,300.7310469575122,301.61005719211363,300.6004822662159,302.82453252657365,302.85622785979086,303.46010198020826
41,301.7205029927721,300.7446676463965,301.2242501537928,301.13657641663264,300.68078102766054,299.60224754736583,300.303702096167,301.4017488383576,300.6241719242123,301.8475957005886,301.66253320019854,300.9085482681499,300.8769692402638,301.39594543867616,300.6447818789813,302.62382445332054,303.0837149124634,302.99609641292517
42,301.5709479997838,299.8733254077603,300.86338398838546,300.9282107424552,299.8208628639175,299.5078759330534,300.1957929467205,300.9616676399097,300.12918841141123,301.5517446696434,301.14379844597096,300.4426859171654,300.49427603422606,300.92733231787173,300.36687368750853,302.2090037256787,303.03279319709526,302.04467520279087
43,301.3196419162952,298.9274747192727,300.3930134722909,300.4866595785472,298.7664033441742,299.2370932313802,299.8920691691913,300.40249126045705,299.62361921034613,301.04451385129374,300.62440368818596,299.7724722912317,299.94713585232165,300.45735520644024,299.87199993353744,301.7485908495167,302.94121697353285,300.95211729321
44,301.0723893806498,298.1422386540131,299.9985010382189,300.1317739126893,297.9498943131515,298.89031849802814,299.60392633169187,299.94460227163,299.278952658398,300.71748562203817,300.25483907038324,299.15513662950764,299.39010175510253,300.13256369882424,299.38254228011925,301.35693110223,302.9882237782056,300.2082817867314
45,301.0589849131281,297.7138272416211,300.07537709232014,300.0535409537547,297.4164986438903,298.74159436295923,299.51030995536803,299.8590947191313,299.1860833330932,300.685874990883,300.247939413061,298.8686048457309,299.18229019546055,300.01856068766625,299.1231132505766,301.137677564974,303.3777421171426,299.95306251560885
46,301.3538492222885,297.6867316558681,300.36715180665584,300.14987852540554,297.2829538975988,298.8034614528295,299.58351597282336,300.08359122985826,299.3656435549755,301.0001174783319,300.5509641663478,298.83077889342985,299.19476913333466,300.1781694207488,299.1571501041689,301.11248730467923,303.87608355250126,300.026693553152
47,301.78854508480316,297.877204413941,300.7334260360324,300.1775550165219,297.35027639976636,299.0452818323237,299.70602275624566,300.22952922535063,299.5526080097494,301.3530192776639,300.8009763250736,298.9942689307981,299.4146756715026,300.3956633654049,299.3853655083594,301.2404000700564,304.28204109206143,300.0435266126578
48,302.1408449524212,298.24269449751756,300.92863870038633,300.144401415804,297.63983379793115,299.4003640877208,299.8309823582036,300.0747273079631,299.7193135307359,301.7294200595986,301.0292235780881,299.18357262961507,299.6416996099924,300.69051054948795,299.73582989606,301.3992515056337,304.3468475889195,300.0749455213161
49,302.30137754219317,298.7080654677524,301.2289110000482,300.2710505953815,298.2365760479924,299.73844414556703,300.0037079530875,300.02013265572305,300.0475082927059,302.11827748516527,301.22845071527973,299.5916611385244,300.02767123402515,301.0198813568259,300.24622221528904,301.66657520191455,304.0532983844296,300.17258748165466
50,302.3742701157468,299.33408769362876,301.74267661191647,300.58965254136496,299.01975226977896,300.27052195176753,300.3870160807833,300.15287572522703,300.53470659476625,302.41176923707366,301.5233206141106,300.1585737833397,300.52660165221863,301.5757421060755,300.9560802966983,302.0100520345416,303.6595140603314,300.55904123118563
51,302.48106924429385,299.7906752655528,302.2561344384217,300.84299293979,299.6296056304696,300.851223433711,300.7794267749659,300.4153452532783,301.0769126373635,302.6414422411511,301.86661400680435,300.69196302241176,301.18539765858173,302.1246277947459,301.69353251134834,302.09918865315836,303.4480669845226,301.0237205572192
52,302.5731819715518,300.1308646263132,302.6007908506079,300.84069134563765,299.97373978921763,301.416902069043,301.04474055131175,300.49854155313096,301.34961837958707,302.7559322372496,302.112615176999,301.0530114384294,301.7965649154558,302.57424662456793,302.3230440965596,301.82294568762745,303.2703520557503,301.39313230249047
53,302.34723338387477,300.2285339622711,302.5704908475474,300.4757856497534,299.99933975019604,301.60506691266846,300.96887067776646,300.4066968101515,301.2445648296464,302.7193210752983,302.12379982362114,300.9864550097331,302.087807783435,302.5343245548316,302.59178427420875,301.123397469826,302.9200836716939,301.2374741999153
54,301.58375266396007,300.006929334015,302.28442821496714,299.6880748571763,299.70754489056344,301.34209227743105,300.52466281201174,299.8785151705537,300.7573623862607,302.3094258489759,301.8266444802584,300.532956865068,301.95403912650266,302.126338982205,302.44950201587307,300.2858135160183,302.12336732104103,300.50792304649354
55,300.5768388607201,299.6303763365117,301.8748254198923,298.73522479587217,299.12055692922144,301.0139717262389,300.06960852366757,299.03822574069534,300.11299438108114,301.6572429319784,301.3636838596397,299.8620819780429,301.68185748542476,301.5711738410756,302.0797878544685,299.4774704281784,301.2573591507803,299.48696426735813
56,299.8369895513569,299.2741969134797,301.5290348025239,297.77722323701937,298.53554668060747,300.853304130283,299.74522075135707,298.1674852313681,299.68185629156125,301.01767294322514,301.07184932405204,299.3051579840515,301.509601787814,301.1737638875536,301.8181134884106,298.81383374103865,300.492427346787,298.5248235770535
57,299.656125964775,299.16825248924806,301.44213913591017,297.21583573961556,298.2248483274819,301.04653172455784,299.73890494354447,297.66564893961163,299.6127168579511,300.69806167487957,301.14579039312116,299.0114433284177,301.6279870274072,301.15303544748156,301.86178733881474,298.43361562855233,300.07306694335045,297.95425715606746
58,299.7377185112762,299.2539221082845,301.57834823486087,296.98993698463613,298.2265770252898,301.454101211401,299.8639531855462,297.4857827245233,299.7515501599175,300.5557164784379,301.6099625244519,298.9414450497239,301.9258350475945,301.44715552636654,302.1121375110831,298.3337922459364,299.9092808007576,297.79408501528036
59,299.7986276407715,299.40276812752546,301.8393813088156,296.9472579418354,298.3849404202137,301.8794702841921,299.96926582803457,297.39137579758335,299.7348373791253,300.5460277507785,302.0231118131242,299.03232958408574,302.26599664726496,301.776787161545,302.3737479803615,298.2281352669224,299.85583467898186,297.875527686975
60,299.779002067959,299.6809019087552,302.04278994487646,297.12207192488125,298.5462149457066,302.1995629011323,299.9837662874125,297.5354345212972,299.5830046152998,300.51118240392196,302.26637338040155,299.23502533643773,302.5489086542757,301.9351407099494,302.5777624174166,298.15570337485,299.8186152724367,298.2426392402247
61,299.8362062609056,300.05362222529885,302.13679171687244,297.573552395005,299.0544367397193,302.4023815229918,300.1198357974988,298.00710073432896,299.4211205309087,300.5798549986943,302.3614715818181,299.6707068471274,302.8825460095017,302.0332960054605,302.8161448460556,298.247196599043,299.8138901963311,299.1357569640534
62,299.92027656598015,300.57269617208,302.1526705283324,298.2197132945175,299.78894027421694,302.4157890191613,300.51732544321345,298.6754286477363,299.5338975145217,300.66490492919996,302.49557780773364,300.3084218729846,303.17904416571156,302.3196643663078,303.040399839719,298.6237487044123,300.01523985608657,300.22734375352525
63,300.0082565111258,301.0664419623553,301.7631744386978,298.8538878482644,300.55823053989116,302.47561073682374,301.1851031914909,299.30852151598384,299.7573563032067,300.67377757860083,302.5648172707318,300.828014999746,303.3441882239131,302.7820299690532,303.23915539759287,299.1901335484145,300.40719079222623,301.07421258158223
64,300.01821975352567,301.44745599570194,300.95087215484637,299.28395654014486,301.01143960267825,302.50218703528475,301.7743323266062,299.76547099410715,300.05234964514557,300.5676438960429,302.3540522234454,300.9127345798409,303.1896734495429,303.2441737423015,303.2048541852469,299.62947808830376,300.8070784235554,301.46188076103704
65,299.87105756591126,301.5546014263645,299.8958053669539,299.53293945726244,301.015013435221,302.3789659547099,301.99359856804904,299.9931129188492,300.078053414472,300.2193076593556,301.72541200122544,300.47993696507757,302.6275823848066,303.412448396388,302.64350975846577,299.89023265877444,300.9781425893974,301.49440897264475
66,299.4148932333227,301.3806834063787,298.8295699661785,299.54670391387475,300.59696146148775,301.9152037968247,301.8192928909562,299.95846050195763,299.7875057274823,299.5766816079818,300.6607005592847,299.60264963031494,301.68249885557515,303.1562162963964,301.8309546645609,299.88079987935845,300.76755594674086,301.29599345524326
67,298.88461977589776,301.10759599588005,298.04903305827446,299.39379720019366,299.9677030507211,301.1543653122464,301.4598471981524,299.7237540637993,299.32650483046365,298.6573383891238,299.51004322309507,298.7918273588176,300.77467889145277,302.6283975259766,301.0161208082353,299.79839430265525,300.4295898312784,300.9965142409695
68,298.4766623260862,300.8607414041403,297.33134859717507,299.2202838114312,299.47427331676846,300.64881084438593,301.30127242106875,299.45978153300206,298.8992179474428,297.73906081179524,298.573875003124,298.11757940041167,300.27573092044867,302.27265932431936,300.4168838122848,299.7032543608187,300.26036588548646,300.78621280668006
69,298.48668854956696,300.83143774328454,296.88742699591904,299.1126875593818,299.3191250163948,300.56228166664437,301.43059746366646,299.2784332175741,298.75175774568555,297.37227646325664,298.1116178668985,297.90943603141505,300.25110619643675,302.311204953665,300.16088778758274,299.72063841559014,300.3123508715749,300.9077353953037
70,298.80046475848275,300.9501538621539,296.7086346759082,299.2332448198421,299.40717471384096,300.90076203322195,301.7655757477591,299.30220456848633,298.940433078543,297.5460406623132,297.99224959292025,297.9662283717934,300.5856399912805,302.69597706242934,300.2035717982199,299.83318083878333,300.5507338437779,301.26044382998595
71,299.1001553730307,301.22132971375623,296.83045872319474,299.4775873459859,299.5400901163214,301.2048415812763,302.0495021158194,299.37254542110236,299.1833806624104,297.9810473773634,297.9811143157313,298.1243664951015,300.9579082610669,303.04265097799157,300.512580542615,300.0630157598229,300.73188186186,301.72743661174803
72,299.35221637052905,301.441897243955,297.18614036199324,299.82128937458907,299.6764176650476,301.3126849765095,302.17069203855453,299.5617418951536,299.56270148754226,298.31713399035635,298.06315378682035,298.43243870155123,301.24061353490555,303.24196666132883,300.7253317487426,300.3472243621242,300.97220881714304,302.13384517660705
73,299.63107069288907,301.68081193052046,297.8429846011265,300.1472529761356,300.0076192590427,301.29026263868514,302.19401341555334,299.8486619029458,299.95241891896427,298.78577216517357,298.323192573929,298.9488916037398,301.28842045334886,303.38139403412794,301.0967689041888,300.65334804999037,301.25929055026194,302.6287439714062
74,300.114562700135,301.84399967116934,298.6050267221637,300.65307892113236,300.47631756531035,301.30996375475655,302.08778477702305,300.354446660407,300.5921994261039,299.5008473304071,298.70028951464155,299.50541542892665,301.42028463321054,303.50814467903007,301.73622873884614,300.93811475229353,301.6689743563416,303.1756199242315
75,300.6726622511516,301.6858952954246,299.247832019196,301.0710285809292,301.04124867603156,301.3688666642872,301.7391871767824,300.788565228794,301.21763581815156,300.30643285962816,299.1024599112005,299.9862606189738,301.61718024005495,303.59818042363185,302.4843763612498,301.2680984250749,302.26488439018584,303.6044852097079
76,301.16143143978115,301.3015394576728,299.5766949978233,301.3550806996487,301.41650634415487,301.2449102894778,301.2194203342816,301.0854813296363,301.8241260671904,300.98868276091906,299.4770405750924,300.3511787451503,301.92222889767237,303.33852007078474,302.9364997167775,301.4831809000421,302.82074995072065,303.7915452810191
77,301.3976770090271,300.57233516034916,299.581015020704,301.1714824027826,301.4968008966631,300.8434759618204,300.4191595096089,301.08393201671157,302.15201199519805,301.1992019269923,299.7322644361895,300.6397064324928,301.8834440485352,302.41765610439734,302.9489823277661,301.4023857360151,303.02866279203454,303.66492739830954
78,301.2961700004575,299.6279185207926,299.23099224329786,300.6981742821563,301.16252535658896,300.09660404088,299.307636007883,300.8606620634771,302.2671890154985,300.94252255451016,299.7496869335561,300.6242133987243,301.5987614785677,300.96852430096845,302.5911473737895,300.7669097445577,302.6927140998057,303.2051156047276
79,301.0845483058745,298.6710806410348,298.88771097990224,300.11956869911796,300.7680900028353,299.44226321541555,298.20183529843865,300.4210555649463,302.2930527905717,300.48814629478426,299.636034854455,300.42567867072336,301.21072555308365,299.53843635868844,302.12480892090133,299.97338946193844,302.22131866797935,302.6088148640319
80,301.03675967521497,297.8590525661321,298.53946594915936,299.63768599512224,300.48831162085105,299.0100496969419,297.4043625572123,300.0927264667241,302.4624394980446,300.14894575329964,299.4989202002511,300.31615702032497,301.08835374625374,298.59231898852477,301.7993250344864,299.21011088048016,301.94610575194196,302.0904677882921
81,301.34447900447833,297.5173254587258,298.3962174354022,299.4180717022288,300.6056738106351,298.9050985186853,297.3119170847785,299.954121298327,302.80187662789155,300.2357059538806,299.5097063089456,300.4427425800753,301.35285727225767,298.06074393946625,301.8288787904241,298.87276344639224,302.0834231238069,301.9795738407458
82,301.9427897053735,297.4898730806337,298.3168158116453,299.43137498903315,300.92413566427314,299.0674368001408,297.42143692784174,300.12127233523535,303.2970439519242,300.51939077578055,299.5978034305306,300.8081634249792,301.782406689712,297.95727732374047,302.13686021852834,298.87313972343486,302.4886673663444,302.1678969410796
83,302.51908424722257,297.65753275183874,298.39358286848045,299.5616041108536,301.1964634999526,299.32361071475196,297.54437431601525,300.2909013049101,303.6029619979832,300.84756477003924,299.7675552258588,301.0769227933628,302.17645257285056,298.0273956488026,302.4793828383592,299.1164907498412,303.05071039545584,302.45253718083376
84,302.8955572729239,298.0010426679414,298.57501531474446,299.7976672723865,301.361442372636,299.6425673111354,297.7615811459243,300.44237887007876,303.5734569611788,301.105171055332,299.9660072805478,301.21939440136083,302.33498940874534,298.39931943286075,302.6889557508786,299.4520639425146,303.5129264143913,302.61820305599184
85,303.04917897082527,298.56429442608356,298.96209512653917,300.2511290408612,301.5642935891881,299.9611616157262,298.3933766415615,300.57988543287246,303.2339211538206,301.4422603667227,300.27243700970433,301.41148833376116,302.3773600201719,299.1317766901975,302.8734706565852,300.08898335101975,303.87455719134,302.82775998074135
86,303.05968373861475,299.30127419389436,299.43285365812375,300.9646335439651,301.9502186512311,300.2356669556697,298.96158456479395,300.68948677460384,302.8983564414672,301.8019320826969,300.7595547534192,301.7553065062795,302.4684965688398,299.9537779620769,302.9774429921856,300.9086714262622,303.97077430599626,303.1657849243824
87,302.8929339485474,300.00486824781433,299.8715977309226,301.50440508683477,302.3097916474126,300.5369396874755,299.3444564844376,300.70658921246985,302.6859768914067,302.16240274673436,301.32839042983386,302.01118701354767,302.8083437025285,300.5390012709404,302.9920777116268,301.78756273387444,304.02178615052554,303.3600288432785
88,302.3304654706303,300.43978925980383,300.15008551137237,301.7749601098834,302.4013465028003,300.83010541660764,299.45576179129534,300.5235621159521,302.3018156170378,302.42310011319637,301.76877872769285,302.0449741895468,303.3042084156261,300.76775382108525,302.4987752187658,302.4100356289882,303.7530115692653,303.3407517988174
89,301.52690335455077,300.51105190445696,300.0780157523199,301.50873526395327,301.973986695083,300.83932074880363,299.56094889705463,300.1513422401417,301.5446487472962,302.4750854989433,301.7784060581046,301.8898245896749,303.5361835557296,300.5919764955998,301.68649924647326,302.69732568445266,303.07279560181723,302.649994844992
90,300.41346224493236,300.18632261857545,299.74313615981896,301.0110451689612,301.09679528035775,300.5130583704294,299.29659489627284,299.43726236210045,300.6378184658681,302.105646087454,301.3096776575142,301.62929836550575,303.34885571126625,300.08971201882696,300.5438441711837,302.60919928439813,301.92357760872306,301.46125625544624
91,299.37331075275546,299.77007118380146,299.1749038160969,300.375287836851,300.0933954796667,300.0097319872406,298.7587659410479,298.6678126614958,299.72130457222437,301.5231800502931,300.6442428623289,301.28445087185713,302.84201712637014,299.4418796531259,299.6038372194521,302.41221847224057,300.8085829597789,300.1015154977981
92,298.45712941157893,299.41915053097256,298.7067216302759,299.93288226698,299.33760258137346,299.83010679313725,298.24629207343963,297.9997776983764,299.2121912284706,301.0749347986528,299.9558527505435,300.8426501804625,302.46213428216856,298.91392595609506,298.818916203019,302.4161350044283,300.1074178833069,298.9666288925478
93,297.9453830400145,299.3486914036939,298.42693675453853,299.77553375135295,299.00514549772805,300.0940680353245,298.0280549396529,297.7297451465452,298.8692357311124,300.98565549781523,299.65958426935293,300.631118744254,302.43623011253703,298.6172922994513,298.2693010928492,302.66219473663097,299.77232691988644,298.3905701435977
94,297.78531981948817,299.4692580316071,298.3958426397083,299.9131867680732,299.02193940773657,300.6722628927953,298.0916464470923,297.81534108852094,298.72544233256235,301.23143742261936,299.695708674283,300.68009157731984,302.7640173053805,298.5915642525686,298.19513408003303,303.06508605387535,299.73951482000757,298.1247795022226
