Experiment,piControl,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,ssp126,ssp245,ssp370,ssp370,ssp585,ssp585
Member,r1i1p1f1,r10i1p1f1,r11i1p1f1,r1i1p1f1,r2i1p1f1,r3i1p1f1,r4i1p1f1,r5i1p1f1,r6i1p1f1,r7i1p1f1,r8i1p1f1,r9i1p1f1,r1i1p1f1,r1i1p1f1,r1i1p1f1,r2i1p1f1,r1i1p1f1,r2i1p1f1
0,,,,,,,,,,,,,302.49540490623286,302.44820027831884,302.49257180418044,299.9081117380742,302.4522716820004,299.9836788538972
1,299.85999493176354,299.8608615813944,300.53301967682756,301.4030669120696,300.443998815268,298.7644211421837,298.95192876934493,299.79454304137306,300.66075994319226,300.18119798164906,299.38033246410555,299.69628471166925,304.2027821846689,304.0030832518976,304.15422051102274,301.23603859220384,304.2236729082635,301.4715943674226
2,300.5171104247452,300.06978320666616,300.69269876812285,301.87100921337145,300.6493862737277,299.2099312523917,299.5481746094558,299.5348821467115,301.28390627627164,300.555135550236,299.95615591956283,300.23769498356893,304.1149007599675,303.67727097459914,303.9118271279208,301.6328913744382,304.24221428708535,301.9062837508818
3,301.11251389279147,300.21349183528395,300.76394248899663,302.2599016518109,300.8675411677703,299.8629946775474,300.1588361737008,299.3649676382639,301.8321661111424,300.81477866139346,300.4581201554419,300.81075167230506,303.8645232143981,303.4207561752956,303.56558795440634,302.102988224326,304.0920424671673,302.3292502039255
4,301.54222921059505,300.25356155001566,300.78837914715825,302.50002939565275,301.0378009588595,300.44647399685255,300.5131008531601,299.30278305969165,302.1099922970755,300.74946129003047,300.86099846523786,301.291493594865,303.5086576694831,303.3573072970994,303.11404617909477,302.408935569493,303.7837344249146,302.54938512719673
5,301.66385291884467,300.00675093990213,300.64707873563094,302.535589820372,300.8113297947403,300.6630831534512,300.59713802443883,299.0848392339603,302.13041403933664,300.3898471404913,300.86677268220495,301.4305686888537,302.856116234954,303.1919370355804,302.49834209997465,302.28921495640526,302.98688688721745,302.5797652569327
6,301.5791599803925,299.33102991593756,300.29178402883787,302.1948698570943,300.3158132200493,300.44325191139234,300.2729039937315,298.7399275269336,301.68498493984,299.69409831169105,300.6828925267314,301.1936941096048,301.9639736958454,302.56248237076255,301.5318986750015,301.7613861821871,301.98227089036055,302.14231105068103
7,301.47187180258464,298.4851623249759,299.63384505897375,301.69802708629345,299.6590493000477,300.0576477842848,299.6883921773812,298.14904348052033,301.1813772139797,298.84978227440143,300.25633573065903,300.82928252403,301.03177816673303,301.5091765236805,300.5781697426722,301.0726006132208,301.0324818370438,301.45355181359383
8,301.55897077559507,297.68895594009575,298.9910466817564,301.2598684424176,299.1079425481233,299.6780056292153,299.09140113291505,297.4955626693959,300.8731763614928,297.9485110799753,299.85589531141426,300.56065002602617,300.4520118878269,300.53931909575164,299.9251022410681,300.4724567604974,300.4495583739138,300.80820997169707
9,301.869795909257,297.248948629565,298.63393481628333,301.19674323274063,298.9133957127519,299.56711177772377,298.64480607289994,297.1240003496748,301.0257108055285,297.325306411186,299.6589388670539,300.62634011729443,300.19131836240666,299.971438214741,299.7746969766693,300.21368689298066,300.3241955122177,300.60939341668194
10,302.3569136719295,297.1409487061369,298.71210114773953,301.3701417341851,298.9554127293339,299.6331429273535,298.5111076145292,297.13552073847,301.3029544094026,296.928961016368,299.75561992489247,300.9427602941002,300.27988957758447,299.87990706029655,299.88966119177354,300.2252607639064,300.36729012384893,300.7382830813636
11,302.7032704721305,297.3068875151455,298.9367178343992,301.59108810864956,299.15562111436947,299.8515574471178,298.5724592842889,297.2784383311698,301.4826104940201,296.77567313113985,299.98183383529096,301.31248571884265,300.40045014751973,299.81321146853094,299.9575936580183,300.36577780789827,300.6313532444551,300.90754925904434
12,302.7494725663532,297.62573294493865,299.1400170532102,301.8024575264241,299.3027499659761,300.02407006457025,298.8711978722223,297.42230616169405,301.57689975080683,296.8736287466257,300.18403416603707,301.5438830001115,300.74570109283036,299.7817673524766,299.9477183954987,300.44815832157343,300.7692593064326,300.96250585406443
13,302.39359313632923,298.1653773722987,299.47668580687036,302.0312526058724,299.6271326232153,300.41121609528824,299.4275917147004,297.9047225695079,301.7182253608069,297.4727934229979,300.5366000033727,301.6913407355839,301.1120755266533,299.94094572885996,299.96476297941024,300.6894119755081,300.8171782077878,300.97767888241236
14,302.0992297437854,298.839782027244,300.00351644864827,302.1420203493946,300.1292804026726,300.97161658625265,300.1290670642385,298.56542560195084,301.85790315116884,298.2272874857859,301.0262613020243,301.87971604715784,301.5840627739369,300.3187714482497,300.3748906467309,301.1186717713381,300.75038695102415,300.9640735468466
15,301.9402620518236,299.4748876142762,300.5761487989286,302.1033390608689,300.71085996859745,301.5077148911246,300.7777278638154,299.234162924867,301.75045355905655,298.9280035701732,301.6222655760527,302.01746761562896,302.01794827546496,300.615745622314,300.93191757583696,301.5888687399111,300.67267089037904,300.95704934411555
16,301.4629909568176,299.80949052508856,300.9794114326692,301.789819951583,301.1230716060996,301.80202002990063,301.2438253467124,299.55679211034,301.3629682587812,299.2509200359222,301.9788018716525,301.87227993680597,302.3851427545913,300.59896353213173,301.4288449544886,301.75361744502806,300.59242746722646,300.9730686684591
17,300.6280304000679,299.7718868104051,300.98431029437677,301.30377319373656,301.1472347189994,301.6121569389454,301.38097277057517,299.62575947984107,300.69558759484477,299.1540881190422,301.9118266516278,301.2479876543396,302.5978354030922,300.36724325355914,301.4558211210497,301.51566381460924,300.24998253680565,300.85395190612303
18,299.5306583245752,299.3864837805356,300.72109845839606,300.14462959172516,300.80858051645333,300.9513286568025,301.1929550128111,299.45339700034185,299.85744165159383,298.63233108361715,301.32200399621655,300.28449148116897,302.4907416406893,299.80036861021034,301.0803185267221,300.8809082547819,299.4095900516186,300.5335892651435
19,298.61920444447645,298.9568706146995,300.30744128212046,298.82172327863816,300.3496672587455,300.09187796215156,300.92815828026215,299.031612339716,298.9719049972502,297.9727048976137,300.55627930587383,299.47012616899354,302.22769054881223,299.04724136090704,300.6524278794356,300.14187036658853,298.2191486569621,300.1533457655458
20,297.8674246467474,298.63329943216416,300.10441576137606,297.55057973530756,299.9664280279938,299.3605932153724,300.8140914283012,298.62242897619484,298.194892334614,297.3490117527447,299.96563220131117,299.0694973303427,302.02498115117083,298.2837221038556,300.45166622316583,299.57566625061173,297.1337821888144,299.97632668738873
21,297.349748027662,298.6689236948285,300.13458404324376,297.00221495436864,299.90176710169897,299.00259800635416,301.00736978085394,298.38229384921857,297.9273847661709,296.9948555267836,299.80368177495967,299.06181923690934,302.22919881288175,297.7709018072514,300.4979136974716,299.3320392338699,296.64895030408974,300.0801110275865
22,297.1027635741143,298.96795178716053,300.431777237289,296.9704012619018,300.04248980748486,298.878654501236,301.21562212076765,298.42749476295506,297.9428572236855,296.8896344331681,299.9276971838871,299.21762492962233,302.653479620179,297.5641823653937,300.7325842082863,299.48222570295474,296.64990190592664,300.3437526101165
23,296.9729542264868,299.36907856509134,300.7193533275101,297.1006080550342,300.2820271145138,298.84945399549184,301.3471939290493,298.5694837350108,298.15440962635876,297.0347093505821,300.1610449955543,299.3588202983962,303.11730142750577,297.5510896553978,300.95053724515236,299.66628169614046,296.84089530805977,300.6908127714609
24,297.02876842578263,299.72188436759575,300.93490469193324,297.39353933922774,300.4759382969435,298.8693963894054,301.32608182163887,298.7483805647298,298.2151774914044,297.4482748370916,300.2638479028435,299.6051536459529,303.31059024088324,297.7982321622624,301.1077521670713,299.92643273730977,297.1115700895604,301.04303808566993
25,297.49712746180444,300.15392404641756,301.15351399128286,298.0121542006869,300.85715520602815,299.1116282049721,301.35291958867214,299.0620822391275,298.61248194661846,298.3409564989444,300.1863297436116,300.006188530349,303.42307870391886,298.23080558912477,301.05671610181463,300.4205086747274,297.8548734847696,301.4730563452061
26,298.14298497702003,300.6573358481165,301.49671611261914,298.6336064910433,301.3643679715489,299.5005222678721,301.46210547198973,299.4964659110331,299.122440573829,299.26528882864585,300.00863141440897,300.47427347271673,303.41669539976493,298.9002259346117,301.094735583876,301.1463765670224,298.8394992433064,302.0729947028198
