Experiment,piControl,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,ssp126,ssp126,ssp126,ssp245,ssp245,ssp245,ssp370,ssp370,ssp370,ssp585,ssp585,ssp585
Member,r1i1p1f1,r10i1p1f1,r1i1p1f1,r2i1p1f1,r3i1p1f1,r4i1p1f1,r5i1p1f1,r6i1p1f1,r7i1p1f1,r8i1p1f1,r9i1p1f1,r1i1p1f1,r2i1p1f1,r3i1p1f1,r1i1p1f1,r2i1p1f1,r3i1p1f1,r1i1p1f1,r2i1p1f1,r3i1p1f1,r1i1p1f1,r2i1p1f1,r3i1p1f1
0,,,,,,,,,,,,296.82063989841737,298.34052152649946,297.68451632091853,296.8325424416512,298.0647807991845,297.75036408283233,296.8181905382556,298.05079651277555,297.72609848102644,296.9669044502786,298.14130365836587,297.77653683910654
1,298.75885232855427,298.4009341970249,298.7849114612222,298.83985906023184,298.29255922320016,299.8520246798501,297.63301998265024,297.8871757255982,297.95932144027006,298.04539113338916,297.7739383890867,297.77210106387787,298.9406530339281,297.9958974249642,297.37021142686336,298.3651856947276,298.03736593506704,297.60173654351775,298.436245857487,298.186171957447,297.6547289040613,298.684184078841,298.1143980806938
2,299.2069544542574,299.08315332400565,299.057806617229,299.34429601493815,298.84012481069317,300.5218225154388,298.2142032498996,298.3343853897281,298.466830202015,298.6842835336481,298.1805385572414,298.53936224723424,299.6072900564217,298.49012390593015,297.8607918581311,298.90904792382383,298.50798795390233,297.99905177851014,299.109641658705,298.8181749375938,298.16056152833215,299.2708190979476,298.62283940051447
3,299.60871490851986,299.654986890473,299.2727318038806,299.7241167411294,299.21678397868925,301.2000812505498,298.7117376029027,298.7432139106573,298.95808664906554,299.23852947481686,298.6422696800377,298.9217472941236,299.971687999821,299.08686947044043,298.2532323616011,299.365906068475,298.8769437152841,298.3152522891678,299.64172046852013,299.3206989226792,298.4534373845188,299.6905379785094,299.1356574772661
4,299.88473946191834,299.9892230912222,299.4433967611322,299.9476345465107,299.49036172759287,301.59117521162733,298.98322736600306,298.93179751275983,299.2809090168128,299.55134029403786,299.07170756231693,298.77684505940175,300.2808890409584,299.3805001449247,298.5580420490534,299.8118618681317,299.2368750683409,298.222366103762,300.033051716133,299.61994517372824,298.61845406916166,299.9226121087881,299.6540590494926
5,299.67743870605545,299.9869198012807,299.30590527199,299.80310518966127,299.5194599559934,301.6308334514318,298.89454275082267,298.73164348415986,299.1644961409001,299.55359673694915,299.0769963057423,298.2140585671534,300.3161547141883,299.1997949697172,298.4106941948061,299.7701046162061,299.23683581460847,298.15494292305647,299.9486269653692,299.50011543887007,298.3757313966949,299.8472757313073,299.80575875186673
6,299.02161039660444,299.6877835804374,298.7480849819589,299.4320100442515,299.16728963221516,301.5001469241361,298.5258376897299,298.08128043137935,298.53514785080523,299.19451545666357,298.5629996955337,297.4107200557608,300.0283666294285,298.5038612948518,297.69129348297207,299.33228474451806,298.9273607380297,297.5335596830343,299.62540163997346,298.9647741753435,297.6937145037753,299.4791378385009,299.5203103060083
7,298.34844578636023,299.3182057628241,298.0944254620102,298.95302422275967,298.6464686486606,301.5222794951124,298.03749074283763,297.40666400761614,297.8162275364349,298.70976982821117,297.89285915918504,296.59314471634025,299.61524060867777,297.78065671654485,297.092543874117,298.80517769643785,298.42149255336136,296.9763831109792,299.20115798306125,298.36458614973304,297.0514564063796,298.9973599591185,299.0041570473181
8,297.7311451325674,299.0144556247192,297.5969609385416,298.488853450814,298.0512505919184,301.72538036835556,297.4897980231079,296.9391617778281,297.26323838325476,298.1673853738186,297.33117254703797,296.1494956991965,299.2426062857534,297.2978869553847,296.7547951277607,298.3551462349826,297.9046506730787,296.4961268864112,298.61431099216,297.95880915018137,296.5015559263156,298.6193106220563,298.6142510344138
