Experiment,piControl,historical,historical,historical,historical,historical
Member,r1i1p1f1,r1i1p1f1,r2i1p1f1,r3i1p1f1,r4i1p1f1,r5i1p1f1
0,,,,,,
1,297.9089751980839,298.0401577130869,299.41384434180526,299.5613420806047,296.8778158211314,298.0292657883912
2,298.92576926662827,298.7094579487671,298.10974280633116,298.59943726308995,297.7856588816033,298.6887107047051
3,298.1936428023824,298.6563198702235,299.39782522041907,299.2176767964921,300.10034482425004,298.04953350620923
4,300.89511378521297,297.62133862829484,296.7655650646545,299.7985433608871,298.4659603658712,297.7795496283386
5,300.27313689281823,298.9455073129895,298.5188044354765,296.6916033349662,296.5045090511907,298.96101079139174
6,297.64618214852817,298.5289684815969,299.4580413253488,298.2113372957437,298.9533468420739,298.2835854753724
7,298.0931938906793,297.9453014694504,298.3069754182195,300.80109632078455,298.3171754206623,299.96875928008194
8,298.08802190151005,300.8968471655735,298.2030598446975,297.26590576816886,298.33326376569477,298.1771330650775
9,299.0055101272969,298.5461251528852,299.5471922214654,299.03163443865475,300.1903711074594,298.0166741034056
10,298.69852795811204,296.64578889863685,297.537709387972,298.85284940504704,299.1987666259434,300.5156815259825
11,298.92050768558374,298.46935163221195,297.57815540516805,299.7115835005838,298.41955001935065,297.51093831740235
12,297.62745349601363,298.9042192873707,300.0526100398519,297.38721579771413,299.8150714401889,298.54064415003137
13,298.2270613461174,299.38998813590814,300.86102030828164,297.51908002933556,297.4644207723076,299.3474652570256
14,298.1961035619055,300.79572153854167,297.9186086626037,299.0344565913486,298.6526660107123,298.2337884563151
15,298.39739877231483,297.1153244908315,298.9104654645283,298.0122406623738,298.9569479025225,300.2667967115174
16,299.3543784632705,298.6938600446287,301.01956456828935,299.1843713344534,299.4486559336489,296.82608896569025
17,297.9534862442121,297.47049479964505,297.1388955168806,298.8409370390329,298.8877227367804,298.0637108903416
18,297.7413460057878,298.9494496430356,297.96519761886833,297.74533041375395,300.5752857319704,299.1003446744041
19,299.57275294686514,298.9193754726971,301.306275677554,300.3717685303474,296.9589549505097,298.108617551851
20,299.96166468421825,299.7229436308348,298.4263766040536,297.1547625175928,298.3991103896385,296.8868258483799
21,297.50091758576514,297.68283666106134,296.8436910513107,297.7555731275461,299.79401620817004,297.7675893058034
22,298.23242896754715,298.3524824617076,298.34124148498745,298.9688257470509,297.9570583903241,300.17476039042515
23,297.59633084746815,301.1962086149472,298.18835717057726,299.9082499393473,298.5604727721077,298.57789925661353
24,299.0003715298099,297.695205855076,298.76900421581996,299.53320763129904,298.08898763001173,298.751504938555
25,300.8834295268706,297.72256599695544,297.42267582822456,298.4970978723284,297.92935030971154,299.6273505162748
26,296.97291850355776,297.6307078446511,299.47696371724925,298.3291271148216,299.6430316883829,299.0202997187288
27,297.53652833219513,299.4869398719304,298.96049402576995,300.454573697466,297.73380013242985,298.27320067590443
28,298.48398927895624,300.0481900122823,298.7335420624118,298.6847418081105,298.3270864511351,300.8833155749772
29,297.1603072712866,299.3783573267667,300.37925312954354,297.8038352684495,298.9458086925409,297.96977515887596
30,298.98466052339876,297.63731274435276,299.17581378343374,298.0560997870407,299.3198372646548,297.84355092604
31,297.42857321069215,299.90413846066616,298.1217008918221,299.879456773307,297.85639952532205,299.2129679182335
32,298.0583394469404,299.0834775687302,298.3450510082776,299.7514428400898,299.0798885555187,299.428095719469
33,298.9524463975503,300.04455030625184,298.84279689166766,298.28798758293544,297.7963024688697,298.09481012782703
34,299.49855584523743,300.890030620849,298.9323057050112,300.6157792151024,298.8176362310753,296.97316105891633
35,298.95436565621077,297.60410129839266,296.93958438895123,297.3154734470645,298.77513805732247,297.80161101859215
36,298.29995741882607,297.53696994085317,297.8494051265555,296.87621845066525,298.8123008257032,298.13151659691084
37,298.5957717465005,298.0520142816326,299.7388972524739,298.54390450579035,297.29343915370924,298.2932486260112
38,299.48474794295436,297.80875029855997,298.2546030512508,300.7979714897874,296.50828094904335,297.9084069362882
39,298.045141096637,297.50040307315,298.76069291296585,297.3364131535379,298.3076038531885,299.42373521194446
40,298.22994165984744,300.151202205715,297.6523266703552,298.4653352318516,299.88365840827515,298.23549468001187
41,299.70648234754566,297.82296864396784,299.08873390177047,299.2786582168537,299.7529790196941,298.4580649012158
42,298.4534601554664,298.15024015078563,299.2692043744033,298.9357770765346,298.16961574357833,297.48930296085825
43,298.93901420865444,297.9601004324708,297.9800208081694,300.3709232522925,300.71846306119255,298.8891072431386
