Experiment,piControl,historical,historical,historical,ssp126,ssp245,ssp370,ssp585
Member,r1i1p1f2,r1i1p1f2,r2i1p1f2,r3i1p1f2,r1i1p1f2,r1i1p1f2,r1i1p1f2,r1i1p1f2
0,,,,,303.25283352139235,303.2622821380617,303.18646807178743,303.21173540281717
1,301.4114344069082,301.23241928047264,298.1336575013407,298.3521364884464,298.0842973713517,298.5646896516585,298.2832482524801,298.1701398140622
2,298.44972604631283,299.95369172927116,299.06862996289124,298.96768116631785,298.4221040587385,297.6916057171919,298.7953797910321,297.4120474322914
3,298.01429235573903,297.57025088433994,299.26545081621174,299.9407179978096,300.0338088534368,298.718931108533,300.045772884071,299.2235603196685
4,299.7182952561464,298.16980644782495,299.4893124845286,299.0682239503063,303.4261651914093,300.6966825545622,301.1501449555187,300.5598656162321
5,300.79276532792977,300.0504136973179,298.54317088893737,298.4000726051952,300.38771357142286,303.45332989466516,300.83356457282053,303.2647040323806
6,298.2538117574206,299.34997257636684,299.47644275204084,299.89198961640017,298.18578555471896,299.3351843824857,301.6518822616652,299.2388314476886
7,298.3350530068515,299.66596985680707,299.3131962768223,300.6141036515926,299.33508563350483,300.41865999725263,300.0040641096285,298.78405142023524
8,299.20847331263764,299.88660219750204,299.08282567039265,296.992003801103,300.86255743697797,303.194668454066,300.6176362787434,299.47456482514076
9,299.0644181589744,298.39096688528167,299.07639642607626,297.9949477474552,302.78781659982286,301.9730615292826,301.82233553177053,300.7193022563856
10,297.7687961811652,299.517856305911,298.76367231417925,298.53590081481076,301.66738028585297,298.1168699351988,298.6056283182931,299.40515236255925
11,298.96500444248187,299.6584112310883,299.1925801409441,299.1312108021811,298.3621883306068,299.0349186441602,299.31200045967086,301.42057082073046
12,300.36534972342463,298.31103271690813,298.2175616306219,299.2773466185379,298.882516747209,299.69909119363894,300.0237471239671,302.2589959867063
13,300.9693216108373,298.78870989574744,298.54662387951913,300.89440697736717,301.4229910647646,301.00799216932757,303.58860184994506,298.92242153241153
14,297.88760003226196,299.37052054777854,299.1915968159594,298.76881277920495,303.4525964574947,303.4381109195811,299.1383901753273,299.0179949229311
15,297.4959456308245,301.80193066411834,301.959878703298,299.4635637816323,298.3270310025835,298.33051741097336,298.94526428411973,300.4336006447024
16,298.0425343550655,301.083706830626,298.9032638106471,298.4904131916503,298.5420230624765,298.67100440642724,299.62396695400656,303.5835918628468
17,298.9530806146252,297.11290560310516,298.0157822255473,298.6855220769558,299.222031121695,299.97136763239047,303.04268454907304,300.32518199036775
18,300.2195462991245,298.2611166799675,297.2305317463234,299.00773957567407,300.62072616092195,303.52034726118774,302.9768995693285,298.63256554011275
19,298.457033727584,298.7119997726183,298.4629172911176,299.464946170016,303.73234716355086,299.7144260791415,297.8672892352802,299.57162581648294
20,298.8193078230517,298.841621575804,300.21370964566046,299.6523547187926,299.9400224134665,299.2438710406321,299.4954291354905,302.0372448207274
