Experiment,piControl,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,ssp126,ssp126,ssp126,ssp245,ssp245,ssp245,ssp370,ssp370,ssp370,ssp585,ssp585,ssp585
Member,r1i1p1f1,r10i1p1f1,r1i1p1f1,r2i1p1f1,r3i1p1f1,r4i1p1f1,r5i1p1f1,r6i1p1f1,r7i1p1f1,r8i1p1f1,r9i1p1f1,r1i1p1f1,r2i1p1f1,r3i1p1f1,r1i1p1f1,r2i1p1f1,r3i1p1f1,r1i1p1f1,r2i1p1f1,r3i1p1f1,r1i1p1f1,r2i1p1f1,r3i1p1f1
0,,,,,,,,,,,,296.8206398984175,298.34052152649946,297.6845163209186,296.83254244165124,298.0647807991846,297.7503640828324,296.8181905382557,298.05079651277555,297.72609848102644,296.9669044502786,298.141303658366,297.77653683910665
1,298.0600843228594,299.3919579961408,297.6564149251662,298.55757173578036,297.70874212681224,302.24452719587487,297.80551193346076,297.5483058522012,297.7889191349054,298.2104579203159,297.7882692576307,297.33213052891466,299.2140646337129,298.2277461599062,297.57221677144105,298.86390339849305,298.48350722593113,297.66105621008546,298.4076265227236,298.7674058904938,297.1587203542474,298.8174051838878,299.2967216395842
2,298.6267922565076,301.83735268584905,298.1840433295218,297.9430194191831,297.91232499486074,296.190320619155,297.75902387011837,298.0367728453743,297.9317717413557,297.61920627188005,298.1521515328606,297.9088123433684,300.75895905035935,299.30777867955436,298.8327415282142,299.1182722933134,299.1885375950092,298.92335116172103,298.65006080708923,300.1784973934239,298.60891979301914,299.1270738340579,302.1652635692831
3,297.9589803546293,296.58413689248226,297.3410590457421,297.77699978275473,298.5366919906767,297.21804453210916,298.02412751005727,298.54100717555684,298.07017362765714,297.26563373201674,298.00325371895264,298.06509820376635,301.3555080330678,302.1071493960879,301.7209009845695,301.249980466587,299.4454349472157,300.6059920448722,299.5871410597337,299.7377115214267,298.5859900635845,299.47713785446985,297.41881763817224
4,299.33602644293745,297.3463518922693,299.11856544590876,298.2942518944167,297.89227704113347,297.657124551315,298.051253594309,298.6843607251726,297.85141101410426,297.64330897245327,298.88294814363167,300.3994278724776,297.6979307198669,297.217013372178,298.37801398261746,298.2792432363533,299.27784428299356,298.0566015992603,302.93288407679137,297.96232196248417,299.29239430578565,298.9722432284971,297.0283082638721
5,302.12334157262035,297.3471999973338,302.1938967407606,298.3042073154889,297.2337215001895,298.1390337527824,298.47019966968963,298.3588967859105,298.0186189913679,298.5408431634076,299.29910864917446,302.9210413084509,298.485533193012,297.690316117051,297.52114075837375,297.92947258472554,300.5671554411433,298.47152507545474,297.5207484586631,298.30970147888405,300.2244444192475,298.14634587872666,298.3621412284734
6,296.96289703500514,298.5179688055808,296.9139676991223,298.20425230660373,298.19032223990536,298.4887491162117,297.7815152520232,298.1636318310387,298.23220577671015,298.542852051781,298.5362228877182,297.4875393295104,300.60751306149143,298.7664104239731,298.1627952547512,299.2585667952085,302.68757904246337,301.0204605035628,296.8267563001321,299.0824465080159,300.6933240279922,298.50773990415195,299.1482052894327
7,296.5740932015196,300.23599155052744,297.5401896784877,298.28330008830335,298.3560760176488,297.8936328869024,298.8148464284697,298.198576461885,297.50625869104584,298.5354140359622,298.2452637848382,297.92932662083126,302.7072626801119,300.3013644921362,298.4372416266657,298.86522159022553,297.62100884590586,302.65898499747385,298.31025214434885,299.8988192390189,297.52595258730315,298.4808598341602,300.04092386052486
8,297.1269559074672,300.96454068286977,298.47300606981094,298.74383087456755,299.6135960871378,297.45630970388453,299.7940227106324,298.22889637804775,298.11929742038666,299.46133840415473,297.84949381110175,298.98158464092836,297.3069703324364,300.4387252401861,299.04932474616436,299.141823414131,298.243825886676,297.2289227045381,298.4373918223585,300.49821006554004,298.01254792303877,298.6591172124558,299.93426064947283
9,298.40246766566673,297.0834828483122,298.5715286216615,300.72269702658747,298.91384230476666,297.5466522278951,297.6607211853239,298.9989742899872,299.2082313825824,298.6722724797263,298.4677239521909,300.16541483364546,297.3587803465784,298.12787887584824,301.749745921669,301.6302324320306,298.4370790358659,297.6663832875083,300.22576476948717,303.1570193584862,299.5225707216095,298.9468917290572,298.82331314018836
10,299.8361319524176,297.9692979821468,298.84697864070534,299.9233567955967,298.49157978621713,297.6780806336952,298.1510438751904,298.13049942855366,298.232134230088,298.0611684779267,299.5383645367389,300.7624592118944,298.51849389954697,299.0137902515403,297.6984205911654,301.32118221970546,300.09120570256124,298.9810003515377,302.87462043271853,297.35456970285134,299.94784244162065,302.8789575093977,298.93274818409003
11,301.8457778654949,298.1915369701,297.50552898628877,297.0044012075538,298.124450428359,298.5368819885361,298.4683473864454,300.16612971756103,297.9811847714473,298.243712514124,301.8309497300574,298.1754260212213,298.82702564033383,299.771740254177,298.2837520161521,298.1076883546243,302.95573278394465,300.4688383697665,297.93507447222305,297.90791819227724,299.8796959190692,298.761829730457,301.39057467356344
12,297.89404777121746,297.41038178956734,298.6732633246316,297.5813087558138,298.02773536347416,299.93154481692034,299.082653255033,297.9974550372686,297.48529860910736,298.00177094576213,296.31253044316674,297.7448255689779,299.4906839749322,300.27070184869723,298.81460640596987,298.03677739480185,297.39788594048736,301.7007372295944,297.74430588764307,299.1487793638681,298.73660448590476,297.711387168975,299.2030591645302
13,296.5629874480912,297.93261579221775,301.81175936771035,298.02523183467446,298.1684829398096,299.0775143508824,299.60067230100094,297.6990996376397,298.5545053621426,298.4650920850781,296.6402007605789,298.2860842931403,301.8650027211614,300.80869797786517,300.67480745486256,298.9889834047363,298.09572815035375,297.54596565290234,298.20576110451117,299.24743292034253,299.54233631488796,298.8655706647565,298.3591481187724
