Experiment,piControl,historical
Member,r1i1p1f1,r1i1p1f1
0,,
1,299.28057085770905,297.2400277653005
2,297.85875326728234,297.2590106345064
3,298.7885750354951,299.5005032556567
4,297.5286843043498,299.301810123395
5,296.2960446871983,300.35605504161623
6,297.48824519497794,295.3415083595199
7,299.1680092242082,297.198971969239
8,298.77218751266895,298.9998923842967
9,298.31019846099963,299.57299514174
10,300.1039583305551,297.81816219283627
11,297.07030607532823,299.4120667145394
12,298.1665123208438,298.3942626152218
13,297.06802394467155,300.2405923847718
14,298.0076624690259,298.3030398189192
15,300.2894710511194,296.53020386210943
16,297.4847511342234,296.3154517657808
17,298.2376113202487,296.9686781664492
18,297.99629496599147,298.1476870863473
19,300.2968134864639,298.4082692753048
20,296.33565278264194,297.7337072804158
21,297.2344528334959,298.73877598804535
22,299.3452134035994,297.25244749823815
23,297.3968515003442,296.613212557129
24,297.3307670149857,297.58830391394923
25,298.5557726697976,297.7261196785368
26,297.18076536564905,299.26850884092454
27,298.46871930161063,299.9228963653315
28,299.06196368614366,297.2762984458541
29,298.42295874197254,296.9270029273464
30,296.65315306029305,299.2401126549748
31,297.65472031726216,299.569574991473
32,298.49878536936535,296.85897110309816
33,297.1816354180841,299.56259456467336
34,298.01655122250764,297.6126969615773
35,297.63134013069583,298.726790152139
36,298.5120121445637,297.8510318296317
37,300.199605831246,299.47971599020025
38,296.5644632510666,296.78894427862207
39,296.66152674155285,297.4082054060016
40,297.92981650186897,297.688619503604
41,299.25315246684704,296.1774771998487
42,298.39953248147305,297.7850396116404
43,298.62929183677744,299.4823798837993
44,299.55670087211274,297.73253521610013
45,296.60753514716,297.6961252666276
46,298.78911581856136,299.92351511513624
47,297.275029928116,298.9034607323753
48,298.31090783124887,300.0885438376588
49,299.35528482947115,300.1710795821429
50,297.86729285430187,297.25624468375855
51,298.7160633940723,297.8485975498499
52,298.32008473962736,298.2691343178733
53,297.52516886834854,297.6988462293879
54,297.95988598821725,297.5763741244504
55,297.57312946579697,296.35895121546235
56,299.52835404235975,296.75780726748854
57,298.3261927147005,299.5913871994506
58,298.2998864385888,296.03772485814216
59,297.1361295795876,298.16078486016085
60,296.9863466083318,299.5731464442457
61,298.32218997156,299.318295252763
62,300.3283597185845,297.4639939297192
63,296.65426613978747,297.75606934250584
64,296.1284134307229,297.8517553593322
65,298.01410560404764,298.13816899054905
66,300.5676184796411,297.93336140061234
67,299.56397692462036,300.27242579704813
68,296.3604941692998,297.37864202918564
69,297.0485698568814,298.74777393175214
70,298.68694001711646,297.0046313573618
71,299.37751323833817,297.231298987888
72,298.5085790908293,298.0484543110509
73,298.3108252936427,298.80909291074255
74,298.26129248172043,297.6692774517221
75,298.782058404834,297.51394911198713
76,297.82067907778264,298.31771330062554
77,296.6556593775277,297.4959182740634
78,298.2690367793505,297.7650335475293
79,297.85598100164765,298.5305534300874
80,298.4921491434745,298.1468503948028
81,298.07984747802334,297.9293861632183
82,297.16583972319523,299.7695179377793
83,296.89292117649734,296.8349768964375
84,297.8726745599538,297.73816281408716
85,299.07726412690073,297.56311374900946
86,298.336864098351,299.95516752840393
87,299.9044705814158,296.80894916684696
88,297.5778230171231,298.6589142529303
89,298.73751355828557,296.9637129669799
90,298.39148797231724,298.248129795398
91,296.7614350613788,301.3099097670158
92,297.06598553568614,297.11589355717155
93,297.11251878995654,297.8497587998515
94,296.80960761980276,297.8446219545561
95,296.3409110492515,296.63484543871556
96,298.49618958353363,297.9004428657065
97,300.0735902882228,297.91470947837644
98,298.53223156784526,298.05817066513146
99,300.02104273569034,300.3011934402262
100,298.1453171198231,296.2179150709442
101,298.58048457727546,299.0658284829173
102,298.98051879882723,298.18823717719346
103,295.39137707259516,298.7960847500447
104,297.8329385501045,298.79529006817546
105,298.20960414902567,299.37290443836565
106,297.96419162063677,298.4268390551849
107,297.81905735293367,298.9454917431239
108,298.2938086595205,298.7677971606231
109,299.18117627057774,297.53484176492105
110,297.94647546380526,297.84229096392033
111,298.02469580737625,297.65628801600275
112,297.2372388159877,297.3782879009938
113,297.6621608704425,298.2177860456681
114,297.489517370432,299.20103695116654
115,298.0776791569374,298.4595183377168
116,299.2636804809654,295.8996512047379
117,296.7100010011338,297.9246645519407
118,297.4470757183633,299.4865105857694
119,299.39954375428374,299.64788905528474
120,299.61061259251215,298.5881870151084
121,298.58954927154747,297.90619830490755
122,297.3244757812662,297.59184089513315
123,297.3130119174117,298.5404476927603
124,298.2005836812678,298.62124091380025
125,297.0179905478347,296.73162310055073
126,297.58531157610213,297.57939598445324
127,300.04654609160025,297.7867007191442
128,297.8889196757247,298.22292940003075
129,297.03989950221063,299.27321263325354
130,298.45508305816384,296.1424428807632
131,297.7111993814153,297.94447675714247
132,298.26842318333377,298.56681084652837
133,298.03382573266987,297.68713386815324
134,296.0252822927787,296.75884374805054
135,296.51155526551173,296.59127112209904
136,297.1115602587003,298.10093902004536
137,299.3162146673102,302.33311435848304
138,298.2888997498656,297.0240196740142
139,298.9460698859245,298.7039926465505
140,297.7834329166121,298.47430102975244
141,297.5107643335579,298.7530656692938
142,296.8504831340737,295.4171120778429
143,297.8286042126239,297.5512354008858
144,299.7235287078788,298.2206524588692
145,297.9714800178556,298.67053657323584
146,298.9082113965139,299.3340262168635
147,298.40012355199354,296.27769907242396
148,297.9925897614456,295.69655913316063
149,297.17681000521293,297.8334512845099
150,297.6844452577377,300.34333581107325
151,298.2225729240683,298.6324085843667
152,296.65294837674185,298.2859716098217
153,297.08435297423085,299.6995812107951
154,296.7151972949404,300.4997758550266
155,297.61766793716413,298.7081472517405
156,299.20340940186765,295.82647762902855
157,297.5161955028911,297.59661103583454
158,298.2815141828564,299.3002775658825
159,299.04680657060453,299.7765749762155
160,298.2072131030102,297.20650091024044
161,297.4557834777791,299.19339432773234
162,297.8831238986609,299.71955886426304
163,297.6827228374048,297.4155134118237
164,298.00815353544345,297.93804678037026
165,298.4822978421314,
166,297.96946657503537,
167,297.5019687771394,
168,296.82300034180054,
169,296.7920443986166,
170,297.89346836562464,
171,299.3956372789369,
172,302.17707208189523,
173,295.4327251733382,
174,296.29477920315895,
175,296.803320480506,
176,298.5175379868715,
177,296.99179430458565,
178,298.26220967509613,
179,297.0419878021517,
180,299.3521671602451,
181,298.0093079431345,
182,298.43904838944485,
183,297.8557233697504,
184,297.7340431995181,
185,297.51814410672563,
186,299.1779345958774,
187,297.061126566397,
188,299.3263621151109,
189,297.6810018421939,
190,300.0591418633887,
191,297.8091532539961,
192,300.330267113666,
193,296.0584463847177,
194,296.5261574864029,
195,296.24584996172,
196,297.2664058128853,
197,298.73867761980097,
198,299.3018049047417,
199,298.4255911173084,
200,298.1951378054228,
201,298.0597408163415,
202,298.9975191684495,
203,296.61250599935744,
204,297.568103016061,
205,297.68863305134107,
206,299.13516314264183,
207,297.2418135774163,
208,298.8990933984867,
209,296.9130597507748,
210,298.88494311581036,
211,297.8260232355456,
212,297.6933655173339,
213,298.0625035305888,
214,297.874028728446,
215,298.8245517830358,
216,297.5623209276576,
217,297.2132617799978,
218,299.08287047619746,
219,297.3678712735078,
220,298.4989793613864,
221,296.8734729559378,
222,296.7310862297176,
223,297.6286393700587,
224,298.4286385016235,
225,300.1769285087544,
226,296.7109992961725,
227,298.7198799311325,
228,296.4769133534953,
229,296.8429019060996,
230,298.320276979902,
231,298.0360229278332,
232,297.26447305811786,
233,297.82270480029524,
234,298.58347058859204,
235,299.71302982201695,
236,297.42030532732537,
237,295.48320156632985,
238,297.84082566452247,
239,296.9166473153312,
240,298.5878064084611,
241,298.33965890448104,
242,297.80332440789704,
243,300.23994011037087,
244,299.3978938388034,
245,296.021987178673,
246,297.1217391731345,
247,297.9133762281238,
248,299.5219861507018,
249,297.5631157027301,
250,298.4368180779755,
251,298.23935129315856,
252,299.71678853746926,
253,298.68684337263716,
254,299.0294795437796,
255,295.67121484037756,
256,296.29078246500643,
257,298.15089133501874,
258,300.34942607022737,
259,296.49921788058873,
