Experiment,piControl,historical,historical,historical,ssp126,ssp245,ssp370,ssp585
Member,r1i1p1f1,r1i1p1f1,r2i1p1f1,r3i1p1f1,r1i1p1f1,r1i1p1f1,r1i1p1f1,r1i1p1f1
0,,,,,300.94054994888296,300.9588829654105,300.81261447897805,300.84914905114147
1,300.4459069061851,298.5834530213556,298.2217686088602,300.3156976643831,299.3887485771499,299.6455455277662,299.99841747943015,301.0914997900981
2,299.36841223197683,300.19757765748824,298.91604180738244,298.3809847656931,302.4487234064432,301.5777051000886,300.47492431299037,301.16160058418586
3,298.78082048025,298.6851963050544,301.15657257169045,300.4759230160524,298.891777497529,300.6223984263443,300.3957313936034,300.30391290085333
4,300.1506193478633,299.260430453106,299.02314577283124,298.9560199582768,300.9365742158664,300.52833514512565,301.5016854854366,301.6275133105344
5,299.00363517032173,298.6332203791633,300.3564433330067,300.94059620326834,301.84333837381195,300.4655899807398,300.4391783695073,299.11579842245914
6,297.27339859723037,299.71276598232225,300.4392898585036,298.38710112926805,300.89294899339285,300.5572006177615,300.76546401184083,300.9120118192448
7,299.6376900955524,300.02066090706234,297.4026890892601,299.2681188196278,300.668858943314,301.4285871992354,299.2697684821519,300.195153483557
8,299.10598711859876,299.87482031122516,300.8109982244521,299.1542738226383,299.1891939465888,300.28787359484613,300.80120771517886,301.2788694472459
9,299.28890512653123,299.8899321670562,295.78887488457985,301.23333802443403,300.03745299051343,300.734140652025,300.75143370519237,300.7282242406245
10,297.7344143147872,299.77609777036196,299.80823879596034,298.2913751647304,301.1442781713999,298.8822891154729,300.8327284386319,300.9916878988276
11,299.68367140691925,299.3920348304475,296.99440456600337,300.7628788697269,302.10284074986447,301.3702625073075,300.4932117703967,299.46885925252155
12,298.43876309754575,300.9141278381721,299.7121941275609,299.20982772298794,298.56959583702,301.16333889100684,301.9431659701607,301.0997355466095
13,299.6184108155193,296.5430587067327,298.67663459187645,299.2118057979924,300.59914487370725,302.0169059757209,299.46842665584415,301.77200932824866
14,297.8871475670096,299.91301597604956,300.1503775776104,300.2017930588715,303.2033932367645,300.1309876834869,300.8274803962973,299.6499077965948
15,299.33042796475996,299.7924161530832,299.4596364418799,298.7430793516851,298.24670966070084,301.0541186966407,300.57593551126473,301.780993983899
16,300.4751393575216,298.9763410950698,299.1387039694872,300.08240752507714,301.58519130992244,301.9355568366669,301.7446520177256,300.0082176781397
17,297.2546628489963,299.73417652521925,298.8857647721348,299.96476989986496,300.6987695724788,299.3277878851339,302.33381060375166,300.9901251134185
18,300.3217345243559,299.4855790410431,299.16110581509906,297.2957713975036,301.0701727364448,300.07649000055727,301.2475360100552,301.3117941416271
19,297.75637123762925,300.72218119911366,297.6116572857367,299.08493757648506,301.89890185518556,299.43718572953117,300.6703275345405,301.8879079342085
20,299.4496676535061,297.45767790476594,300.57093616934156,299.26413922574125,299.7670845152415,300.4348907207929,300.8353461828466,301.6939870045007
21,299.8855308985787,300.42508374819255,298.72283146278966,299.56966151345614,301.39788210878527,301.30946861997535,301.8619741848052,299.65099478882786
22,300.19064206374986,300.1129552177825,298.63111286730754,300.61914464885973,301.3966960865032,300.49811317387014,300.9122406176598,302.7421053700774
23,297.20350682718373,297.7866078687523,298.3126460814171,298.11618734675943,300.6698249251526,302.0890535836858,303.2370186004382,299.69274959618457
24,299.63736432089604,300.5125009096037,300.4363032993495,301.44403872374556,300.7404371601919,302.670030301189,299.6302147725353,302.23784426578544
25,300.32717297773723,296.77703265020057,298.95606672444825,299.9943142289864,300.22648184235504,301.64228393360764,301.2033726463805,300.630989791053
26,297.23770260699933,299.936801551763,300.6382838378107,299.72109197645085,301.6855208280887,301.55736021874026,299.576119273744,301.1248252457108
27,299.4704547381479,300.3524873767519,296.7089445991099,299.4908600042202,301.5388527977894,301.39306943270236,302.6009591639895,301.92054667262073
28,298.3756012936944,299.39129152494206,299.5133334991988,299.48395643590175,301.26503601692536,301.10855773412663,301.21964029038895,300.9709568561414
29,299.6933638992398,301.19198066719366,299.2495942567146,300.3194319371541,300.16519034802104,301.6061430665897,302.57100172941506,301.4762274764302
30,297.22954946722274,298.4918677313087,298.97282402497217,297.8311611590117,301.17026173414496,301.0371555616476,300.37740819928996,301.6210130711235
31,299.4716892135625,301.0831001320114,300.3451752458621,300.3729419057316,300.78962148786167,303.25548943634357,300.82136999578654,302.60792096382244
