Experiment,piControl,historical,historical,historical,historical,historical,historical,historical,historical,historical,ssp126,ssp126,ssp126,ssp126,ssp126,ssp245,ssp245,ssp245,ssp245,ssp245,ssp370,ssp370,ssp370,ssp370,ssp370,ssp585,ssp585,ssp585,ssp585,ssp585
Member,r1i1p1f2,r1i1p1f2,r2i1p1f2,r3i1p1f2,r4i1p1f2,r5i1p1f3,r6i1p1f3,r7i1p1f3,r8i1p1f2,r9i1p1f2,r1i1p1f2,r2i1p1f2,r3i1p1f2,r4i1p1f2,r8i1p1f2,r1i1p1f2,r2i1p1f2,r3i1p1f2,r4i1p1f2,r8i1p1f2,r1i1p1f2,r2i1p1f2,r3i1p1f2,r4i1p1f2,r8i1p1f2,r1i1p1f2,r2i1p1f2,r3i1p1f2,r4i1p1f2,r8i1p1f2
0,,,,,,,,,,,299.149253603149,299.76072360250214,299.06130446501703,300.3807623735867,298.82624314795754,299.12627029196443,299.79475882801574,298.9187484900872,300.42405936506174,298.8100679902137,299.0707941873047,299.80859335416693,298.94365290884497,300.30677707474405,298.76660918914894,299.0980863222594,299.8119121081014,299.1440105858897,300.4100674411547,298.89940956381747
1,298.0650978390452,298.66068067089054,296.38982777801374,299.1486464956072,296.9045686861424,299.31803182688833,298.78753844238105,298.68039894954563,297.40819372997055,298.81899984387957,300.7159805986972,299.5264045783137,298.55406729759653,300.60384140504175,300.71075941815394,301.8890958409101,298.57966315210575,299.07324177935226,301.135776966549,300.5611027134367,300.29898566043465,299.0001030283695,300.47356267817577,298.69962000936243,301.0340879434268,301.33584496997446,297.8619118431227,298.6555751270021,299.6691457794693,300.68174639689914
2,297.9499224468412,300.19730173885006,297.5356141708232,299.748696787977,299.0558518462686,299.6255333258112,298.05673244345786,299.19233531700735,297.79377810012994,300.58275252447214,299.0429401473369,299.4146792629083,298.8790475035555,298.9071535357244,301.0828380246725,298.38983838936275,298.3708619496078,299.315975243042,299.3933361292164,298.450401906654,299.10468823968995,301.02202140678963,298.97916054183037,301.8605712322499,300.53852244694855,298.1499502845643,300.13243521534537,298.4796018978375,300.7791942225303,298.77846007622554
3,300.0246126053758,299.3684858305306,299.0907047773311,300.1910210506918,301.3784297710901,297.52641285974426,299.3884329204986,299.36863957881627,300.10553310081303,298.56995687003604,299.47359573919954,300.97700980508085,299.6043425427558,299.91885554952773,298.89475122356106,299.3550587694956,301.20015160132533,300.8916005759478,299.5818582779602,299.5113812574429,301.0179441501951,298.8601937062908,300.1220115196427,299.68191065508137,298.0211044630876,299.6893076693184,300.0174098079286,299.73448610210284,299.45178736340716,298.87666400583674
4,298.37704790392655,299.7020314797243,301.2658351855807,298.43383873249473,299.5917665553399,299.29246679032144,298.3692179728319,300.2676126304483,298.27117932219824,297.230543093878,301.079102666156,299.9062716779938,301.22490974316315,300.7133471198801,300.4372393257718,300.008260827421,300.94229732625143,300.8483124079974,299.5660715693403,300.2595225654953,300.3408235800057,298.8852733407576,300.69520109541116,299.23377995713594,299.9138289731993,301.0351874064642,299.33562214705347,299.58478021860986,300.9525935362422,299.6741583200198
5,299.0906028586173,297.032936431671,296.9439821470333,298.2474566621195,298.09516335710174,298.5913666333916,297.19533796554316,298.75625608154377,297.8413256149397,296.8054131812855,299.5293679522943,299.83735184941787,299.6880555408718,301.22970216829225,300.97980727282714,301.5892201254498,298.5631514357795,300.6247793658886,300.62092720746097,299.2863503375452,300.1800117362627,301.2676382831708,300.40608706955885,300.70676878733894,302.165384796572,300.51029298395287,302.0163054152369,299.28598336296676,300.6485969164724,299.81513915445413
6,299.51007549065235,299.60927670061557,298.4065892549873,299.21563944585813,298.10941408196203,300.6374483947277,298.6398537331601,298.37150629591105,298.58860271976306,299.35565417357924,299.7741640253509,299.332628179443,299.5827688085826,299.03131278207644,299.46735295224204,297.5873767753613,299.4980152011984,299.5405941518679,298.94460999686385,299.133125210375,299.27028287511786,298.6101195308992,299.2526818095525,300.6780824114516,297.6971788933327,300.1330543660849,299.0716516613423,298.6101498498557,298.8696933076217,300.6268723298437
7,298.7665067159985,299.8806423939582,299.0870037145839,300.2470139527478,298.17258992771434,298.86925949342725,299.0558022400518,297.8833168006933,297.7740142059377,298.768996953037,301.3194370670796,299.19140523062856,301.1907278607768,299.4005528638849,298.2713175872298,299.50543211791984,298.69973113388784,301.90736251468826,300.0184785026203,301.5489168133113,298.4122837936521,297.86237449925017,299.6750161992927,298.29831140648906,299.930885217961,301.06406966870685,298.86044877717393,299.65627263061737,299.84290272583166,299.7767266989086
8,298.4370943797493,298.341422048244,299.17408914537754,299.6581853083923,300.0343614858504,297.3363843128711,298.1160080759545,297.9900109305609,298.4644618694627,299.2015039853415,299.4087966361196,301.94285094286647,298.2537378810936,300.19278167985425,298.76590547362713,301.8713053728396,299.1973052173123,299.2074585573245,300.4608572943478,301.27032370986575,299.3246967370837,299.9178465691348,298.5742337941578,299.859170989039,299.9024511411704,299.7586929602471,299.16512804574364,299.3247854623383,299.9434517459195,299.325974359202
9,298.55525965918315,299.81133944262103,298.5978211760283,297.99752761099404,301.213296357332,299.1285994437759,298.2037276595208,299.7395564570361,301.59078136444555,299.4492654667212,300.41468174714686,300.7655100208294,301.8817245043419,300.9722288832932,301.758133206923,299.82403408104074,301.69685260065324,298.4184868253931,300.0752744240347,298.9720222202373,299.7840604630601,299.66336869133096,300.6353925259182,302.1777499313179,299.7409850781514,298.8010513966281,299.1052419765083,300.33533509377656,298.6807566753731,298.3817429689748
10,297.9372376735311,297.0042165674514,301.1246501785744,301.5091198660828,298.910496662571,299.7345507048328,298.40059905096086,299.0123736290548,299.43343063669,299.76827871077586,299.47338905271135,299.9941286067387,299.6319550880774,300.46556102208007,301.0736160505874,299.3039262160327,299.9214811592136,300.7216617739484,300.8922884300147,300.48271949278796,302.7038874488514,302.7609615013402,301.10386520633284,299.9539288952267,301.9943401061228,299.2954128254825,299.6818464561241,301.9998805300842,298.5531104625244,300.14261853115977
11,299.04431456306753,299.35952077677246,298.1217251654003,298.3352371992159,297.1131136836774,297.72910031728037,298.6681844641385,297.7246123131899,297.7956736660332,297.28052950242244,299.86466690810715,298.7347748856004,299.82223548323947,300.1640537177666,301.1109675779001,299.9276504580883,298.918049969269,302.6561891374211,301.1151966419363,300.4295763756354,299.7874710332153,299.41509913900774,299.5198755909385,299.39497267251744,301.00724347447414,299.0193800451557,300.6918866030425,298.6450873205604,300.3575016427492,300.7721361391075
12,299.20601920567105,299.6306464218944,296.8496321397378,297.49128791174684,298.08473221882565,298.4156053073435,299.54762840350025,299.120146386768,298.2312767592692,299.612441553837,300.5717850211673,299.2091295221343,302.2148169762756,300.8922453018068,298.10489175014123,298.97630298716575,300.1717974798258,299.95264650138233,299.2093956284064,300.68250648434497,300.57099726890084,300.1006035662904,299.3083344888988,299.9370436810059,299.96904821032007,302.05275884879,299.8307669345,299.81793807061376,300.83349627245474,299.51076746666774
13,299.4907873550967,299.0382925790006,298.9874571811152,298.1871057995442,299.76955535265125,298.8848416624394,299.6874072196106,300.1062720145612,298.7063405384795,299.52918413890126,302.53755725874703,302.8121526027017,300.04505464617137,298.43616893857165,299.7205114171388,300.8325409483853,299.7717487448495,298.8621072550134,301.11094056421297,298.65761668720376,300.83066276203704,298.66938554061585,299.6958146620443,299.7448576062177,298.95329590017406,301.0474355806732,300.4564361630358,299.1933579098375,299.8608792011899,301.0313912207694
14,298.5986427515238,300.49818671434855,297.61798443014845,298.37423124831804,298.84055200553166,298.4125165953805,297.5919879888072,296.45647166826706,298.7803413398968,301.11501059568303,298.60849513601795,299.4917253802645,299.7757383037354,298.9083478223901,300.3861461079192,300.8132332944581,302.4460538461456,301.2742293332828,299.448823297027,299.75030455405357,299.0142491219876,300.38829194361915,300.43427587641065,302.2317543711914,300.958180854505,298.9365744346846,301.5377787782936,300.145219848213,300.218573835196,300.6520738834176
15,299.38757631303207,297.2183341483408,299.01818349787845,298.21802055673515,299.0074114797553,299.0692827491784,298.34547323591204,297.3963183863281,298.68289288631973,297.3133422120848,299.3459488202687,299.5587743071422,301.27338590371136,301.00219807923173,302.0902828883861,300.2420889713191,298.3554819751493,299.68990738765393,300.069001259953,301.8244346631853,299.1148923350118,300.8961162382939,302.5577076220954,298.76543490883927,301.1376075297535,299.5645341505676,299.30317320436774,300.60183075089316,300.10350504625444,302.79123876872706
16,299.09956912311276,297.265923843311,301.32922934070376,298.73973154381173,297.54756503598253,298.85661898787,299.7059588382188,298.68498711773253,297.9681044094666,297.22415655094375,300.2998249212967,302.6678918871275,298.0997642947148,302.5478971971922,299.9185816822311,302.4512746384078,298.7430449401299,299.9157359488975,299.0935165622563,302.2776511298423,301.732700046369,300.87585696513264,298.86776728060005,300.8276654820159,300.98836771488885,300.9664182528125,300.90827845937133,299.71600154144147,300.84758840214386,300.1033677630282
17,296.8142696217268,298.76378220764565,298.94009682895233,299.01979659444004,297.52453642545555,297.81791767580376,298.6010635955227,299.5323420840081,299.66884199432235,299.9233326710062,300.570917288177,297.9323414535572,299.7278168575571,298.68418715696004,301.32025616288666,301.60014051999013,300.7353181729905,302.37090350661015,301.22159241647364,299.0463217689301,301.8580207022556,299.8527269392241,299.26925437661566,303.0424183564027,298.73734680225243,299.0643060624244,302.2766170811928,300.4949116935441,299.7571282512003,299.72700159515
18,298.6025792367311,298.86513560294276,299.3564067795382,300.5314805315286,297.85293081197466,300.20389840967397,296.9525078143975,297.6302149150606,296.8057138844906,299.05911439669177,299.25565735805884,298.91544986829877,299.97406389228627,300.4613350560812,300.5416522376749,299.4699014655917,301.449378921897,300.20786873756293,301.22565413979925,301.5238090617542,298.1298188998122,299.67806669586446,302.21913785649394,298.67010508796244,298.6670830280746,301.36826150944324,299.1129633833855,300.43477259891307,300.16535039410377,301.3859056171937
19,300.3425820659336,297.81330906286183,297.47553493265667,297.8062437617934,298.1406184066355,298.5160422057599,298.31124721274995,298.72244452780427,298.67065178814374,297.0835002709586,302.3216037871254,300.2319508432506,302.8104572371706,301.3909300159384,299.14461089510587,300.1226077705091,301.4884921368398,299.29968907347825,298.97356341574306,300.86010197145873,301.1699409697653,301.4557556327902,299.9575419760776,298.6735177390749,299.2893815319,301.0364520564376,300.0209022075915,300.83689902564447,301.9998581901161,300.70455180557775
20,297.2163859291949,295.2324453806928,298.77821412622757,298.992350094726,299.9002189988012,297.60532634414744,298.9932401075795,299.8701724725874,301.1215757198895,299.73392730289555,299.60414333346785,301.7569255043113,298.2590745853056,299.91159366994464,300.11292569087965,299.3031834306543,300.34321207405293,301.34001439345997,300.21385278563514,299.66100065946176,300.9160672853835,302.312843430384,300.94830537210674,299.2726422705971,301.3522966160954,299.9713923122354,300.24270852282706,299.42869482209153,301.2727162924643,300.1091766122193
21,297.4617038865539,297.33521478349644,298.75611479385975,299.02844147611324,300.79683292063237,298.3358750630055,297.30088537682315,299.4954621721306,297.6707055338695,301.3919447468132,301.2536850504092,300.05116407950294,299.96411972751304,302.1059726304174,299.19607760333355,300.4947904777284,299.8353810204644,301.9656817582605,302.78524535384946,299.3553993692422,300.15547634189505,299.16241193071056,300.35298940925844,300.6868827606215,302.7996611343531,299.6254593134292,300.20209060595215,300.2902888803224,300.62085303908094,300.1361037822522
22,299.9444386269025,299.41077615381886,299.2796438121366,299.1422079715052,300.15085408172996,300.1185199785564,298.56979527989034,300.6137934410027,299.7273220218711,298.08007779483574,301.61552222874775,299.1483773833036,300.0850866160869,300.23603430339534,302.59318173200745,301.0063270146438,301.5085931750115,300.92452205630127,298.9800381191421,301.5294185372307,299.8858487658745,301.0167034068756,300.4633668336208,302.3918785349969,299.1392945603069,300.20261112459093,302.80631338772963,301.060392576148,300.4058779752366,301.6532256330891
23,299.9515490861176,301.7045666609769,300.2845357369902,297.68472831246726,300.0694331876112,298.8780956207088,298.4873714148402,300.2997165217318,298.72234994194474,298.5550208816217,299.8802209822225,300.3260721063216,302.6938713723528,300.8311598157983,300.4952543135429,301.2496785877792,301.0041653044125,301.75747401403254,300.3225661283597,302.5195890773834,301.98712091573196,300.80039130145286,299.9618951547429,301.17243297628494,300.19626726837413,301.52230800412747,300.44312252862227,299.998277910882,302.0447015120221,300.7657077427705
24,300.3594235980142,298.0645664726509,298.37929074135934,300.8638708671586,299.4197904879496,297.0419308076688,301.0811100852159,298.99718521242534,298.7084923435121,300.5516580536458,299.8100414062041,299.75122275637517,299.96992424011756,301.1215387773723,301.03479131593156,299.79253815198484,300.65297300281367,299.1014166383049,300.39622062141495,299.9742232560838,300.23991909072316,300.29949416956373,299.95867692870763,298.2664179522085,303.2049179423919,301.0671863992247,298.90241323387096,302.0634206899066,302.627045187312,301.15137479361186
25,298.7902818251828,297.2621412279157,299.3587897536801,299.1942744050702,298.5710861795702,297.0307059233686,298.5739668746178,297.8923379249344,297.43896653291273,298.2626455792769,300.6020945771323,301.67446312774854,299.93409396023054,301.38281753751835,301.2530350547088,301.0680123130877,299.76956828023816,299.03102920040607,300.8801527314458,300.31745652161703,301.7185722470944,303.26425150531435,303.04213541274686,300.35659766184,298.9986299604823,301.78259394311016,299.55868081917833,302.0737955213105,300.8091502806837,298.86152704438996
26,297.81757058849036,297.4875540172565,299.8055213845035,300.6999782954085,297.7429926895797,298.1614256956245,300.5502804356643,297.9582684991189,297.0965204450997,296.70676367775883,299.0224541233399,300.1897878939569,299.5324718688079,301.34536669099407,301.00583335987295,301.0584520801827,301.10125681830874,299.3890248628157,302.12268978330303,301.6669025609844,300.0129990049302,300.8065714533272,301.9333507743225,303.47917001160744,299.45175252987104,301.575030877565,302.80741788621873,299.64669309702396,299.7814776838222,301.7116371966069
27,297.9056132156604,299.20141683314733,298.5415388893068,298.6832656096574,299.0339723564291,297.9683858469778,297.2759241737442,300.0468347648694,298.88978093309726,296.0403709265408,300.8520417926148,303.39682466850894,301.10533915917244,302.05651583200967,300.74082167693683,300.94633046849566,301.9605158430598,301.7437896130974,299.1681133530087,300.62598636975,298.8727172197336,299.87274569788525,300.64936474494255,301.97894013810014,300.8474522595113,300.757754811479,300.6552547685816,298.9192460020463,300.7974433307905,301.0661431870779
28,299.0551146064209,301.0995004267966,298.42520058392637,300.21714781064975,297.6858399165657,301.27747210989247,299.0682242520857,299.4260601533243,299.76379777151277,298.91010664979376,301.8302407640312,299.22967114852827,302.5024599048343,299.4622430860859,300.65604184489234,299.84418648078565,302.97640558267943,301.84100608093803,299.8108729298877,301.37989768801884,301.5264022729973,299.14961235962295,302.22236925212775,300.92170070616385,302.1487682572283,301.45126174978714,301.12226649467067,301.38627567931786,299.73481920985137,302.6664596119454
29,297.8026003748865,299.241369737678,296.54399614714043,296.45047106166965,298.8089239133238,297.53588739472775,298.8685254962672,298.198759731531,299.2887765828147,300.50510390087834,300.7111533546827,297.271207598305,299.7608193004203,298.8379281108039,301.29536866568066,301.2480720815088,299.6049816736107,299.6526563958526,301.7039423755444,300.5717987140801,301.1457706026123,302.1668625041301,301.4650324579577,300.6604020469704,301.93615865064913,300.7476547706213,301.90504210113676,303.42108042970887,303.2094121476612,300.712599218706
30,299.6133564967741,298.15386961241853,298.1282015338532,298.7475197502374,299.28364473597577,297.9925264752807,298.8617146631031,299.4891034989477,299.5587023172097,298.361957999178,301.90658027527087,300.9817000986866,299.9439215576819,300.42454313011183,300.61761676097507,301.37462354083135,299.0332265516277,300.0619669112494,300.16912441646434,301.8637062780269,301.0900547750411,301.626279055183,300.6898919541127,300.9697568756497,302.11281446426557,300.6805306762846,302.3801290681743,300.16567278402016,300.4968494696331,300.7499997121564
31,298.72120246171164,298.2806447344315,298.81371387635664,300.8218454781954,298.4019738523356,299.6741420568565,299.7310096247428,298.20822762690665,299.57017459716707,298.53215879097206,302.1563933325398,302.39843658134737,300.5445227483583,301.40392963480207,300.21865257603895,301.42903932085864,301.3003749497227,300.35337325992475,299.8907213137839,301.521959854741,302.5218839183836,300.0239680879765,300.6283171704427,301.72264718694623,300.0202446573149,300.2245333083395,301.1956251657661,299.98058208267236,302.3294618153014,301.3037121648618
32,298.36462683347304,298.45153257177475,296.5579676315426,297.48411501518586,298.9813917500026,297.6644034604325,298.9768870656949,297.6881806788536,296.54898760637735,298.8816272371212,300.97350162112537,299.4450253985087,303.5812204334716,299.7237051286209,301.4545918288516,300.5346071960612,302.47445270721215,301.5725409170513,301.7029538116943,302.6864158109438,302.17515555101267,300.1698589887665,301.01364762864665,301.30976542036433,300.61878454246175,301.73069975413165,303.0152094291613,301.8084728909446,301.49264544502,303.39095789586656
33,298.9260730859028,300.2047881571836,298.51782389306936,298.7361787841051,296.386225577784,297.6936963777569,300.7118927860396,298.85155307607744,297.88393869567716,297.86718469548515,299.18905744709815,299.02470955774044,299.2510624314099,301.7237492899706,300.2222815005671,301.3152853206869,301.3624917266555,303.64927846371114,300.7599680382894,299.4891083298958,301.13272105967116,299.98869663103665,301.8262525134115,302.12929690922846,302.4250031681038,301.8785025835564,301.04096309228714,303.0297550339189,300.97170608828014,301.5577200771913
34,298.724296521688,297.8430136502008,300.1360940570987,301.6130626316519,297.65763304050216,298.84492253034665,297.73020209414767,297.82285320712094,298.34377521696905,297.4677082495034,299.7868318049333,301.4824972184851,298.23347087026286,301.3689107193979,302.1291272306258,299.28892470646446,301.1632255693383,299.8940383923934,300.36823982339916,300.81370975776946,301.7863495190017,302.0630876255287,300.2649220890069,299.3089527980731,300.4547122246661,300.8193299429972,300.5009263399475,302.88344783265796,300.770896727014,302.4375300833569
35,299.3100117250497,298.5820759006194,299.9992776491428,298.2297388319115,301.4517378189459,299.7849765412737,300.4329178626215,300.9927370756562,298.6291167310828,299.46013980771585,301.2956109043395,302.6801252383521,299.6627653000082,303.68319143023194,301.91183063736156,300.5996622689309,301.8975727185497,298.95126326591793,302.29638226957877,301.0604488805859,302.0163939832769,303.2448634150666,302.8333157778354,299.49191622106537,301.3191921188395,300.4860025423445,300.86315283733296,300.00258029018335,301.5120066959851,300.6091687286152
36,298.4015942223668,297.31308446203053,296.47217716559436,297.1143077098784,299.02307383194716,298.95184571979036,297.0785368928066,298.6685969408782,298.31238545653787,298.5193603652621,301.96327047252856,301.0752103079921,300.13705205728706,300.10768806006325,300.788101463783,301.3500209098577,299.86216369451546,300.236522889795,302.375575709389,303.4545359692831,300.74744006508035,300.2496856697107,300.3945305763102,302.52981713481876,302.8612212790127,302.41132352666904,301.88324001440674,301.8158435822442,302.8640594031137,301.0372258134123
37,299.6490373616511,298.3489137468057,297.95736297075797,299.3234238317824,298.8107754520197,298.7518658119333,297.70733668886965,298.9818778906562,300.26035548761814,298.51713888943954,300.6885622960222,300.6802606414681,301.43423263542854,299.70645949347124,300.8764151374839,300.9078814696912,300.6076569697446,301.9415195193108,301.34015465902297,300.8450476266619,301.09618431520835,301.78442461102685,300.35042953001556,303.39716255655736,302.1234971805429,303.65472620523354,301.63960552221823,300.96888370785985,300.9752841857953,301.9967372302696
38,300.0103193576082,299.670310316498,297.79624480174635,298.78651327392714,298.65528436108474,297.75062804955115,298.1163630135077,298.9897109617405,299.10440588161356,298.56522044027855,301.7618755765011,302.39065254455596,301.4332020167797,300.38503587549076,301.03173781583183,300.8353741695956,301.17997745878546,300.64617585509467,301.9157650027592,301.1678366060533,303.3338410587885,300.46544595654876,302.78311098382744,300.7244924849488,302.00955738764014,299.80201005419497,301.34441011445966,301.0613678119669,301.8896197588275,302.80626812500464
