Experiment,piControl,historical,historical,historical,historical,ssp245
Member,r1i1p1f1,r1i1p1f3,r2i1p1f3,r3i1p1f3,r4i1p1f3,r1i1p1f3
0,,,,,,300.6668444883244
1,298.75483737415965,298.45191420632875,300.5916920140817,297.1451381497252,298.9558093179637,299.8612081726192
2,299.708240585363,300.67766166722254,299.1246669222671,300.0181980162235,298.81007934356666,299.12930528588817
3,297.7498458135721,299.20367142795646,297.4736226641025,300.35431425631907,299.16106256839083,300.6661667454751
4,298.26520395779454,296.81490537115457,298.028206412345,300.7244833974233,298.7961158693399,298.95654081930917
5,300.3178453729582,299.4004753364963,299.67796897692966,298.28317384042333,299.50351222919755,299.86931130029757
6,297.1328839887147,300.372237875007,299.1269068530492,298.915849645127,298.65153300297,299.39500624028796
7,299.9548298420704,298.92772084557015,297.5676241155713,297.58584983484315,300.35491408953845,302.3853938385286
8,299.73734184597646,299.2224993424007,298.2503951916918,299.10146610222927,299.63875028119566,299.2676752261363
9,299.39276543303725,298.9916951210574,299.89781427452414,297.7989199904022,297.82204491782664,300.5372543758425
10,299.3598693210168,299.3426157937476,298.6692812079614,299.08321422884575,299.65350138894627,300.5011921692925
11,299.32453364572035,298.8311082221294,298.89591285337184,299.2248714763518,299.75180741389494,299.8626100261919
12,299.5209214033777,298.19770291210244,300.19819230307695,298.189700818851,299.3365548456059,300.5926289114918
13,297.40111554056665,298.4963124717817,297.4233741045235,299.75708264638297,298.52644211644196,300.1285039577015
14,299.58441777373906,299.37041610308876,298.61924925042723,298.2993217140351,298.7142971604548,301.4846324444536
15,299.0690316107441,300.13744012388844,298.25872670981363,299.34709895375795,298.98216730794456,300.1153134912773
16,297.8770525616396,298.6417636576867,299.9372168393556,299.26872422100274,299.65732818980246,300.62589702012974
17,298.20243967959647,298.5625462748148,299.6652213165826,300.1243711797153,297.5181325830943,301.5808756900983
18,298.810435045279,297.26183153794494,298.60978681096367,298.31621223172056,299.3615370900656,299.7797823475899
19,299.4005597451876,298.1244696543792,300.59107574379726,299.6768248582616,300.20199749083736,301.68976970316453
20,298.3674320722522,299.5070486714613,297.9622906654826,299.89618343632173,299.5193108979027,301.9993763519255
21,299.0653192390431,299.662635494825,298.9778041011889,298.2481824719029,299.9599139964248,298.1694301379229
22,299.4481715856441,300.0424091495886,299.948266943183,297.9671639882954,298.5175204442251,300.1269138598247
23,298.9312062850122,298.0612353530186,297.8649402311773,299.4788366839463,297.5112147497139,301.268256920914
24,297.6077534099245,298.18531156516354,300.4162127452178,299.1984943751742,300.5020965059332,300.76536615881537
25,298.3260543040753,298.2575272155573,299.65793802969023,297.72540976753254,300.5749905697037,302.9722569934999
26,301.42678789938583,299.72361259036387,299.0080524689447,298.2786921551755,296.75201954182506,300.90171296017974
27,298.42192086318,298.92799007262965,299.7220687629011,299.79161592041936,298.50351394281194,300.1716212975289
28,297.11194061030847,298.5866287493107,298.8861569600435,299.20805066394576,299.2648838611097,301.75863912319124
29,299.6287664318739,299.0710590344216,300.40745058173366,299.0290432232629,301.062488103942,301.25085252759243
30,300.0683053803654,299.8200588650664,297.2485229365663,297.1789852011418,298.4026611448351,300.76519457524586
31,298.6777843846171,298.6601263948432,298.73663889420453,299.9357818045707,298.26152175367815,301.284205062675
32,298.60024572990756,298.36226583026587,299.34971646967466,298.6199832052019,299.7034409204786,300.38464902991774
33,299.81583843965154,298.83583329491955,298.46999868493765,297.66925950418266,299.6916153092853,300.4768980056247
34,297.94842666384255,299.89688609226255,299.0251823171704,299.22665494716233,299.0964749037889,303.38147806074966
35,298.73622059866267,298.3611755294985,299.02122831486696,300.91120064636476,298.903626320359,301.7276464347902
36,300.8217362749232,299.3488668854379,298.27693988693693,297.2408536148931,300.6361547166206,300.79770137154816
37,297.1337908748134,298.161034146601,299.2306722755738,298.6799897112928,297.55467655220804,301.67084932879874
38,299.26609241269074,298.15247055087576,296.22808819705625,299.30434827757864,299.87343158302343,300.8875109729715
39,297.89388396210546,298.5123849890933,297.97472469158214,299.44344345889004,298.48003448688263,301.9624913884463
40,299.3201416826509,298.63783018741884,301.48581004280817,299.79393912743217,298.3230694111798,300.6452253585889
41,300.97477989535315,299.729331249174,298.6538436754708,297.60505350300247,297.7730634703055,301.45559506800197
42,299.84185071652183,298.5393257528958,298.64711883407546,297.6518202252044,299.5031963849072,301.13019450922474
43,299.5240857025851,298.70841128150187,299.11754982217263,299.2975090456252,300.80630247470054,302.9712893316466
44,298.53067450361493,300.16615690301916,300.40395851391406,297.9279943777241,299.3649860435667,300.4156756026147
45,299.7256491508967,298.59600391388943,297.6332593240818,300.12716315989314,299.74511627737684,301.0411934871774
