Experiment,piControl,piControl,piControl,piControl,piControl,piControl,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical
Member,r101i1p1f1,r102i1p1f1,r1i1p1f1,r1i1p1f2,r1i1p1f3,r2i1p1f1,r101i1p1f1,r102i1p1f1,r10i1p1f1,r10i1p1f2,r1i1p1f1,r1i1p1f2,r2i1p1f1,r2i1p1f2,r3i1p1f1,r3i1p1f2,r4i1p1f1,r4i1p1f2,r5i1p1f1,r5i1p1f2,r6i1p1f1,r6i1p1f2,r7i1p1f1,r7i1p1f2,r8i1p1f1,r8i1p1f2,r9i1p1f1,r9i1p1f2
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,301.07063426827915,299.8239565818035,,,,,299.0189142226033,302.34963802234626,299.6007743194943,300.20608612458847,300.6259661493211,299.4476167830837,301.00020041327804,302.4464562778425,302.5890474811243,301.3100092802312,299.8605499668635,300.94984290110597,300.6714765014409,299.7959337060861,302.4575426782081,300.74318232471404,300.5100294759122,301.19310107711857,299.29910330579054,301.57145021544375,301.6218019972473,297.9765421394544
2,302.42601619369526,300.69340583863254,,,,,300.3822598258656,299.8162792502012,300.95858881795675,299.88311808859174,301.45092305354103,300.49602227946895,299.55345691169185,299.19598336700454,298.0961769354303,301.9807824597933,302.1608815251753,302.28160035167485,301.97727257053475,300.8782144417944,298.5503720134454,301.73327696545454,302.33661337576393,302.2461691951189,301.8018962627028,299.64439454956204,300.86118549231617,299.5415863887568
3,300.5101364550004,300.5423902235339,,,,,302.0963629283489,299.2806225211291,301.986788002301,302.13859593504566,301.9840443094084,300.61701060887754,300.72270384992737,299.7577204465783,299.4406959695549,302.2057490487496,301.12916335900496,300.18378260945684,300.2356616158564,302.21176507578156,299.3933431801069,301.042857287004,299.99673486262606,298.98436881328684,299.67920413783145,299.1260035370572,301.5170254010811,301.0844976968627
4,298.60142315029185,301.4716509228405,,,,,300.38419883219524,299.8784528327039,301.9869626121742,298.80359940723457,300.10775779907084,302.2595653167313,302.28982793022783,302.1872945796677,301.2330775815024,298.742933687071,300.7029296748349,298.0178162270792,300.766502173703,299.6533791132758,300.48528462384405,299.13924367088254,299.97155860857,298.7693076959055,299.8461086514742,300.49105418708206,300.89038699503,302.29929315986664
5,300.12440204135123,301.712584799525,,,,,302.3774270287584,301.1543773865135,300.75819282309436,298.52489235142303,299.2589473933476,301.22648546110446,299.29814494947396,301.40832549630215,302.55457056037966,299.20324845485567,301.9439495026019,299.02107415650033,300.2096196038828,299.7961814604731,302.4876948970505,299.9005553429318,302.29281335869604,300.8902979185459,301.93152473159626,301.8546233411849,300.4331065192598,298.84597436889453
6,302.1575886170361,300.99682489315484,,,,,299.70235344284066,302.057569187795,298.2762549979922,299.9946069879074,301.403311513813,299.1783209699756,299.1501208812445,298.54180519942923,299.30327918876685,300.9109289042629,300.9203922934596,301.35692805882394,302.3750974207116,300.3333121328382,299.9381524373068,302.09025271643463,301.6872130458326,302.2971148143113,302.4953533139363,299.89681794435506,302.39428282939843,299.64777402366803
7,301.6238819614411,300.0759934690322,,,,,300.7208235820876,299.30201672199684,300.4084303685581,301.5813939955902,302.50703249623706,300.3046474946045,301.4436011605862,299.3586119703381,300.3480104451091,300.5528244681552,299.26782393030913,302.2773645472768,300.99932795124874,302.029967831679,300.3423330089482,301.746756373908,298.6536639287836,298.99037541816665,299.86883325712733,299.82931035478174,301.86054119322705,300.88427165561893
8,300.3841146251264,300.6286460377556,,,,,301.87836069649467,299.49952572535966,302.3631988972072,302.2847426249257,301.51541970674526,302.1807685446444,301.6113915354313,300.735960558108,302.3893005534342,299.2618901983313,298.8999616506914,298.944202612051,300.59703977684677,299.8867809047002,302.4807492113286,298.981106615028,301.4111931662467,299.41573992239773,299.2448602673963,301.80652660453416,299.7053712270345,302.3612008624427
