Experiment,piControl,piControl,piControl,piControl,piControl,piControl,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical
9,299.37429942455475,300.2251994416669,,,,,302.2743559180812,299.46000871315647,299.9418102403327,300.8687896542436,300.725507410846,299.99750558800935,301.20964189710213,302.415523031026,301.02852267337204,300.4435363140003,301.09820620954804,299.78382245982885,300.11968992070723,301.3568905094903,300.59008845568025,299.8300973072702,302.04987385932503,300.3765283870234,300.85183613565454,300.4743738825598,301.08424123202764,299.3653735044173
10,301.0273359863584,301.7593571685258,,,,,298.0601529075736,302.17116866384305,299.7418061761907,298.8500382589679,298.06520174415385,299.5818074957759,302.05165420996445,300.6526569265214,298.7619973548104,302.4466056343017,302.7630256538053,301.93349720401284,301.7839490079707,301.4687636603072,299.2924232569864,301.84657393517,300.7008543086226,299.8750925179227,302.20461240171034,300.7278902278547,301.1752454392727,300.2972643617104
11,302.1728403226777,299.72228331082357,,,,,299.01257897423415,301.2392068139125,301.3248570396581,300.7017640592996,299.92757627475265,301.5468381875515,301.51508379818614,299.33887945640953,300.56540614839474,301.2701073608988,299.6156186313265,300.0986420382876,301.37090844159695,301.04657127246753,299.78848448647614,299.6812669288981,301.0780556836242,300.01760792854793,301.6693682620366,302.4550237042628,302.3349417399722,301.9328828001473
12,299.15674655205106,299.22080558377064,,,,,301.565625434659,299.90588307785083,302.29766649831674,302.0009258072732,302.2208067595615,301.9148969929818,300.8228547430632,300.70315871999964,302.3216478398573,298.82540671941564,300.2745669506505,299.51095440943686,302.2233081811395,298.3385831470676,301.4013944838487,300.4013873678629,301.73641279209886,302.09388664377707,298.62904129845236,298.8204418482672,299.97104273978584,300.70649167099623
13,299.65228065104,301.33598923330254,,,,,300.16769808529034,300.6936283718167,301.0712784908942,299.9955435216061,302.3674855249872,299.0221895114682,302.1700557750036,301.76605875701216,302.5133665698516,299.78601477993993,300.71163594694093,300.9378409368306,301.38295185560423,299.3493378655398,300.57358196262464,302.08628695690476,300.3728009047123,301.8006319444772,299.8406689506049,299.07471527542015,299.2896667389943,299.8880032787002
14,301.049546217042,300.5657451470481,,,,,300.6077739072551,302.30671442150367,300.090536327989,299.24979254281817,298.17073056170574,300.1324237452312,298.6861396973032,301.2869738609186,298.67467103652035,302.37002239613696,302.06719315129266,302.01900441920145,299.4033095109409,301.20100077813515,302.29438941038256,301.03250327773844,302.22873455671544,299.6763408166808,301.3495051538594,300.4222122804786,299.58875494894465,300.64782620279584
15,301.2395406651792,300.68658481569054,,,,,301.41519721741565,300.6410375857319,299.74194963426845,299.60115312990666,299.480599882213,300.8875446670074,299.0718476823466,298.1653115092061,298.68241951802423,300.106578640952,299.64818338657193,302.08271665844546,300.8493330134099,302.39517213275576,300.73384928948855,299.7188890585878,299.6009125293054,299.0971597177067,302.45986543930354,301.3290110847633,299.9027556838618,302.02164085069836
16,302.1989937201071,300.08353976936127,,,,,302.48127779130937,300.8609627480391,300.7180350397351,302.13168978858675,300.6677869773013,300.55863962438343,301.83803563372953,299.54344548611834,301.5188328641869,300.1267370123977,298.80378780162675,298.66995147949063,302.2986038715374,298.72502996605266,300.7701956044129,300.0099058215009,300.09716246525335,300.64799958737757,299.81965931181844,300.3236414868949,301.9583822633558,301.1453449522151
17,300.2046654331783,302.1355004436886,,,,,299.0720334362619,301.90493875686735,302.42142201109846,302.3098123814238,302.2121575026707,301.9979120149523,302.43500623399103,301.24927902633175,302.35469421314934,302.2251434850539,301.817729206082,299.28787591949657,300.686065638524,299.6932532950004,299.89192389517416,301.63768791778364,299.29771447561393,301.84727928292074,299.5650559953412,300.7579934705775,302.2450060917079,299.6053116499129
18,300.37199998887974,299.5671090589047,,,,,299.66755732568714,302.2437288557471,297.8651732432745,298.9726229275754,302.360057344665,301.9729296930453,299.41108078757424,302.2959185297178,299.74003933916555,300.4878428395503,300.67020862011526,301.62715593637216,298.66163578382185,300.31724652093635,301.05814674059826,300.0457347820065,299.0937811704402,299.9982209948645,300.95611901662284,300.0725077939123,299.96689642310525,300.7342046151313
19,300.89607273117014,298.81213446546525,,,,,299.7128870740369,301.42793700889166,300.06035619912717,300.02468326874487,298.4966841324576,300.8664523212019,298.5680769720023,299.461736185617,298.719095769542,299.10208334137815,300.2315156641367,301.0923012739585,299.628963068818,300.8856520368906,302.2875551160616,299.5350786581768,301.3651865602846,298.9259235888383,301.1968549267592,301.4354925467503,300.1035838379278,302.11573406324135
20,302.42801373102515,301.19269772661505,,,,,300.185873001778,299.9683893531353,301.6834096150064,302.2749319118605,299.73219161179577,300.85396036676724,300.8449896873046,299.809842285687,301.468917237171,300.94011536234825,301.82591675619807,299.47045007331127,301.39257317327906,302.29277004821205,298.494423692792,302.22160660428654,299.79190597200926,300.3837347992929,301.2765107808901,302.30014486291395,302.1200422852823,299.03383927978496
21,301.8187236436543,302.28165443776624,,,,,302.21342940700913,299.7802040275802,301.7321925846079,300.25703468497164,301.2868934595597,302.15685509834157,302.3082826762897,301.23652195155023,302.59342244114373,302.6061781277337,302.35276079590216,300.0721363944111,302.4048549529477,298.9260753847314,299.0660339075882,298.85491814416235,300.1609262809616,301.56212473434726,301.3952071296218,300.58437905543735,299.54261336891585,300.20755027740347
22,299.74300193070576,298.5942943723503,,,,,302.1564039831482,301.37236810778666,300.7243753960868,299.13461141961176,302.50985860412334,300.6741001765826,299.66952652974305,299.1286057476519,299.77382049897716,301.9950295384628,299.10141155539117,300.8183396381318,298.8678581449783,300.27174285094503,301.3348152178607,298.24981442502843,302.1609519493225,301.3007766939729,299.6322132686476,298.8306262069336,300.69018571297926,301.88329933255966
23,300.1758891546984,298.9935416015707,,,,,300.57869818333967,302.3084112275795,301.5395178277011,299.65999917015256,301.10531008504336,300.064276798756,300.36205171495345,299.0651870777305,299.23073343367304,299.4725221158361,298.9685675741976,299.69595328740814,299.5253916036366,300.3681678376112,300.4198711500889,300.24248838349575,300.7287682733062,302.1017616428359,299.87496130870244,299.4874301598946,302.39414021873677,301.4642764346881
24,300.9038663272185,300.8234377623684,,,,,299.7924215246892,298.0632319908239,302.3749581509049,301.58547430716106,298.23711144319924,300.34878874437527,301.06527511424946,301.2105065188003,300.2102422471119,299.9077045487264,301.7474305663729,302.1705374437985,299.62631929722914,302.127354642033,301.34706939416236,301.0407843840191,299.0651310826896,301.5879308938997,300.1740997475147,299.89436883010575,300.3467629252777,300.0038743037618
25,301.5703604505084,302.29231334829797,,,,,300.30304796661795,299.20481947460286,299.79046593827997,300.8405271183447,300.26388487735693,300.0039885018247,302.5650708132568,302.204733735517,302.544060005616,302.2833748558721,300.6495998229657,300.4778894171257,302.3118268195378,300.1517704432044,302.05385167125354,302.0998763237276,300.74678079610777,299.04081097157706,302.3557132165132,300.2221382159646,299.60729803262257,299.1655914856919
26,302.7065465163355,300.7898273216221,,,,,301.9293282539564,301.28415161594774,298.6964717460796,301.7484000092058,302.3613303172346,298.51130694036226,301.79410710285885,298.3661743487591,301.92533735744723,300.10627167685254,299.63524962892546,299.60381918901726,302.2511183636337,299.3533949484269,302.4130310838037,300.53961128525106,302.4718179398073,300.2431628486407,301.62442806679616,301.4055655707386,300.0115922568837,299.9969641037755
27,299.3459750097759,300.29202299150586,,,,,302.4079224489827,302.3097597622097,300.14639883094856,302.62505479371254,299.8183342140117,300.1602419976543,299.4325276761983,300.06411499097703,301.22071359175266,299.29085622647966,301.10588869435304,300.34500671810196,301.2379636839692,299.81777803527336,297.9533761656707,298.81776255129597,301.6555300017816,300.9804807399573,299.9431845302024,302.2391065543521,301.3143107529066,300.7747766060749
28,298.883132518082,300.39549714343514,,,,,298.6694197253284,300.46505700260633,302.19654823960104,298.8307129455216,298.07458264228325,300.80373074252867,299.1206373919926,301.50682484219476,299.42109198705316,301.97927877982806,302.28314080026854,301.2854739728036,301.551803182329,301.3480819150302,298.78951431918904,299.2017215132615,300.0890300710484,299.74709106776754,300.3484991464963,300.6473660614576,302.31212715269044,302.3286453372413
29,301.7086515374473,301.5037937996737,,,,,299.07427047289787,299.141060871928,301.11857781350716,300.1367621523697,299.9810951842243,301.698835519473,300.24929093962464,302.29025885345567,300.6109109526871,302.2892113031101,299.79114134987043,300.18730230593656,300.11407532856026,302.38439119233567,301.187566322772,301.53279601187916,299.07182938132587,299.38840565114896,301.5226599756548,300.4649212168655,301.80837564249197,300.50895555902997
30,302.3841454892567,302.5523068610991,,,,,301.12390756860646,301.84287023211414,299.91434986136613,302.13440683815975,302.394309117977,300.0332439658545,302.24354134549975,302.3116848844547,302.6322532995452,301.6182572876091,299.3270565327261,301.4251409148017,301.11405585855636,300.04575052886634,302.22815426771814,302.46274761910695,300.6011596423197,301.93474234413094,301.9400395386669,300.3177916680617,298.35279551195214,299.5206790507003
31,299.14009616633876,299.9243439673701,,,,,302.40964812799945,302.32254512492364,300.4404770218504,301.573421195254,302.3929581266116,300.22866243777366,299.58298237667185,299.28719376073064,300.5642218854936,300.97072990233,301.0430439724831,301.9022448584806,299.78436435198154,299.3689523474874,299.92009921399637,298.66965872346333,301.92464237391783,300.9713267079006,298.7699102978806,302.41236365598115,300.4575453747895,299.83068293357275
32,299.26532665365403,299.0377017232749,,,,,299.5489148017369,299.95276493109276,302.2510008332218,299.555742723126,299.93634480785147,300.8140820348816,298.92838720900045,298.65081805011454,298.7961841265837,300.42882911481496,301.47358371954994,302.3673766980619,299.09185938941073,300.2487687661365,299.0577003620934,299.6215570237539,301.80067800615876,300.3908266216927,299.50014760223957,300.58476285900593,302.11681652607143,301.32139852074835
33,300.18388330906083,299.98615097960874,,,,,299.4064844499328,299.7637042571921,302.2801185759593,299.7123242590785,299.38057256115815,300.2954541532463,301.03367099586575,299.8837918928529,300.28413412994115,300.01678952011997,302.4771998177935,298.49516728580033,301.51346199124123,300.49545391482616,301.6056560037767,301.00025607204367,300.1046920766095,301.95494136814926,301.1082927632521,298.7102306679926,299.6445550269231,301.88995504320013
34,301.0480677958056,301.06647181238833,,,,,301.5842363267755,301.4525736007313,299.9622486653857,300.5940411168779,300.33499871044194,301.97697748934746,301.99909941667477,302.0803823329852,301.919723863399,299.92110551114575,299.81083117301745,298.42210600342963,301.5143170228208,302.07117965738485,302.28622026120735,302.1875807672632,299.5905597675958,301.30332807090235,301.31410462573996,299.97083968119205,299.70035674987224,299.20342359379225
35,302.2707616428825,302.43281484662566,,,,,302.34178595314285,302.2687971206059,298.3801206512592,301.2656281458636,301.93943704772545,300.13724927862063,300.5256050927306,300.39881686073335,300.19191661942426,301.6012832259063,299.085716661277,301.1491781225681,301.895900028167,299.607439097784,300.0224676626436,300.5116123960422,300.74526193970604,298.75105587271264,302.3044204718063,301.9245047294224,300.67550770417205,299.28547724579215
36,298.4576500441294,302.06231875673353,,,,,299.10134020356986,300.05061022329716,300.4874727728829,300.2778315618177,302.37248725929527,298.88225089080873,299.3500525458621,299.3510205149179,299.71014846117623,299.9850222890605,301.98347709121873,301.69804008219774,301.8963291105183,299.2445530058388,299.5177859642681,298.4514514404023,301.55715406626683,300.53080310489844,297.2330603796766,300.4220970003128,300.4726013750712,300.73037687878815
37,299.60646354152453,298.953500223628,,,,,300.1790402316637,299.13867926520714,302.2721416812835,299.9472944715416,300.00378988431436,299.99333353379603,300.6673350921622,300.3133663494015,301.00476931065333,299.1499268510258,301.0598795706731,298.74638876197656,298.6233029865914,301.6633423298452,300.9394181633202,300.1960524440277,300.8240971945199,300.9364530129472,298.7001247047408,299.7547862115346,300.18677507286264,300.22891119634215
38,301.79801535297696,299.63174716839495,,,,,302.4829661249717,302.0341634593562,302.779594648535,300.53721939884105,298.7853958709506,301.2720168705691,302.4318470131255,301.92995068984027,302.28677108525216,301.000605696164,299.53597687607476,299.8854951287133,300.66524235282617,301.657753910737,302.31377510975807,301.8322439261976,299.2611506878011,302.2023861481884,300.37880392031246,299.2477811842054,301.17719126070386,301.08850132632233
39,302.2384688159148,301.45277619356557,,,,,301.12113263196676,299.23481700470853,298.6365092019692,302.182267410022,299.5190795165499,302.14729976447074,300.5683901955651,300.8979829224793,302.602482882435,300.79085367818016,301.11320601717273,301.5284668264259,302.20563200433224,299.6301895767377,301.3274390386035,302.482074023791,301.2764975398843,299.1158410398023,302.58725842782513,301.3785935972343,302.4811551343834,301.8826743823641
40,299.43625937140104,302.4352435173455,,,,,300.0372113855275,298.67773048539476,299.9619324532602,300.4628631322665,302.36296802253156,300.0310693013189,298.7748610974571,301.66873280400387,299.4017687479964,300.9335051238328,302.48538647007234,301.4457312019926,300.003737046821,299.9124446217923,298.4699979471814,298.44453799089564,302.41994058078507,299.0028222963652,301.8563623514921,301.7955283023037,299.2645949698748,301.4968406456231
41,299.5756233798773,299.765079424239,,,,,300.59790934418726,300.7580828351282,301.01620347786337,300.0843895136947,301.81058863721336,298.9936355472713,300.2887904700088,299.08281185192106,298.571811674176,300.690655367027,301.101460331203,300.8401353260438,299.4485083189429,301.43600204166626,299.99241166368387,298.6024106505248,300.97272915751427,301.20748729078406,301.0592901802306,298.5213131386436,299.20440519578773,302.07563271706505
42,300.44298181981395,299.5787279878784,,,,,302.58477986440744,302.49736425172574,300.7521544066841,302.0324303289546,302.514221224202,301.08141747167315,302.3301665360366,299.2282205120491,299.88235689487755,302.07348328089637,298.6209264720822,302.284434921319,299.6240438075579,302.12583343143984,301.302165447832,299.733833822024,299.15316585156137,302.2129735162254,299.1152355394279,299.382457031474,300.0743187401842,298.5395259634709
43,302.1610728723486,301.87913792783183,,,,,302.6248664248711,300.7308219437896,301.15920677681464,300.99950884603504,299.72821290571227,299.9307183645314,301.73634270198517,300.4237709302207,302.36332512487746,299.7170482900313,299.1760370048285,300.5021025867107,301.17682415611876,299.12426920777636,302.65099573840786,301.94728503901587,301.39413139975204,299.23040221247413,300.5159297339521,301.51201136566493,301.9476516731552,299.6638265386232
44,299.64362725161135,302.47341003464686,,,,,299.0230696947147,300.63516269717564,300.70314726632927,298.5504792532565,300.2102615497344,299.97160288809863,300.67145940571163,302.371185400343,300.5697618986374,298.5018564755757,300.6658580029609,300.55102097882957,302.6507055952433,299.4731407945179,301.1012126018523,302.3765763110169,302.24268940692343,300.13226898273814,302.2096709619325,302.0500666122845,302.525348518115,301.7310099163866
45,299.38696215295585,300.530874206089,,,,,298.8674137930763,299.8557841367796,301.5295604760446,299.9584616695681,302.5216717255723,301.2191288855716,300.97050081219436,299.92037399874204,300.20809100621926,299.88407976971797,302.3944910189257,301.4557742045069,299.76391911958586,301.19889031881104,299.52597194537174,298.96857918075244,299.62696006524766,302.07106163579215,300.63807914902594,298.5376701569099,300.0360738284127,301.27965060627054
46,300.1142398332252,299.19953491896854,,,,,299.46558908373976,302.1405832338369,301.1472894020781,302.34557773058935,301.1458630338188,302.4785513301944,301.43547924843926,298.6451206208206,302.3993758107617,301.7002231646399,300.1835928873393,301.21576993406114,299.6826415310989,302.3400103774873,299.46226339350807,299.6329788454636,297.80900774418507,301.4649428007863,300.0757148831968,299.8882533199074,299.6297715547853,300.10030227269874
47,301.20019487324004,300.2473078998238,,,,,301.8522628872311,302.46966501316956,300.5622583239026,300.1033732243694,300.0908153821322,300.0141546142658,299.9625401845295,299.81960164638895,302.6649801900763,298.9207652161942,298.95606795188803,300.5408666545248,302.20708098092626,298.76314246599776,300.88432268264233,301.14819517968556,299.9095251879548,299.30396673789573,301.33745785538673,301.07526309466624,300.3226084630325,300.84483029299395
48,302.40100669677423,301.8476814707956,,,,,302.25483924405006,300.12098588106943,300.1078308195019,299.3898365786761,300.32530696806765,299.65615654643017,300.93716482806985,302.2469804689021,299.6082150656298,299.8224519106736,300.4037652747824,299.8898450778978,302.7174384086032,298.10919393211867,302.42643077937595,302.0377847786988,301.1535319343812,300.24901458770927,302.733789047787,302.3745984108512,301.75201269390413,302.19927044674097
49,299.2682591222679,302.57311409255544,,,,,299.934111899015,299.60894044627486,302.50968886300075,300.62562519229056,302.3053457913939,301.40002316346096,302.5287801234006,300.78483264675987,300.78766147509367,302.23819074955117,302.5309705821671,302.28937903630936,300.0394477572652,301.27558502400933,299.94678955956033,301.2339423813747,302.37264939805885,301.96752914527775,298.70772739874513,299.4887182711616,302.42240362207843,300.4932690990165
50,300.26476412786934,300.04788092415885,,,,,300.7661471784187,300.232630193856,300.94454266052685,301.7027574676312,301.9773760577375,301.9788031134296,300.06001184617793,298.5698082281618,300.908584132618,301.0617391103063,299.83052871590206,301.9266121908691,298.67738438230464,302.40642494130594,299.399954260661,299.3730960775013,300.39812379308864,301.2217611975478,298.0299232454802,300.60613816307233,299.15280119673224,298.5739190078496
51,302.34762365770524,299.1194872295651,,,,,299.78358862918924,302.28636857451517,298.78789695015695,302.3240750864007,300.99465765941693,300.39124752717004,300.0161865540746,299.7145302728026,301.8598944085379,299.46905124593894,301.09686785802796,298.82000281380476,300.3514771989391,299.5080071430851,300.5498841121193,298.71786439696217,300.718865591135,299.2667653958061,300.69917327564764,302.4241854740737,299.75571497112657,299.4246084299778
52,301.9475414387044,299.7137494439274,,,,,300.99837631403693,302.7519710005134,299.7342322647118,299.7752125928113,301.83255332412654,300.84256148362505,301.7771719966355,301.0488942069947,302.51987634058736,300.7316329665691,302.1167662977331,299.81024137485673,300.976736481959,300.1049895536845,301.24891022818025,300.1161188231352,301.90196396265674,300.2424802690255,302.2030849949869,301.15217834700036,299.73436970773145,302.08349776611743
53,299.83519106131376,302.0049286200094,,,,,302.3429580052359,298.17938023097236,301.73584112076054,298.383991199644,300.4597330238878,301.24693652963447,301.42668690727436,302.1434514325263,299.30300954419585,301.7981992029988,301.15961519136675,300.97306113135204,302.40696341448506,301.3508840401062,302.3665344512874,302.45767434477614,301.19671251901264,301.34439650096857,299.10192523768177,298.968443820569,301.82057532288337,302.1014926619555
54,299.2600428145983,301.2989220735829,,,,,300.74777991751057,298.9321222882076,301.74289502643427,300.902831075797,299.58651793656753,300.53615983491096,299.89346914473816,300.00470939914567,298.96659423121656,300.6660882957371,298.9893591217803,302.0605363807777,299.9747892266278,301.2215506325706,300.044962024113,301.5788612811411,298.5860478308451,302.28897862236937,300.28917671368447,299.59938684988225,300.3788916767417,298.71711443651725
55,301.8016786217153,300.81335805648155,,,,,300.0285091083952,301.245758010691,299.48935401751277,302.1463434702062,299.64657377513527,300.2142107044883,300.1566745183589,301.1991434190205,301.125785759664,299.76859753311766,300.07801429074146,299.3260305315101,299.47786847884146,299.6639895464629,298.6603219851352,299.25895514921933,300.96842785797145,301.65316328455293,300.54080379820743,301.5691815284428,300.1060013565759,299.53144076110857
56,302.23132661541064,299.9779511081767,,,,,299.68444124939475,302.37360064252255,300.3687552137192,299.35130888877245,300.74664383838746,300.4435799233748,302.29022162465213,300.4595138176737,302.4722604359854,299.87306545493976,302.23320750082513,299.04139439189527,300.37863139641087,300.1296565796653,301.0586002494822,301.24257315959,301.7258475713798,301.0747797751532,302.47143732152466,302.27251087677945,301.95900940135675,299.250765220731
57,300.2550014400246,300.6959593793544,,,,,302.2268989998327,300.29494110384655,302.6058111753282,300.01370786631753,300.6835070889653,302.0580127579005,301.5024535620905,298.4253481711241,300.9996360251013,301.41231132900845,301.31040043343546,300.1144280683088,302.1568054601801,300.493371613291,302.22710119212405,301.9061261948784,302.20071339339455,298.61694394120656,300.6781987276188,301.8987120340178,302.54955268430496,301.8821395935226
58,298.8371227148785,302.19132664725083,,,,,301.8436005840974,298.9554511053471,300.43740908016485,300.5265361541114,299.74508167949597,299.92246116601086,299.7730173251434,300.3437325098678,299.17826790301456,301.2778755814884,299.09263324850804,302.0944845880082,302.0656393343739,300.1603984159503,298.5741082711954,300.51256004896464,299.38846453433143,299.0763581959677,299.97481158177,299.69856264014726,299.76114226886216,301.0035117410205
59,300.06731409695243,299.77309208168407,,,,,299.6616013914464,300.6370692793478,300.7343810142126,301.8754025959654,302.1081006187467,299.5406666198017,300.23472447153586,302.22430499973024,300.7487361658769,300.9759083626332,300.41003309626643,300.6348971037076,299.82015948584353,299.75777773364706,299.705333952025,299.42346953913693,300.17747689440955,301.12455345829477,300.55920107396537,299.4832606873753,298.080086021143,300.3563217900576
60,301.4534242858486,300.1185908322847,,,,,299.6384241762543,302.53242160178473,301.9434152524423,300.3046071974381,301.3361573790371,300.19930834894717,301.7240625124737,299.3911698889592,302.05407256094844,300.11310863128546,300.347986698725,299.7998745022282,300.5591440906907,302.35953885970724,301.5555302056919,300.61621857489746,302.24394591018404,302.0215147493524,302.4983922219255,301.6802235801827,299.36609097512115,300.4779196461282
61,302.5699715105963,300.5792243242401,,,,,301.9269960064385,300.6056340587139,299.39455206158146,298.90510133468894,300.3112340389068,301.4114178738724,302.5047684999062,301.3665745089667,302.2644222547162,301.337344739956,301.51706463770483,300.321060597957,301.01792745358125,300.66004719501944,301.0318096609478,300.08236771342007,299.2747340470842,302.00642361935957,302.4403532181813,301.4888505056516,302.21473924340063,300.4053984579127
62,299.717981718207,302.23093655680117,,,,,302.49410186483874,299.4629455008337,298.9145507782553,301.1164840954896,301.218887629889,299.9554195767071,300.356976084628,302.37298205457665,298.4799946707208,302.36292012783764,302.4287551591006,300.1620257108363,300.3013500009645,299.39787159191616,299.0198606379807,301.36612039060327,299.4669261167492,298.9662834296766,299.4480445177818,299.36227224999635,301.17642323269166,302.1094022003189
63,299.27142436720686,302.45163657228045,,,,,300.7741030495402,300.5481547482063,301.7429688490766,302.22332020548816,301.11806182536185,301.2106150748768,300.2765739281915,298.85795259293496,299.81651643715304,298.7171125215671,300.2441941651517,301.67489351189005,301.554133090323,299.73678001076786,299.5682589380171,302.5311868853542,301.6221241518569,300.3892537030847,299.15532032472765,301.51179095623615,299.683590354344,299.95803946614575
64,300.2465384703843,299.90949207254675,,,,,299.0324400151574,302.47799229504244,302.35722613777057,302.3875528280209,301.8873670751456,300.98584773834426,300.64726825785255,298.98000713301235,301.4932375538038,298.64765040753593,299.90874906085674,302.42324483717744,301.7353105148418,300.81475295920035,301.0165387436312,301.07628748424656,302.1229740667142,300.8940322046504,300.5197216648061,301.90510859980196,300.9060700858457,298.4937857506491
65,302.2367280637299,299.0488873389091,,,,,301.36470337322567,302.8108473089698,299.326517148307,299.7870018610077,300.84892647724797,299.8947546748482,301.9414842696751,300.7979343474971,302.4233645473794,300.1213767050827,300.18030178438073,299.9589318239535,299.9748648111887,302.1988306877226,302.38079026444126,300.6509995427883,300.0278406040313,301.9700970170643,302.0887392276884,299.2774198458267,302.3812457763922,300.92251488171684
66,302.52545000943854,299.7896335239648,,,,,300.9508434601559,298.2960434609068,298.9285332610523,298.64625641640356,299.53722755914237,300.72308916162905,300.7814481027026,302.3429724121731,299.64798340203583,301.4535418725922,302.056658055111,299.97529746596757,301.1057580137887,299.9721238254546,300.0774389365666,300.17138098829895,300.90395968161897,299.79500536244376,299.536933766568,299.5583208433457,299.3079523703692,302.2956654872145
67,300.73903846547,302.2860759386786,,,,,300.9955619602308,299.2927383666168,300.96150543097264,300.0303770861276,300.6575540806028,301.6938935922965,301.38037479731173,299.92783644626894,299.04485811114904,302.15224491001214,302.65835640667655,300.950095638223,300.18405133440837,300.0306190425296,299.2015973586302,301.0538042416656,301.7232046402896,300.0554245273915,299.6253593844918,300.0839935080314,299.5872578761138,299.3282559987563
68,300.3327153895216,300.8749810586548,,,,,302.4300782992705,302.45055600098067,302.5585141832596,302.16497624312467,301.4834219496631,301.1643696090511,300.82574915935714,299.2912943369543,301.3090544987394,300.5812856778114,299.11642847559375,302.1430203797727,301.614877789035,299.3621429398783,300.48418581552596,301.959784464678,302.4492283582525,300.4279501013608,301.1853990145223,301.8463211897734,301.4816979490604,299.80660675429607
