Experiment,piControl,historical,historical,ssp245,ssp370,ssp585
Member,r1i1p1f1,r1i1p1f1,r1i1p1f2,r1i1p1f2,r1i1p1f2,r1i1p1f2
0,,,,303.3002476863628,303.34354992226935,303.33245539216625
1,299.87517131060747,300.27237468965694,300.40487693460847,301.797071683574,301.32220418642146,302.62338945896187
2,300.1369362730349,300.5518049846391,300.60037798171464,301.3060794659578,301.10525395082266,301.1232305596902
3,300.22803522638355,300.52863499414707,300.5108398019567,300.66233089242337,300.7174376105691,301.456825781557
4,301.30012076395616,300.7825402313877,301.0819132445906,300.55837304779647,300.5739160112303,301.38390300943735
5,300.96172334118114,301.2356550982118,301.4220329016501,300.8658694159878,300.79164208296953,301.44768322412193
6,301.51574008624146,300.7240758724485,300.4041371522781,301.4309420440142,302.1569861776691,301.8368314589477
7,300.19420067743243,300.5538944017128,300.4012292402755,302.1217564824646,301.74932811282247,301.11972292397377
8,299.38512719369817,300.6354355564631,301.55664759451133,300.8576138707726,301.555735088155,302.1686341952929
9,299.732454135561,299.55473002021,300.78102065870354,301.3022485024306,302.0724298593959,303.22036439650464
10,300.1070151938872,299.69249852803387,300.6506267788328,301.96397189661417,301.63139905345537,303.1138694454371
11,300.74363686405053,300.50557737935435,300.35568904486536,302.2613484370908,301.9198893511802,301.408719285828
12,300.70132168429103,301.5417544775916,301.42456195619843,301.8127119703765,302.07595621572744,301.321119986645
13,301.5359020891963,300.8848420319896,301.0827788875228,301.2308730201301,301.8397216026095,301.6649688115586
14,301.38691629481167,300.51488753438656,300.51765762473343,301.6872488498449,301.85145744403644,302.54531886965015
15,301.2082692691552,300.0828101027984,300.0610014954702,303.50456656086675,302.6008326755724,303.8861351024254
16,300.3018384704986,300.6891631895672,300.7622803880533,301.74771413054117,302.10285505684345,302.70420336715733
17,300.3828677177885,300.8199138041666,300.5387757218982,301.85520874746015,301.7938382125332,301.63167440354977
18,300.9614374283974,300.4404220373644,300.2647442741761,302.89667671235037,302.381546606517,301.7697851595194
19,302.0713341856136,301.1117770177354,300.13750895128896,302.9302187407804,302.08858103898325,301.56375619279873
20,301.10243445374323,303.0870166083998,300.87569124107796,302.20116743342055,301.25439440621574,301.88755151215804
21,301.30459435491576,301.96611193961024,301.4946098278304,302.035442904725,301.5255536606243,302.26561852020717
22,300.54687472173686,299.98235359913923,301.1089616374498,302.5323261652302,301.4401050443243,304.4914669574428
23,299.8972679340364,299.3954566453369,300.3811844316506,301.96261478860595,301.8451499862832,303.1586072269442
24,299.56511003442364,299.6561201928179,299.670444810922,302.23052758554644,302.62846884954007,302.5444846027284
25,299.83232950914294,299.4783718012537,300.2200473290124,302.2656619905292,302.6358873454081,302.2859435006397
26,299.4256418047834,299.6414819859784,300.583703903316,302.07160741191495,302.5641548550355,302.16678433412636
27,300.557645806096,299.79148976833255,300.5461405869972,302.09531106335817,301.5095746655962,301.88000360029406
28,301.2345123384164,300.15094980023724,301.0849185730793,302.0506083012744,301.84554289421834,303.03832498164616
29,301.0786372582424,300.9662061094751,300.98565190014796,301.5891101335665,301.8664421380278,303.16986495493285
30,302.0015002345361,300.96886433519484,300.55863961640324,302.0434434432639,302.7163803517979,304.0490966406299
31,300.9042686800098,300.384155344525,300.649074240426,302.38885778292206,304.7963966827913,302.55344581381854
32,300.7430316408141,300.3021813471046,299.95531290492175,302.4824246437395,302.4152299705863,302.0219345270346
33,299.6998336230884,299.5621084374081,299.89736041707744,302.6174628688719,301.59363876431183,302.6851222661221
34,299.66682275454883,300.9006447168792,300.63512921085606,302.12239565966814,302.35570532315495,302.17934337332196
35,300.302989391572,300.23072924883814,300.5795598557877,301.524160217731,302.9968617763116,302.844973099877
36,299.74287822368973,300.98777352403516,299.8389888706797,302.4148056597551,302.2173683375475,303.11991090929445
37,300.99376637062846,300.1712512395308,300.65377427124366,302.00196236347824,302.77705098729285,304.2094543937015
38,301.2027993055423,299.749914355715,300.19570965947486,302.69774675839085,303.505496422449,302.81827801926244
39,300.0086374993448,299.41022447271945,300.3652462353098,302.068358254872,302.7414564693309,302.7891435106281
40,299.7675748854839,299.318977871683,299.8542292945724,302.0117139497703,303.7735598409201,301.75098786055645
41,299.7447537846098,299.1966625017058,299.6328130743673,301.85091598289904,302.6048219933305,302.1998307083132
42,300.18201939410926,299.3412113389773,299.5701768636434,302.2111212802278,302.536920568138,302.8995324974292
43,301.1618266586161,300.02261056846606,299.81416689638894,303.25248878249084,301.9367199533462,302.30226125550934
44,301.07701562184394,300.1215886738168,300.47969537944914,302.4444447736063,301.16542051979854,302.94332662088885
45,301.0300954810445,299.6302887926077,300.172620233667,301.87413505775106,302.3169255255238,303.2873276048935
46,300.10972910174274,300.02311794813704,300.60252434465457,301.8152639606854,304.52381754566375,303.4493461828808
47,301.0615901358256,300.2637701191183,300.94587913260557,303.1174415967193,304.88212849220145,302.78211556812107
48,300.8129305284795,300.0647297246341,300.7871267811383,303.6509016167481,302.6690966174993,302.336478064048
49,299.4575638164136,301.20136767116634,301.1815051398375,303.8868579560885,302.3169745435883,303.2950642509492
50,299.4315595516376,301.0770365888716,299.90136444822133,302.3958847189501,302.2399458624803,303.13220355700685
51,300.7515663769734,300.73916674781975,300.14406281104095,302.4313241212919,302.7210204777162,302.88501169441236
52,302.4830799553774,300.4806174719235,300.4230981306899,302.92377108431555,304.1567680340478,304.52564231257446
53,302.7497842971342,300.8291676572516,300.115555917816,303.50839526396976,304.32336698774753,302.9389724444349
54,299.83886057678757,301.0490152160879,300.5663182931723,303.0033682727208,302.33660275096656,303.4853824350535
55,300.01071062781494,300.53867701615985,301.2267437836169,302.82822008882357,302.3813691311209,305.0971685815096
56,299.48512732606224,299.8119766094792,300.503485155322,303.1620772229871,302.1277605447716,303.2493499391462
57,300.472569580074,299.257299913458,300.62337047721934,305.1132688135676,303.03945631061714,303.2474663887285
58,300.35150740356215,300.2952256547222,299.2242062533885,303.77835002202033,303.241664343797,303.11065901227556
59,300.61642759675215,301.0522943256658,300.318649872417,302.3895438338964,303.51140575647923,303.13039434472773
60,300.6094365965761,300.6713280444096,300.10083342257775,302.8507104488112,302.6172423864103,303.89058017041754
61,301.1407605835652,300.29458244125124,299.26159288649825,302.81771963838565,303.03535635047757,305.0872607529894
62,300.5207744287259,300.3079342972453,300.1672239151785,303.3866641976374,302.3199556700361,305.1573727873929
63,300.52015472506145,300.89106623568614,300.8365519595441,302.7105693505794,302.37219395672986,306.33429014813834
64,300.61649575935985,300.60644737925884,300.08419813653654,302.47605008684303,304.027994494137,303.52962560794043
65,301.10589748758247,299.71968949812134,301.84255758038336,303.40542924012783,305.7650978095503,303.7910618319136
66,300.4454429481064,300.04960808489136,300.09480509123074,303.0809360996072,304.897866870087,303.44686403349505
67,302.2360444604768,299.86932762393195,300.6528715755084,302.96638237169094,304.1758559202178,304.2106904833171
68,300.34959550384207,300.06518393866054,301.83728959431306,302.51110918137874,303.096161906886,303.9746383026049
69,300.5841542089929,299.8384793193582,299.9497999236009,302.7444672736098,302.70684266069844,304.69010249417926
70,300.093066642673,300.2156355568425,300.5820890606449,304.30631786245254,302.7129344188951,305.1911112854633
71,300.4760167567583,301.2474120591578,301.030706883861,304.3002804020783,303.9968638009679,304.2621487614943
72,300.3069605067672,301.0206353027606,300.292543556169,302.98826524331236,304.23992055700717,304.46027897432316
73,300.75762657160817,302.41193203063216,300.65510697300437,303.54369078037854,303.96953752524433,305.13673426721016
74,300.77264567781697,300.3775554451887,300.4441830971029,302.6746964997965,304.0646047589246,304.4069653579416
75,299.96724880173,299.9594703459329,300.4900383323164,303.016457557625,304.336747132997,303.5713014040405
76,299.8401194436388,300.2262428384626,300.1942811249289,303.0245366074552,303.8689490109216,303.00511850520445
77,300.3089801847529,300.0068200598293,299.2432872657461,304.44051341418236,303.46030182591437,304.3177828881518
78,300.15103682762145,300.03284745495836,300.8991080359204,303.18677017356146,304.0094118157863,305.0044937746538
79,301.03568800257455,300.78917215924724,300.9134693260805,302.8929214272984,304.0579581181348,305.6633291697481
80,301.3760204763304,300.92363045878193,300.03724629413153,303.4632499340367,304.1154582048491,305.37155622627324
81,300.9302374106288,300.70556678762216,300.71373409569816,302.46732088813803,303.9913767647157,305.0647978397729
82,301.23846060435403,300.31473087690216,301.28758792475975,302.1583580463884,303.96392540382277,303.99905555288666
83,300.8376892000617,300.52446467587384,301.2690553350228,302.70940007416937,303.4250714713576,304.5691511495673
84,300.8764863911794,299.7505737800341,300.6253725825663,304.1476869548974,303.9319511136439,305.1455812752417
85,300.2052520249676,299.8617965394779,300.34146393435634,301.41748043974627,303.2005024311225,303.82296756621616
86,300.2235312570673,300.46428349258787,300.3427808803628,,,
87,300.13664311174875,300.68151278028665,301.4581517630782,,,
88,300.0287521582491,300.0802486596976,300.8752988596648,,,
89,299.64733565967884,300.6246164566891,300.8276026486365,,,
