Experiment,piControl
Member,r1i1p1f1
392,300.8524756845389
393,299.9799253971359
394,299.9271136732259
395,298.6101099134401
396,299.89105425572455
397,301.40505448391764
398,298.01373669373174
399,300.1196221954145
400,301.4914032622665
401,301.7263424816699
402,298.9515144796133
403,299.3450491921983
404,299.3283791897533
405,300.21641766851184
406,300.4021319304824
407,300.12339535217427
408,300.46226296434503
409,301.45125508129814
410,299.52774490001025
411,299.9514473786607
412,301.3011446634673
413,298.62720128547136
414,301.1009254146364
415,301.4776657238745
416,299.5971414191958
417,299.6671728460001
418,301.2542926682806
419,300.4831173650144
420,299.8121283038178
421,301.0034588028748
422,298.77921558454506
423,298.3991426273131
424,301.0401572793947
425,301.5375127696838
426,299.238129479837
427,299.6308915280725
428,299.785705322257
429,300.890742113955
430,300.0443128797224
431,298.75151685569176
432,300.7865170093851
433,302.27672105504274
434,299.31534241691537
435,299.02666361587035
436,298.87980039539497
437,300.8147346978949
438,300.3135446084984
439,301.09480533752327
440,299.7526544798352
441,300.4238280810833
442,302.14196810373977
443,298.13129646114226
444,298.93060953528936
445,301.25858668485665
446,300.15274148077845
447,300.14839892289996
448,299.2497152944671
449,301.12045488240716
450,300.7100986590303
451,300.50646120209495
452,299.7435176044783
453,300.58405824529285
454,300.30175869816736
455,300.21983168524326
456,300.90165283750383
457,301.44794425744095
458,298.63429184851043
459,298.84662416936294
460,300.70437821202114
461,300.53839636522474
462,299.9628694136491
463,299.68172150534946
464,300.7317105774651
465,298.34761144248415
466,299.25542831497324
467,300.38706044055215
468,301.87415203904203
469,298.81745157373774
470,299.70072150397135
471,299.7433349924175
472,301.25641890782003
473,299.04382898844875
474,301.3797346699862
475,300.04235073613364
476,299.8495736895522
477,300.7567826696281
478,300.46085779655874
479,300.37173085205706
480,301.0081952707317
481,301.3495621639177
482,298.4044039244463
483,298.4097763171896
484,301.1758710400956
485,300.05538234682734
486,300.0540736237653
487,300.45385837147245
488,298.6260384581122
489,299.557819693031
490,299.6537725801293
491,302.04804422645145
492,297.92448946954073
493,299.6094686089196
494,300.28958145805433
495,301.33301349495287
496,300.91677954560924
497,300.6403695050878
498,299.8888198631544
499,300.7952833511297
