Experiment,piControl,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,ssp126,ssp126,ssp126,ssp245,ssp245,ssp245,ssp370,ssp370,ssp370,ssp585,ssp585,ssp585
Member,r1i1p1f1,r10i1p1f1,r11i1p1f1,r1i1p1f1,r2i1p1f1,r3i1p1f1,r4i1p1f1,r5i1p1f1,r6i1p1f1,r7i1p1f1,r8i1p1f1,r9i1p1f1,r10i1p1f1,r11i1p1f1,r4i1p1f1,r10i1p1f1,r11i1p1f1,r4i1p1f1,r10i1p1f1,r11i1p1f1,r4i1p1f1,r10i1p1f1,r11i1p1f1,r4i1p1f1
0,,,,,,,,,,,,,304.11467809894776,300.8943591813654,300.9380473726697,304.1113118810363,301.05698856087696,300.87347450854526,304.1062857215204,300.9976148064217,300.89503739280786,304.06250761504964,301.0047560579097,300.91093292154517
1,302.74947256635323,297.6257329449387,299.1400170532103,301.8024575264242,299.30274996597615,300.02407006457037,298.87119787222235,297.42230616169417,301.5768997508069,296.87362874662574,300.1840341660372,301.54388300011163,300.7407015670502,301.1393305944934,300.6283470775589,298.8618921244395,303.0910763205679,300.8738728579746,299.4618779670114,300.8816913554734,301.4033622254396,298.4670282468436,302.07441294088477,300.07056874609066
2,297.02876842578274,299.7218843675958,300.9349046919333,297.3935393392278,300.4759382969436,298.8693963894054,301.32608182163887,298.74838056472987,298.2151774914044,297.44827483709173,300.26384790284357,299.60515364595295,301.4275728837008,301.12266404456807,299.146049065032,299.85706405468744,298.4063355388805,299.06233860683204,298.64697903092696,303.6311132414274,300.70945488632606,296.9851211036696,302.9625521068755,301.8781625622575
3,299.3702584833616,300.71876748050704,299.77039279238903,299.5193536163959,300.0198089092344,298.5501887604767,297.95166291390814,301.0288303476167,298.9862100813354,300.3556261737444,300.2099448366151,299.45029787447857,303.08101822494353,301.34396554135543,302.36671869647773,303.4531734438236,298.47747798246513,300.3889543822914,302.5951212540527,300.0131948696393,303.94295820416204,300.57257259097173,297.5902821150514,299.26494980252795
4,302.1408449524212,298.2426944975177,300.92863870038644,300.14440141580405,297.6398337979312,299.40036408772085,299.8309823582036,300.07472730796314,299.719313530736,301.7294200595987,301.0292235780881,299.1835726296151,301.565462164442,300.818360219627,302.9237578355062,298.26354665452504,301.938311954861,302.69091947373005,301.33322462591315,299.6550384080117,299.57370580582125,302.9710923270529,300.8057891551872,300.1731703123315
5,299.779002067959,299.6809019087552,302.04278994487646,297.12207192488125,298.54621494570665,302.19956290113237,299.9837662874125,297.5354345212972,299.58300461529984,300.51118240392196,302.26637338040166,299.2350253364378,301.09887879428766,304.2453273715464,301.35160834934624,299.92716289878143,301.4422201876069,297.51287005043224,300.06370383355755,302.2476561298573,298.98720402832436,299.96174855710393,303.759837241214,300.31401275321696
6,299.3522163705291,301.44189724395505,297.1861403619933,299.8212893745892,299.67641766504767,301.3126849765096,302.1706920385546,299.5617418951536,299.56270148754237,298.31713399035647,298.06315378682035,298.4324387015513,298.0285482874167,299.89789984807663,298.9882030491112,303.3235253616619,303.2599462252315,298.6327152688849,297.94826755606437,299.2443037206595,299.7940103962174,300.28067317479355,299.7553614448888,301.4635625499467
7,302.89555727292395,298.0010426679415,298.57501531474446,299.79766727238655,301.3614423726361,299.64256731113545,297.76158114592437,300.44237887007887,303.5734569611788,301.1051710553321,299.9660072805479,301.2193944013609,301.75207241809414,298.97188239600774,298.9140238129232,299.3280553317888,301.043343361942,300.73805117357125,301.940030246257,299.1263497275115,300.7616822944378,302.5658752812369,302.51773571658214,303.4816544009655
8,297.7265644975646,299.7580774758413,298.586101625891,300.3693179672707,299.4128575397497,301.5932951366852,298.5293299631084,298.4765060611273,298.4285579296606,301.8506576968185,300.128840280117,301.0720406706816,302.202430753478,303.51256945274935,300.6145743974805,302.5303573510541,300.7248143148308,301.55478871372657,303.52254534586996,300.297594851309,300.0614081235817,302.1425523841959,299.60562243689077,300.7710200724738
9,297.81236288837596,303.27568735988785,299.57252717178096,299.7861393884794,298.1876195860382,299.7090937831494,299.2571961004574,300.82614552647823,298.42651975472876,300.5445172990544,299.6284530461267,298.8454684458674,299.6208767910733,300.2433789076393,302.53419536183253,302.2223806950287,304.08762247902706,303.2420092391879,301.4449133268652,302.91248919201456,303.24539398672687,301.7865016612405,301.7662882398493,300.4221685825201
10,297.7317114512044,297.95327504667415,299.02057288434366,301.9724554763596,300.2842385293539,300.9783947691182,300.60667641111957,298.74824510986065,300.5109126214273,300.04705310998753,301.56016030186,301.55261199085567,301.5982617729615,301.19289482648884,300.4732784181817,300.03788442920785,298.3020253972076,299.651065041505,300.12810241732564,302.0081377754928,299.36235016998853,298.7479254804999,301.77737771365634,303.70672267576487
11,299.42134223011317,301.76631887380466,299.331248947657,298.0147019344092,302.38286081586824,298.79206314873437,299.662098140443,301.21768058844583,298.62137923294557,297.3969863517923,297.54664629511717,298.92991134680705,304.0077033678626,300.94629337273756,299.46726140728464,301.9660171347304,298.0109050554144,298.56631335308384,302.1390795171181,301.7840309735546,298.6847294130016,300.6792548610503,299.0641186932808,299.58307793129524
12,298.2038364683771,299.05651706441887,302.29400404682366,300.5305210103571,298.18622904596333,299.6486138547012,297.8867439233398,299.9269589751852,298.42794117319175,299.7181630820464,298.7613099222824,299.0406514067333,299.7987207846697,302.4537067927556,302.4992741288584,301.8500354381951,301.33887014405155,301.6182463718614,302.42669023101945,303.41162221454647,301.7782637157348,301.0469714447242,300.02666211832025,302.626795066054
13,299.85134791069123,297.12182544800544,295.98975170900155,302.46978065299203,299.8814580973213,297.48294462727273,300.48532226924635,302.1570026243795,300.07002515455724,301.6328501947091,301.6594404089653,299.2787210292403,302.59756855746804,298.47594215994985,299.4231343734164,303.51752802361875,298.5401463167423,303.326847001302,300.6112022844398,302.5640638865688,302.430537201804,301.9095175660294,302.1711267325272,299.7077636055746
14,300.44387159048625,298.999403721439,299.13727984555334,301.0677982743193,298.42369577087135,297.2429319317289,297.9157691951816,298.83717561275824,302.3029902283006,299.51597298936036,296.2856431080956,302.2508249431198,299.14173025556784,301.6704874413298,303.57165182871023,298.3036179132236,299.9314067650261,300.2701520934586,299.2283384781276,299.8577945246302,300.64079908025417,302.353732677021,299.87207970572746,301.6803531664673
15,298.95409753574455,301.9298078240375,300.28074487041766,298.5664052359687,299.3844594063851,300.19047763719635,300.49883123163886,299.7166798519576,298.19023877286156,297.487857398976,299.10502680052497,299.7710043083887,301.0235708321058,303.072842161825,303.08235594163926,300.6450726504232,303.9998014516384,303.87320715470406,298.61639500874526,302.06666098080444,300.8948829086092,299.00105207700796,299.30688739099406,302.57456941550487
