Experiment,piControl,historical,historical,historical,ssp126,ssp245,ssp370,ssp370,ssp370,ssp585
Member,r1i1p1f1,r1i1p1f1,r2i1p1f1,r3i1p1f1,r1i1p1f1,r1i1p1f1,r1i1p1f1,r2i1p1f1,r3i1p1f1,r1i1p1f1
0,,,,,299.94960173548117,299.9761192009211,299.90205881154026,298.9524055911499,298.59462937943744,299.9513919685897
1,302.4211653439884,297.5582146461307,297.73026611409153,298.24996375058385,301.6517592476676,302.17123891745524,302.9259835094779,301.8182366462661,300.89459539921756,301.6293671326226
2,297.6508477265884,297.38883737261136,299.08708179132924,300.4146265845607,299.51828421142415,300.45224797304263,300.01949979123265,299.6585737288663,302.0125510871124,302.2425447867344
3,298.81942148735266,299.10412328151114,301.3481770862458,298.8545635206794,302.6436596666199,302.64700579200263,300.36304455395236,299.34713842510064,303.7369616636062,298.22910991997105
4,297.9586607108752,299.50466756936544,299.6245092143527,298.14286103046385,302.6944014346287,298.39309662122946,301.6778839986252,298.4493447597251,299.94688806657456,302.11690541415675
5,299.92153501273214,298.3524051202665,296.9248727424785,299.97537289971405,299.5889661539317,297.48167848888465,297.9229988838344,300.3763909668144,300.2576550380484,300.43178101468635
6,296.6545753903129,301.18556528240634,298.9308285116967,300.3852857319032,300.62540544585187,300.3162875168567,300.3830414393166,300.28839850851745,302.78198577580486,303.16967354137995
7,298.03464801145816,300.2336563390528,298.1457403038035,297.70872572182594,304.07713160605175,302.57009413094096,301.65519947766785,300.4774941636918,301.14347234604116,301.66069940107155
8,300.34018841039654,297.9862935040642,298.09068001269003,299.4031686225796,299.4295986316858,298.51471134386367,300.7673829320695,302.86120818904106,300.7963215338857,300.15421770909546
9,299.0189556335724,298.7593985319276,299.91347174900574,299.5808302919185,300.29183790566526,299.9418725179121,303.66005063240436,300.4706369364411,300.3533735411772,300.76051523162545
10,300.0758202850175,298.5119400274711,299.1464645913193,296.1368588844258,303.4185557330648,302.63883406844906,300.2026104329872,298.9281869978934,302.6642423038732,303.14943679691027
11,300.3927209216883,296.2179575168258,297.2215402107431,298.5735822820846,298.9932404322804,301.7225970829338,300.6789881203919,299.88920604377216,298.0205067380768,301.12283564724936
12,298.3139522069811,298.6303201716865,299.1069634851879,298.02250877911655,299.0014292887533,300.31964555918097,300.900845038571,300.9179952800309,299.1097907459644,300.8795603087362
13,299.4532991979188,297.9195902987088,299.3014722321946,299.77691244141914,301.3399732211075,301.7369279054438,303.00442388080074,302.92452727156467,302.8721319419059,302.06325748717524
14,299.9747665925791,298.9947019626657,299.0050648131884,298.8384002837303,299.5046698023045,304.1110578842957,301.728132356849,302.4966895200261,298.6000513445397,301.00758960807195
15,299.1436607332042,299.0982657847339,298.54692678377234,299.34690774688784,302.5330288874778,298.50193889267956,298.9961053820816,298.3058581466066,299.00294935196814,299.5204393635451
16,299.14977215798746,300.5407984680565,298.373554296561,300.89443121033975,297.7945425051955,300.11847542184273,302.77985385490496,300.5210346315365,301.5131028219663,301.11073909731465
17,299.44599850244964,300.6158034725604,299.9155557484907,300.1583671507178,299.97326183158106,302.65768100768634,301.3434651043014,304.4954257271604,301.70764791429156,299.8513546373945
