Experiment,piControl,historical,historical
Member,r1i1p1f1,r22i1p1f1,r24i1p1f1
0,,,
1,300.3497577240346,299.31462252106974,297.97055383417256
2,298.9617227048363,299.28879203649404,299.27720088428833
3,299.41706946542445,300.4900402170844,298.9694141777624
4,300.158903421208,299.10289050016394,298.70348461137195
5,299.295991946185,299.9162512791807,299.34258181389697
6,299.473113384146,299.9267596168185,299.75107482318145
7,299.1662553534736,298.7646957822757,298.98053362422115
8,298.3678474087424,299.4796019484092,299.0075010559655
9,300.5551389459981,299.9578514745828,299.88185492795407
10,300.34197805457865,299.8968459745888,300.0822859098825
11,298.4169579819075,298.3577231342747,299.54153989776665
12,299.03448750159635,299.48717341223215,300.59422246511195
13,298.76715107832905,298.8109808296488,298.37933653504047
14,301.6327464849461,300.33950176785714,299.23378582875284
15,298.27498947358134,300.5495161325817,300.30718531044727
16,299.49629095633674,297.89084024855424,299.1897325187262
17,300.0950039688533,298.9804653442995,298.87945425498583
18,300.33724701884427,299.3510027945834,298.6615455284178
19,298.29041417786743,298.4248525130018,299.8229287428707
20,299.04718448994026,299.76082930153586,299.1242990329568
21,300.720242795235,302.56982617100294,299.42621497597
22,299.67865200498153,298.1674012010197,301.03028184679624
23,299.37881789722655,299.32789936978804,299.3179655248286
24,299.41753255356156,301.9308145308287,299.30133042678705
25,298.7707278300988,297.83680288420425,298.41633325843003
26,300.61652596698286,298.87600888375715,300.3114507894525
27,301.8146724818726,299.63741345808984,299.74926594634064
28,299.517145755897,301.09852894990405,299.34254003775953
29,298.4297804644942,301.05480456945827,300.0294344742879
30,299.1376604380376,299.1953489900857,299.96076859394475
31,300.4234175054337,298.51688485048743,300.20271591227197
32,299.5606534505264,299.2052093633136,299.2075166948059
33,300.2522365005753,301.31584030703215,299.02323783806827
34,299.0438282404628,297.43083336144923,299.2263068771695
35,298.93329477049366,298.3391377825536,301.0243180834022
36,300.674671350074,298.1665038309662,299.35596534327675
37,299.42359122105466,298.6984204823766,299.22607820276727
38,300.6339404780679,298.9739557492083,298.9422804621851
39,299.65338887885605,299.9858371315991,299.41240480238184
40,299.3580952744317,298.61827754906085,298.9165279215418
41,299.16408884025014,299.77356805821637,299.2795823540636
42,298.92937581173095,302.505449254475,299.40043316397055
