Experiment,piControl,historical,historical,historical,historical,historical,ssp126,ssp126,ssp126,ssp126,ssp126,ssp245,ssp245,ssp245,ssp245,ssp245,ssp370,ssp370,ssp370,ssp370,ssp585,ssp585,ssp585,ssp585
Member,r1i1p1f2,r1i1p1f2,r2i1p1f2,r3i1p1f2,r4i1p1f2,r5i1p1f2,r1i1p1f2,r2i1p1f2,r3i1p1f2,r4i1p1f2,r5i1p1f2,r1i1p1f2,r2i1p1f2,r3i1p1f2,r4i1p1f2,r5i1p1f2,r2i1p1f2,r3i1p1f2,r4i1p1f2,r5i1p1f2,r2i1p1f2,r3i1p1f2,r4i1p1f2,r5i1p1f2
0,,,,,,,299.6019906659442,299.6603546505085,298.2232210435376,297.807063395906,297.94971342186517,299.6222486282125,299.9286276282564,298.40449569463595,297.74292125048976,297.9315572753198,299.5813163275856,298.4288508695569,297.8013762675687,298.075413129156,299.68494446033003,298.4040611275562,297.79149309660033,297.91952371259225
1,297.819831574522,299.8149212161071,299.0638669099065,296.9997704396699,298.7891563776919,298.52827951945795,299.2023491916463,299.86051282190107,299.4598396089237,301.43882125478086,300.17576620248843,300.04752221540804,301.38989873303655,300.29170348951124,300.9289869736894,300.4405164072825,301.65386507373,301.21790421941824,299.0944115607753,300.64281228679465,300.6599982692376,301.596175327837,301.2719851343763,301.61239505827774
2,299.35020809302347,300.0160953247064,299.9969339686847,299.2537270626247,297.7316151623092,300.66493516940415,299.0134618747771,300.2069631370369,300.6182342541727,299.95585403659214,302.3430129083401,299.0422771859876,296.5913745472607,300.1612414512886,297.37022519421424,298.92614021911777,297.1384613555968,298.33172543757047,301.32458368633564,297.9835251082804,299.11732285764964,298.11744655810134,297.68726621995614,298.6456115889714
3,297.1675504798766,297.0024758907902,295.7630959469877,300.3503349182419,299.01706312171984,297.8135349722592,302.1687240504587,299.64734481524124,298.2904290632506,298.2364729075346,297.64546131318224,298.18862530006663,299.40124861470036,298.89905137948205,300.6637250510767,299.13697933965165,300.5828030500923,299.18122754313987,298.24194359614967,301.1875551412085,299.5173717450902,299.7704285086821,299.4624991768958,300.80158022063625
4,298.7510104943232,299.22650355220577,299.0452838909642,296.54326049574655,299.13226547332835,298.7091104950294,298.89228825079607,299.08215647382366,300.37065878523066,298.17072641770864,298.668773480321,301.7007885994008,301.323931371745,297.80718657540245,298.5428299351573,301.39438306589096,299.49350530899704,300.9644074629941,300.3878044794471,298.9456330799712,299.0747584455164,299.09921237235966,299.4733590720041,299.9852253847237
5,301.01495886071405,296.7755137248191,301.4467740326665,299.41969335144745,298.6942925292329,298.12916991948686,299.3853004986184,297.73938324150373,298.8341832976707,299.65351997549345,301.0839810344541,297.3745401511837,299.73679343225376,301.3138594934126,299.1334150825589,298.4653295930629,300.8384894685966,298.5471087020126,298.9807419754283,298.1862411638535,298.9864912146116,299.1323362302847,297.93560558863726,298.85806217753685
6,297.10721526861647,298.69290796641377,297.70911272301583,299.7756203786465,300.4118371558875,298.17077816983215,301.3792081543796,298.3264195308889,299.0303842535749,301.10663596774293,296.8964617650816,298.9558560827027,298.88174499116684,300.2253374297704,299.74083240635736,300.0837317082056,299.99421166767337,300.46798294366744,298.90742864866047,300.5043216912634,299.3251537043831,300.36055376238807,301.1810621252036,301.3459011453283
7,297.9340866187693,299.3490732922258,299.3757712192239,297.70375316848464,298.10655348867675,299.075267569858,300.8928987300835,301.39142227093134,301.6759860508269,298.64250845143124,298.1830821342456,301.46695308922017,298.7884417789797,300.77633498483925,300.16111386871086,296.4592388601904,298.25299310685267,298.855457395643,300.6912145857091,296.6681660172087,300.5959723374042,296.35164396724207,297.27851789324706,299.3726075615449
8,300.8877183077139,296.51962263991595,298.68345307966325,296.2771978921037,298.72406455623997,297.6272575411892,299.20647081717533,298.5320268881956,297.8649973623067,300.1383669702834,302.37017626140124,297.34089292297546,299.73308650594936,298.336388178762,299.2470041938962,300.81294163804546,299.0796745292479,299.55325147533284,300.85304801664665,300.3782963744042,297.51274972172735,300.2488853474434,299.7260487904117,297.7373539503364
9,297.38414558877935,298.713038413379,298.077831896482,299.31051935040915,299.3705309210395,297.8201562558323,298.95926181712304,300.63441234865047,301.4798162214424,301.95773329523246,298.493285792142,300.4824947779661,300.03667369518524,300.7342093099855,302.33650004211,301.7526574916181,297.668065553535,301.75621827949226,298.36602825017746,300.13380051816483,298.7888808095667,301.59335318678126,301.4147554970502,300.67492328711637
10,297.9840505268865,300.8495826401615,299.4771570223361,299.8851795111973,296.9052764935296,298.84668103343165,299.8399678855437,301.62192558939,297.39841458196514,297.95914014056393,301.0553241812651,300.51700524619633,302.4506029041675,299.2922827308794,299.562024453599,298.527357447732,299.7399503252233,301.87085922782785,301.4405782988563,299.60422465841583,301.5787800971896,299.80229869757824,297.82488286699004,300.4262378237045
11,301.1980201760964,297.0048525269477,298.777097074628,297.0647875517655,299.54488415064134,300.2321994570835,299.5159511077697,298.3081788784831,299.3369804928247,300.44457825708344,301.95512988815534,300.98468609406933,296.75151912982295,301.3244331498623,296.99278326230086,299.47464896092134,302.3528531975571,298.4989820291366,301.35832658997975,299.3758015199201,299.6675488869982,299.70578753213147,300.63621251337827,296.3738537338704
12,297.4860442743811,299.1713984940258,298.1182373967362,299.6002874329609,299.3446968295498,296.6630132418014,301.18047726518915,301.0353419864417,301.339200163718,301.4450289594817,298.2750359144798,298.41599222645215,300.46919627359694,297.6035581780317,301.0681379166304,299.50305440226856,298.0400889963592,300.460674331736,298.0165211735057,301.1297049538426,299.5572882669616,298.76261053578645,300.99582642789255,298.7220709061887
13,299.4011794250928,298.8877940711335,299.27004109369113,297.4875773738,297.7559783136703,299.4567189889331,299.2021612447691,298.80624674887963,298.15653030771097,297.5874383706344,300.6099561508274,299.7532768815399,298.3387387519104,298.18994435606015,299.285443737381,301.8109813708808,298.99804666841044,301.48420661804266,299.91405559716105,300.7729361941244,299.12744775823245,301.55711486618253,299.4141274109902,302.1248431044371
14,299.2387985243287,301.3669031604545,299.26630541311914,298.3643427486247,298.8076690257506,297.609563806695,298.0124661052409,300.04661179873756,302.0067237621186,302.0576547657747,300.1963768983516,300.0081729232563,300.7539671610496,302.31064228282685,299.9664003688358,297.2940633475298,299.5189989631967,298.11039474114096,299.16418246283587,299.92661149656016,301.5676658537239,300.07858316572674,300.2796010459979,298.71041485836173
15,299.10669743999307,296.71686341339995,299.3917678662145,299.9318602942293,299.43032412931535,299.4046411443723,298.6037664673822,300.3266489596579,299.8817322074921,297.77107966298604,299.82987842061704,301.89026356568564,299.46526353820644,298.16388698675775,298.9279676197105,300.42649730618234,300.7275569733201,300.47772626217244,298.1638641020316,300.20123679008344,297.99135866281637,300.314722028277,298.6666285554898,300.55242332991764
16,297.4723701915159,298.2294183099178,298.36185273281876,298.67857502482235,296.86282117569624,297.9190958664864,301.7988882550822,298.52827746259294,298.22962632861726,300.6678757545779,300.3373068894223,300.0592765796328,301.5990599607799,301.3910251253158,300.5240106936852,301.95103225220106,297.54192901282926,301.1112989888006,300.5564197710737,300.0340620789549,301.0021694257011,300.89108794500413,300.78484655256034,302.01969073422083
17,298.8559615504973,300.53627251978673,298.0727668559943,300.159852882582,298.1288813219757,299.44955197584727,299.69526636101295,300.9309214819836,300.6384192089703,302.7469977983687,299.50446016301527,299.1997786325525,297.99862032959317,298.4802227456508,300.30287305788397,297.4368627061495,298.65637724968855,298.6494244491502,301.23688320895974,299.8541793318115,300.5025162025888,300.1625434275575,297.38506130351925,296.36624669042584
18,297.7063824902088,297.5383130233006,299.9455061050745,297.1746786589703,299.18342302867944,299.14514580644203,299.0912455129185,299.55043147945287,299.5424551066947,298.51972787646383,302.7934309565943,301.5327414351884,300.0887904649433,299.6442821390446,300.97568674602593,300.77070860256055,300.13991099419087,299.0724214541005,300.511296674938,299.1023222892465,298.6303664467705,297.5162120360959,298.8630586994944,299.2859370043753
