Experiment,piControl,historical
Member,r1i1p1f1,r1i1p1f1
0,,
1,300.9522128476489,299.43494805730603
2,298.6297878731895,300.2214969602266
3,298.05846156976537,300.8374729756908
4,298.8893203903089,298.3375346427046
5,299.9740459045791,298.7241920350504
6,300.4435044052803,301.14345725720176
7,298.6057399113354,298.82941535575964
8,299.5789644909112,300.7611242683373
9,299.71129225695245,299.1363505937607
10,299.2098930821125,298.5408906417056
11,299.97753930878224,300.6883930038101
12,297.7920141736193,297.9758461690994
13,299.44794476660115,298.8439254062539
14,301.3440610884429,299.2947894486682
15,298.2530811937706,299.0440546380982
16,298.1401010262373,299.1049503098304
17,299.4499374756809,299.4904489795966
18,300.1640527927307,300.0034337812678
19,301.6318906592097,298.6676803841028
20,297.542631073697,298.67221016690536
21,298.7241051719802,299.381082013784
22,299.13317637937257,299.5333280023553
23,300.82314098518,299.3150738688858
24,298.3994200650704,299.71585827284264
25,299.1199941450043,299.7847893760547
26,301.5920806250321,299.49016646469136
27,298.4798817872881,298.63360404527776
28,298.7227334092472,300.1179411820171
29,298.90190867166024,299.13683326498636
30,299.2074992857156,298.27363681968944
31,300.0622485627664,300.4850411451983
32,300.36583437800005,300.30066175444983
33,299.43925094980085,300.3900654314025
34,300.0713815145991,297.53479085270214
35,299.7679048814316,299.88070678436867
36,300.8924560009412,298.3113888619205
37,300.0657520364585,299.9636860787612
38,299.42007539454033,298.8846057451856
39,298.34629700032957,299.31265563856056
40,299.7116541453114,299.75577723334794
41,300.24775627651235,298.81651984827135
42,300.63494199422,299.0765765451718
43,297.22501290225506,299.3927029302159
44,298.76748956788987,298.33751477170455
45,298.95915422776665,299.18235820889646
46,298.2426707397221,301.8938118159733
47,300.00869941817854,299.9605831174153
48,299.80780662456937,299.5333610249113
49,300.2063337052597,299.01019865739704
50,298.91397397244873,300.2993054306857
51,299.5833558848681,298.6752871798712
52,299.6318646756951,300.1526961838968
53,298.62935590695236,299.18084844447134
54,299.1046173920978,298.6319498678981
55,301.05361802742885,298.3616563670491
56,297.9043585192034,300.5515424037888
57,298.3069973224004,299.71946698581417
58,299.3866784101426,299.5284717876149
59,299.73300005906646,300.2093509364777
60,298.711818414997,299.1281912082007
61,299.0574220018023,300.0331415356109
62,300.1773820386756,301.2259618555408
63,299.2051308411804,301.945307572659
64,299.95090915354785,297.81016184832714
65,298.3444387014909,298.67139119304426
66,298.5322191166536,299.01729009515856
67,299.26955905911905,299.1286307266578
68,300.64773568174445,300.84920855187613
69,299.6617051177241,299.9659009604912
70,299.33178333010557,300.0011908030112
71,299.8658881882839,299.6481786540434
72,298.66369273627157,300.17716232784466
73,299.4652678299382,299.6263352262833
74,298.6215594245106,298.9288146797829
75,300.16776614709715,298.9546262497593
76,301.51488612195544,301.81438342866244
77,298.2228493339023,298.9651694942636
78,299.6143021732126,301.2670812554819
79,297.7273216400508,300.0741895717819
80,298.7536963326549,300.0055726281294
81,300.08528743020884,299.40929881135327
82,299.00556205772256,300.3079297350791
83,299.93296794803877,299.42462163877343
84,300.2808254320364,300.3210399909727
85,298.2958334729374,300.09063201493126
86,299.85224059472927,299.1370362942046
87,300.6443654499423,298.89360235749155
88,299.10200478973405,300.75897364020847
89,299.77165068655967,300.7839422039691
90,298.6648885231816,301.40075900706034
91,298.8008354389969,299.6611010560697
92,299.91898895677355,299.7879810969914
93,298.4327680748257,301.78196328608635
94,300.1303271245164,298.7780950588044
95,298.2101099728891,299.3727939156976
96,298.8936590306645,300.0439593369188
97,298.23918203057474,299.43260737141895
98,298.6911869926051,300.64085065276214
99,299.0895303348403,301.28874713780596
100,298.64691870507073,301.1385990611046
101,300.2674726454726,298.8866024021613
102,299.76922130412873,299.9142210660232
103,298.12669188942533,300.17476397305546
104,299.34833803310113,300.23808263240215
105,298.2991276577896,299.76866161255106
106,299.1741826984235,298.59819755653933
107,300.0802291645303,300.4074256456791
108,299.6772396133069,301.41890661183487
109,298.69170510969724,299.32202820855076
110,299.59494504869946,299.8574939776477
111,298.3423172204837,299.87971340107515
112,298.6956434183923,300.59889186810267
113,299.65983412261863,299.403843937427
114,299.6550860270333,299.9017957740826
115,299.14399606831483,300.09365384930237
116,298.494278073235,299.4645328760309
117,299.0329036983962,299.62953007370623
118,298.66462534693426,299.4938747456353
119,300.70344197948276,299.5437943112692
120,299.165287342262,301.5993947166118
121,301.17688328169294,298.946379612512
122,297.28284290102243,299.8443971051292
123,299.12620090957176,300.8211023330996
124,299.4834697496066,300.1746796958546
125,298.8549693291482,299.60968736876424
126,301.66592387582796,300.5010272783849
127,297.66635206002945,302.2055727653479
128,299.852858287985,298.36660442997777
129,300.33918222590563,299.17105198987207
130,298.94247105205585,300.0449116750026
131,299.77063767597696,302.40111856608166
132,298.99964623846625,299.39688958506287
133,299.5098791454517,299.5170940237165
134,299.2558356030958,301.06485371206355
135,298.78129629792994,299.2320066050854
136,300.4895754720532,300.28103367822695
137,299.7207307117434,299.2886300357472
138,298.59559867315016,299.7384140111456
139,298.0072977318528,300.36676674233047
140,298.7307615957328,300.2062382150568
141,299.7755873991618,302.6473533836419
142,301.9209134734819,298.67795603245685
143,298.1694780681628,298.883879536959
144,299.26555177056804,300.31450683681607
145,300.64007684981124,300.13449824912294
146,297.364602818011,300.76524683703144
147,298.50659336509887,300.95704520337836
148,300.7550179342381,302.21057240526096
149,298.7049384072647,298.85363040903593
150,298.3930213501144,299.7076056798333
151,300.14719991863177,301.0017495794954
152,299.6125657823856,301.41279881569534
153,299.0990187189741,300.94756823102665
154,298.2453191795925,301.5389369856409
155,299.9638304578219,299.42661220149216
156,298.6226157115789,300.6383596079306
157,300.4809473681778,301.6098367769104
158,298.77059827024897,299.9925862813902
159,299.19364810770435,298.9243211809407
160,300.6295331934615,299.5511333922477
161,297.8404279731915,300.95218164216
162,299.3292258121584,301.89619028760353
163,299.3082657637423,299.5800768493322
164,298.0420948038144,298.0503161581389
165,299.6113050593837,
166,300.2296439607313,
167,299.9705419093628,
168,300.0845385266269,
169,301.00885466074845,
170,298.54807848683373,
171,299.59132112905723,
172,299.27687538658614,
173,299.2870527086214,
174,300.075209932645,
175,299.7635783726934,
176,298.8439310114488,
177,298.7051016578893,
178,299.91457974101644,
179,299.692977199471,
180,300.2396005432883,
181,299.3413418029915,
182,299.9280819993432,
183,298.55563703210305,
184,298.90415198276173,
185,298.3670808350718,
186,299.9660444138751,
187,298.3655945314911,
188,298.55322362524265,
189,298.9757569550646,
190,298.6885213796914,
191,300.58255600814374,
192,299.08791106605526,
193,300.4382109476528,
194,298.87053415339864,
195,300.7493119336686,
196,297.21587997093496,
197,298.907720359659,
198,300.48891320659567,
199,298.4096227909347,
200,299.04932737575115,
201,299.9064556662474,
202,300.94469717646916,
203,298.6063268746963,
204,298.2746672883705,
205,299.314113920713,
206,299.86249829978044,
207,299.73060131491474,
208,299.19679651401435,
209,299.7388428771446,
210,299.82608614224984,
211,297.8565104176357,
212,299.3498678976266,
213,300.4724500478305,
214,297.887034519631,
215,299.06635976264744,
216,299.59822829640257,
217,298.7180673742641,
218,299.2159123618476,
219,300.5750787845016,
220,299.6228140597582,
221,298.7218044776619,
222,299.3991563749277,
223,297.96844395031843,
224,298.8918916632419,
225,300.812953630975,
226,298.53940317984575,
227,299.460543053729,
228,298.8132991447856,
229,299.4738420515327,
230,298.6977809382636,
231,300.3941822710133,
232,299.38307276947967,
233,299.24256611397044,
234,300.2704444077442,
235,300.91626246745017,
236,298.00462971046244,
237,299.1502281103003,
238,300.4231331567933,
239,298.56166551224516,
240,299.03634488265635,
241,300.88723792805104,
242,297.96554065653345,
243,298.90728906553704,
244,300.00646442022475,
245,299.7214596442091,
246,300.13927600179755,
247,297.61480305731203,
248,299.0413647575604,
249,298.22498679761884,
250,299.8425023186921,
251,298.8693075533616,
252,299.24427944980977,
253,300.47083759377455,
254,299.08909217291693,
255,300.7583958990919,
256,297.78632898484005,
257,299.5962550064632,
258,300.1619318997221,
259,299.5620415670092,
